name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,03/31/1987,03/31/1986
TotalAssets,"8,962,000,000","6,028,000,000","4,556,000,000","3,540,000,000","3,321,000,000","3,109,000,000","3,767,000,000","4,337,000,000","4,000,000,000","4,954,000,000","4,964,000,000","9,078,000,000","7,675,000,000","11,550,000,000","13,147,000,000","7,287,779,000","7,844,210,000","7,094,345,000","5,619,181,000","5,647,242,000","5,767,735,000","4,377,698,000","4,252,968,000","3,515,271,000","3,145,283,000","3,031,268,000","2,445,702,000","1,929,231,000","1,448,100,000","1,291,800,000","1,111,700,000","1,122,400,000","1,081,300,000","1,113,700,000","843,500,000","731,500,000"
	CurrentAssets,"6,143,000,000","4,597,000,000","3,540,000,000","2,622,000,000","2,530,000,000","2,320,000,000","2,736,000,000","2,884,000,000","2,265,000,000","3,229,000,000","3,594,000,000","4,275,000,000","2,379,000,000","3,816,000,000","3,963,000,000","3,558,837,000","3,227,997,000","2,900,278,000","2,019,678,000","2,353,109,000","2,657,689,000","1,409,878,000","1,562,027,000","1,175,267,000","1,029,077,000","1,096,768,000","986,619,000","964,186,000","737,700,000","626,200,000","396,500,000","593,700,000","572,300,000","571,500,000","426,300,000","243,100,000"
		CashCashEquivalentsAndShortTermInvestments,"2,290,000,000","1,503,000,000","1,156,000,000","1,185,000,000","1,264,000,000","785,000,000","1,040,000,000","1,097,000,000","1,002,000,000","1,765,000,000","1,789,000,000","2,676,000,000","1,096,000,000","1,889,000,000","1,541,000,000","1,794,766,000","1,195,559,000","1,313,367,000","1,037,705,000","869,997,000","1,293,165,000","596,511,000","697,025,000","467,032,000","386,198,000","490,647,000","377,854,000","60,423,000","52,000,000","153,900,000","49,100,000","79,700,000","286,800,000","235,200,000","28,900,000","15,400,000"
			CashAndCashEquivalents,"1,595,000,000","1,466,000,000","1,078,000,000","1,185,000,000","1,264,000,000","785,000,000","805,000,000","869,000,000","549,000,000","869,000,000","606,000,000","1,657,000,000","933,000,000","1,432,000,000","1,380,000,000","633,067,000","918,377,000","1,185,804,000","428,748,000","427,288,000","591,457,000","294,125,000","361,908,000","240,658,000","166,194,000","113,354,000","121,343,000","60,423,000","52,000,000","153,900,000","49,100,000","79,700,000","286,800,000","235,200,000","28,900,000","15,400,000"
				CashFinancial,,"1,465,000,000","315,000,000","108,000,000","67,000,000","409,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,"1,000,000","763,000,000","1,077,000,000","1,197,000,000","376,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"695,000,000","37,000,000","78,000,000",,,"0","235,000,000","228,000,000","453,000,000","896,000,000","1,183,000,000","1,019,000,000","163,000,000","457,000,000","161,000,000","1,161,699,000","277,182,000","127,563,000","608,957,000","442,709,000","701,708,000","302,386,000","335,117,000","226,374,000","220,004,000","377,293,000","256,511,000",,,,,,,,,
		Receivables,"2,076,000,000","1,859,000,000","1,235,000,000","400,000,000","311,000,000","533,000,000","818,000,000","832,000,000","630,000,000","919,000,000","968,000,000","745,000,000","320,000,000","640,000,000","1,150,000,000","948,817,000","719,572,000","609,457,000","395,828,000","659,783,000","547,200,000","429,809,000","415,557,000","329,111,000","220,028,000","275,733,000","337,107,000","263,617,000","202,100,000","189,500,000","153,500,000","183,600,000","167,400,000","176,500,000","290,000,000","109,000,000"
			AccountsReceivable,"2,066,000,000","1,859,000,000","1,235,000,000","400,000,000","311,000,000","533,000,000","818,000,000","832,000,000","630,000,000","919,000,000","968,000,000","745,000,000","320,000,000","640,000,000","1,140,000,000","805,531,000","719,572,000","609,457,000","395,828,000","659,783,000","547,200,000","429,809,000","415,557,000","329,111,000","220,028,000","275,733,000","337,107,000","263,617,000",,,,,,,,
				GrossAccountsReceivable,,,,,,,,"832,000,000","632,000,000","921,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
