name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
OperatingCashFlow,"1,071,000,000","1,071,000,000","493,000,000","34,000,000","68,000,000","90,000,000","-226,000,000","-98,000,000","-148,000,000","-338,000,000","382,000,000","-412,000,000","473,000,000","-692,000,000","-310,000,000","1,287,000,000","1,482,855,000","1,086,521,000","295,586,000","-88,910,000","167,645,000","1,205,552,000","259,920,000","144,413,000","398,815,000","73,237,000","611,898,000","573,173,000","456,228,000","388,700,000","189,100,000","108,000,000","155,600,000"
	CashFlowFromContinuingOperatingActivities,"1,071,000,000","1,071,000,000","493,000,000","34,000,000","68,000,000","90,000,000","-226,000,000","-98,000,000","-148,000,000","-338,000,000","382,000,000","-412,000,000","473,000,000","-692,000,000","-310,000,000","1,287,000,000","1,482,855,000","1,086,521,000","295,586,000","-88,910,000","167,645,000","1,205,552,000","259,920,000","144,413,000","398,815,000","73,237,000","611,898,000","573,173,000","456,228,000","388,700,000","189,100,000","108,000,000","155,600,000"
		NetIncomeFromContinuingOperations,"2,490,000,000","2,490,000,000","341,000,000","337,000,000","43,000,000","-497,000,000","-660,000,000","-403,000,000","-83,000,000","-1,183,000,000",,"471,000,000","293,000,000","-3,098,000,000","-3,379,000,000","-166,000,000","165,483,000","91,156,000","-274,490,000","-1,303,012,000","-60,581,000","983,026,000","-88,936,000","-103,960,000","-21,090,000","-68,950,000","300,521,000","305,266,000","228,781,000","245,000,000","145,300,000","-53,600,000","46,100,000"
		OperatingGainsLosses,"87,000,000","87,000,000","218,000,000","39,000,000","9,000,000","164,000,000",,"61,000,000","31,000,000","278,000,000","-490,000,000","144,000,000","-169,000,000","-168,000,000","211,000,000","-47,000,000","-99,443,000","-67,933,000","-122,794,000","259,665,000","69,535,000","-215,306,000","-449,778,000","8,569,000","11,430,000","-82,762,000","-32,387,000","73,062,000","68,991,000","-6,100,000","-55,500,000","9,300,000","3,500,000"
			GainLossOnSaleOfPPE,"33,000,000","33,000,000","42,000,000","27,000,000",,,"0","0","31,000,000",,,"0","28,000,000",,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,"240,000,000",,,,,"-496,000,000","-17,000,000",,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,"0","-3,000,000","-144,000,000",,"0","0","278,000,000",,"462,000,000",,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"354,000,000","354,000,000","258,000,000","170,000,000","144,000,000","133,000,000","167,000,000","203,000,000","236,000,000","260,000,000","317,000,000","383,000,000","1,128,000,000","1,223,000,000","1,138,000,000","837,000,000","1,219,344,000","1,224,252,000","995,663,000","756,169,000","622,867,000","579,070,000","515,520,000","467,521,000","394,465,000","332,640,000","262,501,000","215,984,000","175,067,000","152,300,000","155,900,000","128,300,000","136,400,000"
			DepreciationAndAmortization,"354,000,000","354,000,000","258,000,000","170,000,000","144,000,000","133,000,000","167,000,000","203,000,000","236,000,000","260,000,000","317,000,000","383,000,000","1,128,000,000","1,223,000,000","1,138,000,000","837,000,000","1,219,344,000","1,224,252,000","995,663,000","756,169,000","622,867,000","579,070,000","515,520,000","467,521,000","394,465,000","332,640,000","262,501,000","215,984,000","175,067,000","152,300,000","155,900,000","128,300,000","136,400,000"
				Depreciation,"354,000,000","354,000,000","258,000,000",,,,,,,,,,,,"1,305,000,000",,"1,163,937,000","1,173,598,000","955,560,000","739,608,000","601,673,000",,,,,,,,,,,,
