name,ttm,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989
OperatingCashFlow,"1,071,000,000","554,000,000","339,000,000","243,000,000","-65,000,000","442,000,000","234,000,000","30,000,000","-213,000,000","70,000,000","95,000,000","-45,000,000","-86,000,000","383,000,000","66,000,000","-82,000,000","-299,000,000","188,000,000","29,000,000","-85,000,000","-42,000,000","64,000,000","-59,000,000","-58,000,000","-173,000,000","116,000,000","18,000,000","-28,000,000","-204,000,000","21,000,000","21,000,000","-35,000,000","-155,000,000","-286,000,000","-240,000,000","81,000,000","107,000,000","187,000,000","189,000,000","174,000,000","-168,000,000","-213,000,000","-124,000,000","-98,000,000","23,000,000","1,150,000,000","-142,000,000","-144,000,000","-391,000,000","-250,000,000","-216,000,000","-242,000,000","16,000,000","61,000,000","223,000,000","-635,000,000","41,000,000","271,616,000","230,185,000","218,850,000","566,349,000","537,279,000","429,086,000","265,163,000","251,327,000","362,188,000","263,395,000","254,678,000","206,260,000","388,592,000","1,000","-14,345,000","-78,662,000","-98,068,000","-93,616,000","-107,759,000","210,533,000","111,567,000","73,189,000","-163,867,000","146,756,000","250,505,000","287,148,000","281,136,000","386,763,000","339,300,000","-61,634,000","-39,617,000","21,871,000","111,733,000","-43,208,000","97,466,000","-21,578,000","197,269,000","23,561,000","63,187,000","114,798,000","149,380,000","-26,104,000","-25,498,000","-24,541,000","131,533,000","108,913,000","193,868,000","177,584,000","173,255,000","140,224,000","147,201,000","112,493,000","185,028,000","77,500,000","74,800,000","118,900,000","94,500,000","107,900,000","57,800,000","128,500,000","127,400,000","36,700,000","1,000,000","24,000,000","50,900,000","24,600,000","14,100,000","18,400,000","54,400,000"
	CashFlowFromContinuingOperatingActivities,"1,071,000,000","554,000,000","339,000,000","243,000,000","-65,000,000","442,000,000","234,000,000","30,000,000","-213,000,000","70,000,000","95,000,000","-45,000,000","-86,000,000","383,000,000","66,000,000","-82,000,000","-299,000,000","188,000,000","29,000,000","-85,000,000","-42,000,000","64,000,000","-59,000,000","-58,000,000","-173,000,000","116,000,000","18,000,000","-28,000,000","-204,000,000","21,000,000","21,000,000","-35,000,000","-155,000,000","-286,000,000","-240,000,000","81,000,000","107,000,000","187,000,000","189,000,000","174,000,000","-168,000,000","-213,000,000","-124,000,000","-98,000,000","23,000,000","1,150,000,000","-142,000,000","-144,000,000","-391,000,000","-250,000,000","-216,000,000","-242,000,000","16,000,000","61,000,000","223,000,000","-635,000,000","41,000,000","271,616,000","230,185,000","218,850,000","566,349,000","537,279,000","429,086,000","265,163,000","251,327,000","362,188,000","263,395,000","254,678,000","206,260,000","388,592,000","1,000","-14,345,000","-78,662,000","-98,068,000","-93,616,000","-107,759,000","210,533,000","111,567,000","73,189,000","-163,867,000","146,756,000","250,505,000","287,148,000","281,136,000","386,763,000","339,300,000","-61,634,000","-39,617,000","21,871,000","111,733,000","-43,208,000","97,466,000","-21,578,000","197,269,000","23,561,000","63,187,000","114,798,000","149,380,000","-26,104,000","-25,498,000","-24,541,000","131,533,000","108,913,000","193,868,000","177,584,000","173,255,000","140,224,000","147,201,000","112,493,000","185,028,000","77,500,000","74,800,000","118,900,000","94,500,000","107,900,000","57,800,000","128,500,000","127,400,000","36,700,000","1,000,000","24,000,000","50,900,000","24,600,000","14,100,000","18,400,000","54,400,000"
		NetIncomeFromContinuingOperations,"2,490,000,000","1,781,000,000","390,000,000","157,000,000","162,000,000","170,000,000","120,000,000","35,000,000","16,000,000","38,000,000","102,000,000","116,000,000","81,000,000","61,000,000","71,000,000","-16,000,000","-73,000,000","-51,000,000","-406,000,000","69,000,000","-109,000,000","-102,000,000","-197,000,000","-181,000,000","-180,000,000","-364,000,000","17,000,000","-36,000,000","-20,000,000","89,000,000","48,000,000","-74,000,000","-146,000,000","-473,000,000",,,,,,,"510,000,000","375,000,000","-118,000,000","-43,000,000","257,000,000","1,177,000,000","-135,000,000","-335,000,000","-414,000,000","-1,424,000,000","-127,000,000","-1,189,000,000","-358,000,000","-1,772,000,000","-396,000,000","-600,000,000","-611,000,000","-573,826,000","134,455,000","88,847,000","184,524,000","95,587,000","76,000,000","11,319,000","-17,423,000","-29,963,000","43,848,000","32,180,000","45,091,000","43,193,000","-31,231,000","-140,096,000","-146,356,000","-854,740,000","-254,171,000","-184,938,000","-9,163,000","-15,842,000","-186,928,000","17,352,000","124,837,000","177,968,000","408,567,000","207,142,000","189,349,000","65,080,000","-105,545,000","79,896,000","-128,367,000","22,321,000","1,006,000","-64,560,000","-62,727,000","-12,334,000","-31,675,000","9,968,000","12,951,000","-21,243,000","-38,362,000","-34,672,000","25,327,000","55,572,000","56,163,000","91,985,000","96,801,000","40,759,000","86,686,000","93,234,000","84,587,000","41,681,000","61,300,000","64,300,000","61,500,000","69,600,000","49,100,000","41,400,000","84,900,000","106,800,000","17,000,000","17,300,000","4,200,000","-43,000,000","-17,800,000","-5,900,000","13,100,000","11,900,000"
		OperatingGainsLosses,"87,000,000","21,000,000","40,000,000","8,000,000","18,000,000","136,000,000","66,000,000","2,000,000","14,000,000","32,000,000","6,000,000","0","1,000,000","0","2,000,000","3,000,000","4,000,000","8,000,000","307,000,000","-151,000,000",,,,,,"-3,000,000","0","49,000,000","15,000,000","1,000,000","-17,000,000","-1,000,000","48,000,000",,,,,"2,000,000","2,000,000","-2,000,000","-492,000,000","-36,000,000","210,000,000","112,000,000","-142,000,000","27,000,000","-58,000,000","-2,000,000","-136,000,000","-56,000,000","45,000,000","-162,000,000","5,000,000","87,000,000","151,000,000","-26,000,000","-1,000,000","-106,195,000","87,056,000","-39,836,000","11,975,000","81,312,000","-47,579,000","-64,648,000","-68,528,000","10,016,000","-38,444,000","-5,493,000","-34,012,000","-59,599,000","-24,510,000","-21,053,000","-17,632,000","301,947,000","-32,178,000","-9,256,000","-848,000","12,622,000","81,264,000","-4,913,000","-19,438,000","-22,249,000","-176,921,000","-2,992,000","-13,144,000","-2,076,000","-14,157,000","-435,750,000","2,205,000","11,378,000","4,446,000","-2,008,000","-5,247,000","-5,390,000","621,000","18,025,000","-1,826,000","-9,732,000","-595,000","-27,316,000","-45,119,000","-18,282,000","-14,828,000","-2,195,000","2,918,000","62,030,000","-24,971,000","440,000","35,563,000","50,791,000","3,700,000","-20,400,000","34,900,000","-10,000,000","800,000","900,000","2,200,000","-54,900,000","200,000","-200,000","-600,000","26,800,000","2,200,000","-10,300,000","-9,400,000","2,800,000"
			GainLossOnSaleOfPPE,"33,000,000","5,000,000","2,000,000","8,000,000","18,000,000","8,000,000","26,000,000","2,000,000","6,000,000",,,,,,,,,,,,,,,,,"0","0","0","0","1,000,000","-17,000,000","-1,000,000","48,000,000",,,,,,,,,"0","0",,,"16,000,000","8,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,"0","240,000,000",,,,,,,,,,,,,,,,,,,,,,,"-9,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,"-3,000,000","0",,,"1,000,000","6,000,000","-151,000,000",,,,,,,,,,"0","0","0","0","278,000,000","0","0","0",,"0","0","-492,000,000","-27,000,000","186,000,000","120,000,000","183,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"354,000,000","101,000,000","93,000,000","82,000,000","78,000,000","73,000,000","69,000,000","70,000,000","46,000,000","43,000,000","41,000,000","42,000,000","44,000,000","39,000,000","36,000,000","35,000,000","34,000,000","34,000,000","33,000,000","33,000,000","33,000,000","34,000,000","42,000,000","45,000,000","46,000,000","48,000,000","49,000,000","53,000,000","53,000,000","54,000,000","57,000,000","59,000,000","66,000,000","66,000,000","66,000,000","65,000,000","63,000,000","70,000,000","79,000,000","80,000,000","88,000,000","89,000,000","94,000,000","100,000,000","100,000,000","284,000,000","282,000,000","282,000,000","280,000,000","303,000,000","339,000,000","286,000,000","295,000,000","291,000,000","207,000,000","326,000,000","314,000,000","380,579,000","89,959,000","192,905,000","173,557,000","277,258,000","290,750,000","318,455,000","332,881,000","329,148,000","304,731,000","292,393,000","297,980,000","287,311,000","285,030,000","213,568,000","209,754,000","199,867,000","199,087,000","183,108,000","174,107,000","150,478,000","160,013,000","159,443,000","152,933,000","149,609,000","153,758,000","147,811,000","127,892,000","129,930,000","130,219,000","127,884,000","127,487,000","125,101,000","117,086,000","113,174,000","112,160,000","107,675,000","103,965,000","94,025,000","88,800,000","84,183,000","84,652,000","87,998,000","75,807,000","83,389,000","65,899,000","55,730,000","57,483,000","56,956,000","54,440,000","53,616,000","50,972,000","41,367,000","42,300,000","50,600,000","40,800,000","43,600,000","37,500,000","34,500,000","36,700,000","48,700,000","35,800,000","34,900,000","36,500,000","33,600,000","24,200,000","39,800,000","30,700,000","31,500,000"
			DepreciationAndAmortization,"354,000,000","101,000,000","93,000,000","82,000,000","78,000,000","73,000,000","69,000,000","70,000,000","46,000,000","43,000,000","41,000,000","42,000,000","44,000,000","39,000,000","36,000,000","35,000,000","34,000,000","34,000,000","33,000,000","33,000,000","33,000,000","34,000,000","42,000,000","45,000,000","46,000,000","48,000,000","49,000,000","53,000,000","53,000,000","54,000,000","57,000,000","59,000,000","66,000,000","66,000,000","66,000,000","65,000,000","63,000,000","70,000,000","79,000,000","80,000,000","88,000,000","89,000,000","94,000,000","100,000,000","100,000,000","284,000,000","282,000,000","282,000,000","280,000,000","303,000,000","339,000,000","286,000,000","295,000,000","291,000,000","207,000,000","326,000,000","314,000,000","380,579,000","89,959,000","192,905,000","173,557,000","277,258,000","290,750,000","318,455,000","332,881,000","329,148,000","304,731,000","292,393,000","297,980,000","287,311,000","285,030,000","213,568,000","209,754,000","199,867,000","199,087,000","183,108,000","174,107,000","150,478,000","160,013,000","159,443,000","152,933,000","149,609,000","153,758,000","147,811,000","127,892,000","129,930,000","130,219,000","127,884,000","127,487,000","125,101,000","117,086,000","113,174,000","112,160,000","107,675,000","103,965,000","94,025,000","88,800,000","84,183,000","84,652,000","87,998,000","75,807,000","83,389,000","65,899,000","55,730,000","57,483,000","56,956,000","54,440,000","53,616,000","50,972,000","41,367,000","42,300,000","50,600,000","40,800,000","43,600,000","37,500,000","34,500,000","36,700,000","48,700,000","35,800,000","34,900,000","36,500,000","33,600,000","24,200,000","39,800,000","30,700,000","31,500,000"
				Depreciation,"354,000,000","101,000,000","93,000,000","82,000,000","78,000,000","73,000,000","69,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"310,000,000","317,000,000","331,000,000",,,,,"180,359,000","178,762,000","159,997,000","262,989,000","276,548,000","305,604,000","318,796,000","312,835,000","292,640,000","281,100,000","287,023,000","278,436,000","276,603,000","202,234,000","198,287,000","197,621,000","210,849,000","165,395,000","165,743,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
