name,ttm,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"9,763,000,000","3,244,000,000","2,801,000,000","1,932,000,000","1,786,000,000","2,127,000,000","1,801,000,000","1,531,000,000","1,272,000,000","1,419,000,000","1,653,000,000","1,756,000,000","1,647,000,000","1,480,000,000","1,643,000,000","1,222,000,000","984,000,000","1,106,000,000","1,307,000,000","1,027,000,000","832,000,000","958,000,000","1,061,000,000","942,000,000","1,030,000,000","1,239,000,000","1,429,000,000","1,441,000,000","1,397,000,000","1,589,000,000","1,461,000,000","1,161,000,000","1,088,000,000","1,155,000,000","1,269,000,000","1,413,000,000","1,585,000,000","1,691,000,000","1,690,000,000","1,574,000,000","1,613,000,000","1,649,000,000","1,618,000,000","1,653,000,000","1,574,000,000","1,646,000,000","1,396,000,000","1,184,000,000","1,177,000,000","1,227,000,000","1,776,000,000","1,349,000,000","1,505,000,000","1,770,000,000","1,632,000,000","1,378,000,000","1,233,000,000","1,772,853,000","1,327,622,000","1,216,367,000","1,332,158,000","1,838,276,000","1,522,755,000","1,259,918,000","1,226,628,000","1,263,706,000","1,239,459,000","1,261,837,000","1,236,433,000","1,205,593,000","953,759,000","645,261,000","714,555,000","686,430,000","508,227,000","600,299,000","902,073,000","951,873,000","765,870,000","985,264,000","1,188,747,000","1,175,172,000","1,206,549,000","1,170,437,000","1,092,029,000","968,710,000","662,192,000","595,109,000","631,593,000","788,820,000","685,927,000","526,538,000","540,856,000","613,171,000","596,644,000","594,561,000","551,999,000","496,868,000","456,862,000","455,077,000","544,212,000","593,029,000","590,385,000","626,214,000","620,096,000","545,209,000","543,114,000","533,297,000","513,080,000","413,380,000","418,400,000","409,100,000","407,400,000","400,200,000","356,700,000","350,200,000","407,400,000","366,100,000","289,400,000","296,800,000","274,300,000","265,900,000","254,200,000","267,700,000","271,500,000","285,200,000","274,800,000","274,900,000","269,600,000","248,100,000","285,500,000","308,100,000","284,200,000","262,600,000","260,900,000","473,600,000","170,200,000","150,200,000","157,700,000","153,900,000","153,400,000","144,100,000","128,100,000"
	OperatingRevenue,"9,763,000,000","3,244,000,000","2,801,000,000","1,932,000,000","1,786,000,000","2,127,000,000","1,801,000,000","1,531,000,000","1,272,000,000","1,419,000,000","1,653,000,000","1,756,000,000","1,647,000,000","1,480,000,000","1,643,000,000","1,222,000,000","984,000,000","1,106,000,000","1,307,000,000","1,027,000,000","832,000,000","958,000,000","1,061,000,000","942,000,000","1,030,000,000","1,239,000,000","1,429,000,000","1,441,000,000","1,397,000,000","1,587,000,000","1,461,000,000","1,161,000,000","1,088,000,000","1,155,000,000","1,269,000,000","1,413,000,000","1,585,000,000","1,691,000,000","1,690,000,000","1,574,000,000","1,613,000,000","1,649,000,000","1,618,000,000","1,653,000,000","1,574,000,000","1,646,000,000","1,396,000,000","1,184,000,000","1,177,000,000","1,227,000,000","1,776,000,000","1,349,000,000","1,505,000,000","1,770,000,000","1,632,000,000","1,378,000,000","1,233,000,000","1,772,853,000","1,327,622,000","1,216,367,000","1,332,158,000","1,838,276,000","1,522,755,000","1,259,918,000","1,226,628,000","1,263,706,000","1,239,459,000","1,261,837,000","1,236,433,000","1,205,593,000","953,759,000","645,261,000","714,555,000","686,430,000","508,227,000","600,299,000","902,073,000","951,873,000","765,870,000","985,264,000","1,188,747,000","1,175,172,000","1,206,549,000","1,170,437,000","1,092,029,000","968,710,000","662,192,000","595,109,000","631,593,000","788,820,000","685,927,000","526,538,000","540,856,000","613,171,000","596,644,000","594,561,000","551,999,000","496,868,000","456,862,000","455,077,000","544,212,000","593,029,000","590,385,000","626,214,000","620,096,000","545,168,000","543,114,000","533,297,000","513,080,000","413,380,000","418,400,000","409,100,000","407,400,000","400,200,000","356,700,000","350,200,000","407,400,000","366,100,000","289,400,000","296,800,000","274,300,000","265,900,000","254,200,000","267,700,000","271,500,000","285,200,000","274,800,000","274,900,000","269,600,000","248,100,000","285,500,000","308,100,000","284,200,000","262,600,000","260,900,000","473,600,000","170,200,000","150,200,000","157,700,000","153,900,000","153,400,000","144,100,000","128,100,000"
CostOfRevenue,"5,416,000,000","1,793,000,000","1,571,000,000","1,084,000,000","968,000,000","1,178,000,000","1,024,000,000","910,000,000","751,000,000","882,000,000","992,000,000","1,104,000,000","1,050,000,000","965,000,000","1,070,000,000","818,000,000","653,000,000","755,000,000","1,248,000,000","708,000,000","563,000,000","675,000,000","822,000,000","710,000,000","704,000,000","879,000,000","935,000,000","943,000,000","910,000,000","1,036,000,000","940,000,000","702,000,000","643,000,000","977,000,000","877,000,000","775,000,000","1,558,000,000","918,000,000","934,000,000","854,000,000","922,000,000","906,000,000","879,000,000","915,000,000","833,000,000","911,000,000","811,000,000","743,000,000","666,000,000","1,112,000,000","871,000,000","653,000,000","877,000,000","985,000,000","963,000,000","917,000,000","886,000,000","1,131,337,000","645,264,000","526,059,000","553,340,000","986,149,000","896,261,000","765,954,000","807,449,000","742,650,000","738,026,000","783,069,000","768,840,000","778,507,000","626,880,000","425,085,000","496,592,000","506,613,000","453,884,000","558,290,000","586,874,000","644,662,000","594,056,000","636,199,000","714,830,000","657,303,000","639,010,000","612,567,000","605,757,000","581,545,000","474,119,000","458,339,000","450,431,000","481,987,000","422,985,000","390,140,000","423,591,000","428,856,000","428,240,000","372,266,000","349,076,000","354,622,000","337,692,000","379,779,000","368,735,000","362,801,000","344,344,000","300,959,000","290,772,000","263,837,000","252,409,000","235,623,000","230,437,000","342,264,000","153,500,000","136,300,000","153,300,000","154,700,000","145,400,000","147,600,000","146,500,000","137,300,000","124,100,000","121,500,000","120,000,000","138,800,000","146,400,000","137,500,000","127,400,000","130,500,000","128,200,000",,,,,,,,,,,,,,,,
GrossProfit,"4,347,000,000","1,451,000,000","1,230,000,000","848,000,000","818,000,000","949,000,000","777,000,000","621,000,000","521,000,000","537,000,000","661,000,000","652,000,000","597,000,000","515,000,000","573,000,000","404,000,000","331,000,000","351,000,000","59,000,000","319,000,000","269,000,000","283,000,000","239,000,000","232,000,000","326,000,000","360,000,000","494,000,000","498,000,000","487,000,000","553,000,000","521,000,000","459,000,000","445,000,000","178,000,000","392,000,000","638,000,000","27,000,000","773,000,000","756,000,000","720,000,000","691,000,000","743,000,000","739,000,000","738,000,000","741,000,000","735,000,000","585,000,000","441,000,000","511,000,000","115,000,000","905,000,000","696,000,000","628,000,000","785,000,000","669,000,000","461,000,000","347,000,000","641,516,000","682,358,000","690,308,000","778,818,000","852,127,000","626,494,000","493,964,000","419,179,000","521,056,000","501,433,000","478,768,000","467,593,000","427,086,000","326,879,000","220,176,000","217,963,000","179,817,000","54,343,000","42,009,000","315,199,000","307,211,000","171,814,000","349,065,000","473,917,000","517,869,000","567,539,000","557,870,000","486,272,000","387,165,000","188,073,000","136,770,000","181,162,000","306,833,000","262,942,000","136,398,000","117,265,000","184,315,000","168,404,000","222,295,000","202,923,000","142,246,000","119,170,000","75,298,000","175,477,000","230,228,000","246,041,000","325,255,000","329,324,000","281,372,000","290,705,000","297,674,000","282,643,000","71,116,000","264,900,000","272,800,000","254,100,000","245,500,000","211,300,000","202,600,000","260,900,000","228,800,000","165,300,000","175,300,000","154,300,000","127,100,000","107,800,000","130,200,000","144,100,000","154,700,000","146,600,000",,,,,,,,,,,,,,,,
OperatingExpense,"2,978,000,000","881,000,000","781,000,000","675,000,000","641,000,000","601,000,000","591,000,000","562,000,000","483,000,000","509,000,000","511,000,000","499,000,000","477,000,000","433,000,000","447,000,000","379,000,000","360,000,000","354,000,000","352,000,000","334,000,000","340,000,000","338,000,000","349,000,000","369,000,000","376,000,000","386,000,000","431,000,000","435,000,000","438,000,000","466,000,000","448,000,000","483,000,000","496,000,000","511,000,000","520,000,000","561,000,000","599,000,000","604,000,000","618,000,000","615,000,000","637,000,000","326,000,000","611,000,000","617,000,000","559,000,000","-553,000,000","658,000,000","689,000,000","749,000,000","1,793,000,000","765,000,000","809,000,000","892,000,000","2,463,000,000","895,000,000","918,000,000","851,000,000","752,397,000","563,186,000","588,199,000","520,218,000","646,412,000","547,766,000","501,095,000","464,836,000","499,389,000","433,075,000","403,814,000","406,307,000","389,310,000","365,108,000","343,674,000","341,290,000","439,237,000","379,527,000","338,673,000","328,742,000","324,555,000","312,103,000","327,405,000","306,898,000","322,843,000","304,695,000","307,673,000","305,603,000","309,739,000","287,063,000","291,798,000","302,272,000","276,957,000","253,433,000","240,356,000","216,334,000","229,327,000","226,832,000","213,004,000","199,427,000","195,791,000","196,088,000","175,831,000","197,791,000","199,190,000","195,539,000","198,396,000","189,446,000","163,392,000","155,128,000","159,620,000","161,115,000","16,163,000","183,400,000","187,200,000","171,100,000","172,400,000","159,600,000","158,500,000","159,900,000","165,700,000","145,300,000","155,400,000","148,200,000","143,600,000","127,500,000","145,400,000","143,700,000","146,300,000","136,100,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"995,000,000","308,000,000","273,000,000","215,000,000","199,000,000","206,000,000","185,000,000","189,000,000","170,000,000","138,000,000","148,000,000","142,000,000","134,000,000","133,000,000","132,000,000","125,000,000","121,000,000","121,000,000","117,000,000","117,000,000","105,000,000","109,000,000","108,000,000","134,000,000","131,000,000","144,000,000","150,000,000","154,000,000","156,000,000","169,000,000","155,000,000","171,000,000","179,000,000","193,000,000","188,000,000","212,000,000","230,000,000","243,000,000","249,000,000","239,000,000","261,000,000","250,000,000","236,000,000","229,000,000","219,000,000","-1,003,000,000","221,000,000","247,000,000","287,000,000","320,000,000","313,000,000","337,000,000","341,000,000","321,000,000","352,000,000","365,000,000","335,000,000","288,627,000","285,806,000","309,525,000","256,042,000","317,111,000","258,748,000","228,511,000","211,714,000","245,622,000","202,179,000","178,993,000","180,217,000","162,807,000","151,111,000","135,161,000","138,228,000","194,389,000","158,568,000","160,248,000","156,860,000","163,684,000","150,918,000","156,291,000","149,138,000","160,756,000","141,931,000","152,022,000","144,306,000","158,803,000","129,437,000","124,520,000","127,310,000","120,498,000","109,768,000","101,198,000","88,214,000","102,296,000","100,915,000","102,983,000","94,519,000","88,292,000","90,432,000","83,063,000","103,011,000","95,181,000","95,525,000","97,364,000","96,946,000","87,236,000","87,369,000","91,731,000","92,894,000","-112,939,000","136,900,000","136,600,000","130,300,000","128,800,000","122,200,000","123,900,000","123,200,000","117,000,000","109,500,000","120,500,000","111,700,000","110,000,000","103,400,000","105,500,000","113,000,000","114,800,000","102,200,000",,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"1,983,000,000","573,000,000","508,000,000","460,000,000","442,000,000","395,000,000","406,000,000","373,000,000","373,000,000","371,000,000","363,000,000","357,000,000","343,000,000","300,000,000","315,000,000","279,000,000","266,000,000","264,000,000","259,000,000","243,000,000","242,000,000","229,000,000","241,000,000","235,000,000","242,000,000","238,000,000","278,000,000","277,000,000","279,000,000","293,000,000","288,000,000","308,000,000","312,000,000","313,000,000","328,000,000","345,000,000","368,000,000","358,000,000","361,000,000","367,000,000","367,000,000","352,000,000","359,000,000","371,000,000","323,000,000","432,000,000","420,000,000","425,000,000","444,000,000","529,000,000","422,000,000","442,000,000","501,000,000","473,000,000","467,000,000","475,000,000","432,000,000","384,770,000","277,380,000","278,674,000","264,176,000","329,301,000","289,018,000","272,584,000","253,122,000","252,767,000","230,896,000","224,821,000","226,090,000","226,503,000","213,997,000","208,513,000","203,062,000","244,848,000","220,959,000","178,425,000","171,882,000","160,871,000","161,185,000","171,114,000","157,760,000","162,087,000","162,764,000","155,651,000","161,297,000","150,936,000","157,626,000","167,278,000","159,946,000","156,459,000","143,665,000","139,158,000","128,120,000","127,031,000","125,917,000","110,021,000","104,908,000","107,499,000","105,656,000","92,768,000","94,780,000","104,009,000","100,014,000","101,032,000","92,500,000","76,115,000","67,759,000","67,889,000","68,221,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","3,000,000","4,000,000","3,000,000","4,000,000","3,000,000","4,000,000","5,000,000","4,000,000","5,000,000","5,000,000","4,000,000","4,000,000","1,000,000","3,000,000","8,000,000","9,000,000","9,000,000","11,000,000","16,000,000","17,000,000","17,000,000","18,000,000","17,000,000","17,000,000","18,000,000","48,000,000","30,000,000","30,000,000","50,000,000","61,000,000","76,000,000","78,000,000","84,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,500,000","50,600,000","40,800,000","43,600,000","37,400,000","34,600,000","36,700,000","48,700,000","35,800,000","34,900,000","36,500,000","33,600,000","24,100,000","39,900,000","30,700,000","31,500,000","33,900,000",,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","3,000,000","4,000,000","3,000,000","4,000,000","3,000,000","4,000,000","5,000,000","4,000,000","5,000,000","5,000,000","4,000,000","4,000,000","1,000,000","3,000,000","8,000,000","9,000,000","9,000,000","11,000,000","16,000,000","17,000,000","17,000,000","18,000,000","17,000,000","17,000,000","18,000,000","48,000,000","30,000,000","30,000,000","50,000,000","61,000,000","76,000,000","78,000,000","84,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,500,000","50,600,000","40,800,000","43,600,000","37,400,000","34,600,000","36,700,000","48,700,000","35,800,000","34,900,000","36,500,000","33,600,000","24,100,000","39,900,000","30,700,000","31,500,000","33,900,000",,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","3,000,000","4,000,000","3,000,000","4,000,000","3,000,000","4,000,000","5,000,000","4,000,000","5,000,000","5,000,000","4,000,000","4,000,000","1,000,000","3,000,000","8,000,000","9,000,000","9,000,000","11,000,000","16,000,000","17,000,000","17,000,000","18,000,000","17,000,000","17,000,000","18,000,000","48,000,000","30,000,000","30,000,000","50,000,000","61,000,000","76,000,000","78,000,000","84,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
