name,ttm,10/31/2020,10/31/2019,10/31/2018,10/31/2017,10/31/2016,10/31/2015,10/31/2014,10/31/2013,10/31/2012,10/31/2011,10/31/2010,10/31/2009,10/31/2008,10/31/2007
OperatingCashFlow,"12,852,000,000","12,061,000,000","9,697,000,000","8,880,000,000","6,551,000,000","3,411,000,000","2,318,000,000","1,175,000,000","722,000,000","693,000,000","726,000,000","510,000,000","139,000,000","208,000,000","146,000,000"
	CashFlowFromContinuingOperatingActivities,"12,852,000,000","12,061,000,000","9,697,000,000","8,880,000,000","6,551,000,000","3,411,000,000","2,318,000,000","1,175,000,000","722,000,000","693,000,000","726,000,000","510,000,000","139,000,000","208,000,000","146,000,000"
		NetIncomeFromContinuingOperations,"3,953,000,000","2,960,000,000","2,724,000,000","12,610,000,000","1,784,000,000","-1,861,000,000","1,364,000,000","263,000,000","552,000,000","563,000,000",,"415,000,000","-44,000,000","83,000,000","-159,000,000"
		OperatingGainsLosses,"336,000,000","169,000,000",,,"166,000,000","100,000,000","14,000,000","-18,000,000","-8,000,000","3,000,000","7,000,000","2,000,000","10,000,000","-19,000,000","-47,000,000"
			GainLossOnSaleOfBusiness,,,,,,,"14,000,000","-18,000,000",,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,"1,000,000","3,000,000","1,000,000","2,000,000","2,000,000","2,000,000","2,000,000"
			GainLossOnInvestmentSecurities,,,,,,,,,"-10,000,000",,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,"-3,000,000",,,,,,,
		DepreciationAmortizationDepletion,"6,710,000,000","6,905,000,000","5,808,000,000","4,081,000,000","4,737,000,000","3,042,000,000","962,000,000","625,000,000","187,000,000","155,000,000","157,000,000","159,000,000","160,000,000","159,000,000","176,000,000"
			DepreciationAndAmortization,"6,710,000,000","6,905,000,000","5,808,000,000","4,081,000,000","4,737,000,000","3,042,000,000","962,000,000","625,000,000","187,000,000","155,000,000","157,000,000","159,000,000","160,000,000","159,000,000","176,000,000"
				Depreciation,"562,000,000","570,000,000","569,000,000","515,000,000",,,,,,,,,,,
				AmortizationCashFlow,"6,148,000,000","6,335,000,000","5,239,000,000","3,566,000,000",,,,,,,,,,,
					AmortizationOfIntangibles,"6,148,000,000","6,335,000,000","5,239,000,000","3,566,000,000",,,,,,,,,,,
		DeferredTax,"-1,219,000,000","-1,142,000,000","-934,000,000","-8,270,000,000","-173,000,000","365,000,000","-90,000,000","-50,000,000","25,000,000","13,000,000",,,,,
