name,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,10/31/2008
TotalAssets,"76,972,000,000","75,933,000,000","79,298,000,000","81,548,000,000","81,006,000,000","67,493,000,000","69,767,000,000","70,916,000,000","72,110,000,000","50,124,000,000","50,372,000,000","54,936,000,000","54,544,000,000","54,418,000,000","49,942,000,000","49,849,000,000","49,617,000,000","49,966,000,000","49,752,000,000","51,407,000,000","10,777,000,000","10,592,000,000","9,988,000,000","10,532,000,000","10,697,000,000","10,491,000,000","10,262,000,000","3,671,000,000","3,472,000,000","3,415,000,000","3,204,000,000","3,039,000,000","2,892,000,000","2,862,000,000","2,715,000,000","2,611,000,000","2,444,000,000","2,446,000,000","2,273,000,000","2,177,000,000","1,971,000,000","2,157,000,000","1,920,000,000","1,782,000,000","1,632,000,000","1,970,000,000","1,775,000,000","1,805,000,000","1,871,000,000"
	CurrentAssets,"14,300,000,000","11,895,000,000","13,681,000,000","14,222,000,000","12,109,000,000","9,917,000,000","10,898,000,000","10,677,000,000","10,604,000,000","9,107,000,000","8,695,000,000","12,474,000,000","11,220,000,000","15,823,000,000","9,943,000,000","8,468,000,000","7,350,000,000","7,125,000,000","6,048,000,000","6,687,000,000","3,971,000,000","3,775,000,000","3,169,000,000","4,076,000,000","4,098,000,000","3,835,000,000","3,840,000,000","2,034,000,000","1,859,000,000","1,818,000,000","1,641,000,000","1,818,000,000","1,713,000,000","1,691,000,000","1,581,000,000","1,508,000,000","1,372,000,000","1,393,000,000","1,229,000,000","1,128,000,000","910,000,000","1,087,000,000","873,000,000","727,000,000","557,000,000","864,000,000","616,000,000","615,000,000","619,000,000"
		CashCashEquivalentsAndShortTermInvestments,"9,552,000,000","7,618,000,000","8,857,000,000","9,207,000,000","6,444,000,000","5,055,000,000","5,462,000,000","5,328,000,000","5,093,000,000","4,292,000,000","4,136,000,000","8,187,000,000","7,076,000,000","11,204,000,000","5,449,000,000","4,454,000,000","3,536,000,000","3,097,000,000","1,961,000,000","2,041,000,000","2,169,000,000","1,822,000,000","1,354,000,000","2,508,000,000","2,569,000,000","1,604,000,000","1,277,000,000","1,278,000,000","1,112,000,000","999,000,000","863,000,000","1,219,000,000","1,151,000,000","1,084,000,000","973,000,000","954,000,000","819,000,000","829,000,000","704,000,000","596,000,000","363,000,000","561,000,000","367,000,000","256,000,000","144,000,000","472,000,000","254,000,000","241,000,000","213,000,000"
			CashAndCashEquivalents,"9,552,000,000","7,618,000,000","8,857,000,000","9,207,000,000","6,444,000,000","5,055,000,000","5,462,000,000","5,328,000,000","5,093,000,000","4,292,000,000","4,136,000,000","8,187,000,000","7,076,000,000","11,204,000,000","5,249,000,000","4,254,000,000","3,536,000,000","3,097,000,000","1,961,000,000","2,041,000,000","2,169,000,000","1,822,000,000","1,354,000,000","2,508,000,000","2,569,000,000","1,604,000,000","1,277,000,000","1,278,000,000","1,112,000,000","985,000,000","863,000,000","1,219,000,000","1,151,000,000","1,084,000,000","973,000,000","954,000,000","819,000,000","829,000,000","704,000,000","596,000,000","363,000,000","561,000,000","367,000,000","256,000,000","144,000,000","472,000,000","254,000,000","241,000,000","213,000,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,"200,000,000","200,000,000",,,,,,,,,,,,,,"14,000,000",,,,,,,,,,,,,,,,,,,
		Receivables,"2,524,000,000","2,297,000,000","2,684,000,000","3,211,000,000","3,651,000,000","3,259,000,000","3,539,000,000","3,484,000,000","3,677,000,000","3,390,000,000","3,083,000,000","2,836,000,000","2,459,000,000","2,448,000,000","2,417,000,000","2,073,000,000","1,947,000,000","2,181,000,000","2,181,000,000","1,857,000,000","1,060,000,000","1,019,000,000","809,000,000","758,000,000","718,000,000","782,000,000","590,000,000","319,000,000","323,000,000","437,000,000","365,000,000","271,000,000","266,000,000","341,000,000","330,000,000","274,000,000","308,000,000","328,000,000","285,000,000","289,000,000","291,000,000","285,000,000","279,000,000","249,000,000","203,000,000","186,000,000","178,000,000","185,000,000","184,000,000"
			AccountsReceivable,"2,524,000,000","2,297,000,000","2,684,000,000","3,211,000,000","3,651,000,000","3,259,000,000","3,539,000,000","3,484,000,000","3,677,000,000","3,325,000,000","3,010,000,000","2,749,000,000","2,459,000,000","2,448,000,000","2,417,000,000","2,073,000,000","1,947,000,000","2,181,000,000","2,181,000,000","1,857,000,000","1,060,000,000","1,019,000,000","809,000,000","758,000,000","718,000,000","782,000,000","590,000,000","319,000,000","323,000,000","418,000,000","365,000,000","271,000,000","266,000,000","341,000,000","330,000,000","274,000,000","308,000,000","328,000,000","285,000,000","289,000,000","291,000,000","285,000,000","279,000,000","249,000,000","203,000,000","186,000,000","178,000,000","185,000,000","184,000,000"
				GrossAccountsReceivable,,"2,471,000,000",,,,"3,437,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-174,000,000",,,,"-178,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,000,000",,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,"65,000,000","73,000,000","87,000,000",,,,,,,,,,,,,,,,,,"15,000,000",,,,,,,,,,,,,,,,,,,
		Inventory,"952,000,000","1,003,000,000","1,081,000,000","953,000,000","944,000,000","874,000,000","1,091,000,000","1,034,000,000","1,074,000,000","1,124,000,000","1,216,000,000","1,235,000,000","1,291,000,000","1,447,000,000","1,431,000,000","1,311,000,000","1,336,000,000","1,400,000,000","1,306,000,000","1,467,000,000","490,000,000","524,000,000","507,000,000","490,000,000","500,000,000","519,000,000","482,000,000","301,000,000","286,000,000","285,000,000","284,000,000","229,000,000","208,000,000","194,000,000","216,000,000","218,000,000","193,000,000","194,000,000","200,000,000","194,000,000","203,000,000","189,000,000","185,000,000","178,000,000","166,000,000","162,000,000","153,000,000","151,000,000","188,000,000"
