name,ttm,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008
OperatingCashFlow,"12,852,000,000","3,113,000,000","3,348,000,000","3,178,000,000","3,213,000,000","2,322,000,000","2,479,000,000","2,419,000,000","2,667,000,000","2,132,000,000","2,635,000,000","2,247,000,000","2,313,000,000","1,685,000,000","1,959,000,000","1,656,000,000","1,583,000,000","1,353,000,000","1,352,000,000","963,000,000","622,000,000","474,000,000","582,000,000","592,000,000","663,000,000","481,000,000","381,000,000","314,000,000","251,000,000","229,000,000","209,000,000","137,000,000","191,000,000","185,000,000","215,000,000","128,000,000","211,000,000","139,000,000","195,000,000","213,000,000","251,000,000","67,000,000","217,000,000","137,000,000","115,000,000","41,000,000","46,000,000","31,000,000","66,000,000","-4,000,000","114,000,000","60,000,000"
	CashFlowFromContinuingOperatingActivities,"12,852,000,000","3,113,000,000","3,348,000,000","3,178,000,000","3,213,000,000","2,322,000,000","2,479,000,000","2,419,000,000","2,667,000,000","2,132,000,000","2,635,000,000","2,247,000,000","2,313,000,000","1,685,000,000","1,959,000,000","1,656,000,000","1,583,000,000","1,353,000,000","1,352,000,000","963,000,000","622,000,000","474,000,000","582,000,000","592,000,000","663,000,000","481,000,000","381,000,000","314,000,000","251,000,000","229,000,000","209,000,000","137,000,000","191,000,000","185,000,000","215,000,000","128,000,000","211,000,000","139,000,000","195,000,000","213,000,000","251,000,000","67,000,000","217,000,000","137,000,000","115,000,000","41,000,000","46,000,000","31,000,000","66,000,000","-4,000,000","114,000,000","60,000,000"
		NetIncomeFromContinuingOperations,"3,953,000,000","1,378,000,000","1,324,000,000","688,000,000","563,000,000","385,000,000","847,000,000","715,000,000","691,000,000","471,000,000","1,115,000,000","1,196,000,000","3,733,000,000","6,566,000,000","561,000,000","507,000,000","464,000,000","252,000,000","-668,000,000","-315,000,000","-1,255,000,000","377,000,000","429,000,000","240,000,000","344,000,000","351,000,000","135,000,000","-164,000,000","158,000,000","134,000,000","172,000,000","142,000,000","113,000,000","125,000,000",,,,,,,"135,000,000","119,000,000","164,000,000","123,000,000","90,000,000","38,000,000","-21,000,000","2,000,000","-31,000,000","6,000,000","18,000,000","44,000,000"
		OperatingGainsLosses,"336,000,000","172,000,000","16,000,000","55,000,000","93,000,000",,,,,,,,,,"30,000,000","0","0","136,000,000","76,000,000","-6,000,000","30,000,000",,"28,000,000","0","0","-14,000,000","-18,000,000","0","0","-3,000,000","-9,000,000",,"1,000,000",,"0","2,000,000",,,"0","0",,,"-7,000,000","0","0","9,000,000",,,"0","-1,000,000","8,000,000","-24,000,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,"-27,000,000","0","0","28,000,000","0","0","-14,000,000","-18,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"0",,"1,000,000",,"0","2,000,000",,,"0","0","1,000,000","0","1,000,000","0","0","1,000,000","1,000,000",,,"0","1,000,000",
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-10,000,000",,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","-3,000,000",,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"6,710,000,000","1,533,000,000","1,728,000,000","1,719,000,000","1,730,000,000","1,728,000,000","1,452,000,000","1,450,000,000","1,447,000,000","1,459,000,000","968,000,000","965,000,000","964,000,000","1,184,000,000","1,219,000,000","1,211,000,000","1,193,000,000","1,114,000,000","700,000,000","1,058,000,000","1,040,000,000","244,000,000","250,000,000","256,000,000","230,000,000","226,000,000","250,000,000","257,000,000","61,000,000","57,000,000","58,000,000","46,000,000","42,000,000","41,000,000","40,000,000","40,000,000","38,000,000","37,000,000","39,000,000","39,000,000","38,000,000","41,000,000","40,000,000","40,000,000","40,000,000","39,000,000","40,000,000","40,000,000","39,000,000","41,000,000","42,000,000","40,000,000"
			DepreciationAndAmortization,"6,710,000,000","1,533,000,000","1,728,000,000","1,719,000,000","1,730,000,000","1,728,000,000","1,452,000,000","1,450,000,000","1,447,000,000","1,459,000,000","968,000,000","965,000,000","964,000,000","1,184,000,000","1,219,000,000","1,211,000,000","1,193,000,000","1,114,000,000","700,000,000","1,058,000,000","1,040,000,000","244,000,000","250,000,000","256,000,000","230,000,000","226,000,000","250,000,000","257,000,000","61,000,000","57,000,000","58,000,000","46,000,000","42,000,000","41,000,000","40,000,000","40,000,000","38,000,000","37,000,000","39,000,000","39,000,000","38,000,000","41,000,000","40,000,000","40,000,000","40,000,000","39,000,000","40,000,000","40,000,000","39,000,000","41,000,000","42,000,000","40,000,000"
				Depreciation,"562,000,000","138,000,000","139,000,000","138,000,000","147,000,000","146,000,000","143,000,000","141,000,000","142,000,000","143,000,000","132,000,000","129,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,"6,148,000,000","1,395,000,000","1,589,000,000","1,581,000,000","1,583,000,000","1,582,000,000","1,309,000,000","1,309,000,000","1,305,000,000","1,316,000,000","836,000,000","836,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,"6,148,000,000","1,395,000,000","1,589,000,000","1,581,000,000","1,583,000,000","1,582,000,000","1,309,000,000","1,309,000,000","1,305,000,000","1,316,000,000","836,000,000","836,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"-1,219,000,000","-149,000,000","-459,000,000","-436,000,000","-175,000,000","-72,000,000","-226,000,000","-235,000,000","-94,000,000","-379,000,000","242,000,000","22,000,000","-2,702,000,000","-5,832,000,000","-74,000,000","12,000,000","-86,000,000","-25,000,000","718,000,000","-181,000,000","-164,000,000","-8,000,000","-160,000,000","-1,000,000","56,000,000","15,000,000","-50,000,000","-12,000,000","8,000,000","4,000,000","19,000,000","6,000,000","0","0",,"8,000,000","2,000,000","0",,,,,,,,,,,,,,
			DeferredIncomeTax,"-1,219,000,000","-149,000,000","-459,000,000","-436,000,000","-175,000,000","-72,000,000","-226,000,000","-235,000,000","-94,000,000","-379,000,000","242,000,000","22,000,000","-2,702,000,000","-5,832,000,000","-74,000,000","12,000,000","-86,000,000","-25,000,000","718,000,000","-181,000,000","-164,000,000","-8,000,000","-160,000,000","-1,000,000","56,000,000","15,000,000","-50,000,000","-12,000,000","8,000,000","4,000,000","19,000,000","6,000,000","0","0",,"8,000,000","2,000,000","0",,,,,,,,,,,,,,
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0","1,000,000","0","0","1,000,000","0","0","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000"
