name,ttm,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008
TotalRevenue,"24,685,000,000","6,655,000,000","6,467,000,000","5,821,000,000","5,742,000,000","5,858,000,000","5,776,000,000","5,515,000,000","5,517,000,000","5,789,000,000","5,444,000,000","5,063,000,000","5,014,000,000","5,327,000,000","4,844,000,000","4,463,000,000","4,190,000,000","4,139,000,000","4,136,000,000","3,792,000,000","3,541,000,000","1,771,000,000","1,840,000,000","1,735,000,000","1,614,000,000","1,635,000,000","1,590,000,000","1,269,000,000","701,000,000","709,000,000","738,000,000","644,000,000","562,000,000","576,000,000","618,000,000","606,000,000","577,000,000","563,000,000","623,000,000","603,000,000","560,000,000","550,000,000","572,000,000","550,000,000","515,000,000","456,000,000","428,000,000","363,000,000","325,000,000","368,000,000","447,000,000","439,000,000"
	OperatingRevenue,"24,685,000,000","6,655,000,000","6,467,000,000","5,821,000,000","5,742,000,000","5,858,000,000","5,776,000,000","5,515,000,000","5,517,000,000","5,789,000,000","5,444,000,000","5,063,000,000","5,014,000,000","5,327,000,000","4,844,000,000","4,463,000,000","4,190,000,000","4,139,000,000","4,136,000,000","3,792,000,000","3,541,000,000","1,771,000,000","1,840,000,000","1,735,000,000","1,614,000,000","1,635,000,000","1,590,000,000","1,269,000,000","701,000,000","709,000,000","738,000,000","644,000,000","562,000,000","576,000,000","618,000,000","606,000,000","577,000,000","563,000,000","623,000,000","603,000,000","560,000,000","550,000,000","572,000,000","550,000,000","515,000,000","456,000,000","428,000,000","363,000,000","325,000,000","368,000,000","447,000,000","439,000,000"
CostOfRevenue,"10,481,000,000","2,703,000,000","2,720,000,000","2,505,000,000","2,553,000,000","2,594,000,000","2,624,000,000","2,481,000,000","2,428,000,000","2,581,000,000","2,509,000,000","2,444,000,000","2,463,000,000","2,699,000,000","2,461,000,000","2,314,000,000","2,214,000,000","2,138,000,000","1,965,000,000","2,010,000,000","2,495,000,000","830,000,000","843,000,000","851,000,000","768,000,000","809,000,000","802,000,000","876,000,000","344,000,000","370,000,000","392,000,000","340,000,000","290,000,000","300,000,000","319,000,000","311,000,000","299,000,000","293,000,000","319,000,000","306,000,000","285,000,000","279,000,000","296,000,000","287,000,000","282,000,000","262,000,000","250,000,000","222,000,000","227,000,000","225,000,000","279,000,000","268,000,000"
GrossProfit,"14,204,000,000","3,952,000,000","3,747,000,000","3,316,000,000","3,189,000,000","3,264,000,000","3,152,000,000","3,034,000,000","3,089,000,000","3,208,000,000","2,935,000,000","2,619,000,000","2,551,000,000","2,628,000,000","2,383,000,000","2,149,000,000","1,976,000,000","2,001,000,000","2,171,000,000","1,782,000,000","1,046,000,000","941,000,000","997,000,000","884,000,000","846,000,000","826,000,000","788,000,000","393,000,000","357,000,000","339,000,000","346,000,000","304,000,000","272,000,000","276,000,000","299,000,000","295,000,000","278,000,000","270,000,000","304,000,000","297,000,000","275,000,000","271,000,000","276,000,000","263,000,000","233,000,000","194,000,000","178,000,000","141,000,000","98,000,000","143,000,000","168,000,000","171,000,000"
OperatingExpense,"8,855,000,000","2,044,000,000","2,186,000,000","2,256,000,000","2,369,000,000","2,493,000,000","2,060,000,000","2,120,000,000","2,043,000,000","2,080,000,000","1,252,000,000","1,261,000,000","1,297,000,000","1,555,000,000","1,451,000,000","1,468,000,000","1,475,000,000","1,449,000,000","1,386,000,000","1,772,000,000","1,760,000,000","435,000,000","468,000,000","487,000,000","418,000,000","411,000,000","454,000,000","468,000,000","189,000,000","188,000,000","176,000,000","164,000,000","153,000,000","151,000,000","134,000,000","144,000,000","140,000,000","137,000,000","144,000,000","150,000,000","136,000,000","129,000,000","131,000,000","127,000,000","124,000,000","115,000,000","171,000,000","104,000,000","106,000,000","102,000,000","124,000,000","125,000,000"
	SellingGeneralAndAdministration,"1,673,000,000","339,000,000","405,000,000","428,000,000","501,000,000","601,000,000","409,000,000","410,000,000","419,000,000","471,000,000","237,000,000","234,000,000","294,000,000","291,000,000","182,000,000","200,000,000","204,000,000","201,000,000","224,000,000","230,000,000","238,000,000","114,000,000","118,000,000","143,000,000","108,000,000","117,000,000","129,000,000","137,000,000","67,000,000","74,000,000","60,000,000","57,000,000","52,000,000","53,000,000","49,000,000","49,000,000","51,000,000","50,000,000","55,000,000","60,000,000","55,000,000","50,000,000","51,000,000","51,000,000","48,000,000","46,000,000","47,000,000","40,000,000","42,000,000","40,000,000","48,000,000","50,000,000"
	ResearchAndDevelopment,"4,890,000,000","1,211,000,000","1,182,000,000","1,228,000,000","1,269,000,000","1,289,000,000","1,177,000,000","1,235,000,000","1,151,000,000","1,133,000,000","948,000,000","959,000,000","936,000,000","925,000,000","828,000,000","827,000,000","829,000,000","808,000,000","806,000,000","814,000,000","787,000,000","267,000,000","287,000,000","276,000,000","251,000,000","235,000,000","234,000,000","240,000,000","114,000,000","107,000,000","109,000,000","101,000,000","95,000,000","93,000,000","80,000,000","89,000,000","84,000,000","82,000,000","83,000,000","85,000,000","76,000,000","73,000,000","75,000,000","71,000,000","70,000,000","64,000,000","65,000,000","59,000,000","59,000,000","62,000,000","69,000,000","68,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"2,292,000,000","494,000,000","599,000,000","600,000,000","599,000,000","603,000,000","474,000,000","475,000,000","473,000,000","476,000,000","67,000,000","68,000,000","67,000,000","339,000,000","441,000,000","441,000,000","442,000,000","440,000,000","356,000,000","728,000,000","735,000,000","54,000,000","63,000,000","68,000,000","59,000,000","59,000,000","91,000,000","91,000,000","8,000,000","7,000,000","7,000,000","6,000,000","6,000,000","5,000,000","5,000,000","6,000,000","5,000,000","5,000,000","6,000,000","5,000,000","5,000,000","6,000,000","5,000,000","5,000,000","6,000,000","20,000,000","5,000,000","5,000,000","5,000,000","21,000,000","7,000,000","7,000,000"
		DepreciationAndAmortizationInIncomeStatement,"2,292,000,000","494,000,000","599,000,000","600,000,000","599,000,000","603,000,000","474,000,000","475,000,000","473,000,000","476,000,000","67,000,000","68,000,000","67,000,000","339,000,000","441,000,000","441,000,000","442,000,000","440,000,000","356,000,000","728,000,000","735,000,000","54,000,000","63,000,000","68,000,000","59,000,000","59,000,000","91,000,000","91,000,000","8,000,000","7,000,000","7,000,000","6,000,000","6,000,000","5,000,000","5,000,000","6,000,000","5,000,000","5,000,000","6,000,000","5,000,000","5,000,000","6,000,000","5,000,000","5,000,000","6,000,000","20,000,000","5,000,000","5,000,000","5,000,000","21,000,000","7,000,000","7,000,000"
			Amortization,"2,292,000,000","494,000,000","599,000,000","600,000,000","599,000,000","603,000,000","474,000,000","475,000,000","473,000,000","476,000,000","67,000,000","68,000,000","67,000,000","339,000,000","441,000,000","441,000,000","442,000,000","440,000,000","356,000,000","728,000,000","735,000,000","54,000,000","63,000,000","68,000,000","59,000,000","59,000,000","91,000,000","91,000,000","8,000,000","7,000,000","7,000,000","6,000,000","6,000,000","5,000,000","5,000,000","6,000,000","5,000,000","5,000,000","6,000,000","5,000,000","5,000,000","6,000,000","5,000,000","5,000,000","6,000,000","20,000,000","5,000,000","5,000,000","5,000,000","21,000,000","7,000,000","7,000,000"
