name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"153,091,000,000","136,524,000,000","127,963,000,000","123,249,000,000","113,327,000,000","103,065,000,000","91,956,000,000","92,358,000,000","84,351,000,000","71,119,000,000","63,186,000,000","53,095,000,000","50,715,000,000","55,651,000,000","48,368,000,000","48,314,000,000","48,143,000,000","47,143,000,000","44,224,000,000","44,395,000,000","47,945,000,000","43,849,000,000","31,471,000,000","28,880,000,000","23,735,000,000","17,504,000,000","13,816,000,000","11,344,000,000","8,088,600,000","6,292,100,000","5,376,300,000","3,994,000,000","3,549,700,000","2,597,200,000","2,080,000,000","2,151,900,000"
	CurrentAssets,"47,249,000,000","31,239,000,000","28,787,000,000","29,500,000,000","35,508,000,000","40,356,000,000","27,730,000,000","32,084,000,000","31,358,000,000","25,872,000,000","31,611,000,000","21,157,000,000","19,871,000,000","23,885,000,000","18,280,000,000","21,194,000,000","24,058,000,000","22,882,000,000","18,925,000,000","17,633,000,000","21,150,000,000","17,819,000,000","13,475,000,000","15,867,000,000","13,684,000,000","8,097,000,000","6,167,000,000","5,802,000,000","4,691,000,000","3,604,000,000","3,119,200,000","2,162,900,000","1,969,900,000","1,430,800,000","1,023,700,000","1,023,900,000"
		CashCashEquivalentsAndShortTermInvestments,"23,895,000,000","13,123,000,000","11,650,000,000","14,002,000,000","17,099,000,000","25,313,000,000","14,054,000,000","20,087,000,000","18,162,000,000","14,837,000,000","21,885,000,000","9,272,000,000","8,681,000,000","12,797,000,000","10,002,000,000","12,772,000,000","17,172,000,000","16,164,000,000","12,587,000,000","11,550,000,000","13,823,000,000","11,788,000,000","7,310,000,000","9,732,000,000","7,907,000,000","2,458,000,000","2,410,000,000","1,475,000,000","1,842,400,000","1,519,000,000","1,619,600,000","1,089,700,000","971,100,000","618,700,000","373,200,000","361,100,000"
			CashAndCashEquivalents,"5,865,000,000","4,194,000,000","3,019,000,000","3,433,000,000","5,560,000,000","15,308,000,000","2,561,000,000","5,674,000,000","8,478,000,000","5,065,000,000","5,498,000,000","3,987,000,000","3,350,000,000","7,307,000,000","6,598,000,000","7,324,000,000","8,407,000,000","7,971,000,000","7,404,000,000","7,970,000,000","2,976,000,000","3,695,000,000","2,038,000,000","4,102,000,000","4,165,000,000","1,463,000,000","1,180,000,000","1,475,000,000","1,842,400,000","1,519,000,000","1,619,600,000","1,089,700,000","971,100,000","618,700,000","373,200,000","361,100,000"
			OtherShortTermInvestments,"18,030,000,000","8,929,000,000","8,631,000,000","10,569,000,000","11,539,000,000","10,005,000,000","11,493,000,000","14,413,000,000","9,684,000,000","9,772,000,000","16,387,000,000","5,285,000,000","5,331,000,000","5,490,000,000","3,404,000,000","5,448,000,000","8,765,000,000","8,193,000,000","5,183,000,000","3,580,000,000","10,847,000,000","8,093,000,000","5,272,000,000","5,630,000,000","3,742,000,000","995,000,000","1,230,000,000",,,,,,,,,
		Receivables,"6,782,000,000","7,659,000,000","6,722,000,000","5,607,000,000","4,690,000,000","4,787,000,000","4,427,000,000","3,582,000,000","3,833,000,000","3,650,000,000","2,867,000,000","2,273,000,000","1,712,000,000","2,576,000,000","2,709,000,000","3,914,000,000","2,999,000,000","2,960,000,000","2,574,000,000","2,607,000,000","4,129,000,000","3,700,000,000","3,527,000,000","3,438,000,000","3,723,000,000","3,116,000,000","1,978,000,000","1,448,000,000","2,062,100,000","698,200,000","709,700,000","568,700,000","506,500,000","438,900,000","298,400,000","305,100,000"
			AccountsReceivable,"6,782,000,000","7,659,000,000","6,722,000,000","5,607,000,000","4,690,000,000","4,787,000,000","4,427,000,000","3,582,000,000","3,833,000,000","3,650,000,000","2,867,000,000","2,273,000,000","1,712,000,000","2,576,000,000","2,709,000,000","3,914,000,000","2,999,000,000","2,960,000,000","2,574,000,000","2,607,000,000","4,129,000,000","3,700,000,000","3,527,000,000","3,438,000,000","3,723,000,000","3,116,000,000","1,978,000,000",,,,,,,,,
				GrossAccountsReceivable,,,"6,755,000,000","5,632,000,000","4,727,000,000","4,827,000,000","4,465,000,000","3,620,000,000","3,871,000,000","3,686,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,"-33,000,000","-25,000,000","-37,000,000","-40,000,000","-38,000,000","-38,000,000","-38,000,000","-36,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"8,427,000,000","8,744,000,000","7,253,000,000","6,983,000,000","5,553,000,000","5,167,000,000","4,273,000,000","4,172,000,000","4,734,000,000","4,096,000,000","3,757,000,000","2,935,000,000","3,744,000,000","3,370,000,000","4,314,000,000","3,126,000,000","2,621,000,000","2,519,000,000","2,276,000,000","2,253,000,000","2,241,000,000","1,478,000,000","1,582,000,000","1,697,000,000","1,293,000,000","2,004,000,000","1,169,000,000","838,000,000","535,200,000","422,300,000","415,400,000","347,100,000","365,900,000","235,500,000","197,900,000","170,800,000"
			RawMaterials,"908,000,000","840,000,000","813,000,000","1,098,000,000","695,000,000","532,000,000","462,000,000","458,000,000","478,000,000","644,000,000","471,000,000","437,000,000","608,000,000","507,000,000","608,000,000","409,000,000","388,000,000","333,000,000","223,000,000","237,000,000","384,000,000","183,000,000","206,000,000","255,000,000","280,000,000","674,000,000","345,000,000",,,,,,,,,
