name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
OperatingCashFlow,"35,384,000,000","35,384,000,000","33,145,000,000","29,432,000,000","22,110,000,000","21,808,000,000","19,017,000,000","20,418,000,000","20,776,000,000","18,884,000,000","20,963,000,000","16,692,000,000","11,170,000,000","10,926,000,000","12,625,000,000","10,620,000,000","14,823,000,000","13,119,000,000","11,515,000,000","9,129,000,000","8,654,000,000","12,827,000,000","11,335,000,000","9,191,000,000","10,008,000,000","8,743,000,000","4,026,000,000","2,981,000,000","2,801,000,000","1,634,700,000","1,349,500,000","1,017,900,000","703,800,000"
	CashFlowFromContinuingOperatingActivities,"35,384,000,000","35,384,000,000","33,145,000,000","29,432,000,000","22,110,000,000","21,808,000,000","19,017,000,000","20,418,000,000","20,776,000,000","18,884,000,000","20,963,000,000","16,692,000,000","11,170,000,000","10,926,000,000","12,625,000,000","10,620,000,000","14,823,000,000","13,119,000,000","11,515,000,000","9,129,000,000","8,654,000,000","12,827,000,000","11,335,000,000","9,191,000,000","10,008,000,000","8,743,000,000","4,026,000,000","2,981,000,000","2,801,000,000","1,634,700,000","1,349,500,000","1,017,900,000","703,800,000"
		NetIncomeFromContinuingOperations,"20,899,000,000","20,899,000,000","21,048,000,000","21,053,000,000","9,601,000,000","10,316,000,000","11,420,000,000","11,704,000,000","9,620,000,000","11,005,000,000","12,942,000,000","11,464,000,000","4,369,000,000","5,292,000,000","6,976,000,000","5,044,000,000","8,664,000,000","7,516,000,000","5,641,000,000","3,117,000,000","1,291,000,000","10,535,000,000","7,314,000,000","6,068,000,000","6,945,000,000","5,157,000,000","3,566,000,000","2,288,000,000","2,295,000,000","1,066,500,000","818,600,000","650,300,000","391,000,000"
		OperatingGainsLosses,"-1,787,000,000","-1,787,000,000","-1,582,000,000","-82,000,000","-2,494,000,000","-432,000,000","-263,000,000","-354,000,000","-425,000,000","-141,000,000","-276,000,000","-348,000,000","170,000,000","1,697,000,000","-178,000,000","-826,000,000","470,000,000","437,000,000","1,338,000,000","963,000,000","1,414,000,000","-3,628,000,000","-298,000,000","447,000,000","130,000,000","120,000,000","75,000,000","42,000,000","53,000,000","73,300,000","41,100,000","27,900,000","36,000,000"
			GainLossOnSaleOfBusiness,"-30,000,000","-30,000,000","-690,000,000","-497,000,000","-387,000,000",,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-1,757,000,000","-1,757,000,000","-892,000,000","155,000,000","-2,583,000,000","-432,000,000","-263,000,000","-354,000,000","-425,000,000","-141,000,000","-112,000,000","-348,000,000",,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"12,239,000,000","12,239,000,000","10,826,000,000","9,085,000,000","8,129,000,000","7,790,000,000","8,711,000,000","8,549,000,000","8,032,000,000","7,522,000,000","6,064,000,000","4,638,000,000","5,052,000,000","4,616,000,000","4,798,000,000","4,912,000,000","4,595,000,000","4,889,000,000","5,070,000,000","5,344,000,000","6,469,000,000","4,835,000,000","3,597,000,000","2,807,000,000","2,192,000,000","1,888,000,000","1,379,000,000","1,047,000,000","717,000,000","517,600,000","418,300,000","292,400,000","237,200,000"
			DepreciationAndAmortization,"12,239,000,000","12,239,000,000","10,826,000,000","9,085,000,000","8,129,000,000","7,790,000,000","8,711,000,000","8,549,000,000","8,032,000,000","7,522,000,000","6,064,000,000","4,638,000,000","5,052,000,000","4,616,000,000","4,798,000,000","4,912,000,000","4,595,000,000","4,889,000,000","5,070,000,000","5,344,000,000","6,469,000,000","4,835,000,000","3,597,000,000","2,807,000,000","2,192,000,000","1,888,000,000","1,379,000,000","1,047,000,000","717,000,000","517,600,000","418,300,000","292,400,000","237,200,000"
				Depreciation,"10,482,000,000","10,482,000,000","9,204,000,000","7,520,000,000","6,752,000,000","6,266,000,000","7,821,000,000","7,380,000,000","6,790,000,000","6,357,000,000","5,141,000,000","4,398,000,000","4,744,000,000","4,360,000,000","4,546,000,000","4,654,000,000","4,345,000,000","4,590,000,000","4,651,000,000","4,676,000,000","4,131,000,000","3,249,000,000","3,186,000,000",,,,"1,371,000,000","1,028,000,000",,,,,
				AmortizationCashFlow,"1,757,000,000","1,757,000,000","1,622,000,000","1,565,000,000","1,377,000,000","1,524,000,000","890,000,000","1,169,000,000","1,242,000,000","1,165,000,000","923,000,000","240,000,000","308,000,000","256,000,000","252,000,000","258,000,000","250,000,000","299,000,000","419,000,000","668,000,000","2,338,000,000","1,586,000,000","411,000,000",,,,"8,000,000","19,000,000",,,,,
					AmortizationOfIntangibles,"1,757,000,000","1,757,000,000","1,622,000,000","1,565,000,000","1,377,000,000","1,524,000,000","890,000,000","1,169,000,000","1,242,000,000","1,165,000,000","923,000,000","240,000,000","308,000,000","256,000,000","252,000,000","258,000,000","250,000,000","299,000,000","419,000,000","668,000,000","2,338,000,000","1,586,000,000","411,000,000",,,,"8,000,000","19,000,000",,,,,
		DeferredTax,,,,"-1,749,000,000","1,548,000,000","257,000,000","-1,270,000,000","-703,000,000","-900,000,000","-242,000,000","790,000,000","-46,000,000","271,000,000","-790,000,000","-443,000,000","-325,000,000","-413,000,000","-207,000,000","391,000,000","110,000,000","-519,000,000","-130,000,000","-219,000,000","77,000,000","6,000,000","179,000,000","346,000,000","-150,000,000","12,000,000","12,800,000","-19,100,000","-1,800,000","30,700,000"
			DeferredIncomeTax,,,,"-1,749,000,000","1,548,000,000","257,000,000","-1,270,000,000","-703,000,000","-900,000,000","-242,000,000","790,000,000","-46,000,000","271,000,000","-790,000,000","-443,000,000","-325,000,000","-413,000,000","-207,000,000","391,000,000","110,000,000","-519,000,000","-130,000,000","-219,000,000","77,000,000","6,000,000","179,000,000","346,000,000","-150,000,000","12,000,000","12,800,000","-19,100,000","-1,800,000","30,700,000"
		AssetImpairmentCharge,,,,,,,,,,,"96,000,000","67,000,000","368,000,000","795,000,000",,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"1,854,000,000","1,854,000,000","1,705,000,000","1,546,000,000","1,358,000,000","1,444,000,000","1,305,000,000","1,148,000,000","1,118,000,000","1,102,000,000","1,053,000,000","917,000,000","889,000,000","851,000,000",,,,,,,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,"-121,000,000","-159,000,000","-122,000,000","-49,000,000","-142,000,000","-37,000,000","-65,000,000","-9,000,000","-30,000,000",,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,,,,,"384,000,000","1,886,000,000","354,000,000","295,000,000","240,000,000",,,,,,"1,398,000,000","1,887,000,000",,,,,,,,,"-127,000,000","109,000,000",,,,"-100,000",,"100,000","-200,000"
		ChangeInWorkingCapital,"2,179,000,000","2,179,000,000","1,148,000,000","-421,000,000","3,584,000,000","668,000,000","-1,081,000,000","-99,000,000","3,140,000,000","-220,000,000","331,000,000","65,000,000","60,000,000","-1,505,000,000","74,000,000","-72,000,000","1,507,000,000","484,000,000","-925,000,000","-405,000,000","-1,000,000","1,215,000,000","941,000,000","-208,000,000","862,000,000","1,290,000,000","-1,340,000,000","-246,000,000","-276,000,000","-35,400,000","90,600,000","49,000,000","9,100,000"
			ChangeInReceivables,"883,000,000","883,000,000","-935,000,000","-1,714,000,000","-781,000,000","65,000,000","-355,000,000","-861,000,000","271,000,000","-176,000,000","-678,000,000","-584,000,000","-535,000,000","260,000,000","316,000,000","1,217,000,000","692,000,000","-39,000,000","-430,000,000","30,000,000","1,561,000,000","-384,000,000","153,000,000","-38,000,000","285,000,000","-607,000,000","-1,138,000,000","-530,000,000","-379,000,000","-371,000,000","11,500,000","-140,900,000","-62,200,000"
				ChangesInAccountReceivables,"883,000,000","883,000,000","-935,000,000","-1,714,000,000","-781,000,000","65,000,000","-355,000,000","-861,000,000","271,000,000","-176,000,000","-678,000,000","-584,000,000","-535,000,000","260,000,000",,,,,,,,,,,,,,,,,,,
			ChangeInInventory,"-687,000,000","-687,000,000","-1,481,000,000","-214,000,000","-1,300,000,000","119,000,000","-764,000,000","-98,000,000","563,000,000","-626,000,000","-243,000,000","-806,000,000","796,000,000","-395,000,000","700,000,000","-1,116,000,000","-500,000,000","-101,000,000","-245,000,000","-26,000,000","24,000,000","-731,000,000","169,000,000","167,000,000","-404,000,000","711,000,000","-835,000,000","-331,000,000","-303,000,000","-112,900,000","-6,900,000","-68,400,000","18,900,000"
			ChangeInPrepaidAssets,"-181,000,000","-181,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"412,000,000","412,000,000","696,000,000","211,000,000","191,000,000","182,000,000","-312,000,000","-249,000,000","267,000,000","67,000,000","1,161,000,000","621,000,000","-259,000,000","-540,000,000","102,000,000","7,000,000","303,000,000","661,000,000","116,000,000","-226,000,000","-673,000,000","978,000,000","79,000,000","-180,000,000","438,000,000","105,000,000","289,000,000","148,000,000","146,000,000","111,700,000","-40,500,000","44,000,000","12,800,000"
				ChangeInPayable,"412,000,000","412,000,000","696,000,000","211,000,000","191,000,000","182,000,000","-312,000,000","-249,000,000","267,000,000","67,000,000","1,256,000,000","460,000,000","-506,000,000","29,000,000",,,,,,,,,,,,,,,,,,,
					ChangeInTaxPayable,,,,,,,,,,,"660,000,000","53,000,000",,,,,,,,,,,,,,,,,,,,,
						ChangeInIncomeTaxPayable,,,,,,,,,,,"660,000,000","53,000,000",,,,,,,,,,,,,,,,,,,,,
					ChangeInAccountPayable,"412,000,000","412,000,000","696,000,000","211,000,000","191,000,000","182,000,000","-312,000,000","-249,000,000","267,000,000","67,000,000","596,000,000","407,000,000","-506,000,000","29,000,000",,,,,,,,,,,,,,,,,,,
				ChangeInAccruedExpense,,,,,,,,,,,"-95,000,000","161,000,000","247,000,000","-569,000,000",,,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,,,,,,,,,,,"0","0","299,000,000",,"-1,429,000,000","324,000,000",,"-468,000,000","-511,000,000","-444,000,000","898,000,000","887,000,000","506,000,000",,,"-7,000,000","-241,000,000","-13,000,000","-68,000,000","-60,800,000","31,400,000","-33,800,000","-10,500,000"
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,,"-248,000,000","-60,000,000","1,093,000,000","295,000,000","-85,000,000","282,000,000","-794,000,000","-131,000,000","853,000,000","-157,000,000","543,000,000","1,088,000,000","585,000,000","480,000,000","328,000,000","397,600,000","95,100,000","248,100,000","50,100,000"
			ChangeInOtherWorkingCapital,"1,752,000,000","1,752,000,000","2,868,000,000","1,296,000,000","5,474,000,000","302,000,000","350,000,000","1,109,000,000","2,039,000,000","515,000,000","91,000,000","834,000,000","-241,000,000","-830,000,000","633,000,000","-444,000,000","-81,000,000","136,000,000","230,000,000","-21,000,000","-1,017,000,000","596,000,000","-819,000,000",,,,,,,,,,
InvestingCashFlow,"-20,796,000,000","-20,796,000,000","-14,405,000,000","-11,239,000,000","-15,762,000,000","-25,817,000,000","-8,183,000,000","-9,905,000,000","-18,073,000,000","-14,060,000,000","-10,301,000,000","-10,539,000,000","-7,965,000,000","-5,865,000,000","-9,926,000,000","-4,907,000,000","-6,362,000,000","-5,032,000,000","-7,090,000,000","-5,765,000,000","-195,000,000","-10,035,000,000","-5,450,000,000","-6,506,000,000","-6,859,000,000","-5,268,000,000","-2,687,000,000","-2,903,000,000","-3,337,000,000","-1,479,700,000","-1,458,900,000","-878,900,000","-511,800,000"
