name,ttm,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989
OperatingCashFlow,"35,384,000,000","9,890,000,000","8,179,000,000","11,157,000,000","6,158,000,000","9,888,000,000","10,711,000,000","7,587,000,000","4,959,000,000","6,900,000,000","8,835,000,000","7,413,000,000","6,284,000,000","7,241,000,000","6,264,000,000","4,707,000,000","3,898,000,000","8,150,000,000","5,758,000,000","3,845,000,000","4,055,000,000","5,427,000,000","5,735,000,000","3,440,000,000","4,415,000,000","5,771,000,000","5,693,000,000","5,453,000,000","3,501,000,000","6,038,000,000","5,731,000,000","4,722,000,000","4,285,000,000","6,026,000,000","5,147,000,000","4,739,000,000","2,972,000,000","6,630,000,000","6,349,000,000","3,971,000,000","4,013,000,000","5,550,000,000","3,577,000,000","3,486,000,000","4,079,000,000","3,405,000,000","4,003,000,000","3,384,000,000","378,000,000","2,596,000,000","3,287,000,000","2,828,000,000","2,215,000,000","4,772,000,000","3,884,000,000","2,417,000,000","1,552,000,000","4,202,000,000","2,790,000,000","1,532,000,000","2,096,000,000","3,729,000,000","4,366,000,000","2,972,000,000","3,756,000,000","4,115,000,000","3,170,000,000","4,065,000,000","1,769,000,000","3,968,000,000","3,188,000,000","2,649,000,000","1,710,000,000","3,521,000,000","2,391,000,000","1,689,000,000","1,528,000,000","3,295,000,000","2,059,000,000","2,119,000,000","1,181,000,000","3,378,000,000","3,012,000,000","3,156,000,000","3,281,000,000","3,425,000,000","3,735,000,000","1,442,000,000","2,733,000,000","3,730,000,000","2,988,000,000","404,000,000","2,069,000,000","3,475,000,000","2,400,000,000","1,911,000,000","2,222,000,000","3,257,000,000","1,664,000,000","2,237,000,000","1,585,000,000","1,806,000,000","662,000,000","800,000,000","758,000,000","1,130,000,000","490,000,000","753,000,000","608,000,000","877,000,000","699,000,000","693,400,000","531,600,000","776,000,000","272,500,000","324,200,000","262,000,000","403,700,000","328,000,000","429,400,000","188,400,000","252,800,000","335,300,000","310,500,000","119,300,000","334,500,000","171,600,000"
	CashFlowFromContinuingOperatingActivities,"35,384,000,000","9,890,000,000","8,179,000,000","11,157,000,000","6,158,000,000","9,888,000,000","10,711,000,000","7,587,000,000","4,959,000,000","6,900,000,000","8,835,000,000","7,413,000,000","6,284,000,000","7,241,000,000","6,264,000,000","4,707,000,000","3,898,000,000","8,150,000,000","5,758,000,000","3,845,000,000","4,055,000,000","5,427,000,000","5,735,000,000","3,440,000,000","4,415,000,000","5,771,000,000","5,693,000,000","5,453,000,000","3,501,000,000","6,038,000,000","5,731,000,000","4,722,000,000","4,285,000,000","6,026,000,000","5,147,000,000","4,739,000,000","2,972,000,000","6,630,000,000","6,349,000,000","3,971,000,000","4,013,000,000","5,550,000,000","3,577,000,000","3,486,000,000","4,079,000,000","3,405,000,000","4,003,000,000","3,384,000,000","378,000,000","2,596,000,000","3,287,000,000","2,828,000,000","2,215,000,000","4,772,000,000","3,884,000,000","2,417,000,000","1,552,000,000","4,202,000,000","2,790,000,000","1,532,000,000","2,096,000,000","3,729,000,000","4,366,000,000","2,972,000,000","3,756,000,000","4,115,000,000","3,170,000,000","4,065,000,000","1,769,000,000","3,968,000,000","3,188,000,000","2,649,000,000","1,710,000,000","3,521,000,000","2,391,000,000","1,689,000,000","1,528,000,000","3,295,000,000","2,059,000,000","2,119,000,000","1,181,000,000","3,378,000,000","3,012,000,000","3,156,000,000","3,281,000,000","3,425,000,000","3,735,000,000","1,442,000,000","2,733,000,000","3,730,000,000","2,988,000,000","404,000,000","2,069,000,000","3,475,000,000","2,400,000,000","1,911,000,000","2,222,000,000","3,257,000,000","1,664,000,000","2,237,000,000","1,585,000,000","1,806,000,000","662,000,000","800,000,000","758,000,000","1,130,000,000","490,000,000","753,000,000","608,000,000","877,000,000","699,000,000","693,400,000","531,600,000","776,000,000","272,500,000","324,200,000","262,000,000","403,700,000","328,000,000","429,400,000","188,400,000","252,800,000","335,300,000","310,500,000","119,300,000","334,500,000","171,600,000"
		NetIncomeFromContinuingOperations,"20,899,000,000","5,857,000,000","4,276,000,000","5,105,000,000","5,661,000,000","6,905,000,000","5,990,000,000","4,179,000,000","3,974,000,000","5,195,000,000","6,398,000,000","5,006,000,000","4,454,000,000","-687,000,000","4,516,000,000","2,808,000,000","2,964,000,000","3,562,000,000","3,378,000,000","1,330,000,000","2,046,000,000","3,613,000,000","3,109,000,000","2,706,000,000","1,992,000,000","3,661,000,000","3,317,000,000","2,796,000,000","1,930,000,000","2,625,000,000","2,950,000,000","2,000,000,000","2,045,000,000",,,,,"3,360,000,000","3,468,000,000","2,954,000,000","3,160,000,000","3,180,000,000","2,955,000,000","2,887,000,000","2,442,000,000","2,282,000,000","1,856,000,000","-398,000,000","629,000,000","234,000,000","2,014,000,000","1,601,000,000","1,443,000,000","2,271,000,000","1,791,000,000","1,278,000,000","1,636,000,000","1,501,000,000","1,301,000,000","885,000,000","1,357,000,000","2,453,000,000","1,995,000,000","2,038,000,000","2,178,000,000","2,123,000,000","1,906,000,000","1,757,000,000","1,730,000,000","2,173,000,000","1,657,000,000","896,000,000","915,000,000","1,049,000,000","686,000,000","446,000,000","936,000,000","504,000,000","106,000,000","196,000,000","485,000,000","2,193,000,000","2,509,000,000","3,137,000,000","2,696,000,000","2,108,000,000","1,458,000,000","1,749,000,000","1,999,000,000","2,064,000,000","1,559,000,000","1,172,000,000","1,273,000,000","1,743,000,000","1,574,000,000","1,645,000,000","1,983,000,000","1,910,000,000","1,312,000,000","1,041,000,000","894,000,000","867,000,000","931,000,000","879,000,000","889,000,000","372,000,000","659,000,000","640,000,000","617,000,000","594,100,000","584,400,000","568,600,000","547,900,000","428,500,000","240,800,000","213,100,000","184,100,000","188,700,000","201,700,000","230,800,000","197,400,000","163,900,000","171,900,000","170,700,000","143,800,000","122,700,000","72,000,000"
		OperatingGainsLosses,"-1,787,000,000","-1,682,000,000","-13,000,000","-226,000,000","134,000,000","-1,187,000,000","-295,000,000","174,000,000","-274,000,000","533,000,000","283,000,000","-255,000,000","-643,000,000","-735,000,000","-846,000,000","-663,000,000","-250,000,000","-18,000,000","12,000,000","-404,000,000","-22,000,000","-18,000,000","-160,000,000","-53,000,000","-32,000,000","-230,000,000","-34,000,000","-42,000,000","-48,000,000","-34,000,000","-451,000,000","34,000,000","26,000,000","-60,000,000","-53,000,000","-47,000,000","19,000,000","-95,000,000","-70,000,000","45,000,000","-156,000,000","-109,000,000","-77,000,000","-193,000,000","31,000,000","-91,000,000","79,000,000","69,000,000","113,000,000","1,192,000,000","376,000,000","109,000,000","20,000,000","19,000,000","-169,000,000","1,000,000","-29,000,000","-549,000,000","-238,000,000","-389,000,000","350,000,000","109,000,000","111,000,000","133,000,000","117,000,000","88,000,000","108,000,000","132,000,000","109,000,000","785,000,000","159,000,000","161,000,000","233,000,000","259,000,000","202,000,000","309,000,000","193,000,000","790,000,000","349,000,000","179,000,000","96,000,000","-509,000,000","-672,000,000","-2,075,000,000","-372,000,000","-236,000,000","-149,000,000","70,000,000","17,000,000","99,000,000","94,000,000","61,000,000","193,000,000","80,000,000","27,000,000","0","23,000,000","42,000,000","18,000,000","32,000,000","28,000,000","24,000,000","3,000,000","17,000,000","31,000,000","16,000,000","8,000,000","12,000,000","6,000,000","13,900,000","13,300,000","10,400,000","15,400,000","23,600,000","14,700,000","19,000,000","16,000,000","18,500,000","7,400,000","5,500,000","9,700,000","13,000,000","6,300,000","4,400,000","4,200,000","8,700,000","4,200,000"
			GainLossOnSaleOfBusiness,"-30,000,000",,,,,,,,,"0","0",,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-1,757,000,000","-1,652,000,000","-13,000,000","-226,000,000","134,000,000","-497,000,000","-295,000,000","174,000,000","-274,000,000","484,000,000","72,000,000","242,000,000","-643,000,000","-1,211,000,000","-846,000,000","-276,000,000","-250,000,000","-18,000,000","12,000,000","-404,000,000","-22,000,000","-18,000,000","-160,000,000","-53,000,000","-32,000,000","-230,000,000","-34,000,000","-42,000,000","-48,000,000","-34,000,000","-451,000,000","34,000,000","26,000,000","-60,000,000","-53,000,000","-47,000,000","19,000,000","-17,000,000","-92,000,000","25,000,000","-28,000,000","-109,000,000","-77,000,000","-193,000,000","31,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"12,239,000,000","3,003,000,000","3,123,000,000","3,063,000,000","3,050,000,000","2,968,000,000","2,679,000,000","2,554,000,000","2,625,000,000","2,493,000,000","2,274,000,000","2,122,000,000","2,196,000,000","2,140,000,000","2,055,000,000","1,988,000,000","1,946,000,000","1,930,000,000","1,928,000,000","1,917,000,000","2,015,000,000","2,146,000,000","2,275,000,000","2,191,000,000","2,099,000,000","2,174,000,000","2,198,000,000","2,170,000,000","2,007,000,000","1,956,000,000","2,021,000,000","1,991,000,000","2,064,000,000","2,005,000,000","1,893,000,000","1,839,000,000","1,785,000,000","1,589,000,000","1,529,000,000","1,504,000,000","1,442,000,000","1,206,000,000","1,142,000,000","1,149,000,000","1,141,000,000","1,261,000,000","1,235,000,000","1,286,000,000","1,270,000,000","1,219,000,000","1,127,000,000","1,105,000,000","1,165,000,000","1,171,000,000","1,163,000,000","1,213,000,000","1,251,000,000","1,227,000,000","1,256,000,000","1,215,000,000","1,214,000,000","1,108,000,000","1,114,000,000","1,117,000,000","1,256,000,000","1,211,000,000","1,220,000,000","1,225,000,000","1,233,000,000","1,270,000,000","1,261,000,000","1,275,000,000","1,264,000,000","1,386,000,000","1,268,000,000","1,394,000,000","1,296,000,000","1,643,000,000","1,663,000,000","1,644,000,000","1,519,000,000","1,245,000,000","1,222,000,000","1,158,000,000","1,210,000,000","1,089,000,000","925,000,000","791,000,000","792,000,000","769,000,000","734,000,000","674,000,000","630,000,000","583,000,000","559,000,000","529,000,000","521,000,000","519,000,000","496,000,000","462,000,000","411,000,000","385,000,000","372,000,000","312,000,000","310,000,000","285,000,000","280,000,000","244,000,000","238,000,000","223,400,000","176,600,000","165,000,000","152,000,000","141,000,000","132,900,000","124,300,000","119,400,000","112,200,000","104,800,000","105,500,000","95,800,000","85,400,000","78,000,000","63,600,000","65,400,000","63,900,000","60,900,000"
			DepreciationAndAmortization,"12,239,000,000","3,003,000,000","3,123,000,000","3,063,000,000","3,050,000,000","2,968,000,000","2,679,000,000","2,554,000,000","2,625,000,000","2,493,000,000","2,274,000,000","2,122,000,000","2,196,000,000","2,140,000,000","2,055,000,000","1,988,000,000","1,946,000,000","1,930,000,000","1,928,000,000","1,917,000,000","2,015,000,000","2,146,000,000","2,275,000,000","2,191,000,000","2,099,000,000","2,174,000,000","2,198,000,000","2,170,000,000","2,007,000,000","1,956,000,000","2,021,000,000","1,991,000,000","2,064,000,000","2,005,000,000","1,893,000,000","1,839,000,000","1,785,000,000","1,589,000,000","1,529,000,000","1,504,000,000","1,442,000,000","1,206,000,000","1,142,000,000","1,149,000,000","1,141,000,000","1,261,000,000","1,235,000,000","1,286,000,000","1,270,000,000","1,219,000,000","1,127,000,000","1,105,000,000","1,165,000,000","1,171,000,000","1,163,000,000","1,213,000,000","1,251,000,000","1,227,000,000","1,256,000,000","1,215,000,000","1,214,000,000","1,108,000,000","1,114,000,000","1,117,000,000","1,256,000,000","1,211,000,000","1,220,000,000","1,225,000,000","1,233,000,000","1,270,000,000","1,261,000,000","1,275,000,000","1,264,000,000","1,386,000,000","1,268,000,000","1,394,000,000","1,296,000,000","1,643,000,000","1,663,000,000","1,644,000,000","1,519,000,000","1,245,000,000","1,222,000,000","1,158,000,000","1,210,000,000","1,089,000,000","925,000,000","791,000,000","792,000,000","769,000,000","734,000,000","674,000,000","630,000,000","583,000,000","559,000,000","529,000,000","521,000,000","519,000,000","496,000,000","462,000,000","411,000,000","385,000,000","372,000,000","312,000,000","310,000,000","285,000,000","280,000,000","244,000,000","238,000,000","223,400,000","176,600,000","165,000,000","152,000,000","141,000,000","132,900,000","124,300,000","119,400,000","112,200,000","104,800,000","105,500,000","95,800,000","85,400,000","78,000,000","63,600,000","65,400,000","63,900,000","60,900,000"
				Depreciation,"10,482,000,000","2,557,000,000","2,677,000,000","2,625,000,000","2,623,000,000","2,557,000,000","2,268,000,000","2,150,000,000","2,229,000,000","2,100,000,000","1,884,000,000","1,730,000,000","1,806,000,000","1,762,000,000","1,690,000,000","1,675,000,000","1,625,000,000","1,582,000,000","1,543,000,000","1,522,000,000","1,619,000,000","1,936,000,000","2,060,000,000","1,977,000,000","1,848,000,000","1,889,000,000","1,891,000,000","1,880,000,000","1,720,000,000","1,667,000,000","1,729,000,000","1,712,000,000","1,682,000,000","1,641,000,000","1,625,000,000","1,572,000,000","1,519,000,000","1,333,000,000","1,273,000,000","1,248,000,000","1,287,000,000","1,146,000,000","1,086,000,000","1,086,000,000","1,080,000,000","1,172,000,000","1,153,000,000","1,211,000,000","1,208,000,000","1,157,000,000","1,059,000,000","1,042,000,000","1,102,000,000","1,108,000,000","1,098,000,000","1,153,000,000","1,187,000,000","1,166,000,000","1,193,000,000","1,156,000,000","1,139,000,000","1,050,000,000","1,055,000,000","1,051,000,000","1,189,000,000","1,144,000,000","1,155,000,000","1,151,000,000","1,140,000,000","1,177,000,000","1,167,000,000","1,162,000,000","1,145,000,000","1,244,000,000","1,136,000,000","1,135,000,000","1,161,000,000","1,093,000,000","1,054,000,000","1,050,000,000","934,000,000","786,000,000","802,000,000","764,000,000","897,000,000","848,000,000",,,,,,,,,,,,,,,,"386,000,000",,,"305,000,000","282,000,000","273,000,000","240,000,000","233,000,000",,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,"1,757,000,000","446,000,000","446,000,000","438,000,000","427,000,000","411,000,000","411,000,000","404,000,000","396,000,000","393,000,000","390,000,000","392,000,000","390,000,000","378,000,000","365,000,000","313,000,000","321,000,000","348,000,000","385,000,000","395,000,000","396,000,000","210,000,000","215,000,000","214,000,000","251,000,000","285,000,000","307,000,000","290,000,000","287,000,000","289,000,000","292,000,000","279,000,000","382,000,000","364,000,000","268,000,000","267,000,000","266,000,000","256,000,000","256,000,000","256,000,000","155,000,000","60,000,000","56,000,000","63,000,000","61,000,000","89,000,000","82,000,000","75,000,000","62,000,000","62,000,000","68,000,000","63,000,000","63,000,000","63,000,000","65,000,000","60,000,000","64,000,000","61,000,000","63,000,000","59,000,000","75,000,000","58,000,000","59,000,000","66,000,000","67,000,000","67,000,000","65,000,000","74,000,000","93,000,000","93,000,000","94,000,000","113,000,000","119,000,000","142,000,000","132,000,000","259,000,000","135,000,000","550,000,000","609,000,000","594,000,000","585,000,000","459,000,000","420,000,000","394,000,000","313,000,000","241,000,000",,,,,,,,,,,,,,,,"-1,000,000",,,"5,000,000","3,000,000","7,000,000","4,000,000","5,000,000",,,,,,,,,,,,,,,,,,
