name,ttm,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"77,867,000,000","19,978,000,000","18,333,000,000","19,728,000,000","19,828,000,000","20,209,000,000","19,190,000,000","16,505,000,000","16,061,000,000","18,657,000,000","19,163,000,000","16,962,000,000","16,066,000,000","17,053,000,000","16,149,000,000","14,763,000,000","14,796,000,000","16,374,000,000","15,778,000,000","13,533,000,000","13,702,000,000","14,914,000,000","14,465,000,000","13,195,000,000","12,781,000,000","14,721,000,000","14,554,000,000","13,831,000,000","12,764,000,000","13,834,000,000","13,483,000,000","12,811,000,000","12,580,000,000","13,477,000,000","13,457,000,000","13,501,000,000","12,906,000,000","13,887,000,000","14,233,000,000","13,032,000,000","12,847,000,000","11,457,000,000","11,102,000,000","10,765,000,000","10,299,000,000","10,569,000,000","9,389,000,000","8,024,000,000","7,145,000,000","8,226,000,000","10,217,000,000","9,470,000,000","9,673,000,000","10,712,000,000","10,090,000,000","8,680,000,000","8,852,000,000","9,694,000,000","8,739,000,000","8,009,000,000","8,940,000,000","10,201,000,000","9,960,000,000","9,231,000,000","9,434,000,000","9,598,000,000","8,471,000,000","8,049,000,000","8,091,000,000","8,741,000,000","7,833,000,000","6,816,000,000","6,751,000,000","7,160,000,000","6,504,000,000","6,319,000,000","6,781,000,000","6,983,000,000","6,545,000,000","6,334,000,000","6,677,000,000","8,702,000,000","8,731,000,000","8,300,000,000","7,993,000,000","8,212,000,000","7,328,000,000","6,746,000,000","7,103,000,000","7,614,000,000","6,731,000,000","5,927,000,000","6,001,000,000","6,507,000,000","6,155,000,000","5,960,000,000","6,448,000,000","6,440,000,000","5,142,000,000","4,621,000,000","4,644,000,000","4,580,000,000","4,171,000,000","3,894,000,000","3,557,000,000","3,228,000,000","2,863,000,000","2,770,000,000","2,660,000,000","2,389,000,000","2,239,800,000","2,129,600,000","2,023,600,000","1,856,800,000","1,426,200,000","1,319,700,000","1,241,300,000","1,205,400,000","1,187,700,000","1,252,700,000","1,132,800,000","1,046,100,000","1,012,400,000","968,300,000","894,500,000","894,900,000","771,400,000","747,300,000","713,100,000","727,400,000","784,900,000","726,700,000","635,800,000","572,500,000","501,100,000","439,000,000","394,500,000","355,600,000","324,100,000","305,200,000","280,100,000","318,000,000","311,700,000"
	OperatingRevenue,"77,867,000,000","19,978,000,000","18,333,000,000","19,728,000,000","19,828,000,000","20,209,000,000","19,190,000,000","16,505,000,000","16,061,000,000","18,657,000,000","19,163,000,000","16,962,000,000","16,066,000,000","17,053,000,000","16,149,000,000","14,763,000,000","14,796,000,000","16,374,000,000","15,778,000,000","13,533,000,000","13,702,000,000","14,914,000,000","14,465,000,000","13,195,000,000","12,781,000,000","14,721,000,000","14,554,000,000","13,831,000,000","12,764,000,000","13,834,000,000","13,483,000,000","12,811,000,000","12,580,000,000","13,477,000,000","13,457,000,000","13,501,000,000","12,906,000,000","13,887,000,000","14,233,000,000","13,032,000,000","12,847,000,000","11,457,000,000","11,102,000,000","10,765,000,000","10,299,000,000","10,569,000,000","9,389,000,000","8,024,000,000","7,145,000,000","8,226,000,000","10,217,000,000","9,470,000,000","9,673,000,000","10,712,000,000","10,090,000,000","8,680,000,000","8,852,000,000","9,694,000,000","8,739,000,000","8,009,000,000","8,940,000,000","10,201,000,000","9,960,000,000","9,231,000,000","9,434,000,000","9,598,000,000","8,471,000,000","8,049,000,000","8,091,000,000","8,741,000,000","7,833,000,000","6,816,000,000","6,751,000,000","7,160,000,000","6,504,000,000","6,319,000,000","6,781,000,000","6,983,000,000","6,545,000,000","6,334,000,000","6,677,000,000","8,702,000,000","8,731,000,000","8,300,000,000","7,993,000,000","8,212,000,000","7,328,000,000","6,746,000,000","7,103,000,000","7,614,000,000","6,731,000,000","5,927,000,000","6,001,000,000","6,507,000,000","6,155,000,000","5,960,000,000","6,448,000,000","6,440,000,000","5,142,000,000","4,621,000,000","4,644,000,000","4,580,000,000","4,171,000,000","3,894,000,000","3,557,000,000","3,228,000,000","2,863,000,000","2,770,000,000","2,660,000,000","2,389,000,000","2,239,800,000","2,129,600,000","2,023,600,000","1,856,800,000","1,426,200,000","1,319,700,000","1,241,300,000","1,205,400,000","1,187,700,000","1,252,700,000","1,132,800,000","1,046,100,000","1,012,400,000","968,300,000","894,500,000","894,900,000","771,400,000","747,300,000","713,100,000","727,400,000","784,900,000","726,700,000","635,800,000","572,500,000","501,100,000","439,000,000","394,500,000","355,600,000","324,100,000","305,200,000","280,100,000","318,000,000","311,700,000"
CostOfRevenue,"34,255,000,000","8,630,000,000","8,592,000,000","9,221,000,000","7,812,000,000","8,331,000,000","7,895,000,000","6,627,000,000","6,972,000,000","7,430,000,000","6,803,000,000","6,543,000,000","6,335,000,000","6,286,000,000","6,092,000,000","5,665,000,000","5,649,000,000","6,269,000,000","5,795,000,000","5,560,000,000","5,572,000,000","5,324,000,000","5,354,000,000","4,947,000,000","5,051,000,000","5,100,000,000","5,096,000,000","4,914,000,000","5,151,000,000","5,263,000,000","5,069,000,000","5,341,000,000","5,514,000,000","5,660,000,000","4,942,000,000","4,947,000,000","4,641,000,000","4,935,000,000","5,215,000,000","5,130,000,000","4,962,000,000","4,051,000,000","3,781,000,000","3,530,000,000","3,770,000,000","3,729,000,000","3,985,000,000","3,945,000,000","3,907,000,000","3,857,000,000","4,198,000,000","4,221,000,000","4,466,000,000","4,486,000,000","4,919,000,000","4,605,000,000","4,420,000,000","4,884,000,000","4,445,000,000","3,838,000,000","3,997,000,000","3,901,000,000","4,012,000,000","4,028,000,000","3,836,000,000","4,221,000,000","3,752,000,000","3,269,000,000","3,221,000,000","3,185,000,000","3,275,000,000","3,348,000,000","3,239,000,000","3,464,000,000","3,331,000,000","3,350,000,000","3,301,000,000","3,402,000,000","3,553,000,000","3,307,000,000","3,225,000,000","3,230,000,000","3,148,000,000","3,283,000,000","2,989,000,000","3,176,000,000","3,026,000,000","2,771,000,000","2,912,000,000","3,176,000,000","3,192,000,000","3,027,000,000","2,749,000,000","2,691,000,000","2,604,000,000","2,343,000,000","2,307,000,000","2,392,000,000","2,201,000,000","2,150,000,000","2,421,000,000","2,389,000,000","2,008,000,000","1,805,000,000","1,609,000,000","2,023,000,000","1,273,000,000","1,156,000,000","1,124,000,000","712,000,000","656,500,000","600,400,000","566,100,000","583,600,000","507,900,000","486,200,000","462,100,000","467,200,000","491,000,000","484,600,000","454,600,000","450,300,000","417,400,000","404,500,000","373,800,000","424,900,000","374,000,000","352,300,000",,,,,,,,,,,,,,,
GrossProfit,"43,612,000,000","11,348,000,000","9,741,000,000","10,507,000,000","12,016,000,000","11,878,000,000","11,295,000,000","9,878,000,000","9,089,000,000","11,227,000,000","12,360,000,000","10,419,000,000","9,731,000,000","10,767,000,000","10,057,000,000","9,098,000,000","9,147,000,000","10,105,000,000","9,983,000,000","7,973,000,000","8,130,000,000","9,590,000,000","9,111,000,000","8,248,000,000","7,730,000,000","9,621,000,000","9,458,000,000","8,917,000,000","7,613,000,000","8,571,000,000","8,414,000,000","7,470,000,000","7,066,000,000","7,817,000,000","8,515,000,000","8,554,000,000","8,265,000,000","8,952,000,000","9,018,000,000","7,902,000,000","7,885,000,000","7,406,000,000","7,321,000,000","7,235,000,000","6,529,000,000","6,840,000,000","5,404,000,000","4,079,000,000","3,238,000,000","4,369,000,000","6,019,000,000","5,249,000,000","5,207,000,000","6,226,000,000","5,171,000,000","4,075,000,000","4,432,000,000","4,810,000,000","4,294,000,000","4,171,000,000","4,943,000,000","6,300,000,000","5,948,000,000","5,203,000,000","5,598,000,000","5,377,000,000","4,719,000,000","4,780,000,000","4,870,000,000","5,556,000,000","4,558,000,000","3,468,000,000","3,512,000,000","3,696,000,000","3,173,000,000","2,969,000,000","3,480,000,000","3,581,000,000","2,992,000,000","3,027,000,000","3,452,000,000","5,472,000,000","5,583,000,000","5,017,000,000","5,004,000,000","5,036,000,000","4,302,000,000","3,975,000,000","4,191,000,000","4,438,000,000","3,539,000,000","2,900,000,000","3,252,000,000","3,816,000,000","3,551,000,000","3,617,000,000","4,141,000,000","4,048,000,000","2,941,000,000","2,471,000,000","2,223,000,000","2,191,000,000","2,163,000,000","2,089,000,000","1,948,000,000","1,205,000,000","1,590,000,000","1,614,000,000","1,536,000,000","1,677,000,000","1,583,300,000","1,529,200,000","1,457,500,000","1,273,200,000","918,300,000","833,500,000","779,200,000","738,200,000","696,700,000","768,100,000","678,200,000","595,800,000","595,000,000","563,800,000","520,700,000","470,000,000","397,400,000","395,000,000",,,,,,,,,,,,,,,
OperatingExpense,"19,736,000,000","5,412,000,000","4,707,000,000","4,801,000,000","4,816,000,000","4,976,000,000","4,744,000,000","5,077,000,000","4,915,000,000","5,003,000,000","5,083,000,000","5,146,000,000","5,261,000,000","5,177,000,000","4,938,000,000","5,166,000,000","5,468,000,000","5,479,000,000","5,149,000,000","5,241,000,000","5,562,000,000","5,304,000,000","4,905,000,000","5,104,000,000","5,010,000,000","5,111,000,000","4,898,000,000","4,992,000,000","4,966,000,000","4,906,000,000","4,786,000,000","4,751,000,000","4,547,000,000","4,662,000,000","4,674,000,000","4,722,000,000","4,455,000,000","4,353,000,000","4,233,000,000","3,967,000,000","3,727,000,000","3,383,000,000","3,185,000,000","3,254,000,000","3,081,000,000","4,340,000,000","2,762,000,000","4,000,000,000","2,517,000,000","2,579,000,000","2,887,000,000","2,898,000,000","2,816,000,000","3,172,000,000","2,902,000,000","2,643,000,000","2,682,000,000","2,865,000,000","2,822,000,000","3,099,000,000","3,225,000,000","2,991,000,000","2,848,000,000","2,554,000,000","2,566,000,000","2,477,000,000","2,346,000,000","2,399,000,000","2,394,000,000","2,994,000,000","2,249,000,000","2,192,000,000","2,121,000,000","2,232,000,000","2,203,000,000","2,316,000,000","2,165,000,000","2,573,000,000","2,603,000,000","2,687,000,000","2,735,000,000","2,878,000,000","2,718,000,000","2,588,000,000","2,388,000,000","2,223,000,000","1,913,000,000","1,655,000,000","1,554,000,000","1,602,000,000","1,383,000,000","1,294,000,000","1,306,000,000","1,423,000,000","1,262,000,000","1,279,000,000","1,274,000,000","1,242,000,000","1,014,000,000","956,000,000","918,000,000","921,000,000","774,000,000","763,000,000","681,000,000","687,000,000","620,000,000","642,000,000","609,000,000","818,000,000","713,800,000","684,600,000","638,700,000","662,000,000","590,300,000","550,900,000","510,900,000","488,400,000","458,700,000","445,200,000","409,000,000","390,000,000","362,500,000","346,400,000","318,100,000","302,300,000","270,100,000","262,600,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"6,180,000,000","1,757,000,000","1,435,000,000","1,447,000,000","1,541,000,000","1,542,000,000","1,486,000,000","1,589,000,000","1,533,000,000","1,520,000,000","1,605,000,000","1,725,000,000","1,900,000,000","1,850,000,000","1,666,000,000","1,854,000,000","2,104,000,000","2,158,000,000","2,006,000,000","2,007,000,000","2,226,000,000","2,118,000,000","1,910,000,000","1,949,000,000","1,953,000,000","2,049,000,000","1,979,000,000","2,061,000,000","2,047,000,000","2,006,000,000","1,970,000,000","2,165,000,000","1,947,000,000","1,958,000,000","1,995,000,000","2,131,000,000","1,973,000,000","1,973,000,000","2,017,000,000","1,905,000,000","1,775,000,000","1,705,000,000","1,506,000,000","1,584,000,000","1,514,000,000","2,718,000,000","1,320,000,000","2,697,000,000","1,200,000,000","1,263,000,000","1,416,000,000","1,430,000,000","1,349,000,000","1,462,000,000","1,378,000,000","1,284,000,000","1,277,000,000","1,434,000,000","1,425,000,000","1,593,000,000","1,644,000,000","1,606,000,000","1,478,000,000","1,342,000,000","1,262,000,000","1,225,000,000","1,123,000,000","1,170,000,000","1,141,000,000","1,135,000,000","1,046,000,000","1,079,000,000","1,018,000,000","1,104,000,000","1,095,000,000","1,063,000,000","1,072,000,000","1,071,000,000","1,064,000,000","1,174,000,000","1,155,000,000","1,421,000,000","1,321,000,000","1,223,000,000","1,124,000,000","1,105,000,000","952,000,000","924,000,000","891,000,000","928,000,000","766,000,000","671,000,000","711,000,000","818,000,000","676,000,000","704,000,000","693,000,000","722,000,000","565,000,000","518,000,000","517,000,000","569,000,000","440,000,000","447,000,000","387,000,000","402,000,000","338,000,000","363,000,000","344,000,000","594,600,000","537,200,000","519,700,000","486,700,000","521,000,000","457,400,000","426,600,000","391,500,000","376,200,000","353,900,000","339,800,000","313,200,000","304,600,000","293,500,000","281,900,000","252,700,000","238,400,000","209,200,000","206,400,000",,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,995,000,000","2,131,000,000","1,973,000,000",,"2,017,000,000","1,905,000,000","1,775,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"13,556,000,000","3,655,000,000","3,272,000,000","3,354,000,000","3,275,000,000","3,384,000,000","3,208,000,000","3,438,000,000","3,332,000,000","3,433,000,000","3,428,000,000","3,371,000,000","3,311,000,000","3,274,000,000","3,223,000,000","3,275,000,000","3,326,000,000","3,280,000,000","3,069,000,000","3,145,000,000","3,246,000,000","3,119,000,000","2,927,000,000","3,087,000,000","2,995,000,000","2,990,000,000","2,842,000,000","2,859,000,000","2,846,000,000","2,826,000,000","2,742,000,000","2,516,000,000","2,527,000,000","2,629,000,000","2,605,000,000","2,513,000,000","2,401,000,000","2,308,000,000","2,140,000,000","1,986,000,000","1,916,000,000","1,671,000,000","1,675,000,000","1,666,000,000","1,564,000,000","1,603,000,000","1,430,000,000","1,303,000,000","1,317,000,000","1,316,000,000","1,471,000,000","1,468,000,000","1,467,000,000","1,481,000,000","1,521,000,000","1,353,000,000","1,400,000,000","1,426,000,000","1,389,000,000","1,496,000,000","1,562,000,000","1,362,000,000","1,341,000,000","1,176,000,000","1,266,000,000","1,214,000,000","1,183,000,000","1,186,000,000","1,195,000,000","1,177,000,000","1,135,000,000","1,029,000,000","1,019,000,000","1,022,000,000","1,006,000,000","1,024,000,000","982,000,000","952,000,000","930,000,000","919,000,000","995,000,000","998,000,000","977,000,000","971,000,000","951,000,000","877,000,000","840,000,000","731,000,000","663,000,000","674,000,000","617,000,000","623,000,000","595,000,000","605,000,000","586,000,000","575,000,000","581,000,000","520,000,000","449,000,000","438,000,000","401,000,000","352,000,000","334,000,000","316,000,000","294,000,000","285,000,000","282,000,000","279,000,000","265,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,"50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","53,000,000","49,000,000","37,000,000","38,000,000","41,000,000","74,000,000","89,000,000","90,000,000","67,000,000","68,000,000","68,000,000","62,000,000","72,000,000","77,000,000","72,000,000","73,000,000","74,000,000","74,000,000","70,000,000","73,000,000","75,000,000","74,000,000","78,000,000","81,000,000","72,000,000","76,000,000","76,000,000","36,000,000","7,000,000","4,000,000","4,000,000","3,000,000","19,000,000","12,000,000",,,,,,,"2,000,000","3,000,000","6,000,000","5,000,000","5,000,000","8,000,000","10,000,000","19,000,000","23,000,000","29,000,000","36,000,000","38,000,000","38,000,000","40,000,000","43,000,000","58,000,000","65,000,000","68,000,000","84,000,000","84,000,000","106,000,000","102,000,000","229,000,000","111,000,000","550,000,000","609,000,000","594,000,000","585,000,000","459,000,000","420,000,000","394,000,000","313,000,000","241,000,000","121,000,000",,,,,,,,,,,,,,,,,,,,,,,"223,400,000","176,600,000","164,900,000","152,000,000","141,000,000","132,900,000","124,300,000","119,400,000","112,200,000","104,800,000","105,400,000","95,800,000","85,400,000","69,000,000","64,500,000","65,400,000","63,900,000","60,900,000","56,200,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,"50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","53,000,000","49,000,000","37,000,000","38,000,000","41,000,000","74,000,000","89,000,000","90,000,000","67,000,000","68,000,000","68,000,000","62,000,000","72,000,000","77,000,000","72,000,000","73,000,000","74,000,000","74,000,000","70,000,000","73,000,000","75,000,000","74,000,000","78,000,000","81,000,000","72,000,000","76,000,000","76,000,000","36,000,000","7,000,000","4,000,000","4,000,000","3,000,000","19,000,000","12,000,000",,,,,,,"2,000,000","3,000,000","6,000,000","5,000,000","5,000,000","8,000,000","10,000,000","19,000,000","23,000,000","29,000,000","36,000,000","38,000,000","38,000,000","40,000,000","43,000,000","58,000,000","65,000,000","68,000,000","84,000,000","84,000,000","106,000,000","102,000,000","229,000,000","111,000,000","550,000,000","609,000,000","594,000,000","585,000,000","459,000,000","420,000,000","394,000,000","313,000,000","241,000,000","121,000,000",,,,,,,,,,,,,,,,,,,,,,,"223,400,000","176,600,000","164,900,000","152,000,000","141,000,000","132,900,000","124,300,000","119,400,000","112,200,000","104,800,000","105,400,000","95,800,000","85,400,000","69,000,000","64,500,000","65,400,000","63,900,000","60,900,000","56,200,000",,,,,,,,,,,,,,,
