Date,Open,High,Low,Close,Adj Close,Volume
1989-12-01,0.000000,1.145833,0.854167,1.062500,1.062500,13113600
1990-01-01,0.000000,1.458333,1.020833,1.270833,1.270833,7281000
1990-02-01,0.000000,1.666667,1.250000,1.666667,1.666667,9065400
1990-03-01,0.000000,1.958333,1.625000,1.875000,1.875000,8110200
1990-04-01,1.854167,2.125000,1.729167,2.083333,2.083333,6964800
1990-05-01,2.104167,2.666667,2.062500,2.458333,2.458333,13987200
1990-06-01,2.500000,2.583333,2.062500,2.270833,2.270833,7009800
1990-07-01,2.333333,2.875000,2.250000,2.333333,2.333333,30258600
1990-08-01,2.333333,2.458333,1.875000,2.250000,2.250000,22862400
1990-09-01,2.250000,2.416667,1.645833,1.708333,1.708333,12219600
1990-10-01,1.750000,2.229167,1.312500,1.770833,1.770833,16475400
1990-11-01,1.791667,1.979167,0.812500,0.958333,0.958333,41761200
1990-12-01,0.958333,1.125000,0.916667,0.979167,0.979167,18380400
1991-01-01,0.979167,1.416667,0.916667,1.270833,1.270833,14695800
1991-02-01,1.312500,1.708333,1.270833,1.541667,1.541667,11359200
1991-03-01,1.479167,1.750000,1.479167,1.625000,1.625000,8809200
1991-04-01,1.645833,2.125000,1.604167,1.645833,1.645833,20020200
1991-05-01,1.687500,1.812500,1.604167,1.812500,1.812500,8070600
1991-06-01,1.812500,1.979167,1.750000,1.854167,1.854167,10003200
1991-07-01,1.875000,1.958333,1.708333,1.916667,1.916667,7186200
1991-08-01,1.916667,2.020833,1.479167,1.958333,1.958333,7269000
1991-09-01,2.000000,2.000000,1.625000,1.729167,1.729167,3625200
1991-10-01,1.750000,2.500000,1.666667,2.437500,2.437500,20149200
1991-11-01,2.500000,2.500000,1.687500,1.937500,1.937500,9391200
1991-12-01,1.833333,2.208333,1.645833,1.791667,1.791667,18753600
1992-01-01,1.791667,2.520833,1.791667,2.041667,2.041667,20086200
1992-02-01,2.083333,2.687500,2.041667,2.687500,2.687500,17017200
1992-03-01,2.666667,2.958333,2.312500,2.562500,2.562500,16467600
1992-04-01,2.500000,2.729167,2.125000,2.687500,2.687500,8543400
1992-05-01,2.708333,3.062500,2.500000,2.645833,2.645833,8242800
1992-06-01,2.645833,3.041667,2.291667,2.500000,2.500000,10479600
1992-07-01,2.458333,2.958333,2.333333,2.875000,2.875000,12281400
1992-08-01,2.875000,3.291667,2.770833,3.125000,3.125000,20673600
1992-09-01,3.104167,3.687500,3.104167,3.500000,3.500000,21714000
1992-10-01,3.500000,3.791667,2.916667,2.937500,2.937500,15853200
1992-11-01,2.979167,3.770833,2.937500,3.750000,3.750000,13978800
