name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989
TotalAssets,"680,067,000","612,016,000","623,687,000","635,961,000","766,883,000","785,920,000","510,530,000","447,876,000","428,759,000","467,924,000","377,687,000","296,557,000","291,936,000","376,285,000","725,906,000","715,857,000","810,906,000","851,628,000","941,263,000","1,173,980,000","1,295,884,000","916,200,000","540,900,000","489,100,000","403,500,000","342,900,000","192,900,000","146,100,000","128,900,000","91,700,000","79,100,000","40,800,000","18,400,000"
	CurrentAssets,"333,843,000","262,430,000","284,423,000","263,371,000","314,700,000","285,863,000","398,422,000","325,801,000","287,348,000","300,605,000","325,389,000","243,471,000","211,836,000","191,546,000","330,043,000","340,964,000","401,043,000","402,713,000","394,528,000","676,282,000","716,931,000","314,000,000","381,400,000","338,100,000","310,600,000","288,800,000","141,100,000","126,000,000","110,300,000","80,100,000","67,100,000","35,100,000","14,000,000"
		CashCashEquivalentsAndShortTermInvestments,"182,332,000","118,081,000","128,675,000","111,797,000","116,860,000","102,574,000","254,844,000","215,815,000","183,401,000","210,134,000","238,220,000","164,540,000","65,909,000","85,063,000","233,208,000","264,192,000","296,295,000","277,750,000","276,880,000","531,566,000","535,408,000","214,100,000","79,300,000","60,300,000","53,900,000","54,600,000","7,700,000","18,400,000","10,800,000","6,900,000","5,200,000","23,800,000","6,100,000"
			CashAndCashEquivalents,"182,332,000","118,081,000","119,051,000","106,815,000","106,552,000","84,606,000","115,611,000","114,310,000","118,536,000","141,423,000","174,384,000","156,069,000","53,668,000","37,332,000","40,437,000","39,336,000","44,816,000","35,276,000","169,475,000","250,203,000","235,900,000","113,800,000","79,300,000","60,300,000","53,900,000","54,600,000","7,700,000","18,400,000","10,800,000","6,900,000","5,200,000","23,800,000","6,100,000"
			OtherShortTermInvestments,,"0","9,624,000","4,982,000","10,308,000","17,968,000","139,233,000","101,505,000","64,865,000","68,711,000","63,836,000","8,471,000","12,241,000","47,731,000","192,771,000","224,856,000","251,479,000","242,474,000","107,405,000","281,363,000","299,508,000","100,300,000",,,,,,,,,,,
		Receivables,"64,581,000","64,917,000","60,890,000","55,104,000","99,637,000","88,471,000","62,372,000","50,085,000","46,947,000","36,993,000","41,188,000","33,551,000","86,404,000","29,293,000","22,545,000","23,577,000","19,587,000","26,796,000","26,374,000","19,452,000","49,688,000","33,700,000","23,800,000","28,200,000","25,900,000","22,900,000","18,100,000","11,700,000","82,800,000","8,700,000","7,300,000","6,800,000","4,000,000"
			AccountsReceivable,"64,581,000","64,917,000","60,890,000","55,104,000","99,637,000","88,471,000","62,372,000","50,085,000","46,947,000","36,993,000","41,188,000","33,551,000","26,404,000","29,293,000","22,545,000","23,577,000","19,587,000","26,796,000","26,374,000","19,452,000","49,688,000",,,,,,,,,,,,
				GrossAccountsReceivable,,"65,023,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-106,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,"60,000,000",,,,,,,,,,,,,,,,,,,,
