name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990
OperatingCashFlow,"91,687,000","91,687,000","124,137,000","51,458,000","38,514,000","41,734,000","-22,885,000","40,122,000","56,504,000","4,495,000","62,176,000","79,311,000","98,942,000","26,227,000","-28,496,000","-14,495,000","-19,982,000","5,959,000","34,778,000","45,998,000","6,967,000","94,295,000","63,700,000","39,700,000","7,300,000","39,700,000","-4,300,000","15,900,000","24,200,000","13,500,000","15,200,000","10,000,000"
	CashFlowFromContinuingOperatingActivities,"91,687,000","91,687,000","124,137,000","51,458,000","38,514,000","41,734,000","-22,885,000","40,122,000","56,504,000","4,495,000","62,176,000","79,311,000","98,942,000","26,227,000","-28,496,000","-14,495,000","-19,982,000","5,959,000","34,778,000","45,998,000","6,967,000","94,295,000","63,700,000","39,700,000","7,300,000","39,700,000","-4,300,000","15,900,000","24,200,000","13,500,000","15,200,000","10,000,000"
		NetIncomeFromContinuingOperations,"47,392,000","47,392,000","43,493,000","-26,322,000","-70,562,000","-54,099,000","-159,485,000","48,580,000","22,321,000","-29,606,000","78,232,000","57,072,000","-6,957,000","-38,206,000","-239,816,000","3,093,000","-49,119,000","-51,979,000","-91,806,000","-175,235,000","-109,519,000","167,887,000","42,000,000","56,600,000","45,000,000","41,800,000","27,000,000","22,500,000","17,400,000","10,900,000","10,300,000","6,800,000"
		OperatingGainsLosses,,,,"-249,000","-3,028,000","-695,000","825,000","-1,698,000",,"-393,000",,"-720,000",,"233,000","-1,604,000","-1,560,000","-6,937,000","-8,827,000","1,110,000","17,379,000","165,337,000","-149,960,000",,,,,,,,"-900,000","400,000","200,000"
			GainLossOnSaleOfPPE,,,"0","-178,000","-4,699,000","597,000",,,,"0",,,"0",,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,"-71,000","175,000","-105,000","333,000","-1,698,000",,"-393,000",,,,,,,,,,,,"-149,960,000",,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,"1,459,000","492,000",,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"25,140,000","25,140,000","33,056,000","39,261,000","57,861,000","61,806,000","60,808,000","22,248,000","20,807,000","22,149,000","16,666,000","14,492,000","14,210,000","21,933,000","26,957,000","27,747,000","33,494,000","68,776,000","99,902,000","94,375,000","106,539,000","102,213,000","10,100,000","9,600,000","8,600,000","7,100,000","6,000,000","5,800,000","4,700,000","2,800,000","2,800,000","1,900,000"
			DepreciationAndAmortization,"25,140,000","25,140,000","33,056,000","39,261,000","57,861,000","61,806,000","60,808,000","22,248,000","20,807,000","22,149,000","16,666,000","14,492,000","14,210,000","21,933,000","26,957,000","27,747,000","33,494,000","68,776,000","99,902,000","94,375,000","106,539,000","102,213,000","10,100,000","9,600,000","8,600,000","7,100,000","6,000,000","5,800,000","4,700,000","2,800,000","2,800,000","1,900,000"
		DeferredTax,,,,"-96,000","-154,000","90,000","21,367,000","-7,222,000","2,358,000","19,224,000","-49,376,000",,,,,,,,,"110,792,000","-55,369,000","11,481,000","100,000","-2,800,000","-2,000,000","-2,400,000","-1,800,000","-3,300,000","-1,000,000","-300,000",,
