name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989
TotalRevenue,"408,120,000","408,120,000","404,093,000","398,799,000","385,961,000","427,054,000","405,966,000","366,127,000","332,525,000","279,256,000","318,366,000","297,768,000","194,420,000","222,262,000","228,709,000","245,459,000","211,060,000","225,832,000","209,662,000","229,126,000","295,326,000","567,759,000",,"200,100,000","245,900,000","204,100,000","198,200,000","144,100,000","126,200,000","103,400,000","71,000,000","64,500,000","38,900,000","21,500,000"
	OperatingRevenue,"408,120,000","408,120,000","404,093,000","398,799,000","385,961,000","427,054,000","405,966,000","366,127,000","332,525,000","279,256,000","318,366,000","297,768,000","194,420,000","222,262,000","228,709,000","245,459,000","211,060,000","225,832,000","209,662,000","229,126,000","295,326,000","567,759,000",,"200,100,000","245,900,000","204,100,000","198,200,000","144,100,000","126,200,000","103,400,000","71,000,000","64,500,000","38,900,000","21,500,000"
CostOfRevenue,"162,814,000","162,814,000","165,671,000","179,360,000","169,382,000","180,620,000","186,057,000","159,940,000","154,281,000","128,499,000","129,769,000","117,943,000","90,077,000","102,831,000","103,157,000","106,727,000","95,925,000","96,857,000","89,266,000","91,546,000","111,498,000","217,830,000",,"68,400,000","89,300,000","75,100,000","75,100,000","52,900,000","47,500,000","39,000,000","28,200,000","27,100,000","16,000,000","9,300,000"
GrossProfit,"245,306,000","245,306,000","238,422,000","219,439,000","216,579,000","246,434,000","219,909,000","206,187,000","178,244,000","150,757,000","188,597,000","179,825,000","104,343,000","119,431,000","125,552,000","138,732,000","115,135,000","128,975,000","120,396,000","137,580,000","183,828,000","349,929,000",,"131,700,000","156,600,000","129,000,000","123,100,000","91,200,000","78,700,000","64,400,000","42,800,000","37,400,000","22,900,000","12,200,000"
OperatingExpense,"189,003,000","189,003,000","174,717,000","191,193,000","225,415,000","249,695,000","263,797,000","161,606,000","148,110,000","149,927,000","140,693,000","124,685,000","108,906,000","139,666,000","374,850,000","151,224,000","169,164,000","192,009,000","214,992,000","207,290,000","209,055,000","240,012,000",,"80,100,000","81,500,000","70,000,000","65,200,000","53,900,000","48,700,000","41,700,000","29,500,000","25,300,000","16,400,000","10,200,000"
	SellingGeneralAndAdministration,"95,331,000","95,331,000","82,542,000","91,054,000","90,718,000","98,602,000","97,349,000","73,527,000","67,144,000","72,317,000","68,838,000","64,359,000","52,545,000","58,680,000","58,485,000","58,450,000","57,541,000","53,803,000","50,773,000","48,099,000","53,027,000","81,082,000",,"36,800,000","39,900,000","33,600,000","31,300,000","25,000,000","22,300,000","37,000,000","26,700,000","22,500,000","14,500,000","8,700,000"
	ResearchAndDevelopment,"89,223,000","89,223,000","78,617,000","82,449,000","103,357,000","117,518,000","136,868,000","88,079,000","80,966,000","77,610,000","71,855,000","60,326,000","56,133,000","68,610,000","82,977,000","81,968,000","95,412,000","90,957,000","87,092,000","85,776,000","71,679,000","77,057,000",,"33,200,000","32,000,000","27,800,000","26,800,000","22,900,000","20,600,000",,,,,
	DepreciationAmortizationDepletionIncomeStatement,"4,449,000","4,449,000","13,558,000","17,690,000","31,340,000","33,575,000","29,580,000","2,948,000",,,,"0","228,000","5,587,000","9,832,000","10,806,000","16,211,000","47,249,000","77,127,000","73,415,000","84,349,000","81,873,000",,"10,100,000","9,600,000","8,600,000","7,100,000","6,000,000","5,800,000","4,700,000","2,800,000","2,800,000","1,900,000","1,500,000"
		DepreciationAndAmortizationInIncomeStatement,"4,449,000","4,449,000","13,558,000","17,690,000","31,340,000","33,575,000","29,580,000","2,948,000",,,,"0","228,000","5,587,000","9,832,000","10,806,000","16,211,000","47,249,000","77,127,000","73,415,000","84,349,000","81,873,000",,"10,100,000","9,600,000","8,600,000","7,100,000","6,000,000","5,800,000","4,700,000","2,800,000","2,800,000","1,900,000","1,500,000"
			Amortization,"4,449,000","4,449,000","13,558,000","17,690,000","31,340,000","33,575,000","29,580,000","2,948,000",,,,"0","228,000","5,587,000","9,832,000","10,806,000","16,211,000","47,249,000","77,127,000","73,415,000","84,349,000","81,873,000",,,,,,,,,,,,
