name,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,03/31/1989
TotalAssets,"680,067,000","682,431,000","676,030,000","664,205,000","612,016,000","593,405,000","616,659,000","644,726,000","623,687,000","632,327,000","623,204,000","644,833,000","635,961,000","661,497,000","697,281,000","711,376,000","766,883,000","756,253,000","789,532,000","793,629,000","785,920,000","831,547,000","841,605,000","877,817,000","510,530,000","502,145,000","501,650,000","476,529,000","447,876,000","446,724,000","428,300,000","435,030,000","428,759,000","437,737,000","444,015,000","464,004,000","467,924,000","425,309,000","401,506,000","382,452,000","377,687,000","368,917,000","348,180,000","321,574,000","296,557,000","285,103,000","281,525,000","286,660,000","291,936,000","314,868,000","360,695,000","359,541,000","376,285,000","601,383,000","648,871,000","661,210,000","725,906,000","697,221,000","709,078,000","702,405,000","715,857,000","732,446,000","750,738,000","759,504,000","810,906,000","825,996,000","813,818,000","842,438,000","851,628,000","873,515,000","1,069,770,000","893,219,000","941,263,000","1,085,555,000","1,127,129,000","1,164,435,000","1,173,980,000","1,182,838,000","1,246,392,000","1,289,208,000","1,295,884,000","1,326,967,000","1,096,364,000","1,078,608,000","830,800,000","864,800,000","540,900,000","513,500,000","502,500,000","493,300,000","489,100,000","465,000,000","448,200,000","423,200,000","403,500,000","379,600,000","360,600,000","354,200,000","342,900,000","329,300,000","225,800,000","200,900,000","192,900,000","178,000,000","169,900,000","156,000,000","146,100,000","140,900,000","142,100,000","137,300,000","128,900,000","116,900,000","102,900,000","94,400,000","91,700,000","87,800,000","82,300,000","80,000,000","79,100,000","76,700,000","75,200,000","47,200,000","40,800,000","36,100,000","18,400,000"
	CurrentAssets,"333,843,000","338,950,000","330,998,000","318,678,000","262,430,000","239,209,000","256,245,000","281,763,000","284,423,000","283,665,000","269,666,000","280,571,000","263,371,000","284,402,000","268,577,000","272,957,000","314,700,000","292,014,000","307,566,000","300,501,000","285,863,000","301,189,000","316,331,000","344,435,000","398,422,000","388,608,000","386,453,000","357,314,000","325,801,000","320,689,000","300,825,000","292,803,000","287,348,000","295,690,000","297,981,000","305,732,000","300,605,000","366,498,000","347,403,000","332,144,000","325,389,000","319,530,000","296,119,000","270,110,000","243,471,000","226,714,000","220,458,000","216,697,000","211,836,000","167,145,000","200,129,000","194,643,000","191,546,000","231,249,000","267,641,000","275,697,000","330,043,000","364,137,000","356,142,000","332,966,000","340,964,000","350,957,000","359,035,000","358,885,000","401,043,000","433,241,000","431,659,000","426,448,000","402,713,000","366,254,000","558,309,000","370,122,000","394,528,000","421,231,000","491,799,000","443,620,000","676,282,000","694,496,000","698,680,000","722,157,000","716,931,000","700,987,000","439,875,000","379,130,000","234,500,000","234,300,000","381,400,000","355,400,000","345,500,000","338,700,000","338,100,000","334,100,000","335,900,000","329,100,000","310,600,000","329,200,000","314,900,000","303,400,000","288,800,000","285,400,000","177,800,000","149,500,000","141,100,000","130,500,000","132,200,000","136,800,000","126,000,000","120,200,000","121,200,000","117,900,000","110,300,000","100,600,000","89,500,000","82,700,000","80,100,000","76,400,000","70,800,000","68,500,000","67,100,000","68,600,000","67,600,000","40,600,000","35,100,000","31,400,000","14,000,000"
		CashCashEquivalentsAndShortTermInvestments,"182,332,000","182,268,000","165,175,000","176,572,000","118,081,000","97,413,000","122,636,000","130,391,000","128,675,000","117,493,000","105,785,000","111,470,000","111,797,000","107,977,000","84,886,000","109,448,000","116,860,000","98,914,000","119,345,000","116,474,000","102,574,000","118,446,000","138,135,000","159,769,000","254,844,000","257,138,000","247,037,000","219,515,000","215,815,000","210,772,000","174,224,000","179,044,000","183,401,000","186,221,000","184,480,000","196,159,000","210,134,000","267,236,000","247,537,000","235,669,000","238,220,000","229,082,000","211,992,000","183,525,000","164,540,000","115,064,000","104,283,000","71,438,000","65,909,000","68,592,000","96,286,000","87,738,000","85,063,000","128,364,000","165,220,000","169,656,000","233,208,000","268,121,000","262,727,000","250,705,000","264,192,000","263,773,000","274,405,000","253,212,000","296,295,000","319,398,000","310,834,000","298,548,000","277,750,000","278,754,000","470,178,000","252,847,000","276,880,000","290,215,000","308,189,000","279,921,000","531,566,000","540,120,000","539,255,000","549,367,000","535,408,000","514,173,000","253,581,000","237,804,000","135,300,000","85,800,000","79,300,000","54,700,000","90,200,000","77,500,000","60,300,000","65,400,000","83,700,000","81,100,000","53,900,000","59,800,000","45,400,000","47,700,000","54,600,000","86,400,000","26,500,000","15,600,000","7,700,000","7,700,000","10,500,000","19,700,000","18,400,000","4,900,000","6,000,000","8,200,000","10,800,000","17,400,000","16,600,000","17,500,000","6,900,000","2,900,000","1,900,000","10,400,000","5,200,000","7,700,000","7,500,000","26,600,000","23,800,000","22,000,000","6,100,000"
			CashAndCashEquivalents,"182,332,000","182,268,000","165,175,000","176,572,000","118,081,000","97,413,000","122,636,000","130,391,000","119,051,000","107,893,000","93,699,000","99,392,000","106,815,000","99,995,000","74,416,000","97,451,000","106,552,000","87,163,000","110,531,000","104,619,000","84,606,000","112,356,000","101,498,000","119,642,000","115,611,000","123,007,000","137,976,000","112,166,000","114,310,000","120,770,000","99,276,000","105,494,000","118,536,000","138,250,000","132,468,000","136,507,000","141,423,000","204,920,000","191,035,000","182,450,000","174,384,000","166,634,000","164,609,000","156,120,000","156,069,000","115,064,000","102,304,000","69,446,000","53,668,000","51,569,000","66,269,000","70,064,000","37,332,000","36,393,000","43,135,000","34,109,000","40,437,000","47,639,000","42,746,000","37,961,000","39,336,000","46,348,000","60,308,000","40,403,000","44,816,000","52,241,000","43,508,000","41,603,000","35,276,000","153,334,000","315,738,000","34,054,000","169,475,000","154,641,000","131,681,000","80,863,000","250,203,000","240,701,000","264,059,000","215,578,000","235,900,000","236,991,000","124,096,000","87,645,000","29,600,000","85,800,000","79,300,000","54,700,000","90,200,000","77,500,000","60,300,000","65,400,000","83,700,000","81,100,000","53,900,000","59,800,000","45,400,000","47,700,000","54,600,000","86,400,000","26,500,000","15,600,000","7,700,000","7,700,000","10,500,000","19,700,000","18,400,000","4,900,000","6,000,000","8,200,000","10,800,000","17,400,000","16,600,000","17,500,000","6,900,000","2,900,000","1,900,000","10,400,000","5,200,000","7,700,000","7,500,000","26,600,000","23,800,000","22,000,000","6,100,000"
			OtherShortTermInvestments,,,,,"0","0","0","0","9,624,000","9,600,000","12,086,000","12,078,000","4,982,000","7,982,000","10,470,000","11,997,000","10,308,000","11,751,000","8,814,000","11,855,000","17,968,000","6,090,000","36,637,000","40,127,000","139,233,000","134,131,000","109,061,000","107,349,000","101,505,000","90,002,000","74,948,000","73,550,000","64,865,000","47,971,000","52,012,000","59,652,000","68,711,000","62,316,000","56,502,000","53,219,000","63,836,000","62,448,000","47,383,000","27,405,000","8,471,000","0","1,979,000","1,992,000","12,241,000","17,023,000","30,017,000","17,674,000","47,731,000","91,971,000","122,085,000","135,547,000","192,771,000","220,482,000","219,981,000","212,744,000","224,856,000","217,425,000","214,097,000","212,809,000","251,479,000","267,157,000","267,326,000","256,945,000","242,474,000","125,420,000","154,440,000","218,793,000","107,405,000","135,574,000","176,508,000","199,058,000","281,363,000","299,419,000","275,196,000","333,789,000","299,508,000","277,182,000","129,485,000","150,159,000","105,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"64,581,000","72,989,000","87,408,000","68,643,000","64,917,000","47,433,000","37,893,000","55,606,000","60,890,000","75,648,000","76,566,000","65,779,000","55,104,000","79,030,000","86,791,000","66,074,000","99,637,000","93,946,000","84,694,000","84,399,000","88,471,000","85,341,000","76,873,000","80,777,000","62,372,000","49,762,000","66,289,000","66,674,000","50,085,000","52,991,000","63,605,000","55,984,000","46,947,000","56,020,000","60,380,000","52,813,000","36,993,000","53,482,000","56,373,000","49,904,000","41,188,000","49,217,000","47,293,000","48,303,000","33,551,000","58,243,000","56,641,000","85,264,000","86,404,000","29,879,000","29,334,000","28,916,000","29,293,000","31,097,000","29,661,000","28,659,000","22,545,000","22,860,000","33,050,000","25,393,000","23,577,000","26,408,000","26,001,000","24,940,000","19,587,000","27,001,000","28,937,000","26,013,000","26,796,000","26,941,000","28,372,000","30,651,000","26,374,000","27,699,000","28,679,000","36,829,000","19,452,000","19,251,000","19,522,000","30,278,000","49,688,000","72,764,000","86,258,000","58,759,000","26,100,000","32,300,000","23,800,000","18,500,000","18,900,000","19,900,000","28,200,000","27,500,000","25,800,000","25,900,000","25,900,000","22,900,000","20,300,000","16,300,000","22,900,000","23,600,000","20,600,000","13,800,000","18,100,000","95,800,000","96,900,000","13,300,000","11,700,000","10,700,000","12,600,000","11,900,000","82,800,000","10,300,000","10,000,000","8,900,000","8,700,000","6,200,000","6,200,000","6,700,000","7,300,000","7,700,000","9,600,000","9,200,000","6,800,000","5,800,000","4,000,000"
			AccountsReceivable,"64,581,000","72,989,000","87,408,000","68,643,000","64,917,000","47,433,000","37,893,000","55,606,000","60,890,000","75,648,000","76,566,000","65,779,000","55,104,000","79,030,000","86,791,000","66,074,000","99,637,000","93,946,000","84,694,000","84,399,000","88,471,000","85,341,000","76,873,000","80,777,000","62,372,000","49,762,000","66,289,000","66,674,000","50,085,000","52,991,000","63,605,000","55,984,000","46,947,000","56,020,000","60,380,000","52,813,000","36,993,000","53,482,000","56,373,000","49,904,000","41,188,000","49,217,000","47,293,000","48,303,000","33,551,000","28,243,000","26,641,000","25,264,000","26,404,000","29,879,000","29,334,000","28,916,000","29,293,000","31,097,000","29,661,000","28,659,000","22,545,000","22,860,000","33,050,000","25,393,000","23,577,000","26,408,000","26,001,000","24,940,000","19,587,000","27,001,000","28,937,000","26,013,000","26,796,000","26,941,000","28,372,000","30,651,000","26,374,000","27,699,000","28,679,000","36,829,000","19,452,000","19,251,000","19,522,000","30,278,000","49,688,000","72,764,000","86,258,000","58,759,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,"73,043,000","87,514,000","68,749,000","65,023,000","47,544,000","38,077,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-54,000","-106,000","-106,000","-106,000","-111,000","-184,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000,000","30,000,000","60,000,000","60,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
