name,ttm,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
OperatingCashFlow,"91,687,000","22,729,000","32,094,000","15,761,000","21,103,000","39,320,000","18,321,000","44,738,000","21,758,000","30,898,000","10,978,000","7,124,000","2,458,000","2,768,000","24,232,000","3,849,000","7,665,000","22,416,000","-13,339,000","9,533,000","23,124,000","-2,259,000","-5,219,000","-15,392,000","-15,000","808,000","15,259,000","21,155,000","2,900,000","12,371,000","43,226,000","-3,155,000","4,062,000","4,830,000","12,537,000","-2,929,000","-9,943,000","18,057,000","26,452,000","16,645,000","1,022,000","15,023,000","15,351,000","28,043,000","20,894,000","45,198,000","12,728,000","33,551,000","7,465,000","1,792,000","5,035,000","12,500,000","6,900,000","5,244,000","3,791,000","3,695,000","-41,226,000","-31,577,000","15,308,000","5,248,000","-3,474,000","3,425,000","1,618,000","3,045,000","-28,070,000","-20,029,000","7,173,000","5,784,000","13,031,000","-1,231,000","307,000","27,756,000","7,946,000","-374,000","10,837,000","31,164,000","4,371,000","-6,621,000","256,000","-6,161,000","19,493,000","1,294,000","70,292,000","17,528,000","5,181,000","8,200,000","27,000,000","16,200,000","14,600,000","22,000,000","10,900,000","6,000,000","5,800,000","5,700,000","22,200,000","-18,200,000","4,200,000","6,500,000","14,800,000","3,900,000","15,300,000","12,800,000","7,700,000","-28,900,000","6,300,000","6,900,000","11,400,000","5,400,000","2,700,000","3,800,000","4,000,000","3,100,000","9,700,000","6,900,000","4,500,000","2,600,000","5,100,000","3,500,000","2,300,000","1,700,000","2,800,000","6,100,000","4,600,000","3,600,000"
	CashFlowFromContinuingOperatingActivities,"91,687,000","22,729,000","32,094,000","15,761,000","21,103,000","39,320,000","18,321,000","44,738,000","21,758,000","30,898,000","10,978,000","7,124,000","2,458,000","2,768,000","24,232,000","3,849,000","7,665,000","22,416,000","-13,339,000","9,533,000","23,124,000","-2,259,000","-5,219,000","-15,392,000","-15,000","808,000","15,259,000","21,155,000","2,900,000","12,371,000","43,226,000","-3,155,000","4,062,000","4,830,000","12,537,000","-2,929,000","-9,943,000","18,057,000","26,452,000","16,645,000","1,022,000","15,023,000","15,351,000","28,043,000","20,894,000","45,198,000","12,728,000","33,551,000","7,465,000","1,792,000","5,035,000","12,500,000","6,900,000","5,244,000","3,791,000","3,695,000","-41,226,000","-31,577,000","15,308,000","5,248,000","-3,474,000","3,425,000","1,618,000","3,045,000","-28,070,000","-20,029,000","7,173,000","5,784,000","13,031,000","-1,231,000","307,000","27,756,000","7,946,000","-374,000","10,837,000","31,164,000","4,371,000","-6,621,000","256,000","-6,161,000","19,493,000","1,294,000","70,292,000","17,528,000","5,181,000","8,200,000","27,000,000","16,200,000","14,600,000","22,000,000","10,900,000","6,000,000","5,800,000","5,700,000","22,200,000","-18,200,000","4,200,000","6,500,000","14,800,000","3,900,000","15,300,000","12,800,000","7,700,000","-28,900,000","6,300,000","6,900,000","11,400,000","5,400,000","2,700,000","3,800,000","4,000,000","3,100,000","9,700,000","6,900,000","4,500,000","2,600,000","5,100,000","3,500,000","2,300,000","1,700,000","2,800,000","6,100,000","4,600,000","3,600,000"
		NetIncomeFromContinuingOperations,"47,392,000","15,989,000","12,607,000","10,629,000","8,167,000","13,987,000","13,539,000","8,559,000","7,408,000","-7,121,000","6,974,000","-20,223,000","-5,952,000","-7,213,000","-43,052,000","-13,022,000","-7,275,000","-8,164,000","-12,414,000","-13,810,000","-19,711,000","-45,503,000","-24,964,000","-35,656,000","-53,362,000","15,419,000","9,406,000","11,771,000","11,984,000","6,547,000","8,844,000","5,040,000","1,890,000",,,,,,,"13,031,000","10,919,000","13,879,000","15,368,000","16,736,000","11,089,000","5,626,000","-4,114,000","-2,719,000","-5,750,000","-14,403,000","-6,978,000","-13,571,000","-3,254,000","-229,525,000","-4,447,000","-1,461,000","-4,383,000","937,000","897,000","2,066,000","-807,000","-22,990,000","-7,085,000","-8,159,000","-10,885,000","-13,138,000","-6,324,000","-15,976,000","-16,541,000","-34,159,000","-21,887,000","-16,925,000","-18,835,000","-127,100,000","-14,371,000","-8,147,000","-25,617,000","-12,517,000","-104,601,000","-3,677,000","11,276,000","23,623,000","22,701,000","16,742,000","104,821,000","-4,900,000","-51,200,000","11,800,000","10,500,000","9,900,000","9,800,000","13,900,000","13,600,000","14,900,000","14,200,000","12,800,000","11,300,000","10,500,000","10,400,000","12,100,000","11,100,000","9,800,000","8,800,000","7,700,000","6,900,000","6,400,000","6,000,000","5,600,000","5,100,000","6,100,000","5,700,000","5,300,000","4,600,000","4,100,000","3,400,000","3,100,000","2,700,000","2,700,000","2,400,000","2,100,000","2,000,000","3,300,000","2,900,000","2,700,000"
		OperatingGainsLosses,,,,,,,,,"-129,000","9,000","-128,000","-170,000","40,000","-560,000","-2,774,000","-125,000","431,000","531,000","360,000","-2,048,000","462,000","489,000","43,000","5,000","288,000","0","0",,,,,,,"0","0",,,,"69,000","136,000","-590,000","416,000","-361,000",,,,"6,000",,,,,,,"0","0",,,"-247,000","0","-820,000","-493,000","2,281,000","-1,409,000","-5,803,000","-2,006,000","0","-3,265,000","-3,026,000","-2,536,000","0","4,028,000","5,000","-2,923,000","-3,544,000","1,041,000","-4,774,000","24,656,000","322,000","154,959,000","3,517,000","6,539,000","-21,789,000","21,789,000","0","-149,960,000","30,800,000","58,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000","200,000",,,
			GainLossOnSaleOfPPE,,,,,,,,,"8,000","-43,000","-42,000","-35,000","-58,000","122,000","-4,760,000",,,"334,000","-51,000",,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,"-137,000","52,000","-86,000","-135,000","98,000","10,000","-9,000","82,000","92,000","-177,000","4,000","-84,000","152,000","-3,000","43,000","5,000","288,000","0","0",,,,,,,"0","0",,,,"69,000","136,000","-590,000",,"-361,000",,,,"6,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,"199,000","154,000","339,000","374,000","407,000","368,000","310,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"25,140,000","5,877,000","5,807,000","5,663,000","7,793,000","4,002,000","9,697,000","9,467,000","9,890,000","8,521,000","8,315,000","10,069,000","12,356,000","12,270,000","15,094,000","15,201,000","15,296,000","13,898,000","15,556,000","15,021,000","17,331,000","17,892,000","17,553,000","17,459,000","7,904,000","5,364,000","5,251,000","5,773,000","5,860,000","5,634,000","5,211,000","4,896,000","5,066,000","5,987,000","5,891,000","5,244,000","5,027,000","4,068,000","4,089,000","4,426,000","4,083,000","3,850,000","3,674,000","3,460,000","3,508,000","3,282,000","3,341,000","3,487,000","4,100,000","5,794,000","5,447,000","5,244,000","5,448,000","5,903,000","6,861,000","7,094,000","7,099,000","7,355,000","6,811,000","6,759,000","6,822,000","7,789,000","8,063,000","8,478,000","9,164,000","10,642,000","11,023,000","22,612,000","24,499,000","25,029,000","24,298,000","24,030,000","26,545,000","24,170,000","23,304,000","23,078,000","23,823,000","26,621,000","26,857,000","26,910,000","26,151,000","26,134,000","25,078,000","25,842,000","25,159,000","25,100,000","7,300,000","2,900,000","2,300,000","2,500,000","2,400,000","2,400,000","2,500,000","2,300,000","2,400,000","2,300,000","2,200,000","2,200,000","1,900,000","1,800,000","1,800,000","1,700,000","1,800,000","1,500,000","1,600,000","1,400,000","1,500,000","1,500,000","1,500,000","1,500,000","1,300,000","1,300,000","1,200,000","1,200,000","1,000,000","800,000","700,000","600,000","700,000","600,000","900,000","700,000","600,000","400,000"
			DepreciationAndAmortization,"25,140,000","5,877,000","5,807,000","5,663,000","7,793,000","4,002,000","9,697,000","9,467,000","9,890,000","8,521,000","8,315,000","10,069,000","12,356,000","12,270,000","15,094,000","15,201,000","15,296,000","13,898,000","15,556,000","15,021,000","17,331,000","17,892,000","17,553,000","17,459,000","7,904,000","5,364,000","5,251,000","5,773,000","5,860,000","5,634,000","5,211,000","4,896,000","5,066,000","5,987,000","5,891,000","5,244,000","5,027,000","4,068,000","4,089,000","4,426,000","4,083,000","3,850,000","3,674,000","3,460,000","3,508,000","3,282,000","3,341,000","3,487,000","4,100,000","5,794,000","5,447,000","5,244,000","5,448,000","5,903,000","6,861,000","7,094,000","7,099,000","7,355,000","6,811,000","6,759,000","6,822,000","7,789,000","8,063,000","8,478,000","9,164,000","10,642,000","11,023,000","22,612,000","24,499,000","25,029,000","24,298,000","24,030,000","26,545,000","24,170,000","23,304,000","23,078,000","23,823,000","26,621,000","26,857,000","26,910,000","26,151,000","26,134,000","25,078,000","25,842,000","25,159,000","25,100,000","7,300,000","2,900,000","2,300,000","2,500,000","2,400,000","2,400,000","2,500,000","2,300,000","2,400,000","2,300,000","2,200,000","2,200,000","1,900,000","1,800,000","1,800,000","1,700,000","1,800,000","1,500,000","1,600,000","1,400,000","1,500,000","1,500,000","1,500,000","1,500,000","1,300,000","1,300,000","1,200,000","1,200,000","1,000,000","800,000","700,000","600,000","700,000","600,000","900,000","700,000","600,000","400,000"
				Depreciation,,,,,,,"9,697,000","9,467,000","9,890,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
