name,ttm,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988
TotalRevenue,"408,120,000","107,173,000","103,042,000","100,589,000","97,316,000","100,237,000","103,469,000","102,296,000","98,091,000","95,977,000","101,484,000","102,715,000","98,623,000","95,266,000","91,971,000","94,137,000","104,587,000","118,108,000","113,225,000","99,209,000","96,512,000","101,194,000","109,715,000","106,460,000","88,597,000","83,600,000","86,570,000","99,320,000","96,637,000","89,519,000","87,154,000","84,694,000","71,158,000","65,875,000","70,889,000","70,792,000","71,700,000","70,170,000","81,720,000","83,861,000","82,615,000","73,080,000","77,137,000","77,119,000","70,432,000","55,087,000","49,097,000","46,900,000","43,336,000","49,969,000","57,610,000","58,079,000","56,604,000","53,055,000","58,304,000","59,243,000","58,107,000","61,832,000","63,456,000","62,719,000","57,452,000","53,991,000","53,390,000","52,396,000","51,283,000","48,541,000","57,281,000","60,939,000","59,071,000","42,135,000","51,038,000","58,178,000","58,311,000","57,710,000","56,072,000","56,466,000","58,878,000","52,108,000","58,038,000","74,082,000","111,098,000","150,788,000","151,038,000","139,878,000","126,055,000","95,000,000","59,700,000","53,800,000","50,200,000","48,100,000","48,000,000","60,200,000","60,000,000","64,100,000","61,600,000","56,300,000","51,000,000","48,600,000","48,200,000","53,000,000","51,500,000","48,600,000","45,000,000","40,300,000","36,300,000","34,600,000","32,900,000","30,100,000","28,600,000","34,100,000","33,300,000","31,300,000","27,300,000","24,100,000","20,600,000","18,400,000","17,500,000","18,100,000","17,000,000","15,400,000","14,400,000","18,000,000","16,600,000","13,100,000","10,300,000","7,700,000","7,800,000","5,700,000","5,800,000","5,000,000","5,000,000"
	OperatingRevenue,"408,120,000","107,173,000","103,042,000","100,589,000","97,316,000","100,237,000","103,469,000","102,296,000","98,091,000","95,977,000","101,484,000","102,715,000","98,623,000","95,266,000","91,971,000","94,137,000","104,587,000","118,108,000","113,225,000","99,209,000","96,512,000","101,194,000","109,715,000","106,460,000","88,597,000","83,600,000","86,570,000","99,320,000","96,637,000","89,519,000","87,154,000","84,694,000","71,158,000","65,875,000","70,889,000","70,792,000","71,700,000","70,170,000","81,720,000","83,861,000","82,615,000","73,080,000","77,137,000","77,119,000","70,432,000","55,087,000","49,097,000","46,900,000","43,336,000","49,969,000","57,610,000","58,079,000","56,604,000","53,055,000","58,304,000","59,243,000","58,107,000","61,832,000","63,456,000","62,719,000","57,452,000","53,991,000","53,390,000","52,396,000","51,283,000","48,541,000","57,281,000","60,939,000","59,071,000","42,135,000","51,038,000","58,178,000","58,311,000","57,710,000","56,072,000","56,466,000","58,878,000","52,108,000","58,038,000","74,082,000","111,098,000","150,788,000","151,038,000","139,878,000","126,055,000","95,000,000","59,700,000","53,800,000","50,200,000","48,100,000","48,000,000","60,200,000","60,000,000","64,100,000","61,600,000","56,300,000","51,000,000","48,600,000","48,200,000","53,000,000","51,500,000","48,600,000","45,000,000","40,300,000","36,300,000","34,600,000","32,900,000","30,100,000","28,600,000","34,100,000","33,300,000","31,300,000","27,300,000","24,100,000","20,600,000","18,400,000","17,500,000","18,100,000","17,000,000","15,400,000","14,400,000","18,000,000","16,600,000","13,100,000","10,300,000","7,700,000","7,800,000","5,700,000","5,800,000","5,000,000","5,000,000"
CostOfRevenue,"162,814,000","42,312,000","40,736,000","40,012,000","39,754,000","40,944,000","42,030,000","42,258,000","40,439,000","41,671,000","43,120,000","52,467,000","42,102,000","44,050,000","38,649,000","42,928,000","43,755,000","54,628,000","45,801,000","40,783,000","39,408,000","47,092,000","49,866,000","48,334,000","40,765,000","37,337,000","35,759,000","44,345,000","42,499,000","40,916,000","40,778,000","39,584,000","33,003,000","30,202,000","32,341,000","33,741,000","32,215,000","29,707,000","33,866,000","33,190,000","33,006,000","27,239,000","31,551,000","29,889,000","29,264,000","24,627,000","22,478,000","22,314,000","20,658,000","25,627,000","26,493,000","25,551,000","25,160,000","23,641,000","26,705,000","26,593,000","26,218,000","26,439,000","27,841,000","27,150,000","25,297,000","27,494,000","23,398,000","22,862,000","22,171,000","21,058,000","24,848,000","26,232,000","24,719,000","22,107,000","20,662,000","23,289,000","23,208,000","23,019,000","22,429,000","22,492,000","23,606,000","19,822,000","21,995,000","27,771,000","41,910,000","57,170,000","57,437,000","53,638,000","49,585,000","35,800,000","19,800,000","17,900,000","17,200,000","16,500,000","16,700,000","21,700,000","21,400,000","23,600,000","22,600,000","20,600,000","18,800,000","17,800,000","17,900,000","20,100,000","19,500,000","18,500,000","17,000,000","15,200,000","13,300,000","12,500,000","11,900,000","11,000,000","10,700,000","13,100,000","12,900,000","12,100,000","10,500,000","9,000,000","7,500,000","6,800,000","6,800,000","7,400,000","7,200,000","6,800,000","6,100,000","7,400,000","6,800,000","5,500,000","4,200,000",,,,,,
GrossProfit,"245,306,000","64,861,000","62,306,000","60,577,000","57,562,000","59,293,000","61,439,000","60,038,000","57,652,000","54,306,000","58,364,000","50,248,000","56,521,000","51,216,000","53,322,000","51,209,000","60,832,000","63,480,000","67,424,000","58,426,000","57,104,000","54,102,000","59,849,000","58,126,000","47,832,000","46,263,000","50,811,000","54,975,000","54,138,000","48,603,000","46,376,000","45,110,000","38,155,000","35,673,000","38,548,000","37,051,000","39,485,000","40,463,000","47,854,000","50,671,000","49,609,000","45,841,000","45,586,000","47,230,000","41,168,000","30,460,000","26,619,000","24,586,000","22,678,000","24,342,000","31,117,000","32,528,000","31,444,000","29,414,000","31,599,000","32,650,000","31,889,000","35,393,000","35,615,000","35,569,000","32,155,000","26,497,000","29,992,000","29,534,000","29,112,000","27,483,000","32,433,000","34,707,000","34,352,000","20,028,000","30,376,000","34,889,000","35,103,000","34,691,000","33,643,000","33,974,000","35,272,000","32,286,000","36,043,000","46,311,000","69,188,000","93,618,000","93,601,000","86,240,000","76,470,000","59,200,000","39,900,000","35,900,000","33,000,000","31,600,000","31,300,000","38,500,000","38,600,000","40,500,000","39,000,000","35,700,000","32,200,000","30,800,000","30,300,000","32,900,000","32,000,000","30,100,000","28,000,000","25,100,000","23,000,000","22,100,000","21,000,000","19,100,000","17,900,000","21,000,000","20,400,000","19,200,000","16,800,000","15,100,000","13,100,000","11,600,000","10,700,000","10,700,000","9,800,000","8,600,000","8,300,000","10,600,000","9,800,000","7,600,000","6,100,000",,,,,,
OperatingExpense,"189,003,000","47,770,000","46,800,000","47,549,000","46,884,000","43,857,000","44,499,000","42,526,000","43,835,000","44,172,000","44,729,000","46,672,000","55,620,000","52,648,000","55,464,000","57,495,000","59,808,000","57,276,000","65,251,000","62,231,000","64,937,000","65,064,000","70,379,000","76,682,000","51,672,000","38,575,000","40,435,000","41,871,000","40,725,000","39,520,000","36,639,000","37,339,000","34,612,000","35,924,000","38,166,000","38,768,000","37,069,000","33,206,000","33,808,000","36,369,000","37,310,000","32,410,000","30,632,000","31,543,000","30,100,000","25,932,000","27,528,000","27,384,000","28,062,000","37,568,000","33,450,000","34,500,000","34,148,000","259,729,000","37,678,000","38,202,000","39,241,000","38,464,000","38,610,000","37,595,000","36,550,000","40,584,000","40,245,000","45,029,000","43,306,000","41,662,000","42,628,000","53,719,000","54,000,000","54,608,000","51,952,000","53,003,000","55,429,000","23,045,000","56,958,000","51,221,000","76,066,000","49,706,000","50,370,000","52,652,000","56,327,000","61,073,000","60,770,000","60,050,000","58,119,000","63,400,000","28,000,000","21,300,000","20,100,000","19,400,000","19,300,000","20,200,000","20,700,000","20,600,000","20,000,000","18,500,000","17,600,000","17,300,000","16,600,000","16,900,000","16,600,000","16,100,000","15,600,000","14,600,000","13,600,000","13,200,000","12,700,000","11,700,000","11,300,000","12,700,000","12,600,000","12,300,000","10,600,000","9,700,000","8,800,000","7,900,000","7,300,000","7,400,000","7,000,000","6,500,000","6,300,000","6,500,000","5,900,000","5,100,000","4,200,000",,,,,,
	SellingGeneralAndAdministration,"95,331,000","24,534,000","23,758,000","24,488,000","22,551,000","20,924,000","21,078,000","19,759,000","20,781,000","21,168,000","21,775,000","21,068,000","27,043,000","23,585,000","21,290,000","21,938,000","23,905,000","22,745,000","29,244,000","23,005,000","23,608,000","24,253,000","23,819,000","28,189,000","21,088,000","18,301,000","17,645,000","18,832,000","18,749,000","17,189,000","16,385,000","17,072,000","16,498,000","17,269,000","17,720,000","19,405,000","17,923,000","17,121,000","16,809,000","17,738,000","17,170,000","16,738,000","15,818,000","16,385,000","15,418,000","13,290,000","12,739,000","13,573,000","12,943,000","13,939,000","14,547,000","15,195,000","14,999,000","14,080,000","15,054,000","14,785,000","14,566,000","17,548,000","14,480,000","13,801,000","12,616,000","13,217,000","13,558,000","16,433,000","14,333,000","13,017,000","13,630,000","14,069,000","13,087,000","13,562,000","12,114,000","12,614,000","12,483,000","12,309,000","11,712,000","12,220,000","11,858,000","10,963,000","11,297,000","13,366,000","17,401,000","20,925,000","20,706,000","19,937,000","19,514,000","20,400,000","10,800,000","9,500,000","9,300,000","9,000,000","9,000,000","9,600,000","10,200,000","10,300,000","9,800,000","9,000,000","8,500,000","8,200,000","7,900,000","8,200,000","8,000,000","7,700,000","7,400,000","6,900,000","6,300,000","6,100,000","5,800,000","-10,400,000","9,900,000","11,300,000","11,300,000","11,000,000","9,500,000","8,600,000","7,800,000","7,100,000","6,600,000","6,800,000","6,300,000","5,900,000","5,400,000","5,800,000","5,300,000","4,700,000","3,700,000",,,,,,
	ResearchAndDevelopment,"89,223,000","22,633,000","22,439,000","22,458,000","21,693,000","19,543,000","20,032,000","19,377,000","19,665,000","19,296,000","19,131,000","21,081,000","22,941,000","23,500,000","25,648,000","26,820,000","27,389,000","26,248,000","27,747,000","30,915,000","32,608,000","32,055,000","37,619,000","39,552,000","27,642,000","22,485,000","22,053,000","22,302,000","21,239,000","22,331,000","20,254,000","20,267,000","18,114,000","18,655,000","20,446,000","19,363,000","19,146,000","16,085,000","16,999,000","18,631,000","20,140,000","15,672,000","14,814,000","15,158,000","14,682,000","12,642,000","14,789,000","13,811,000","14,891,000","15,471,000","17,534,000","17,937,000","17,668,000","20,051,000","20,166,000","20,752,000","22,008,000","18,250,000","21,473,000","21,124,000","21,121,000","23,653,000","22,719,000","24,483,000","24,557,000","22,886,000","23,213,000","22,599,000","22,259,000","22,385,000","21,173,000","21,702,000","21,832,000","-8,063,000","27,176,000","21,078,000","45,585,000","17,418,000","17,946,000","18,126,000","18,189,000","19,485,000","19,923,000","19,406,000","18,243,000","17,900,000","9,900,000","8,900,000","8,500,000","7,900,000","7,900,000","8,200,000","8,000,000","8,000,000","7,800,000","7,200,000","6,900,000","6,900,000","6,800,000","6,900,000","6,800,000","6,700,000","6,400,000","6,200,000","5,800,000","5,600,000","5,400,000",,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"4,449,000","603,000","603,000","603,000","2,640,000","3,390,000","3,389,000","3,390,000","3,389,000","3,708,000","3,823,000","4,523,000","5,636,000","5,563,000","8,526,000","8,737,000","8,514,000","8,283,000","8,260,000","8,311,000","8,721,000","8,756,000","8,941,000","8,941,000","2,942,000","737,000","737,000","737,000","737,000",,,,,,,,,,,,,"0","0","0","0","0","0","0","228,000","1,369,000","1,369,000","1,368,000","1,481,000","2,042,000","2,458,000","2,665,000","2,667,000","2,666,000","2,657,000","2,670,000","2,813,000","3,714,000","3,968,000","4,113,000","4,416,000","5,759,000","5,785,000","17,051,000","18,654,000","18,661,000","18,665,000","18,687,000","21,114,000","18,799,000","18,070,000","17,923,000","18,623,000","21,325,000","21,127,000","21,160,000","20,737,000","20,663,000","20,141,000","20,707,000","20,362,000","25,100,000","7,300,000","2,900,000","2,300,000","2,500,000","2,400,000","2,400,000","2,500,000","2,300,000","2,400,000","2,300,000","2,200,000","2,200,000","1,900,000","1,800,000","1,800,000","1,700,000","1,800,000","1,500,000","1,500,000","1,500,000","1,500,000","1,500,000","1,400,000","1,400,000","1,300,000","1,300,000","1,100,000","1,100,000","1,000,000","800,000","700,000","600,000","700,000","600,000","900,000","700,000","600,000","400,000","500,000",,,,,,
		DepreciationAndAmortizationInIncomeStatement,"4,449,000","603,000","603,000","603,000","2,640,000","3,390,000","3,389,000","3,390,000","3,389,000","3,708,000","3,823,000","4,523,000","5,636,000","5,563,000","8,526,000","8,737,000","8,514,000","8,283,000","8,260,000","8,311,000","8,721,000","8,756,000","8,941,000","8,941,000","2,942,000","737,000","737,000","737,000","737,000",,,,,,,,,,,,,"0","0","0","0","0","0","0","228,000","1,369,000","1,369,000","1,368,000","1,481,000","2,042,000","2,458,000","2,665,000","2,667,000","2,666,000","2,657,000","2,670,000","2,813,000","3,714,000","3,968,000","4,113,000","4,416,000","5,759,000","5,785,000","17,051,000","18,654,000","18,661,000","18,665,000","18,687,000","21,114,000","18,799,000","18,070,000","17,923,000","18,623,000","21,325,000","21,127,000","21,160,000","20,737,000","20,663,000","20,141,000","20,707,000","20,362,000","25,100,000","7,300,000","2,900,000","2,300,000","2,500,000","2,400,000","2,400,000","2,500,000","2,300,000","2,400,000","2,300,000","2,200,000","2,200,000","1,900,000","1,800,000","1,800,000","1,700,000","1,800,000","1,500,000","1,500,000","1,500,000","1,500,000","1,500,000","1,400,000","1,400,000","1,300,000","1,300,000","1,100,000","1,100,000","1,000,000","800,000","700,000","600,000","700,000","600,000","900,000","700,000","600,000","400,000","500,000",,,,,,
			Amortization,"4,449,000","603,000","603,000","603,000","2,640,000","3,390,000","3,389,000","3,390,000","3,389,000","3,708,000","3,823,000","4,523,000","5,636,000","5,563,000","8,526,000","8,737,000","8,514,000","8,283,000","8,260,000","8,311,000","8,721,000","8,756,000","8,941,000","8,941,000","2,942,000","737,000","737,000","737,000","737,000",,,,,,,,,,,,,"0","0","0","0","0","0","0","228,000","1,369,000","1,369,000","1,368,000","1,481,000","2,042,000","2,458,000","2,665,000","2,667,000","2,666,000","2,657,000","2,670,000","2,813,000","3,714,000","3,968,000","4,113,000","4,416,000","5,759,000","5,785,000","17,051,000","18,654,000","18,661,000","18,665,000","18,687,000","21,114,000","18,799,000","18,070,000","17,923,000","18,623,000","21,325,000","21,127,000","21,160,000","20,737,000","20,663,000","20,141,000","20,707,000","20,362,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
