name,08/31/2020,08/31/2019,08/31/2018,08/31/2017,08/31/2016,08/31/2015,08/31/2014,08/31/2013,08/31/2012,08/31/2011,08/31/2010,08/31/2009,08/31/2008,08/31/2007,08/31/2006,08/31/2005,08/31/2004,08/31/2003,08/31/2002,08/31/2001,08/31/2000,08/31/1999,08/31/1998,08/31/1997,08/31/1996,08/31/1995,08/31/1994,08/31/1993,08/31/1992,08/31/1991,08/31/1990,08/31/1989,08/31/1988,08/31/1987,08/31/1986,08/31/1985
TotalAssets,"53,678,000,000","48,887,000,000","43,376,000,000","35,336,000,000","27,540,000,000","24,143,000,000","22,498,000,000","19,118,000,000","14,328,000,000","14,752,000,000","14,693,000,000","11,455,000,000","13,430,000,000","14,818,000,000","12,221,000,000","8,006,400,000","7,760,000,000","7,158,200,000","7,555,400,000","8,363,200,000","9,631,500,000","6,965,200,000","4,688,300,000","4,851,300,000","3,751,500,000","2,774,900,000","1,529,700,000","965,700,000","724,500,000","705,900,000","697,300,000","624,900,000","388,400,000","129,300,000","132,300,000","133,000,000"
	CurrentAssets,"17,965,000,000","16,503,000,000","16,039,000,000","12,457,000,000","9,495,000,000","8,596,000,000","10,245,000,000","8,911,000,000","5,758,000,000","5,832,000,000","6,333,000,000","3,344,000,000","3,779,000,000","5,234,000,000","5,101,000,000","2,925,600,000","2,638,700,000","2,037,000,000","2,118,800,000","3,137,700,000","4,904,400,000","2,830,000,000","1,499,200,000","1,972,400,000","964,000,000","1,274,100,000","793,200,000","440,100,000","227,000,000","213,200,000","198,100,000","278,900,000","250,300,000","43,700,000","33,000,000","26,700,000"
		CashCashEquivalentsAndShortTermInvestments,"8,142,000,000","7,955,000,000","6,802,000,000","5,428,000,000","4,398,000,000","3,521,000,000","4,534,000,000","3,101,000,000","2,559,000,000","2,160,000,000","2,913,000,000","1,485,000,000","1,362,000,000","2,616,000,000","3,079,000,000","1,290,400,000","1,231,000,000","921,800,000","985,700,000","1,678,300,000","2,466,400,000","1,613,500,000","649,400,000","987,700,000","286,800,000","555,800,000","78,400,000","47,500,000","35,700,000","22,100,000","28,600,000","11,700,000","164,300,000","9,400,000","5,100,000","1,200,000"
			CashAndCashEquivalents,"7,624,000,000","7,152,000,000","6,506,000,000","5,109,000,000","4,140,000,000","2,287,000,000","4,150,000,000","2,880,000,000","2,459,000,000","2,160,000,000","2,913,000,000","1,485,000,000","1,243,000,000","2,192,000,000","1,431,000,000","524,500,000","486,100,000","570,300,000","398,200,000","469,100,000","701,700,000","294,600,000","558,600,000","619,500,000","276,100,000","128,100,000","78,400,000","47,500,000","35,700,000","22,100,000","28,600,000","11,700,000","164,300,000","9,400,000","5,100,000","1,200,000"
				CashFinancial,"3,996,000,000","2,388,000,000","3,223,000,000","2,237,000,000","2,258,000,000","1,684,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"3,628,000,000","4,764,000,000","3,283,000,000","2,872,000,000","1,882,000,000","603,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"518,000,000","803,000,000","296,000,000","319,000,000","258,000,000","1,234,000,000","384,000,000","221,000,000","100,000,000",,,"0","119,000,000","424,000,000","1,648,000,000","765,900,000","744,900,000","351,500,000","587,500,000","1,209,200,000","1,764,700,000","1,318,900,000","90,800,000","368,200,000","10,700,000","427,700,000",,,,,,,,,,
		Receivables,"3,912,000,000","3,195,000,000","5,478,000,000","3,759,000,000","2,068,000,000","2,507,000,000","2,906,000,000","2,329,000,000","1,289,000,000","1,497,000,000","1,531,000,000","798,000,000","1,032,000,000","994,000,000","956,000,000","794,400,000","773,700,000","642,500,000","537,900,000","791,600,000","1,573,700,000","692,600,000","489,500,000","458,900,000","347,400,000","455,400,000","590,300,000","293,000,000","78,000,000","63,700,000","58,900,000","57,800,000","54,400,000","15,200,000","10,300,000","12,300,000"
			AccountsReceivable,"3,494,000,000","2,778,000,000","5,056,000,000","3,490,000,000","1,765,000,000","2,188,000,000","2,524,000,000","2,069,000,000","933,000,000","1,105,000,000",,,"741,000,000","739,000,000","807,000,000","794,400,000","773,700,000","642,500,000","537,900,000","791,600,000","1,573,700,000","692,600,000","489,500,000","458,900,000","347,400,000","455,400,000","590,300,000",,,,,,,,,
				GrossAccountsReceivable,,,,,,,"2,527,000,000","2,074,000,000","938,000,000","1,108,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,"-3,000,000","-5,000,000","-5,000,000","-3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"232,000,000","242,000,000","161,000,000","100,000,000","119,000,000","116,000,000","104,000,000","74,000,000","80,000,000","137,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,"8,000,000","63,000,000","72,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"186,000,000","175,000,000","261,000,000","169,000,000","184,000,000","203,000,000","278,000,000","178,000,000","213,000,000","183,000,000",,,"291,000,000","255,000,000","149,000,000",,,,,,,,,,,,,,,,,,,,,
