name,ttm,08/31/2020,08/31/2019,08/31/2018,08/31/2017,08/31/2016,08/31/2015,08/31/2014,08/31/2013,08/31/2012,08/31/2011,08/31/2010,08/31/2009,08/31/2008,08/31/2007,08/31/2006,08/31/2005,08/31/2004,08/31/2003,08/31/2002,08/31/2001,08/31/2000,08/31/1999,08/31/1998,08/31/1997,08/31/1996,08/31/1995,08/31/1994,08/31/1993,08/31/1992,08/31/1991,08/31/1990,08/31/1989
OperatingCashFlow,"8,262,000,000","8,306,000,000","13,189,000,000","17,400,000,000","8,153,000,000","3,168,000,000","5,208,000,000","5,699,000,000","1,811,000,000","2,114,000,000","2,484,000,000","3,096,000,000","1,206,000,000","1,018,000,000","937,000,000","2,019,000,000","1,237,800,000","1,158,800,000","284,200,000","578,100,000","789,100,000","2,068,300,000","847,900,000","189,200,000","603,600,000","1,060,500,000","1,038,800,000","557,500,000","257,300,000","108,300,000","86,400,000","91,200,000","125,900,000"
	CashFlowFromContinuingOperatingActivities,"8,262,000,000","8,306,000,000","13,189,000,000","17,400,000,000","8,153,000,000","3,168,000,000","5,208,000,000","5,699,000,000","1,811,000,000","2,114,000,000","2,484,000,000","3,096,000,000","1,206,000,000","1,018,000,000","937,000,000","2,019,000,000","1,237,800,000","1,158,800,000","284,200,000","578,100,000","789,100,000","2,068,300,000","847,900,000","189,200,000","603,600,000","1,060,500,000","1,038,800,000","557,500,000","257,300,000","108,300,000","86,400,000","91,200,000","125,900,000"
		NetIncomeFromContinuingOperations,"3,005,000,000","2,710,000,000","6,358,000,000","14,138,000,000","5,090,000,000","-275,000,000","2,899,000,000","3,079,000,000","1,194,000,000","-1,031,000,000","190,000,000","1,900,000,000","-1,835,000,000","-1,619,000,000","-320,000,000","408,000,000","188,000,000","157,200,000","-1,273,200,000","-907,000,000","-625,000,000","1,504,200,000","-68,900,000","-233,700,000","332,200,000","593,500,000","844,100,000","400,500,000","104,100,000","6,600,000","5,100,000","4,900,000","106,100,000"
		OperatingGainsLosses,"-30,000,000","-40,000,000","396,000,000","385,000,000","20,000,000","-208,000,000","-384,000,000","-566,000,000","336,000,000","294,000,000","200,000,000","-451,000,000","124,000,000","28,000,000","115,000,000","23,000,000","-13,500,000","-40,300,000","440,000,000","416,000,000","1,065,500,000","190,900,000","52,800,000","-157,900,000","-218,700,000","8,900,000","-29,000,000",,"-6,400,000","3,200,000","3,000,000","-2,500,000",
			GainLossOnSaleOfBusiness,,,,,,"0","-1,000,000","-119,000,000",,"0","-54,000,000","-437,000,000","41,000,000",,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,"-17,000,000","-1,000,000","54,000,000",,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,"-183,000,000","64,000,000","27,000,000","222,000,000",,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,"0","0","-79,000,000","-25,000,000","-447,000,000","-474,000,000","83,000,000","294,000,000","158,000,000","39,000,000","140,000,000",,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"5,841,000,000","5,650,000,000","5,424,000,000","4,759,000,000","3,861,000,000","2,980,000,000","2,667,000,000","2,103,000,000","1,804,000,000","2,141,000,000","2,105,000,000","2,005,000,000","2,139,000,000","2,060,000,000","1,718,000,000","1,281,000,000","1,264,500,000","1,217,500,000","1,209,900,000","1,177,400,000","1,114,400,000","994,300,000","843,300,000","606,600,000","461,700,000","363,700,000","199,000,000","181,200,000","138,700,000","105,100,000","90,400,000","78,300,000","38,400,000"
			DepreciationAndAmortization,"5,841,000,000","5,650,000,000","5,424,000,000","4,759,000,000","3,861,000,000","2,980,000,000","2,667,000,000","2,103,000,000","1,804,000,000","2,141,000,000","2,105,000,000","2,005,000,000","2,139,000,000","2,060,000,000","1,718,000,000","1,281,000,000","1,264,500,000","1,217,500,000","1,209,900,000","1,177,400,000","1,114,400,000","994,300,000","843,300,000","606,600,000","461,700,000","363,700,000","199,000,000","181,200,000","138,700,000","105,100,000","90,400,000","78,300,000","38,400,000"
