name,ttm,08/31/2020,08/31/2019,08/31/2018,08/31/2017,08/31/2016,08/31/2015,08/31/2014,08/31/2013,08/31/2012,08/31/2011,08/31/2010,08/31/2009,08/31/2008,08/31/2007,08/31/2006,08/31/2005,08/31/2004,08/31/2003,08/31/2002,08/31/2001,08/31/2000,08/31/1999,08/31/1998,08/31/1997,08/31/1996,08/31/1995,08/31/1994,08/31/1993,08/31/1992,08/31/1991,08/31/1990,08/31/1989,08/31/1988,08/31/1987,08/31/1986,08/31/1985
TotalRevenue,"22,064,000,000","21,435,000,000","23,406,000,000","30,391,000,000","20,322,000,000","12,399,000,000","16,192,000,000","16,358,000,000","9,073,000,000","8,234,000,000","8,788,000,000","8,482,000,000","4,803,000,000","5,841,000,000","5,688,000,000","5,272,000,000","4,880,200,000","4,404,200,000","3,091,300,000","2,589,000,000","3,935,900,000","7,336,300,000","3,764,000,000","3,011,900,000","3,515,500,000","3,653,800,000","2,952,700,000","1,628,600,000","828,300,000","506,300,000","425,400,000","333,300,000","446,400,000","300,500,000","91,200,000","48,900,000","75,900,000"
	OperatingRevenue,"22,064,000,000","21,435,000,000","23,406,000,000","30,391,000,000","20,322,000,000","12,399,000,000","16,192,000,000","16,358,000,000","9,073,000,000","8,234,000,000","8,788,000,000","8,482,000,000","4,803,000,000","5,841,000,000","5,688,000,000","5,272,000,000","4,880,200,000","4,404,200,000","3,091,300,000","2,589,000,000","3,935,900,000","7,336,300,000","3,764,000,000","3,011,900,000","3,515,500,000","3,653,800,000","2,952,700,000","1,628,600,000","828,300,000","506,300,000","425,400,000","333,300,000","446,400,000","300,500,000","91,200,000","48,900,000","75,900,000"
CostOfRevenue,"15,142,000,000","14,883,000,000","12,704,000,000","12,500,000,000","11,886,000,000","9,894,000,000","10,977,000,000","10,921,000,000","7,226,000,000","7,266,000,000","7,030,000,000","5,768,000,000","5,242,000,000","5,896,000,000","4,610,000,000","4,072,000,000","3,734,400,000","3,089,500,000","3,112,000,000","2,699,600,000","3,898,800,000","3,949,000,000","3,002,900,000","2,765,800,000","2,539,200,000","2,198,400,000","1,328,700,000","789,400,000","378,400,000","285,200,000","242,300,000","177,700,000","191,800,000","100,200,000","69,100,000","43,400,000","45,800,000"
GrossProfit,"6,922,000,000","6,552,000,000","10,702,000,000","17,891,000,000","8,436,000,000","2,505,000,000","5,215,000,000","5,437,000,000","1,847,000,000","968,000,000","1,758,000,000","2,714,000,000","-439,000,000","-55,000,000","1,078,000,000","1,200,000,000","1,145,800,000","1,314,700,000","-20,700,000","-110,600,000","37,100,000","3,387,300,000","761,100,000","246,100,000","976,300,000","1,455,400,000","1,624,000,000","839,200,000","449,900,000","221,100,000","183,100,000","155,600,000","254,600,000","200,300,000","22,100,000","5,500,000","30,100,000"
OperatingExpense,"3,514,000,000","3,492,000,000","3,312,000,000","2,965,000,000","2,572,000,000","2,274,000,000","2,231,000,000","2,067,000,000","1,488,000,000","1,538,000,000","1,383,000,000","1,135,000,000","1,108,000,000","1,507,000,000","1,339,000,000","851,000,000","929,700,000","1,087,500,000","1,056,600,000","914,700,000","1,087,200,000","1,094,000,000","808,100,000","739,700,000","573,900,000","481,300,000","356,500,000","219,100,000","283,900,000","207,400,000","171,300,000","151,800,000","104,200,000","81,400,000","40,300,000","34,100,000","34,900,000"
	SellingGeneralAndAdministration,"884,000,000","881,000,000","836,000,000","813,000,000","743,000,000","659,000,000","719,000,000","707,000,000","562,000,000","620,000,000","592,000,000","528,000,000","354,000,000","455,000,000","610,000,000","460,000,000","326,000,000","332,600,000","400,200,000","332,300,000","524,100,000","666,500,000","486,000,000","467,900,000","365,000,000","289,400,000","198,700,000","135,700,000","145,200,000","102,300,000","80,900,000","73,500,000","65,800,000","56,000,000","18,000,000","12,700,000","16,900,000"
	ResearchAndDevelopment,"2,607,000,000","2,600,000,000","2,441,000,000","2,141,000,000","1,824,000,000","1,617,000,000","1,540,000,000","1,371,000,000","931,000,000","918,000,000","791,000,000","624,000,000","647,000,000","680,000,000","805,000,000","656,000,000","603,700,000","754,900,000","656,400,000","561,300,000","489,500,000","427,500,000","322,100,000","271,800,000","208,900,000","191,900,000","128,800,000","83,400,000",,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"138,700,000","105,100,000","90,400,000","78,300,000","38,400,000","25,400,000","22,300,000","21,400,000","18,000,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"138,700,000","105,100,000","90,400,000","78,300,000","38,400,000","25,400,000","22,300,000","21,400,000","18,000,000"
	OtherOperatingExpenses,"23,000,000","11,000,000","35,000,000","11,000,000","5,000,000","-2,000,000","-28,000,000","-11,000,000","-5,000,000","48,000,000","-380,000,000","-17,000,000","107,000,000","372,000,000","-76,000,000","-265,000,000",,,,"21,100,000","73,600,000",,,,,,"29,000,000",,,,,,,,,,
OperatingIncome,"3,408,000,000","3,060,000,000","7,390,000,000","14,926,000,000","5,864,000,000","231,000,000","2,984,000,000","3,370,000,000","359,000,000","-570,000,000","375,000,000","1,579,000,000","-1,547,000,000","-1,562,000,000","-261,000,000","349,000,000","216,100,000","227,200,000","-1,077,300,000","-1,025,300,000","-1,050,100,000","2,293,300,000","-47,000,000","-493,600,000","402,400,000","974,100,000","1,267,500,000","620,100,000","166,000,000","13,700,000","11,800,000","3,800,000","150,400,000","118,900,000","-18,200,000","-28,600,000","-4,800,000"
