name,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,02/28/1990,11/30/1989,08/31/1989,05/31/1989,11/30/1988,08/31/1988,08/31/1987,08/31/1986,08/31/1985
TotalAssets,"53,691,000,000","53,678,000,000","52,005,000,000","49,648,000,000","49,649,000,000","48,887,000,000","46,288,000,000","47,487,000,000","44,595,000,000","43,376,000,000","41,845,000,000","41,263,000,000","37,191,000,000","35,336,000,000","33,267,000,000","32,355,000,000","27,836,000,000","27,540,000,000","27,001,000,000","24,819,000,000","24,388,000,000","24,143,000,000","25,136,000,000","23,818,000,000","22,542,000,000","22,498,000,000","20,495,000,000","20,615,000,000","19,794,000,000","19,118,000,000","14,055,000,000","13,912,000,000","14,067,000,000","14,328,000,000","14,316,000,000","14,139,000,000","14,211,000,000","14,752,000,000","14,570,000,000","14,398,000,000","14,617,000,000","14,693,000,000","14,377,000,000","11,952,000,000","11,726,000,000","11,455,000,000","11,664,000,000","11,526,000,000","12,676,000,000","13,430,000,000","13,616,000,000","13,785,000,000","14,498,000,000","14,818,000,000","14,417,000,000","13,376,000,000","13,076,000,000","12,221,000,000","10,300,700,000","9,377,000,000","8,009,500,000","8,006,400,000","8,086,200,000","8,078,900,000","7,892,600,000","7,760,000,000","7,637,700,000","7,525,900,000","7,552,100,000","7,158,200,000","7,142,600,000","7,336,400,000","7,385,200,000","7,555,400,000","8,120,400,000","8,196,400,000","8,022,100,000","8,363,200,000","8,848,400,000","9,116,700,000","9,801,500,000","9,631,500,000","8,210,800,000","7,734,800,000","7,581,400,000","6,965,200,000","6,785,600,000","6,771,200,000","6,787,600,000","4,688,300,000","4,733,300,000","4,839,100,000","4,902,700,000","4,851,300,000","4,154,500,000","4,064,200,000","3,720,700,000","3,751,500,000","3,799,000,000","3,641,900,000","3,478,900,000","2,774,900,000","2,404,000,000","1,956,800,000","1,806,600,000","1,529,700,000","1,364,132,000","1,141,426,000","1,081,000,000","965,700,000","833,200,000","778,900,000","729,800,000","724,500,000","696,800,000","712,900,000","710,300,000","705,900,000","694,700,000","676,300,000","665,100,000","697,300,000","694,800,000","688,700,000","687,000,000","624,900,000","582,600,000","495,000,000","388,400,000","129,300,000","132,300,000","133,000,000"
	CurrentAssets,"16,529,000,000","17,965,000,000","17,899,000,000","15,976,000,000","16,167,000,000","16,503,000,000","15,066,000,000","16,550,000,000","15,039,000,000","16,039,000,000","15,499,000,000","15,836,000,000","13,358,000,000","12,457,000,000","11,023,000,000","9,945,000,000","9,504,000,000","9,495,000,000","10,110,000,000","8,805,000,000","8,510,000,000","8,596,000,000","10,008,000,000","9,918,000,000","9,672,000,000","10,245,000,000","9,705,000,000","9,991,000,000","9,369,000,000","8,911,000,000","5,886,000,000","5,364,000,000","5,315,000,000","5,758,000,000","5,630,000,000","5,659,000,000","5,491,000,000","5,832,000,000","6,045,000,000","5,654,000,000","5,783,000,000","6,333,000,000","5,724,000,000","4,089,000,000","3,769,000,000","3,344,000,000","3,128,000,000","2,523,000,000","3,037,000,000","3,779,000,000","4,129,000,000","4,304,000,000","4,652,000,000","5,234,000,000","5,287,000,000","4,528,000,000","4,853,000,000","5,101,000,000","4,520,900,000","4,286,000,000","2,941,900,000","2,925,600,000","2,920,400,000","2,888,600,000","2,689,600,000","2,638,700,000","2,484,900,000","2,427,800,000","2,369,100,000","2,037,000,000","1,962,100,000","2,108,100,000","1,731,300,000","2,118,800,000","2,563,300,000","3,005,300,000","2,523,900,000","3,137,700,000","3,416,000,000","3,929,600,000","4,710,100,000","4,904,400,000","3,757,400,000","3,360,400,000","3,427,500,000","2,830,000,000","2,754,800,000","2,824,800,000","2,849,700,000","1,499,200,000","1,571,900,000","1,829,000,000","1,911,500,000","1,972,400,000","1,338,200,000","1,288,900,000","910,100,000","964,000,000","1,096,600,000","1,213,300,000","1,529,700,000","1,274,100,000","1,206,200,000","1,010,000,000","989,400,000","793,200,000","695,315,000","529,523,000","513,700,000","440,100,000","335,300,000","299,100,000","242,200,000","227,000,000","203,800,000","212,500,000","211,400,000","213,200,000","200,700,000","178,300,000","166,500,000","198,100,000","212,100,000","211,500,000","256,200,000","278,900,000","279,200,000","309,400,000","250,300,000","43,700,000","33,000,000","26,700,000"
		CashCashEquivalentsAndShortTermInvestments,"7,032,000,000","8,142,000,000","8,658,000,000","7,481,000,000","7,588,000,000","7,955,000,000","6,689,000,000","7,533,000,000","5,563,000,000","6,802,000,000","7,071,000,000","8,042,000,000","6,174,000,000","5,428,000,000","4,330,000,000","3,898,000,000","4,169,000,000","4,398,000,000","4,981,000,000","4,035,000,000","3,641,000,000","3,521,000,000","4,860,000,000","4,479,000,000","4,230,000,000","4,534,000,000","4,264,000,000","4,504,000,000","3,870,000,000","3,101,000,000","2,552,000,000","2,228,000,000","2,271,000,000","2,559,000,000","2,325,000,000","2,094,000,000","1,915,000,000","2,160,000,000","2,395,000,000","2,184,000,000","2,411,000,000","2,913,000,000","2,313,000,000","1,870,000,000","1,565,000,000","1,485,000,000","1,306,000,000","932,000,000","1,028,000,000","1,362,000,000","1,584,000,000","1,853,000,000","2,031,000,000","2,616,000,000","2,920,000,000","2,193,000,000","2,638,000,000","3,079,000,000","2,830,000,000","2,585,000,000","1,377,400,000","1,290,400,000","1,295,600,000","1,133,600,000","1,052,200,000","1,231,000,000","1,131,900,000","1,211,700,000","1,172,000,000","921,800,000","1,003,800,000","1,205,900,000","658,000,000","985,700,000","1,251,800,000","1,480,900,000","357,900,000","1,678,300,000","1,728,600,000","2,049,100,000","2,463,500,000","2,466,400,000","1,847,700,000","1,678,400,000","1,886,400,000","1,613,500,000","1,660,500,000","1,782,600,000","1,924,800,000","649,400,000","708,400,000","934,900,000","928,200,000","987,700,000","521,000,000","588,900,000","227,800,000","286,800,000","400,000,000","397,700,000","607,000,000","555,800,000","623,700,000","576,700,000","559,800,000","78,400,000","366,303,000","223,182,000","51,800,000","47,500,000","15,300,000","18,700,000","19,800,000","35,700,000","14,300,000","21,100,000","11,400,000","22,100,000","17,500,000","25,300,000","15,500,000","28,600,000","5,100,000","6,000,000","49,400,000","11,700,000","19,800,000","74,000,000","164,300,000","9,400,000","5,100,000","1,200,000"
			CashAndCashEquivalents,"5,985,000,000","7,624,000,000","8,267,000,000","7,118,000,000","6,969,000,000","7,152,000,000","5,157,000,000","6,353,000,000","4,447,000,000","6,506,000,000","6,808,000,000","7,828,000,000","6,008,000,000","5,109,000,000","4,048,000,000","3,633,000,000","4,139,000,000","4,140,000,000","4,627,000,000","3,078,000,000","2,605,000,000","2,287,000,000","3,694,000,000","3,547,000,000","3,764,000,000","4,150,000,000","4,062,000,000","4,305,000,000","3,654,000,000","2,880,000,000","2,440,000,000","2,061,000,000","2,102,000,000","2,459,000,000","2,191,000,000","2,094,000,000","1,915,000,000","2,160,000,000","2,395,000,000","2,184,000,000","2,411,000,000","2,913,000,000","2,313,000,000","1,870,000,000","1,565,000,000","1,485,000,000","1,306,000,000","932,000,000","1,025,000,000","1,243,000,000","1,474,000,000","1,708,000,000","1,880,000,000","2,192,000,000","2,667,000,000","1,566,000,000","1,303,000,000","1,431,000,000","1,467,700,000","1,536,000,000","661,100,000","524,500,000","470,300,000","359,500,000","320,800,000","486,100,000","329,100,000","509,200,000","488,300,000","570,300,000","679,800,000","915,100,000","401,300,000","398,200,000","333,700,000","677,900,000","357,900,000","469,100,000","622,700,000","599,900,000","568,700,000","701,700,000","383,200,000","429,900,000","441,600,000","294,600,000","350,600,000","428,900,000","767,700,000","558,600,000","507,900,000","561,100,000","342,400,000","619,500,000","433,500,000","582,900,000","222,300,000","276,100,000","393,000,000","387,200,000","172,800,000","128,100,000","118,200,000","81,500,000","138,500,000","78,400,000","51,196,000","40,770,000","51,800,000","47,500,000","15,300,000","18,700,000","19,800,000","35,700,000","14,300,000","21,100,000","11,400,000","22,100,000","17,500,000","25,300,000","15,500,000","28,600,000","5,100,000","6,000,000","49,400,000","11,700,000","19,800,000","74,000,000","164,300,000","9,400,000","5,100,000","1,200,000"
				CashFinancial,"3,082,000,000","3,996,000,000","2,506,000,000","3,146,000,000","2,319,000,000","2,388,000,000","3,171,000,000","2,652,000,000","2,073,000,000","3,223,000,000","3,452,000,000","2,496,000,000","1,850,000,000","2,237,000,000","2,110,000,000","2,744,000,000","3,923,000,000","2,258,000,000","2,067,000,000","2,343,000,000","2,005,000,000","1,684,000,000","1,727,000,000","2,162,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"2,903,000,000","3,628,000,000","5,761,000,000","3,972,000,000","4,650,000,000","4,764,000,000","1,986,000,000","3,701,000,000","2,374,000,000","3,283,000,000","3,356,000,000","5,332,000,000","4,158,000,000","2,872,000,000","1,938,000,000","889,000,000","216,000,000","1,882,000,000","2,560,000,000","735,000,000","600,000,000","603,000,000","1,967,000,000","1,385,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"1,047,000,000","518,000,000","391,000,000","363,000,000","619,000,000","803,000,000","1,532,000,000","1,180,000,000","1,116,000,000","296,000,000","263,000,000","214,000,000","166,000,000","319,000,000","282,000,000","265,000,000","30,000,000","258,000,000","354,000,000","957,000,000","1,036,000,000","1,234,000,000","1,166,000,000","932,000,000","466,000,000","384,000,000","202,000,000","199,000,000","216,000,000","221,000,000","112,000,000","167,000,000","169,000,000","100,000,000","134,000,000",,,,,,,,,,,"0","0",,"3,000,000","119,000,000","110,000,000","145,000,000","151,000,000","424,000,000","253,000,000","627,000,000","1,335,000,000","1,648,000,000","1,362,300,000","1,049,000,000","716,300,000","765,900,000","825,300,000","774,100,000","731,400,000","744,900,000","802,800,000","702,500,000","683,700,000","351,500,000","324,000,000","290,800,000","256,700,000","587,500,000","918,100,000","803,000,000",,"1,209,200,000","1,105,900,000","1,449,200,000","1,894,800,000","1,764,700,000","1,464,500,000","1,248,500,000","1,444,800,000","1,318,900,000","1,309,900,000","1,353,700,000","1,157,100,000","90,800,000","200,500,000","373,800,000","585,800,000","368,200,000","87,500,000","6,000,000","5,500,000","10,700,000","7,000,000","10,500,000","434,200,000","427,700,000","505,500,000","495,200,000","421,300,000",,"315,107,000","182,412,000",,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"3,691,000,000","3,912,000,000","3,603,000,000","3,049,000,000","3,419,000,000","3,195,000,000","3,257,000,000","4,416,000,000","5,418,000,000","5,478,000,000","4,912,000,000","4,437,000,000","3,876,000,000","3,759,000,000","3,497,000,000","2,891,000,000","2,453,000,000","2,068,000,000","2,073,000,000","1,984,000,000","2,223,000,000","2,507,000,000","2,530,000,000","2,761,000,000","2,663,000,000","2,906,000,000","2,715,000,000","2,826,000,000","2,833,000,000","2,329,000,000","1,503,000,000","1,226,000,000","1,139,000,000","1,289,000,000","1,333,000,000","1,241,000,000","1,383,000,000","1,497,000,000","1,495,000,000","1,393,000,000","1,362,000,000","1,531,000,000","1,568,000,000","1,072,000,000","1,091,000,000","798,000,000","750,000,000","654,000,000","1,031,000,000","1,032,000,000","995,000,000","894,000,000","1,067,000,000","994,000,000","839,000,000","943,000,000","996,000,000","956,000,000","805,700,000","927,000,000","805,300,000","794,400,000","735,400,000","938,200,000","860,800,000","773,700,000","769,700,000","710,700,000","723,700,000","642,500,000","495,500,000","482,600,000","443,500,000","537,900,000","585,000,000","462,600,000","296,600,000","791,600,000","678,800,000","579,400,000","992,600,000","1,573,700,000","1,143,900,000","875,800,000","916,400,000","692,600,000","561,500,000","591,900,000","481,600,000","489,500,000","397,800,000","353,700,000","436,600,000","458,900,000","367,300,000","304,000,000","315,300,000","347,400,000","299,100,000","419,100,000","576,700,000","455,400,000","342,500,000","266,100,000","284,000,000","590,300,000","210,317,000","192,881,000","332,600,000","293,000,000","107,900,000","197,200,000","80,900,000","78,000,000","65,400,000","61,900,000","54,400,000","63,700,000","65,300,000","48,500,000","41,600,000","58,900,000","56,900,000","51,800,000","45,300,000","57,800,000","59,200,000","55,700,000","54,400,000","15,200,000","10,300,000","12,300,000"
			AccountsReceivable,"3,182,000,000","3,494,000,000","3,265,000,000","2,695,000,000","3,030,000,000","2,778,000,000","2,848,000,000","3,997,000,000","4,980,000,000","5,056,000,000","4,513,000,000","4,050,000,000","3,603,000,000","3,490,000,000","3,188,000,000","2,528,000,000","2,162,000,000","1,765,000,000","1,752,000,000","1,694,000,000","1,939,000,000","2,188,000,000","2,261,000,000","2,439,000,000","2,301,000,000","2,524,000,000","2,357,000,000","2,548,000,000","2,533,000,000","2,069,000,000","1,250,000,000","998,000,000","863,000,000","933,000,000","973,000,000","913,000,000","1,046,000,000","1,105,000,000","1,065,000,000","1,061,000,000","1,086,000,000",,,,,,,"654,000,000","1,031,000,000","741,000,000","995,000,000","894,000,000","1,067,000,000","739,000,000","606,000,000","719,000,000","778,000,000","807,000,000","805,700,000","927,000,000","805,300,000","794,400,000","735,400,000","938,200,000","860,800,000","773,700,000","769,700,000","710,700,000","723,700,000","642,500,000","495,500,000","482,600,000","443,500,000","537,900,000","585,000,000","462,600,000","296,600,000","791,600,000","678,800,000","579,400,000","992,600,000","1,573,700,000","1,143,900,000","875,800,000","916,400,000","692,600,000","561,500,000","591,900,000","481,600,000","489,500,000","397,800,000","353,700,000","436,600,000","458,900,000","367,300,000","304,000,000","315,300,000","347,400,000","299,100,000","419,100,000","576,700,000","455,400,000","342,500,000","266,100,000","284,000,000","590,300,000","210,317,000","192,881,000",,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,"2,527,000,000","2,361,000,000","2,552,000,000","2,538,000,000","2,074,000,000","1,255,000,000","1,002,000,000","867,000,000","938,000,000","979,000,000","915,000,000","1,049,000,000","1,108,000,000","1,067,000,000","1,063,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
