name,ttm,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,02/28/1990,11/30/1989,08/31/1989,11/30/1988
OperatingCashFlow,"8,262,000,000","1,967,000,000","2,271,000,000","2,023,000,000","2,001,000,000","2,011,000,000","2,233,000,000","2,711,000,000","3,435,000,000","4,810,000,000","5,155,000,000","4,261,000,000","4,348,000,000","3,636,000,000","3,203,000,000","2,407,000,000","1,405,000,000","1,138,000,000","896,000,000","389,000,000","763,000,000","1,120,000,000","1,030,000,000","1,335,000,000","1,251,000,000","1,592,000,000","1,347,000,000","1,455,000,000","1,390,000,000","1,507,000,000","717,000,000","624,000,000","234,000,000","236,000,000","450,000,000","686,000,000","574,000,000","404,000,000","354,000,000","589,000,000","809,000,000","732,000,000","1,077,000,000","889,000,000","804,000,000","326,000,000","357,000,000","151,000,000","339,000,000","359,000,000","243,000,000","217,000,000","282,000,000","276,000,000","144,000,000","77,000,000","287,000,000","429,000,000","330,300,000","383,700,000","879,800,000","425,200,000","304,400,000","333,600,000","308,400,000","291,400,000","415,200,000","257,300,000","231,100,000","255,200,000","111,900,000","47,000,000","25,600,000","99,700,000","85,300,000","176,800,000","-81,300,000","397,300,000","-56,100,000","199,200,000","29,300,000","616,700,000","890,800,000","471,000,000","157,800,000","548,700,000","283,900,000","186,100,000","122,300,000","255,600,000","64,600,000","-1,300,000","-63,300,000","189,200,000","167,200,000","88,000,000","200,500,000","147,900,000","109,300,000","257,700,000","158,100,000","535,400,000","345,100,000","281,400,000","176,300,000","236,000,000","167,327,000","160,826,000","92,447,000","136,900,000","100,900,000","81,700,000","49,400,000","25,300,000","35,000,000","19,300,000","22,900,000","31,100,000","39,500,000","19,800,000","11,100,000","16,000,000","35,400,000","15,600,000","15,500,000","24,700,000","33,300,000","47,000,000"
	CashFlowFromContinuingOperatingActivities,"8,262,000,000","1,967,000,000","2,271,000,000","2,023,000,000","2,001,000,000","2,011,000,000","2,233,000,000","2,711,000,000","3,435,000,000","4,810,000,000","5,155,000,000","4,261,000,000","4,348,000,000","3,636,000,000","3,203,000,000","2,407,000,000","1,405,000,000","1,138,000,000","896,000,000","389,000,000","763,000,000","1,120,000,000","1,030,000,000","1,335,000,000","1,251,000,000","1,592,000,000","1,347,000,000","1,455,000,000","1,390,000,000","1,507,000,000","717,000,000","624,000,000","234,000,000","236,000,000","450,000,000","686,000,000","574,000,000","404,000,000","354,000,000","589,000,000","809,000,000","732,000,000","1,077,000,000","889,000,000","804,000,000","326,000,000","357,000,000","151,000,000","339,000,000","359,000,000","243,000,000","217,000,000","282,000,000","276,000,000","144,000,000","77,000,000","287,000,000","429,000,000","330,300,000","383,700,000","879,800,000","425,200,000","304,400,000","333,600,000","308,400,000","291,400,000","415,200,000","257,300,000","231,100,000","255,200,000","111,900,000","47,000,000","25,600,000","99,700,000","85,300,000","176,800,000","-81,300,000","397,300,000","-56,100,000","283,400,000","-54,900,000","616,700,000","890,800,000","471,000,000","157,800,000","548,700,000","283,900,000","186,100,000","122,300,000","255,600,000","64,600,000","-1,300,000","-63,300,000","189,200,000","167,200,000","88,000,000","200,500,000","147,900,000","109,300,000","257,700,000","158,100,000","535,400,000","345,100,000","281,400,000","176,300,000","236,000,000","167,327,000","160,826,000","92,447,000","136,900,000","100,900,000","81,700,000","49,400,000","25,300,000","35,000,000","19,300,000","22,900,000","31,100,000","39,500,000","19,800,000","11,100,000","16,000,000","35,400,000","15,600,000","15,500,000","24,700,000","33,300,000","47,000,000"
		NetIncomeFromContinuingOperations,"3,005,000,000","803,000,000","990,000,000","805,000,000","407,000,000","508,000,000","586,000,000","851,000,000","1,625,000,000","3,296,000,000","4,326,000,000","3,823,000,000","3,311,000,000","2,678,000,000","2,369,000,000","1,647,000,000","894,000,000","180,000,000","-170,000,000","-215,000,000","-96,000,000","206,000,000","471,000,000","491,000,000","935,000,000","1,002,000,000","1,151,000,000","806,000,000","741,000,000","381,000,000","1,710,000,000","43,000,000","-284,000,000","-275,000,000","-242,000,000","-320,000,000","-282,000,000","-187,000,000","-134,000,000","77,000,000","75,000,000","172,000,000","359,000,000","960,000,000","379,000,000","202,000,000","-88,000,000","-290,000,000","-751,000,000","-706,000,000","-344,000,000","-236,000,000","-777,000,000","-262,000,000","-158,000,000","-225,000,000","-52,000,000","115,000,000","63,700,000","88,300,000","193,400,000","62,600,000","43,100,000","-127,900,000","117,900,000","154,900,000","93,500,000","90,900,000","-28,300,000","1,100,000","-123,200,000","-214,900,000","-619,200,000","-315,900,000","-586,500,000","-24,200,000","-30,400,000","-265,900,000","-575,500,000","-313,400,000","-88,300,000","352,200,000","726,700,000","274,900,000","161,300,000","341,300,000","-17,500,000","-27,700,000","22,500,000","-46,200,000","-89,000,000","-106,200,000","-48,100,000","9,600,000","72,000,000","96,900,000","142,700,000","20,600,000","18,600,000","58,200,000","188,200,000","328,500,000","281,100,000","220,200,000","183,500,000","159,300,000","141,862,000","104,327,000","86,711,000","67,600,000","62,900,000","29,500,000","9,000,000","2,700,000","2,900,000","1,600,000","1,500,000","600,000","9,600,000","7,000,000","-2,200,000","-9,300,000","3,000,000","1,800,000",,,"16,000,000","32,200,000"
		OperatingGainsLosses,"-30,000,000",,"0","2,000,000","0","-42,000,000","10,000,000","317,000,000","83,000,000","-14,000,000","-1,000,000","168,000,000","23,000,000","195,000,000","98,000,000","-2,000,000","-78,000,000","2,000,000","-184,000,000","40,000,000","-5,000,000","-59,000,000","16,000,000","-68,000,000","-208,000,000","-124,000,000","-230,000,000","-137,000,000","-127,000,000","-72,000,000","-39,000,000","61,000,000","262,000,000","52,000,000","32,000,000","115,000,000","73,000,000","74,000,000","23,000,000","-8,000,000","48,000,000","137,000,000","29,000,000","-419,000,000","-22,000,000","-39,000,000","60,000,000","21,000,000","29,000,000","14,000,000","98,000,000","-38,000,000","-22,000,000","-10,000,000","47,000,000","98,000,000","-36,000,000","6,000,000","18,600,000","-15,600,000","16,200,000","3,800,000","400,000","-14,400,000","-3,600,000","4,100,000","-2,500,000","600,000","-12,500,000","-25,900,000","33,200,000","-8,000,000","316,900,000","97,900,000","181,100,000","23,400,000","17,600,000","193,900,000","663,300,000","287,200,000","108,700,000","6,300,000","43,300,000","62,800,000",,,"17,500,000","36,900,000",,,"0","-200,000",,,"-4,500,000","100,000","-204,200,000","-10,100,000","-21,000,000","0",,,"0",,,,,,,,"-7,900,000","500,000","500,000","500,000","700,000","800,000","800,000","900,000","0",,,,"-1,700,000",,,,,"10,100,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,000,000","-1,000,000",,,"-1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,000,000","-2,000,000","7,000,000","14,000,000","-2,000,000","51,000,000",,,,,,,,,,,,"19,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,"0","0",,,"-1,000,000","-2,000,000","-78,000,000","2,000,000","-1,000,000","40,000,000","-5,000,000","-59,000,000","-47,000,000","-68,000,000","-208,000,000","-124,000,000","-119,000,000","-135,000,000","-134,000,000","-86,000,000","-37,000,000","10,000,000","58,000,000","52,000,000","32,000,000","115,000,000","73,000,000","74,000,000","40,000,000","44,000,000","48,000,000","26,000,000",,,,"17,000,000","34,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"5,841,000,000","1,487,000,000","1,567,000,000","1,422,000,000","1,365,000,000","1,296,000,000","1,416,000,000","1,360,000,000","1,313,000,000","1,335,000,000","1,285,000,000","1,233,000,000","1,151,000,000","1,090,000,000","1,066,000,000","1,021,000,000","1,003,000,000","771,000,000","714,000,000","755,000,000","774,000,000","737,000,000","710,000,000","673,000,000","641,000,000","643,000,000","553,000,000","542,000,000","517,000,000","491,000,000","450,000,000","442,000,000","455,000,000","457,000,000","483,000,000","525,000,000","569,000,000","564,000,000","555,000,000","547,000,000","486,000,000","517,000,000","531,000,000","497,000,000","486,000,000","491,000,000","491,000,000","514,000,000","540,000,000","594,000,000","532,000,000","513,000,000","511,000,000","504,000,000","474,000,000","444,000,000","420,000,000","380,000,000","344,800,000","341,200,000","291,600,000","303,400,000","314,900,000","318,700,000","317,200,000","313,700,000","309,300,000","300,100,000","295,600,000","312,500,000","298,800,000","301,000,000","310,200,000","299,900,000","295,500,000","293,400,000","290,900,000","297,600,000","295,200,000","278,800,000","265,900,000","274,500,000","267,600,000","255,200,000","242,000,000","229,500,000","230,400,000","204,000,000","219,400,000","189,500,000","171,900,000","151,200,000","147,200,000","136,300,000","111,400,000","122,400,000","117,600,000","110,300,000","102,000,000","98,200,000","90,300,000","73,200,000","61,400,000","51,000,000","44,900,000","41,700,000","41,116,000","52,396,000","46,988,000","40,700,000","35,800,000","37,200,000","35,800,000","29,900,000","28,500,000","26,200,000","25,000,000","25,400,000","24,100,000","19,800,000","20,300,000","26,200,000","21,300,000","21,900,000","19,500,000","15,600,000","13,000,000","7,400,000"
			DepreciationAndAmortization,"5,841,000,000","1,487,000,000","1,567,000,000","1,422,000,000","1,365,000,000","1,296,000,000","1,416,000,000","1,360,000,000","1,313,000,000","1,335,000,000","1,285,000,000","1,233,000,000","1,151,000,000","1,090,000,000","1,066,000,000","1,021,000,000","1,003,000,000","771,000,000","714,000,000","755,000,000","774,000,000","737,000,000","710,000,000","673,000,000","641,000,000","643,000,000","553,000,000","542,000,000","517,000,000","491,000,000","450,000,000","442,000,000","455,000,000","457,000,000","483,000,000","525,000,000",,,"555,000,000","547,000,000","486,000,000","517,000,000","531,000,000","497,000,000","486,000,000","491,000,000","491,000,000","514,000,000","540,000,000","594,000,000","532,000,000","513,000,000","511,000,000","504,000,000","474,000,000","444,000,000","420,000,000","380,000,000","344,800,000","341,200,000","291,600,000","303,400,000","314,900,000","318,700,000","317,200,000","313,700,000","309,300,000","300,100,000","295,600,000","312,500,000","298,800,000","301,000,000","310,200,000","299,900,000","295,500,000","293,400,000","290,900,000","297,600,000","295,200,000","278,800,000","265,900,000","274,500,000","267,600,000","255,200,000","242,000,000","229,500,000","230,400,000","204,000,000","219,400,000","189,500,000","171,900,000","151,200,000","147,200,000","136,300,000","111,400,000","122,400,000","117,600,000","110,300,000","102,000,000","98,200,000","90,300,000","73,200,000","61,400,000","51,000,000","44,900,000","41,700,000","41,116,000","52,396,000","46,988,000","40,700,000","35,800,000","37,200,000","35,800,000","29,900,000","28,500,000","26,200,000","25,000,000","25,400,000","24,100,000","19,800,000","20,300,000","26,200,000","21,300,000","21,900,000","19,500,000","15,600,000","13,000,000","7,400,000"
