name,ttm,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,02/28/1990,11/30/1989,08/31/1989,05/31/1989,02/28/1989,11/30/1988,08/31/1988,05/31/1988,02/29/1988,11/30/1987,08/31/1987,05/31/1987,02/28/1987,11/30/1986,08/31/1986,05/31/1986,02/28/1986,11/30/1985,08/31/1985
TotalRevenue,"22,064,000,000","5,773,000,000","6,056,000,000","5,438,000,000","4,797,000,000","5,144,000,000","4,870,000,000","4,788,000,000","5,835,000,000","7,913,000,000","8,440,000,000","7,797,000,000","7,351,000,000","6,803,000,000","6,138,000,000","5,566,000,000","4,648,000,000","3,970,000,000","3,217,000,000","2,898,000,000","2,934,000,000","3,350,000,000","3,600,000,000","3,853,000,000","4,166,000,000","4,573,000,000","4,227,000,000","3,982,000,000","4,107,000,000","4,042,000,000","2,843,000,000","2,318,000,000","2,078,000,000","1,834,000,000","1,963,000,000","2,172,000,000","2,009,000,000","2,090,000,000","2,140,000,000","2,139,000,000","2,257,000,000","2,252,000,000","2,493,000,000","2,288,000,000","1,961,000,000","1,740,000,000","1,302,000,000","1,106,000,000","993,000,000","1,402,000,000","1,449,000,000","1,498,000,000","1,359,000,000","1,535,000,000","1,437,000,000","1,294,000,000","1,427,000,000","1,530,000,000","1,372,900,000","1,312,300,000","1,225,000,000","1,361,800,000","1,257,800,000","1,054,200,000","1,307,900,000","1,260,300,000","1,189,200,000","1,116,800,000","991,000,000","1,107,200,000","888,500,000","732,700,000","785,000,000","685,100,000","748,000,000","771,200,000","645,900,000","423,900,000","480,300,000","818,300,000","1,065,700,000","1,832,300,000","2,570,200,000","1,789,200,000","1,392,500,000","1,584,400,000","1,080,800,000","863,800,000","1,025,800,000","793,600,000","691,900,000","609,900,000","755,400,000","954,600,000","946,200,000","965,000,000","876,200,000","728,100,000","700,500,000","771,000,000","996,500,000","1,185,800,000","1,028,000,000","761,200,000","628,500,000","535,000,000","491,611,000","426,392,000","390,459,000","320,100,000","306,000,000","214,900,000","176,400,000","131,000,000","135,200,000","131,100,000","128,200,000","111,800,000","123,800,000","126,800,000","94,500,000","80,300,000","105,300,000","84,100,000","77,500,000","66,500,000","103,000,000","119,200,000","113,800,000","110,400,000","113,400,000","85,600,000","58,300,000","43,200,000","29,500,000","22,800,000","20,100,000","18,800,000","20,000,000","14,400,000","9,400,000","5,000,000","6,200,000"
	OperatingRevenue,"22,064,000,000","5,773,000,000","6,056,000,000","5,438,000,000","4,797,000,000","5,144,000,000","4,870,000,000","4,788,000,000","5,835,000,000","7,913,000,000","8,440,000,000","7,797,000,000","7,351,000,000","6,803,000,000","6,138,000,000","5,566,000,000","4,648,000,000","3,970,000,000","3,217,000,000","2,898,000,000","2,934,000,000","3,350,000,000","3,600,000,000","3,853,000,000","4,166,000,000","4,573,000,000","4,227,000,000","3,982,000,000","4,107,000,000","4,042,000,000","2,843,000,000","2,318,000,000","2,078,000,000","1,834,000,000","1,963,000,000","2,172,000,000","2,009,000,000","2,090,000,000","2,140,000,000","2,139,000,000","2,257,000,000","2,252,000,000","2,493,000,000","2,288,000,000","1,961,000,000","1,740,000,000","1,302,000,000","1,106,000,000","993,000,000","1,402,000,000","1,449,000,000","1,498,000,000","1,359,000,000","1,535,000,000","1,437,000,000","1,294,000,000","1,427,000,000","1,530,000,000","1,372,900,000","1,312,300,000","1,225,000,000","1,361,800,000","1,257,800,000","1,054,200,000","1,307,900,000","1,260,300,000","1,189,200,000","1,116,800,000","991,000,000","1,107,200,000","888,500,000","732,700,000","785,000,000","685,100,000","748,000,000","771,200,000","645,900,000","423,900,000","480,300,000","818,300,000","1,065,700,000","1,832,300,000","2,570,200,000","1,789,200,000","1,392,500,000","1,584,400,000","1,080,800,000","863,800,000","1,025,800,000","793,600,000","691,900,000","609,900,000","755,400,000","954,600,000","946,200,000","965,000,000","876,200,000","728,100,000","700,500,000","771,000,000","996,500,000","1,185,800,000","1,028,000,000","761,200,000","628,500,000","535,000,000","491,611,000","426,392,000","390,459,000","320,100,000","306,000,000","214,900,000","176,400,000","131,000,000","135,200,000","131,100,000","128,200,000","111,800,000","123,800,000","126,800,000","94,500,000","80,300,000","105,300,000","84,100,000","77,500,000","66,500,000","103,000,000","119,200,000","113,800,000","110,400,000","113,400,000","85,600,000","58,300,000","43,200,000","29,500,000","22,800,000","20,100,000","18,800,000","20,000,000","14,400,000","9,400,000","5,000,000","6,200,000"
CostOfRevenue,"15,142,000,000","4,037,000,000","3,988,000,000","3,675,000,000","3,442,000,000","3,778,000,000","3,475,000,000","2,960,000,000","2,971,000,000","3,298,000,000","3,289,000,000","3,074,000,000","3,081,000,000","3,056,000,000","3,026,000,000","2,957,000,000","2,944,000,000","2,959,000,000","2,638,000,000","2,400,000,000","2,355,000,000","2,501,000,000","2,630,000,000","2,651,000,000","2,761,000,000","2,935,000,000","2,842,000,000","2,614,000,000","2,704,000,000","2,761,000,000","2,135,000,000","1,762,000,000","1,712,000,000","1,617,000,000","1,744,000,000","1,938,000,000","1,799,000,000","1,785,000,000","1,819,000,000","1,661,000,000","1,822,000,000","1,728,000,000","1,712,000,000","1,440,000,000","1,319,000,000","1,297,000,000","1,132,000,000","999,000,000","1,260,000,000","1,851,000,000","1,514,000,000","1,450,000,000","1,402,000,000","1,530,000,000","1,264,000,000","1,188,000,000","1,070,000,000","1,088,000,000","1,049,100,000","982,500,000","990,000,000","1,050,700,000","975,600,000","967,600,000","953,900,000","837,300,000","796,600,000","728,900,000","742,800,000","821,200,000","719,000,000","661,700,000","1,008,900,000","722,400,000","957,200,000","603,000,000","502,900,000","636,500,000","1,099,400,000","1,126,700,000","866,800,000","1,041,000,000","1,159,400,000","1,104,600,000","891,900,000","793,100,000","868,000,000","685,900,000","763,500,000","685,500,000","652,900,000","607,000,000","757,300,000","744,100,000","658,900,000","650,000,000","657,500,000","572,900,000","550,200,000","558,000,000","552,100,000","538,100,000","479,500,000","357,200,000","267,500,000","224,500,000","211,740,000","206,967,000","204,105,000","125,900,000","127,500,000","95,100,000","87,900,000","67,900,000","76,300,000","75,400,000","74,400,000","59,600,000","65,900,000","67,300,000","55,000,000","48,800,000","60,000,000","44,700,000","44,700,000","35,100,000","51,600,000","52,700,000",,"30,900,000",,,,,,,,,,,,,
GrossProfit,"6,922,000,000","1,736,000,000","2,068,000,000","1,763,000,000","1,355,000,000","1,366,000,000","1,395,000,000","1,828,000,000","2,864,000,000","4,615,000,000","5,151,000,000","4,723,000,000","4,270,000,000","3,747,000,000","3,112,000,000","2,609,000,000","1,704,000,000","1,011,000,000","579,000,000","498,000,000","579,000,000","849,000,000","970,000,000","1,202,000,000","1,405,000,000","1,638,000,000","1,385,000,000","1,368,000,000","1,403,000,000","1,281,000,000","708,000,000","556,000,000","366,000,000","217,000,000","219,000,000","234,000,000","210,000,000","305,000,000","321,000,000","478,000,000","435,000,000","524,000,000","781,000,000","848,000,000","642,000,000","443,000,000","170,000,000","107,000,000","-267,000,000","-449,000,000","-65,000,000","48,000,000","-43,000,000","5,000,000","173,000,000","106,000,000","357,000,000","442,000,000","323,800,000","329,800,000","235,000,000","311,100,000","282,200,000","86,600,000","354,000,000","423,000,000","392,600,000","387,900,000","248,200,000","286,000,000","169,500,000","71,000,000","-223,900,000","-37,300,000","-209,200,000","168,200,000","143,000,000","-212,600,000","-619,100,000","-308,400,000","198,900,000","791,300,000","1,410,800,000","684,600,000","500,600,000","791,300,000","212,800,000","177,900,000","262,300,000","108,100,000","39,000,000","2,900,000","-1,900,000","210,500,000","287,300,000","315,000,000","218,700,000","155,200,000","150,300,000","213,000,000","444,400,000","647,700,000","548,500,000","404,000,000","361,000,000","310,500,000","279,871,000","219,425,000","186,354,000","194,200,000","178,500,000","119,800,000","88,500,000","63,100,000","58,900,000","55,700,000","53,800,000","52,200,000","57,900,000","59,500,000","39,500,000","31,500,000","45,300,000","39,400,000","32,800,000","31,400,000","51,400,000","66,500,000",,"79,500,000",,,,,,,,,,,,,
OperatingExpense,"3,514,000,000","870,000,000","864,000,000","871,000,000","905,000,000","852,000,000","731,000,000","818,000,000","856,000,000","823,000,000","842,000,000","770,000,000","703,000,000","650,000,000","659,000,000","634,000,000","656,000,000","623,000,000","566,000,000","528,000,000","580,000,000","600,000,000","543,000,000","575,000,000","554,000,000","559,000,000","292,000,000","520,000,000","521,000,000","492,000,000","462,000,000","347,000,000","337,000,000","374,000,000","374,000,000","387,000,000","415,000,000","387,000,000","364,000,000","362,000,000","256,000,000","134,000,000","351,000,000","313,000,000","228,000,000","243,000,000","207,000,000","334,000,000","336,000,000","289,000,000","269,000,000","265,000,000","721,000,000","252,000,000","315,000,000","301,000,000","391,000,000","332,000,000","271,800,000","282,400,000","48,000,000","248,700,000","235,900,000","216,700,000","227,500,000","249,600,000","267,800,000","278,900,000","255,400,000","285,400,000","268,400,000","260,100,000","376,700,000","259,300,000","258,400,000","214,900,000","202,000,000","239,400,000","383,100,000","218,800,000","239,900,000","287,300,000","313,000,000","275,500,000","246,200,000","258,200,000","220,700,000","205,700,000","211,000,000","170,700,000","170,400,000","175,200,000","205,600,000","193,000,000","163,100,000","146,000,000","141,700,000","113,800,000","121,600,000","118,300,000","148,300,000","123,000,000","106,400,000","117,000,000","67,900,000","65,200,000","60,161,000","56,413,000","51,808,000","89,100,000","79,900,000","73,000,000","73,200,000","57,800,000","54,000,000","52,000,000","50,700,000","50,200,000","41,200,000","46,700,000","41,300,000","47,200,000","39,900,000","35,600,000","36,400,000","33,000,000","31,400,000","25,700,000",,"31,700,000",,,,,,,,,,,,,
	SellingGeneralAndAdministration,"884,000,000","214,000,000","231,000,000","216,000,000","223,000,000","211,000,000","212,000,000","206,000,000","209,000,000","209,000,000","215,000,000","211,000,000","196,000,000","191,000,000","193,000,000","204,000,000","187,000,000","159,000,000","157,000,000","148,000,000","175,000,000","179,000,000","170,000,000","169,000,000","187,000,000","193,000,000","180,000,000","174,000,000","177,000,000","176,000,000","193,000,000","127,000,000","123,000,000","119,000,000","139,000,000","156,000,000","174,000,000","151,000,000","155,000,000","151,000,000","146,000,000","140,000,000","141,000,000","190,000,000","100,000,000","97,000,000","82,000,000","80,000,000","90,000,000","102,000,000","107,000,000","116,000,000","120,000,000","112,000,000","143,000,000","134,000,000","153,000,000","180,000,000","143,700,000","113,200,000","108,000,000","95,300,000","65,700,000","88,600,000","84,900,000","101,200,000","75,300,000","94,300,000","81,800,000","99,000,000","124,200,000","87,200,000","92,400,000","104,800,000","95,900,000","77,200,000","79,300,000","84,900,000","204,400,000","104,300,000","109,000,000","149,600,000","181,300,000","174,900,000","142,700,000","167,600,000","133,300,000","124,100,000","125,500,000","103,000,000","98,600,000","109,000,000","135,700,000","129,100,000","100,800,000","93,400,000","94,900,000","66,600,000","75,500,000","67,100,000","100,300,000","76,400,000","67,100,000","54,400,000","39,000,000","38,200,000","32,742,000","35,773,000","33,094,000","48,400,000","44,100,000","35,800,000","37,400,000","27,900,000","25,500,000","26,500,000","25,500,000","24,800,000","17,100,000","24,600,000","18,100,000","21,000,000","18,600,000","18,600,000","18,900,000","17,400,000","18,400,000","17,200,000",,"24,300,000",,,,,,,,,,,,,
	ResearchAndDevelopment,"2,607,000,000","647,000,000","630,000,000","649,000,000","681,000,000","640,000,000","623,000,000","606,000,000","601,000,000","611,000,000","567,000,000","603,000,000","523,000,000","448,000,000","447,000,000","434,000,000","473,000,000","470,000,000","411,000,000","382,000,000","403,000,000","421,000,000","379,000,000","406,000,000","379,000,000","376,000,000","358,000,000","349,000,000","344,000,000","320,000,000","267,000,000","226,000,000","214,000,000","224,000,000","235,000,000","231,000,000","222,000,000","230,000,000","209,000,000","211,000,000","186,000,000","185,000,000","197,000,000","142,000,000","148,000,000","137,000,000","139,000,000","162,000,000","168,000,000","178,000,000","167,000,000","170,000,000","180,000,000","163,000,000","184,000,000","195,000,000","243,000,000","183,000,000","163,300,000","167,700,000","160,000,000","165,500,000","150,500,000","153,400,000","151,400,000","148,400,000","199,200,000","181,400,000","187,900,000","186,400,000","166,100,000","161,700,000","174,100,000","154,500,000","136,500,000","134,400,000","135,900,000","154,500,000","105,100,000","114,500,000","130,900,000","139,500,000","131,700,000","100,600,000","103,500,000","91,700,000","87,400,000","81,600,000","85,500,000","67,700,000","71,800,000","66,200,000","69,900,000","63,900,000","62,300,000","52,600,000","46,800,000","47,200,000","46,100,000","51,200,000","48,000,000","46,600,000","39,300,000","33,600,000","28,900,000","27,000,000","27,419,000","22,933,000","18,714,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,700,000","35,800,000","37,200,000","35,800,000","29,900,000","28,500,000","25,500,000","25,200,000","25,400,000","24,100,000","22,100,000","23,200,000","26,200,000","21,300,000","17,000,000","17,500,000","15,600,000","13,000,000","8,500,000",,"7,400,000",,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,700,000","35,800,000","37,200,000","35,800,000","29,900,000","28,500,000","25,500,000","25,200,000","25,400,000","24,100,000","22,100,000","23,200,000","26,200,000","21,300,000","17,000,000","17,500,000","15,600,000","13,000,000","8,500,000",,"7,400,000",,,,,,,,,,,,,
	OtherOperatingExpenses,"23,000,000","9,000,000","3,000,000","6,000,000","1,000,000","1,000,000","-104,000,000","6,000,000","46,000,000","3,000,000","60,000,000","-44,000,000","-16,000,000","11,000,000","19,000,000","-4,000,000","-4,000,000","-6,000,000","-8,000,000","-2,000,000","2,000,000","17,000,000","-6,000,000","-4,000,000","-12,000,000","-10,000,000","-246,000,000","-3,000,000","1,000,000","-4,000,000","2,000,000","-6,000,000",,"31,000,000",,"33,000,000","19,000,000","6,000,000",,"-121,000,000","-76,000,000","-191,000,000","13,000,000","-19,000,000","-20,000,000","9,000,000","-14,000,000","92,000,000","78,000,000","9,000,000","-5,000,000","-21,000,000","421,000,000","-23,000,000","-12,000,000","-28,000,000","-5,000,000","-31,000,000","-35,200,000","1,500,000","-220,000,000","-12,100,000",,"-25,300,000","-8,800,000",,,"3,200,000","-14,300,000",,,"11,200,000","110,200,000",,"26,000,000","3,300,000","-13,200,000",,,,,"-1,800,000",,,,"-1,100,000",,,,,,,,,,,,,,,,,"0","29,000,000",,,,"-2,293,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
