name,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999
TotalAssets,"28,791,000,000","17,315,000,000","13,292,000,000","11,241,000,000","9,841,000,000","7,370,000,000","7,201,368,000","7,250,894,000","6,412,245,000","5,552,928,000","4,495,246,000","3,585,918,000","3,350,727,000","3,747,671,000","2,675,263,000","1,915,299,000","1,628,536,000","1,399,344,000","1,617,015,000","1,503,174,000","1,016,427,000","202,300,000","113,300,000"
	CurrentAssets,"16,055,000,000","13,690,000,000","10,557,000,000","9,255,000,000","8,536,000,000","6,053,000,000","5,713,297,000","5,624,711,000","4,775,258,000","3,905,358,000","3,226,950,000","2,480,830,000","2,167,958,000","2,888,829,000","2,031,770,000","1,548,932,000","1,304,926,000","1,052,712,000","1,351,602,000","1,234,109,000","930,409,000","173,200,000","101,100,000"
		CashCashEquivalentsAndShortTermInvestments,"11,561,000,000","10,897,000,000","7,422,000,000","7,108,000,000","6,798,000,000","5,037,000,000","4,623,339,000","4,671,810,000","3,727,883,000","3,129,576,000","2,490,563,000","1,728,227,000","1,255,390,000","1,809,478,000","1,117,850,000","950,174,000","670,045,000","604,043,000","1,028,413,000","791,377,000","674,275,000","61,600,000","50,300,000"
			CashAndCashEquivalents,"847,000,000","10,896,000,000","782,000,000","4,002,000,000","1,766,000,000","596,000,000","496,654,000","1,151,587,000","732,786,000","667,876,000","665,361,000","447,221,000","417,688,000","726,969,000","544,414,000","551,756,000","208,512,000","214,422,000","346,994,000","333,000,000","674,275,000","61,600,000","50,300,000"
			OtherShortTermInvestments,"10,714,000,000","1,000,000","6,640,000,000","3,106,000,000","5,032,000,000","4,441,000,000","4,126,685,000","3,520,223,000","2,995,097,000","2,461,700,000","1,825,202,000","1,281,006,000","837,702,000","1,082,509,000","573,436,000","398,418,000","461,533,000","389,621,000","681,419,000","458,377,000",,,
		Receivables,"2,429,000,000","1,657,000,000","1,424,000,000","1,265,000,000","826,000,000","505,000,000","473,637,000","426,357,000","454,252,000","336,143,000","348,770,000","374,963,000","318,435,000","666,494,000","518,680,000","318,186,000","296,279,000","196,631,000","154,501,000","147,348,000","104,988,000","67,200,000","20,600,000"
			AccountsReceivable,"2,429,000,000","1,657,000,000","1,424,000,000","1,265,000,000","826,000,000","505,000,000","473,637,000","426,357,000","454,252,000","336,143,000","348,770,000","374,963,000","318,435,000","666,494,000","518,680,000","318,186,000","296,279,000","196,631,000","154,501,000","147,348,000",,,
				GrossAccountsReceivable,"2,450,000,000",,,"1,278,000,000","839,000,000","516,000,000","490,619,000","441,316,000","469,043,000","350,997,000",,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-21,000,000",,,"-13,000,000","-13,000,000","-11,000,000","-16,982,000","-14,959,000","-14,791,000","-14,854,000",,,,,,,,,,,,,
		Inventory,"1,826,000,000","979,000,000","1,575,000,000","796,000,000","794,000,000","418,000,000","482,893,000","387,765,000","419,686,000","340,297,000","345,525,000","330,674,000","537,834,000","358,521,000","354,680,000","254,792,000","315,518,000","234,238,000","145,046,000","213,877,000","89,905,000","37,600,000","28,600,000"
