name,ttm,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999
OperatingCashFlow,"5,822,000,000","5,822,000,000","4,761,000,000","3,743,000,000","3,502,000,000","1,672,000,000","1,175,000,000","905,656,000","835,146,000","824,172,000","909,156,000","675,797,000","487,807,000","249,360,000","1,270,196,000","587,111,000","446,408,000","132,200,000","49,678,000","265,032,000","160,806,000","67,909,000","15,900,000","-1,900,000"
	CashFlowFromContinuingOperatingActivities,"5,822,000,000","5,822,000,000","4,761,000,000","3,743,000,000","3,502,000,000","1,672,000,000","1,175,000,000","905,656,000","835,146,000","824,172,000","909,156,000","675,797,000","487,807,000","249,360,000","1,270,196,000","587,111,000","446,408,000","132,200,000","49,678,000","265,032,000","160,806,000","67,909,000","15,900,000","-1,900,000"
		NetIncomeFromContinuingOperations,"4,332,000,000","4,332,000,000","2,796,000,000","4,141,000,000","3,047,000,000","1,666,000,000","614,000,000","630,587,000","439,990,000","562,536,000","581,090,000","253,146,000","-67,987,000","-30,041,000","797,645,000","448,834,000","302,586,000","100,356,000","74,419,000","90,799,000","176,924,000","99,937,000","38,100,000","4,100,000"
		OperatingGainsLosses,,,,,"18,000,000","18,000,000","-6,000,000","-16,549,000","-10,471,000",,,,,"-18,663,000","3,564,000","14,253,000","36,334,000","12,217,000","18,204,000","50,847,000","90,742,000","64,113,000","10,600,000",
			GainLossOnSaleOfPPE,,,,,"-1,000,000","-3,000,000","-6,000,000","-16,549,000","-10,471,000",,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"1,098,000,000","1,098,000,000","381,000,000","262,000,000","199,000,000","187,000,000","197,000,000","220,125,000","239,148,000","226,235,000","204,205,000","186,989,000","196,664,000","185,023,000","133,192,000","107,562,000","97,977,000","102,597,000","82,688,000","58,216,000","43,497,000","15,836,000","9,700,000","6,500,000"
			DepreciationAndAmortization,"1,098,000,000","1,098,000,000","381,000,000","262,000,000","199,000,000","187,000,000","197,000,000","220,125,000","239,148,000","226,235,000","204,205,000","186,989,000","196,664,000","185,023,000","133,192,000","107,562,000","97,977,000","102,597,000","82,688,000","58,216,000","43,497,000","15,836,000","9,700,000","6,500,000"
				Depreciation,,,,,,,,,,,,,,,,,,,"82,016,000",,"43,491,000",,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,"672,000",,"6,000",,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,"672,000",,"6,000",,,
