name,ttm,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999
TotalRevenue,"16,675,000,000","16,675,000,000","10,918,000,000","11,716,000,000","9,714,000,000","6,910,000,000","5,010,000,000","4,681,507,000","4,130,162,000","4,280,159,000","3,997,930,000","3,543,309,000","3,326,445,000","3,424,859,000","4,097,860,000","3,068,771,000","2,375,687,000","2,010,033,000","1,822,945,000","1,909,447,000","1,369,471,000","735,264,000","374,500,000","151,400,000"
	OperatingRevenue,"16,675,000,000","16,675,000,000","10,918,000,000","11,716,000,000","9,714,000,000","6,910,000,000","5,010,000,000","4,681,507,000","4,130,162,000","4,280,159,000","3,997,930,000","3,543,309,000","3,326,445,000","3,424,859,000","4,097,860,000","3,068,771,000","2,375,687,000","2,010,033,000","1,822,945,000","1,909,447,000","1,369,471,000","735,264,000","374,500,000","151,400,000"
CostOfRevenue,"6,279,000,000","6,279,000,000","4,150,000,000","4,545,000,000","3,892,000,000","2,847,000,000","2,199,000,000","2,082,030,000","1,862,399,000","2,053,816,000","1,941,413,000","2,134,219,000","2,149,522,000","2,250,590,000","2,228,580,000","1,768,322,000","1,464,892,000","1,360,547,000","1,294,067,000","1,333,435,000","850,233,000","444,262,000","225,900,000","103,200,000"
GrossProfit,"10,396,000,000","10,396,000,000","6,768,000,000","7,171,000,000","5,822,000,000","4,063,000,000","2,811,000,000","2,599,477,000","2,267,763,000","2,226,343,000","2,056,517,000","1,409,090,000","1,176,923,000","1,174,269,000","1,869,280,000","1,300,449,000","910,795,000","649,486,000","528,878,000","576,012,000","519,238,000","291,002,000","148,600,000","48,200,000"
OperatingExpense,"5,864,000,000","5,864,000,000","3,922,000,000","3,367,000,000","2,612,000,000","2,126,000,000","1,933,000,000","1,840,488,000","1,771,536,000","1,578,104,000","1,408,218,000","1,153,343,000","1,275,868,000","1,218,101,000","1,032,934,000","846,997,000","570,698,000","535,893,000","435,221,000","432,026,000","267,476,000","160,711,000","94,200,000","50,500,000"
	SellingGeneralAndAdministration,"1,940,000,000","1,940,000,000","1,093,000,000","991,000,000","815,000,000","663,000,000","602,000,000","480,763,000","435,702,000","430,822,000","405,613,000","418,513,000","367,017,000","362,222,000","341,297,000","293,530,000","204,441,000","200,789,000","165,249,000","207,153,000","97,185,000","58,437,000","37,100,000","18,900,000"
	ResearchAndDevelopment,"3,924,000,000","3,924,000,000","2,829,000,000","2,376,000,000","1,797,000,000","1,463,000,000","1,331,000,000","1,359,725,000","1,335,834,000","1,147,282,000","1,002,605,000","848,830,000","908,851,000","855,879,000","691,637,000","553,467,000","352,099,000","335,104,000","269,972,000","224,873,000","153,920,000","86,438,000","47,400,000","25,100,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,"12,684,000","15,836,000","9,700,000","6,500,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,"12,684,000","15,836,000","9,700,000","6,500,000"
			Amortization,,,,,,,,,,,,,,,,,,,,,"12,684,000",,,
