name,ttm,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999
TotalRevenue,"16,675,000,000","5,003,000,000","4,726,000,000","3,866,000,000","3,080,000,000","3,105,000,000","3,014,000,000","2,579,000,000","2,220,000,000","2,205,000,000","3,181,000,000","3,123,000,000","3,207,000,000","2,911,000,000","2,636,000,000","2,230,000,000","1,937,000,000","2,173,000,000","2,004,000,000","1,428,000,000","1,305,000,000","1,401,000,000","1,305,000,000","1,153,000,000","1,151,000,000","1,250,514,000","1,225,382,000","1,102,824,000","1,102,787,000","1,144,218,000","1,053,967,000","977,238,000","954,739,000","1,106,902,000","1,204,110,000","1,044,270,000","924,877,000","953,194,000","1,066,180,000","1,016,517,000","962,039,000","886,376,000","843,912,000","811,208,000","1,001,813,000","982,488,000","903,206,000","776,520,000","664,231,000","481,140,000","897,655,000","892,676,000","1,153,388,000","1,202,730,000","1,115,597,000","935,253,000","844,280,000","878,873,000","820,572,000","687,519,000","681,807,000","633,614,000","583,415,000","574,812,000","583,846,000","566,476,000","515,591,000","456,061,000","471,905,000","472,119,000","486,069,000","459,774,000","404,983,000","468,953,000","430,304,000","427,285,000","582,905,000","498,039,000","370,241,000","260,259,000","240,932,000","218,218,000","198,165,000","170,398,000","148,483,000","128,400,000","97,000,000","78,000,000","71,000,000"
	OperatingRevenue,"16,675,000,000","5,003,000,000","4,726,000,000","3,866,000,000","3,080,000,000","3,105,000,000","3,014,000,000","2,579,000,000","2,220,000,000","2,205,000,000","3,181,000,000","3,123,000,000","3,207,000,000","2,911,000,000","2,636,000,000","2,230,000,000","1,937,000,000","2,173,000,000","2,004,000,000","1,428,000,000","1,305,000,000","1,401,000,000","1,305,000,000","1,153,000,000","1,151,000,000","1,250,514,000","1,225,382,000","1,102,824,000","1,102,787,000","1,144,218,000","1,053,967,000","977,238,000","954,739,000","1,106,902,000","1,204,110,000","1,044,270,000","924,877,000","953,194,000","1,066,180,000","1,016,517,000","962,039,000","886,376,000","843,912,000","811,208,000","1,001,813,000","982,488,000","903,206,000","776,520,000","664,231,000","481,140,000","897,655,000","892,676,000","1,153,388,000","1,202,730,000","1,115,597,000","935,253,000","844,280,000","878,873,000","820,572,000","687,519,000","681,807,000","633,614,000","583,415,000","574,812,000","583,846,000","566,476,000","515,591,000","456,061,000","471,905,000","472,119,000","486,069,000","459,774,000","404,983,000","468,953,000","430,304,000","427,285,000","582,905,000","498,039,000","370,241,000","260,259,000","240,932,000","218,218,000","198,165,000","170,398,000","148,483,000","128,400,000","97,000,000","78,000,000","71,000,000"
CostOfRevenue,"6,279,000,000","1,847,000,000","1,766,000,000","1,591,000,000","1,076,000,000","1,090,000,000","1,098,000,000","1,038,000,000","924,000,000","998,000,000","1,260,000,000","1,148,000,000","1,139,000,000","1,110,000,000","1,067,000,000","928,000,000","787,000,000","870,000,000","821,000,000","602,000,000","554,000,000","610,000,000","571,000,000","519,000,000","498,000,000","550,911,000","548,684,000","483,850,000","498,585,000","524,976,000","469,552,000","431,700,000","436,171,000","521,300,000","567,452,000","503,551,000","461,513,000","463,181,000","509,463,000","491,233,000","477,536,000","460,017,000","451,850,000","676,916,000","545,436,000","543,767,000","511,423,000","619,797,000","474,535,000","339,474,000","529,812,000","742,759,000","638,545,000","653,133,000","600,044,000","511,261,000","464,142,000","493,167,000","486,630,000","395,391,000","393,050,000","378,674,000","355,247,000","357,278,000","373,693,000","372,661,000","348,849,000","315,968,000","323,069,000","333,914,000","351,938,000","329,800,000","278,415,000","307,606,000","322,106,000","327,983,000","375,740,000","312,669,000","231,698,000","156,571,000","143,100,000","130,837,000","120,263,000","103,288,000","89,874,000","76,800,000","57,600,000","47,200,000","44,200,000"
GrossProfit,"10,396,000,000","3,156,000,000","2,960,000,000","2,275,000,000","2,004,000,000","2,015,000,000","1,916,000,000","1,541,000,000","1,296,000,000","1,207,000,000","1,921,000,000","1,975,000,000","2,068,000,000","1,801,000,000","1,569,000,000","1,302,000,000","1,150,000,000","1,303,000,000","1,183,000,000","826,000,000","751,000,000","791,000,000","734,000,000","634,000,000","653,000,000","699,603,000","676,698,000","618,974,000","604,202,000","619,242,000","584,415,000","545,538,000","518,568,000","585,602,000","636,658,000","540,719,000","463,364,000","490,013,000","556,717,000","525,284,000","484,503,000","426,359,000","392,062,000","134,292,000","456,377,000","438,721,000","391,783,000","156,723,000","189,696,000","141,666,000","367,843,000","149,917,000","514,843,000","549,597,000","515,553,000","423,992,000","380,138,000","385,706,000","333,942,000","292,128,000","288,757,000","254,940,000","228,168,000","217,534,000","210,153,000","193,815,000","166,742,000","140,093,000","148,836,000","138,205,000","134,131,000","129,974,000","126,568,000","161,347,000","108,198,000","99,302,000","207,165,000","185,370,000","138,543,000","103,688,000","97,832,000","87,381,000","77,902,000","67,110,000","58,609,000","51,600,000","39,400,000","30,800,000","26,800,000"
OperatingExpense,"5,864,000,000","1,649,000,000","1,562,000,000","1,624,000,000","1,028,000,000","1,025,000,000","989,000,000","970,000,000","938,000,000","913,000,000","863,000,000","818,000,000","773,000,000","728,000,000","674,000,000","614,000,000","596,000,000","570,000,000","544,000,000","507,000,000","505,000,000","505,000,000","481,000,000","469,000,000","477,000,000","468,467,000","463,383,000","455,795,000","452,843,000","452,318,000","443,427,000","440,004,000","435,787,000","402,029,000","384,441,000","401,096,000","390,538,000","367,696,000","359,627,000","351,254,000","329,641,000","246,581,000","288,279,000","309,499,000","308,984,000","304,439,000","283,938,000","266,830,000","420,661,000","298,219,000","302,709,000","305,309,000","311,864,000","287,098,000","267,712,000","239,232,000","238,892,000","247,192,000","216,329,000","196,312,000","188,072,000","142,598,000","156,632,000","137,497,000","133,971,000","136,659,000","137,984,000","136,294,000","124,956,000","114,389,000","115,270,000","105,342,000","100,220,000","90,611,000","158,304,000","93,137,000","89,974,000","82,806,000","76,423,000","57,621,000","50,626,000","48,324,000","41,255,000","38,087,000","33,045,000","30,800,000","24,300,000","21,300,000","17,800,000"
	SellingGeneralAndAdministration,"1,940,000,000","503,000,000","515,000,000","627,000,000","293,000,000","287,000,000","277,000,000","266,000,000","264,000,000","266,000,000","258,000,000","237,000,000","231,000,000","221,000,000","212,000,000","198,000,000","185,000,000","176,000,000","171,000,000","157,000,000","159,000,000","161,000,000","152,000,000","149,000,000","138,000,000","120,214,000","123,298,000","118,671,000","118,580,000","115,677,000","103,133,000","108,266,000","108,626,000","104,022,000","100,261,000","119,903,000","106,636,000","100,834,000","103,129,000","103,533,000","98,117,000","145,018,000","83,752,000","98,864,000","90,879,000","88,188,000","85,990,000","73,975,000","118,864,000","86,440,000","90,349,000","92,399,000","93,034,000","91,263,000","88,183,000","81,280,000","80,571,000","84,916,000","75,597,000","69,055,000","65,668,000","50,163,000","54,537,000","51,683,000","48,058,000","52,605,000","50,104,000","50,874,000","47,206,000","42,399,000","42,218,000","39,722,000","40,910,000","95,070,000","38,693,000","35,908,000","37,482,000","33,824,000","24,786,000","19,802,000","18,773,000","16,868,000","14,852,000","14,603,000","12,114,000","12,400,000","9,300,000","8,100,000","7,300,000"
	ResearchAndDevelopment,"3,924,000,000","1,146,000,000","1,047,000,000","997,000,000","735,000,000","738,000,000","712,000,000","704,000,000","674,000,000","647,000,000","605,000,000","581,000,000","542,000,000","507,000,000","462,000,000","416,000,000","411,000,000","394,000,000","373,000,000","350,000,000","346,000,000","344,000,000","329,000,000","320,000,000","339,000,000","348,253,000","340,085,000","337,124,000","334,263,000","336,641,000","340,294,000","331,738,000","327,161,000","298,007,000","284,180,000","281,193,000","283,902,000","266,862,000","256,498,000","247,721,000","231,524,000","215,563,000","204,527,000","210,635,000","218,105,000","216,251,000","197,948,000","192,855,000","301,797,000","211,779,000","212,360,000","212,910,000","218,830,000","195,835,000","179,529,000","157,952,000","158,321,000","162,276,000","140,732,000","127,257,000","122,404,000","92,435,000","87,937,000","85,814,000","85,913,000","84,054,000","87,880,000","85,420,000","77,750,000","71,990,000","73,052,000","65,620,000","59,310,000","57,373,000","57,779,000","57,229,000","52,492,000","44,528,000","44,387,000","33,799,000","31,206,000","26,444,000","22,023,000","20,141,000","17,830,000","15,400,000","12,400,000","10,800,000","8,800,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,997,000","4,020,000","4,020,000","6,842,000","5,012,000","4,380,000","3,343,000","3,101,000","3,000,000","2,600,000","2,400,000","1,700,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,997,000","4,020,000","4,020,000","6,842,000","5,012,000","4,380,000","3,343,000","3,101,000","3,000,000","2,600,000","2,400,000","1,700,000"
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,195,000",,,,,,,,
