name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
TotalAssets,"8,668,000,000","8,425,500,000","7,587,600,000","7,195,100,000","6,924,400,000","3,869,600,000","3,823,000,000","3,257,000,000","3,328,400,000","3,883,500,000","2,919,200,000","2,414,300,000","2,354,200,000","1,637,600,000","1,416,500,000","1,148,500,000","1,110,100,000","1,161,400,000","1,203,100,000","1,360,400,000","2,023,000,000","1,616,800,000"
	CurrentAssets,"3,184,100,000","3,020,000,000","3,167,800,000","2,933,200,000","2,869,100,000","1,891,500,000","1,805,800,000","1,710,200,000","1,693,400,000","2,127,700,000","1,358,000,000","1,168,600,000","1,045,200,000","745,300,000","700,800,000","600,300,000","537,000,000","522,700,000","507,000,000","550,800,000","798,500,000","637,100,000"
		CashCashEquivalentsAndShortTermInvestments,"1,080,700,000","894,200,000","1,069,600,000","949,200,000","1,028,100,000","617,600,000","517,800,000","625,700,000","631,700,000","901,500,000","623,300,000","571,200,000","458,700,000","274,600,000","268,800,000","233,300,000","185,700,000","186,600,000","182,400,000","179,800,000","188,900,000","126,800,000"
			CashAndCashEquivalents,"1,080,700,000","894,200,000","1,069,600,000","949,200,000","1,028,100,000","617,600,000","511,700,000","509,500,000","486,900,000","652,900,000","623,300,000","525,700,000","458,700,000","274,600,000","268,800,000","233,300,000","105,700,000","186,600,000","182,400,000","179,800,000","188,900,000","126,800,000"
			OtherShortTermInvestments,,,,,,"0","6,100,000","116,200,000","144,800,000","248,600,000","0","45,500,000",,,,,"80,000,000",,,,,
		Receivables,"676,000,000","705,000,000","686,000,000","701,500,000","629,800,000","456,100,000","457,900,000","415,100,000","392,100,000","498,200,000","294,600,000","260,900,000","188,800,000","175,200,000","177,900,000","160,200,000","131,500,000","136,100,000","121,600,000","142,300,000","271,200,000","249,700,000"
			AccountsReceivable,"676,000,000","705,000,000","686,000,000","701,500,000","629,800,000","426,400,000","417,500,000","383,400,000","357,800,000","457,200,000",,"270,200,000",,"175,200,000","177,900,000","160,200,000","131,500,000","136,100,000","121,600,000","142,300,000",,"249,700,000"
				GrossAccountsReceivable,,,,"704,200,000","632,000,000","432,600,000","419,100,000","384,400,000","360,500,000","464,300,000",,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,"-2,700,000","-2,200,000","-6,200,000","-1,600,000","-1,000,000","-2,700,000","-7,100,000",,,,,,,,,,,,
			TaxesReceivable,,,,,,"29,700,000","40,400,000","31,700,000","34,300,000","41,000,000",,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,"-9,300,000",,,,,,,,,,
		Inventory,"1,251,400,000","1,232,400,000","1,225,200,000","1,089,500,000","1,030,200,000","750,400,000","729,900,000","611,800,000","581,700,000","637,400,000","360,800,000","269,900,000","335,500,000","220,500,000","212,700,000","169,500,000","193,400,000","171,600,000","160,000,000","183,700,000","258,100,000","206,200,000"
			RawMaterials,"135,700,000","138,400,000","137,300,000","117,700,000","121,400,000","79,300,000","119,700,000","89,200,000","73,200,000","58,800,000","49,000,000","35,400,000","32,600,000","25,100,000","25,600,000","18,000,000","19,300,000","15,200,000","15,500,000","14,400,000",,"25,600,000"
			WorkInProcess,"829,700,000","772,900,000","760,700,000","660,800,000","606,900,000","457,800,000","365,500,000","319,600,000","310,900,000","430,800,000","210,900,000","151,600,000","171,100,000","110,200,000","104,700,000","88,100,000","103,400,000","111,700,000","106,300,000","139,900,000",,"103,800,000"
