name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
OperatingCashFlow,"884,300,000","884,300,000","694,700,000","1,274,200,000","1,094,200,000","581,200,000","470,600,000","481,300,000","327,300,000","276,000,000","545,500,000","551,800,000","276,900,000","393,800,000","317,100,000","349,800,000","193,100,000","38,400,000","45,700,000","30,600,000","-137,300,000","301,300,000"
	CashFlowFromContinuingOperatingActivities,"884,300,000","884,300,000","694,700,000","1,274,200,000","1,094,200,000","581,200,000","470,600,000","481,300,000","327,300,000","276,000,000","545,500,000","551,800,000","276,900,000","393,800,000","317,100,000","349,800,000","193,100,000","38,400,000","45,700,000","30,600,000","-137,300,000","301,300,000"
		NetIncomeFromContinuingOperations,"236,400,000","236,400,000","213,900,000","629,900,000","813,000,000","184,500,000","209,000,000","192,100,000","154,000,000","-86,300,000","14,900,000","292,900,000","63,300,000","-380,100,000","242,200,000","272,100,000","100,600,000","-123,700,000","-166,700,000","-141,900,000","-831,400,000","71,100,000"
		OperatingGainsLosses,"-3,200,000","-3,200,000","8,100,000","900,000","34,800,000","-110,800,000","-3,500,000","-1,400,000","-24,700,000","-1,700,000","-9,800,000","-6,900,000","-3,900,000","-7,100,000","-9,000,000","-8,200,000","31,400,000","90,800,000","111,700,000","23,500,000","279,000,000","-1,500,000"
			GainLossOnSaleOfBusiness,"0","0","0","-5,000,000","-12,500,000","-92,200,000",,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"-3,200,000","-3,200,000","1,900,000","2,400,000","3,900,000","1,500,000","-3,900,000","-1,400,000","-6,800,000","-9,500,000","-8,700,000","-6,900,000","-3,900,000","-7,100,000",,,,,,,,"-1,500,000"
			NetForeignCurrencyExchangeGainLoss,,,,,,,"0","0","-21,000,000",,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"4,000,000","4,000,000",,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"625,100,000","625,100,000","593,100,000","508,700,000","481,900,000","364,100,000","357,600,000","268,800,000","211,800,000","243,600,000","229,400,000","166,900,000","155,600,000","142,100,000","96,900,000","84,200,000","100,700,000","109,400,000","136,500,000","141,500,000","171,800,000","158,900,000"
			DepreciationAndAmortization,"625,100,000","625,100,000","593,100,000","508,700,000","481,900,000","364,100,000","357,600,000","268,800,000","211,800,000","243,600,000","229,400,000","166,900,000","155,600,000","142,100,000","96,900,000","84,200,000","100,700,000","109,400,000","136,500,000","141,500,000","171,800,000","158,900,000"
				Depreciation,,,,,,,,,,,,,,,"92,800,000","81,400,000","99,000,000","102,100,000","127,800,000","133,400,000","165,800,000",
				AmortizationCashFlow,,,,,,,,,,,,,,,"4,100,000","2,800,000","1,700,000","7,300,000","8,700,000","8,100,000","6,000,000",
					AmortizationOfIntangibles,,,,,,,,,,,,,,,"4,100,000","2,800,000","1,700,000","7,300,000","8,700,000","8,100,000","6,000,000",
