name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalRevenue,"5,255,000,000","5,255,000,000","5,517,900,000","5,878,300,000","5,543,100,000","3,906,900,000","3,495,800,000","3,161,800,000","2,782,700,000","2,894,900,000","3,442,300,000","2,313,400,000","1,768,900,000","2,054,800,000","1,566,200,000","1,531,800,000","1,260,600,000","1,266,900,000","1,069,100,000","1,084,500,000","1,214,600,000","2,073,900,000"
	OperatingRevenue,"5,255,000,000","5,255,000,000","5,517,900,000","5,878,300,000","5,543,100,000","3,906,900,000","3,495,800,000","3,161,800,000","2,782,700,000","2,894,900,000","3,442,300,000","2,313,400,000","1,768,900,000","2,054,800,000","1,566,200,000","1,531,800,000","1,260,600,000","1,266,900,000","1,069,100,000","1,084,500,000","1,214,600,000","2,073,900,000"
CostOfRevenue,"3,539,200,000","3,539,200,000","3,544,300,000","3,639,600,000","3,509,300,000","2,610,000,000","2,302,600,000","2,076,900,000","1,844,300,000","1,943,000,000","2,433,500,000","1,357,400,000","1,148,200,000","1,309,300,000","975,700,000","942,800,000","842,100,000","857,000,000","768,100,000","799,000,000","1,000,000,000","1,355,000,000"
GrossProfit,"1,715,800,000","1,715,800,000","1,973,600,000","2,238,700,000","2,033,800,000","1,296,900,000","1,193,200,000","1,084,900,000","938,400,000","951,900,000","1,008,800,000","956,000,000","655,800,000","745,500,000","590,500,000","589,000,000","418,500,000","409,900,000","301,000,000","285,500,000","214,600,000","718,900,000"
OperatingExpense,"1,300,600,000","1,300,600,000","1,341,100,000","1,380,400,000","1,319,000,000","1,025,400,000","919,000,000","815,900,000","687,000,000","753,400,000","792,700,000","555,200,000","453,200,000","513,600,000","310,300,000","278,900,000","247,600,000","240,400,000","219,300,000","243,100,000","309,200,000","419,500,000"
	SellingGeneralAndAdministration,"537,400,000","537,400,000","585,000,000","618,000,000","600,800,000","468,300,000","386,600,000","380,900,000","319,700,000","341,500,000","387,500,000","275,500,000","225,400,000","256,800,000","177,300,000","177,700,000","153,900,000","146,000,000","127,900,000","163,300,000","205,700,000","333,500,000"
		GeneralAndAdministrativeExpense,"258,700,000","258,700,000","284,000,000","293,300,000","284,900,000","230,300,000","182,300,000","180,900,000","148,500,000","160,600,000","192,400,000","129,900,000","104,500,000","122,400,000",,,,,,,,"233,400,000"
			OtherGandA,"258,700,000","258,700,000","284,000,000","293,300,000","284,900,000","230,300,000","182,300,000","180,900,000","148,500,000","160,600,000","192,400,000","129,900,000","104,500,000","122,400,000",,,,,,,,"233,400,000"
		SellingAndMarketingExpense,"278,700,000","278,700,000","301,000,000","324,700,000","315,900,000","238,000,000","204,300,000","200,000,000","171,200,000","180,900,000","195,100,000","145,600,000","120,900,000","134,400,000",,,,,,,,"100,100,000"
	ResearchAndDevelopment,"642,900,000","642,900,000","640,900,000","650,700,000","594,400,000","452,300,000","396,700,000","366,600,000","334,200,000","367,500,000","362,500,000","248,000,000","198,800,000","233,900,000","133,000,000","101,200,000","93,700,000","94,400,000","85,500,000","67,900,000","80,900,000","69,200,000"
	DepreciationAmortizationDepletionIncomeStatement,"120,300,000","120,300,000","115,200,000","111,700,000","123,800,000","104,800,000","135,700,000","68,400,000","33,100,000","44,400,000","42,700,000","31,700,000","29,000,000","22,900,000",,,,,"5,900,000","11,900,000","22,600,000","16,800,000"
