name,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
TotalAssets,"8,668,000,000","9,254,000,000","9,527,800,000","9,420,800,000","8,425,500,000","8,522,300,000","8,524,500,000","7,564,300,000","7,587,600,000","7,409,800,000","7,297,300,000","7,263,100,000","7,195,100,000","6,861,300,000","6,834,300,000","6,637,400,000","6,924,400,000","6,790,900,000","6,097,800,000","3,855,100,000","3,869,600,000","3,950,100,000","3,915,400,000","3,746,300,000","3,823,000,000","3,882,200,000","3,418,400,000","3,286,700,000","3,257,000,000","3,248,700,000","3,241,400,000","3,232,700,000","3,328,400,000","3,669,900,000","3,770,700,000","3,829,200,000","3,883,500,000","4,011,900,000","4,149,800,000","4,016,800,000","2,919,200,000","2,694,500,000","2,541,000,000","2,545,800,000","2,414,300,000","2,274,600,000","2,224,200,000","2,211,000,000","2,354,200,000","2,909,000,000","2,838,100,000","2,872,300,000","1,637,600,000","1,526,300,000","1,427,700,000","1,440,700,000","1,416,500,000","1,416,700,000","1,423,000,000","1,211,000,000","1,148,500,000","1,170,500,000","1,132,100,000","1,112,300,000","1,110,100,000","1,220,700,000","1,262,100,000","1,213,400,000","1,161,400,000","1,189,400,000","1,177,300,000","1,195,700,000","1,203,100,000","1,256,600,000","1,266,700,000","1,294,600,000","1,360,400,000","1,884,000,000","1,909,800,000","1,912,700,000","2,023,000,000","1,955,200,000","1,891,300,000","1,630,900,000"
CurrentAssets,"3,184,100,000","3,812,600,000","4,144,400,000","4,032,300,000","3,020,000,000","3,073,000,000","3,064,200,000","3,046,700,000","3,167,800,000","3,097,000,000","2,927,000,000","2,967,000,000","2,933,200,000","2,815,400,000","2,764,300,000","2,609,100,000","2,869,100,000","2,802,400,000","1,921,800,000","1,901,700,000","1,891,500,000","1,952,700,000","1,932,100,000","1,758,900,000","1,805,800,000","1,813,200,000","1,761,600,000","1,737,300,000","1,710,200,000","1,645,700,000","1,621,800,000","1,617,500,000","1,693,400,000","1,835,000,000","1,954,700,000","2,038,400,000","2,127,700,000","2,188,200,000","2,296,900,000","2,247,900,000","1,358,000,000","1,295,700,000","1,171,300,000","1,220,200,000","1,168,600,000","1,057,500,000","985,400,000","954,600,000","1,045,200,000","1,076,400,000","978,300,000","1,005,700,000","745,300,000","785,200,000","693,200,000","707,600,000","700,800,000","723,100,000","734,600,000","645,300,000","600,300,000","635,800,000","590,100,000","553,500,000","537,000,000","618,300,000","646,000,000","594,200,000","522,700,000","550,800,000","527,100,000","520,200,000","507,000,000","533,100,000","513,000,000","516,600,000","550,800,000","734,000,000","738,700,000","693,500,000","798,500,000","774,400,000","717,800,000","672,800,000"
CashCashEquivalentsAndShortTermInvestments,"1,080,700,000","1,654,000,000","2,060,400,000","1,982,000,000","894,200,000","928,700,000","885,200,000","939,600,000","1,069,600,000","951,000,000","850,200,000","924,900,000","949,200,000","901,200,000","871,600,000","728,900,000","1,028,100,000","880,500,000","588,100,000","619,500,000","617,600,000","557,600,000","577,900,000","429,400,000","517,800,000","494,900,000","601,200,000","617,000,000","625,700,000","553,600,000","579,000,000","614,300,000","631,700,000","643,000,000","756,400,000","892,300,000","901,500,000","837,700,000","868,800,000","766,000,000","623,300,000","562,900,000","467,100,000","560,700,000","571,200,000","470,200,000","403,400,000","402,400,000","458,700,000","417,900,000","321,200,000","307,900,000","274,600,000","327,100,000","255,800,000","275,800,000","268,800,000","269,200,000","294,700,000","251,300,000","233,300,000","272,300,000","246,600,000","204,100,000","185,700,000","231,800,000","257,700,000","221,400,000","186,600,000","183,600,000","181,200,000","189,100,000","182,400,000","179,800,000","167,700,000","147,600,000","179,800,000","206,000,000","175,700,000","74,700,000","188,900,000","159,300,000","124,400,000","140,300,000"
CashAndCashEquivalents,"1,080,700,000","1,654,000,000","2,060,400,000","1,982,000,000","894,200,000","928,700,000","885,200,000","939,600,000","1,069,600,000","951,000,000","850,200,000","924,900,000","949,200,000","901,200,000","871,600,000","728,900,000","1,028,100,000","880,500,000","588,100,000","619,500,000","617,600,000","556,800,000","576,600,000","428,100,000","511,700,000","492,100,000","598,900,000","562,000,000","509,500,000","369,500,000","396,100,000","537,000,000","486,900,000","421,400,000","517,800,000","580,100,000","652,900,000","659,300,000","756,600,000","766,000,000","623,300,000","562,900,000","467,100,000","560,700,000","525,700,000","395,200,000","403,400,000","402,400,000","458,700,000","417,900,000","321,200,000","307,900,000","274,600,000","327,100,000","255,800,000","275,800,000","268,800,000","233,400,000","294,700,000","251,300,000","233,300,000","272,300,000","235,600,000","177,500,000","105,700,000","231,800,000","257,700,000","221,400,000","186,600,000","183,600,000","181,200,000","189,100,000","182,400,000","179,800,000","167,700,000","147,600,000","179,800,000","206,000,000","175,700,000","74,700,000","188,900,000","159,300,000","124,400,000","140,300,000"
OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,0,"800,000","1,300,000","1,300,000","6,100,000","2,800,000","2,300,000","55,000,000","116,200,000","184,100,000","182,900,000","77,300,000","144,800,000","221,600,000","238,600,000","312,200,000","248,600,000","178,400,000","112,200,000",,0,0,0,0,"45,500,000","75,000,000",,,,,,,,,,,,"35,800,000",,,,,"11,000,000","26,600,000","80,000,000",,,,,,,,,,,,,,,,,,,
Receivables,"676,000,000","728,100,000","667,400,000","652,000,000","705,000,000","716,600,000","713,200,000","704,000,000","686,000,000","733,000,000","698,800,000","696,900,000","701,500,000","695,600,000","696,400,000","678,200,000","629,800,000","675,100,000","487,400,000","428,200,000","456,100,000","548,100,000","525,700,000","479,000,000","457,900,000","532,600,000","467,000,000","447,900,000","415,100,000","449,400,000","429,800,000","383,800,000","392,100,000","415,400,000","439,800,000","425,300,000","498,200,000","539,000,000","575,800,000","596,700,000","294,600,000","314,300,000","317,200,000","298,900,000","260,900,000","264,700,000","254,100,000","192,600,000","188,800,000","279,300,000","258,500,000","245,700,000","175,200,000","193,400,000","172,100,000","174,300,000","177,900,000","194,900,000","200,500,000","178,300,000","160,200,000","162,500,000","139,900,000","151,200,000","131,500,000","151,700,000","161,000,000","153,400,000","136,100,000","152,400,000","130,100,000","129,300,000","121,600,000","141,900,000","143,500,000","152,700,000","142,300,000","153,000,000","158,200,000","190,200,000","271,200,000","297,800,000","300,000,000","263,800,000"
AccountsReceivable,"676,000,000","728,100,000","667,400,000","652,000,000","705,000,000","716,600,000","713,200,000","704,000,000","686,000,000","733,000,000","698,800,000","696,900,000","701,500,000","695,600,000","696,400,000","678,200,000","629,800,000","675,100,000","487,400,000","428,200,000","426,400,000","505,900,000","489,900,000","454,500,000","417,500,000","488,700,000","437,300,000","417,100,000","383,400,000","419,200,000","407,600,000","367,200,000","357,800,000","415,400,000","439,800,000","425,300,000","457,200,000","539,000,000","575,800,000","576,300,000",,"314,300,000","325,600,000","307,400,000","270,200,000","276,600,000","265,900,000","203,200,000",,"279,300,000","258,500,000","245,700,000","175,200,000","193,400,000","172,100,000","174,300,000","177,900,000","194,900,000","200,500,000","178,300,000","160,200,000","162,500,000","139,900,000","151,200,000","131,500,000","151,700,000","161,000,000","153,400,000","136,100,000","152,400,000","130,100,000","129,300,000","121,600,000","141,900,000","143,500,000","152,700,000","142,300,000","153,000,000","158,200,000","190,200,000",,"297,800,000","300,000,000","263,800,000"
GrossAccountsReceivable,,,,,,,,,,"735,200,000","700,600,000","700,300,000","704,200,000","698,400,000","699,000,000","680,400,000","632,000,000","677,400,000","491,400,000","435,900,000","432,600,000","509,100,000","492,000,000","456,600,000","419,100,000","490,500,000","438,400,000","418,200,000","384,400,000","420,300,000","408,600,000","369,900,000","360,500,000","420,800,000","445,500,000","431,600,000","464,300,000","546,500,000","584,200,000","583,900,000",,"321,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,"-2,200,000","-1,800,000","-3,400,000","-2,700,000","-2,800,000","-2,600,000","-2,200,000","-2,200,000","-2,300,000","-4,000,000","-7,700,000","-6,200,000","-3,200,000","-2,100,000","-2,100,000","-1,600,000","-1,800,000","-1,100,000","-1,100,000","-1,000,000","-1,100,000","-1,000,000","-2,700,000","-2,700,000","-5,400,000","-5,700,000","-6,300,000","-7,100,000","-7,500,000","-8,400,000","-7,600,000",,"-7,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaxesReceivable,,,,,,,,,,,,,,,,,,,,,"29,700,000","42,200,000","35,800,000","24,500,000","40,400,000","43,900,000","29,700,000","30,800,000","31,700,000","30,200,000","22,200,000","16,600,000","34,300,000",,,,"41,000,000",,,"20,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
