name,ttm,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
OperatingCashFlow,"884,300,000","400,400,000","163,400,000","154,500,000","166,000,000","91,700,000","242,200,000","222,600,000","138,200,000","421,000,000","358,200,000","268,500,000","226,500,000","224,300,000","328,200,000","333,200,000","208,500,000","229,400,000","132,700,000","104,200,000","114,900,000","157,200,000","128,300,000","101,600,000","83,500,000","162,500,000","92,300,000","151,600,000","74,900,000","127,000,000","59,900,000","55,200,000","85,200,000","136,600,000","11,900,000","59,100,000","68,400,000","164,700,000","119,200,000","136,000,000","125,600,000","159,800,000","123,600,000","158,900,000","109,500,000","102,300,000","87,600,000","58,300,000","28,700,000","81,200,000","133,800,000","41,900,000","136,900,000","100,200,000","98,400,000","55,400,000","63,100,000","128,600,000","89,500,000","81,200,000","50,500,000","46,200,000","48,700,000","62,000,000","36,200,000","-77,800,000","30,500,000","52,900,000","32,800,000","27,800,000","1,200,000","5,200,000","11,500,000","7,300,000","-4,200,000","51,900,000","-24,400,000","-11,300,000","-54,900,000","9,400,000","-80,500,000","77,800,000","101,900,000","88,800,000","32,800,000"
	CashFlowFromContinuingOperatingActivities,"884,300,000","400,400,000","163,400,000","154,500,000","166,000,000","91,700,000","242,200,000","222,600,000","138,200,000","421,000,000","358,200,000","268,500,000","226,500,000","224,300,000","328,200,000","333,200,000","208,500,000","229,400,000","132,700,000","104,200,000","114,900,000","157,600,000","128,300,000","101,200,000","83,500,000","162,500,000","92,300,000","151,600,000","74,900,000","127,000,000","59,900,000","55,200,000","85,200,000","136,600,000","11,900,000","59,100,000","68,400,000","164,700,000","119,200,000","136,000,000","125,600,000","159,800,000","123,600,000","158,900,000","109,500,000","102,300,000","87,600,000","58,300,000","28,700,000","81,200,000","133,800,000","41,900,000","136,900,000","100,200,000","98,400,000","55,400,000","63,100,000","128,600,000","89,500,000","81,200,000","50,500,000","46,200,000","48,700,000","62,000,000","36,200,000","-77,800,000","30,500,000","52,900,000","32,800,000","27,800,000","1,200,000","5,200,000","11,500,000","7,300,000","-4,200,000","51,900,000","-24,400,000","-11,300,000","-54,900,000","9,400,000","-80,500,000","77,800,000","101,900,000","88,800,000","32,800,000"
		NetIncomeFromContinuingOperations,"236,400,000","89,800,000","161,200,000","-900,000","-13,700,000","56,900,000","-60,000,000","102,900,000","114,100,000","166,000,000","167,100,000","156,300,000","140,500,000","531,000,000","108,900,000","94,400,000","78,700,000","111,700,000","10,600,000","25,800,000","36,400,000","55,000,000","46,800,000","51,400,000","55,800,000","2,500,000","42,000,000","89,000,000","58,600,000","29,200,000","52,800,000","48,700,000","23,300,000","-136,900,000","13,400,000","8,200,000","29,000,000","-41,100,000","-69,100,000",,,"61,200,000","88,400,000","79,600,000","63,700,000","68,400,000","30,600,000","-2,200,000","-33,500,000","-506,700,000","61,200,000","44,600,000","20,800,000","61,100,000","63,800,000","63,300,000","54,000,000","87,400,000","76,800,000","67,500,000","40,400,000","43,800,000","23,500,000","18,500,000","14,800,000","-88,300,000","15,700,000","-3,500,000","-47,600,000","-42,400,000","-16,300,000","-77,400,000","-30,600,000","-39,600,000","-70,500,000","18,200,000","-50,000,000","-450,400,000","-69,400,000","-152,200,000","-159,400,000","17,700,000","29,900,000","-2,000,000","25,500,000"
		OperatingGainsLosses,"-3,200,000","-1,400,000","1,100,000","-3,100,000","200,000","1,400,000","5,900,000","400,000","400,000","-1,200,000","1,400,000","-600,000","1,300,000","14,000,000","-4,800,000","-1,100,000","26,700,000","900,000","-111,900,000","300,000","-100,000","600,000","400,000","-500,000","-4,000,000","-800,000","-300,000","0","-300,000","800,000","-500,000","300,000","-25,300,000","3,000,000","-2,700,000","-500,000","-1,500,000","55,100,000","9,300,000","-10,800,000","-63,400,000","-1,700,000","-1,500,000","-1,600,000","-2,100,000","-1,700,000","-1,800,000","900,000","-1,300,000","-1,900,000","-500,000","-2,100,000","-2,600,000","-1,900,000","-1,700,000","-3,000,000","-2,400,000","-8,500,000","700,000","-1,900,000","1,500,000","7,400,000","15,900,000","900,000","7,200,000","-5,000,000","12,700,000","33,300,000","49,800,000","35,000,000","4,300,000","62,100,000","10,300,000","-17,800,000","16,000,000","5,700,000","19,600,000","107,000,000","6,300,000","45,700,000","120,000,000","-65,600,000","3,500,000","57,200,000","3,400,000"
			GainLossOnSaleOfBusiness,"0",,,,,"0","0",,,"0","-400,000",,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"-3,200,000","-1,400,000","1,100,000","-3,100,000","200,000","1,400,000","100,000","0","400,000","-1,200,000","1,200,000","1,100,000","1,300,000","1,100,000","1,000,000","-1,100,000","2,900,000","900,000","400,000","300,000","-100,000","200,000","400,000","-500,000","-4,000,000","-800,000","-300,000","0","-300,000","800,000","-500,000","300,000","-7,400,000","-4,800,000","-2,700,000","-500,000","-1,500,000","-1,800,000","-1,800,000","-3,000,000","-2,100,000","-1,700,000","-1,500,000","-1,600,000","-2,100,000","-1,700,000","-1,800,000","900,000","-1,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","-21,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-61,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"4,000,000","4,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"625,100,000","153,800,000","156,200,000","153,900,000","161,200,000","162,000,000","151,300,000","144,000,000","135,800,000","136,200,000","127,100,000","125,500,000","119,900,000","123,400,000","127,700,000","116,500,000","114,300,000","120,000,000","83,800,000","79,600,000","80,700,000","89,800,000","89,200,000","88,400,000","90,200,000","84,000,000","74,500,000","57,900,000","52,400,000","55,300,000","52,900,000","52,300,000","51,300,000","60,900,000","61,300,000","60,300,000","61,100,000","62,600,000","56,900,000","57,100,000","52,800,000","44,500,000","42,400,000","40,300,000","39,700,000","38,000,000","38,900,000","39,000,000","39,700,000","38,500,000","36,000,000","38,700,000","28,900,000","26,200,000","23,800,000","23,700,000","23,200,000","22,200,000","20,000,000","17,900,000","24,100,000","24,500,000","25,400,000","25,200,000","25,600,000","27,300,000","27,300,000","26,600,000","28,200,000","29,000,000","30,300,000","43,000,000","34,200,000","35,600,000","70,900,000","-600,000","35,600,000","39,800,000","43,900,000","44,300,000","43,800,000","37,100,000","42,800,000","43,200,000","35,800,000"
