name,ttm,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
TotalRevenue,"5,255,000,000","1,446,300,000","1,317,300,000","1,213,500,000","1,277,900,000","1,401,800,000","1,381,800,000","1,347,700,000","1,386,600,000","1,503,100,000","1,541,700,000","1,455,900,000","1,377,600,000","1,377,500,000","1,390,900,000","1,338,000,000","1,436,700,000","1,261,000,000","950,900,000","877,800,000","817,200,000","840,300,000","904,200,000","880,500,000","870,800,000","864,200,000","833,500,000","757,600,000","706,500,000","718,000,000","715,400,000","688,300,000","661,000,000","680,200,000","725,500,000","744,800,000","744,400,000","767,900,000","898,000,000","905,800,000","870,600,000","579,200,000","600,700,000","583,300,000","550,200,000","497,100,000","472,900,000","419,800,000","379,100,000","488,700,000","581,500,000","562,700,000","421,900,000","407,900,000","402,900,000","381,200,000","374,200,000","401,600,000","420,900,000","375,300,000","334,000,000","341,800,000","313,600,000","302,800,000","302,400,000","306,800,000","318,400,000","333,500,000","308,200,000","278,600,000","264,800,000","256,200,000","266,500,000","265,700,000","272,000,000","277,700,000","269,100,000","266,600,000","277,000,000","310,700,000","360,500,000","493,400,000","543,200,000","550,500,000","486,800,000"
	OperatingRevenue,"5,255,000,000","1,446,300,000","1,317,300,000","1,213,500,000","1,277,900,000","1,401,800,000","1,381,800,000","1,347,700,000","1,386,600,000","1,503,100,000","1,541,700,000","1,455,900,000","1,377,600,000","1,377,500,000","1,390,900,000","1,338,000,000","1,436,700,000","1,261,000,000","950,900,000","877,800,000","817,200,000","840,300,000","904,200,000","880,500,000","870,800,000","864,200,000","833,500,000","757,600,000","706,500,000","718,000,000","715,400,000","688,300,000","661,000,000","680,200,000","725,500,000","744,800,000","744,400,000","767,900,000","898,000,000","905,800,000","870,600,000","579,200,000","600,700,000","583,300,000","550,200,000","497,100,000","472,900,000","419,800,000","379,100,000","488,700,000","581,500,000","562,700,000","421,900,000","407,900,000","402,900,000","381,200,000","374,200,000","401,600,000","420,900,000","375,300,000","334,000,000","341,800,000","313,600,000","302,800,000","302,400,000","306,800,000","318,400,000","333,500,000","308,200,000","278,600,000","264,800,000","256,200,000","266,500,000","265,700,000","272,000,000","277,700,000","269,100,000","266,600,000","277,000,000","310,700,000","360,500,000","493,400,000","543,200,000","550,500,000","486,800,000"
CostOfRevenue,"3,539,200,000","948,700,000","876,100,000","839,200,000","875,200,000","916,100,000","906,600,000","848,700,000","872,900,000","933,400,000","945,100,000","900,900,000","860,200,000","863,300,000","866,700,000","845,900,000","933,400,000","876,500,000","621,900,000","569,900,000","541,700,000","560,400,000","595,700,000","576,100,000","570,400,000","587,200,000","549,400,000","484,600,000","455,700,000","465,100,000","466,200,000","456,500,000","456,500,000","469,800,000","487,500,000","486,500,000","499,200,000","528,700,000","636,900,000","639,700,000","628,200,000","341,600,000","354,200,000","339,500,000","322,100,000","302,500,000","297,100,000","281,600,000","267,000,000","303,000,000","359,900,000","371,100,000","275,300,000","255,600,000","247,300,000","235,200,000","237,600,000","243,900,000","260,500,000","222,100,000","216,300,000","222,100,000","209,500,000","204,300,000","206,200,000","208,200,000","215,400,000","221,100,000","212,300,000","199,500,000","190,700,000","182,800,000","196,200,000","192,400,000","194,000,000","201,700,000","210,900,000","230,000,000","240,000,000","255,600,000","273,900,000","324,700,000","349,200,000","357,700,000","323,400,000"
GrossProfit,"1,715,800,000","497,600,000","441,200,000","374,300,000","402,700,000","485,700,000","475,200,000","499,000,000","513,700,000","569,700,000","596,600,000","555,000,000","517,400,000","514,200,000","524,200,000","492,100,000","503,300,000","384,500,000","329,000,000","307,900,000","275,500,000","279,900,000","308,500,000","304,400,000","300,400,000","277,000,000","284,100,000","273,000,000","250,800,000","252,900,000","249,200,000","231,800,000","204,500,000","210,400,000","238,000,000","258,300,000","245,200,000","239,200,000","261,100,000","266,100,000","242,400,000","237,600,000","246,500,000","243,800,000","228,100,000","229,700,000","175,800,000","138,200,000","112,100,000","185,700,000","221,600,000","191,600,000","146,600,000","152,300,000","155,600,000","146,000,000","136,600,000","157,700,000","160,400,000","153,200,000","117,700,000","119,700,000","104,100,000","98,500,000","96,200,000","98,600,000","103,000,000","112,400,000","95,900,000","79,100,000","74,100,000","73,400,000","70,300,000","73,300,000","78,000,000","76,000,000","58,200,000","36,600,000","37,000,000","55,100,000","86,600,000","168,700,000","194,000,000","192,800,000","163,400,000"
OperatingExpense,"1,300,600,000","322,400,000","313,200,000","313,700,000","351,300,000","346,200,000","345,200,000","322,200,000","327,500,000","347,200,000","350,600,000","351,300,000","331,300,000","338,100,000","335,700,000","330,200,000","315,000,000","324,300,000","260,500,000","225,200,000","215,400,000","219,600,000","235,700,000","229,400,000","234,300,000","240,600,000","216,400,000","187,200,000","171,700,000","168,500,000","170,900,000","174,800,000","172,800,000","184,300,000","182,200,000","196,800,000","190,100,000","188,900,000","202,400,000","204,100,000","197,300,000","137,200,000","137,900,000","140,000,000","140,100,000","111,500,000","118,200,000","116,400,000","107,100,000","131,800,000","145,500,000","144,000,000","92,300,000","81,500,000","80,400,000","74,500,000","73,900,000","72,700,000","72,200,000","69,200,000","64,800,000","63,700,000","61,700,000","59,400,000","62,800,000","58,400,000","59,500,000","63,400,000","59,100,000","54,200,000","50,400,000","56,600,000","58,900,000","59,300,000","58,600,000","61,100,000","64,100,000","64,200,000","73,000,000","83,300,000","89,300,000","111,700,000","117,600,000","108,400,000","81,800,000"
	SellingGeneralAndAdministration,"537,400,000","133,400,000","127,500,000","128,500,000","148,000,000","144,800,000","142,500,000","147,700,000","150,000,000","156,600,000","156,400,000","156,300,000","148,700,000","151,300,000","147,500,000","156,100,000","145,900,000","151,600,000","124,300,000","98,700,000","93,700,000","94,000,000","97,200,000","95,400,000","100,000,000","103,300,000","99,600,000","92,600,000","85,400,000","81,500,000","78,700,000","83,500,000","76,000,000","85,000,000","81,000,000","87,900,000","87,600,000","87,200,000","100,300,000","103,500,000","96,500,000","69,900,000","66,700,000","71,800,000","67,100,000","53,600,000","57,100,000","58,400,000","56,300,000","65,900,000","71,500,000","69,800,000","49,600,000","46,100,000","46,000,000","42,100,000","43,100,000","46,200,000","46,300,000","44,000,000","41,200,000","40,000,000","37,800,000","36,400,000","39,700,000","35,400,000","36,600,000","38,400,000","35,600,000","20,000,000","33,800,000","36,700,000","38,200,000","38,900,000","38,700,000","41,900,000","43,800,000","41,700,000","49,000,000","54,800,000","60,600,000","85,200,000","91,900,000","85,800,000","70,600,000"
		GeneralAndAdministrativeExpense,"258,700,000","62,400,000","62,200,000","62,900,000","71,200,000","69,200,000","67,800,000","74,100,000","72,900,000","74,500,000","73,300,000","74,600,000","70,900,000","71,000,000","68,900,000","76,600,000","68,400,000","72,200,000","67,600,000","46,000,000","44,500,000","45,700,000","44,900,000","45,000,000","46,700,000","46,700,000","48,500,000","44,700,000","41,000,000","37,600,000","34,500,000","40,200,000","36,200,000","40,900,000","36,800,000","40,900,000","42,000,000","41,100,000","51,900,000","52,300,000","47,100,000","31,900,000","31,200,000","35,300,000","31,500,000","20,100,000","27,100,000","30,000,000","27,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"258,700,000","62,400,000","62,200,000","62,900,000","71,200,000","69,200,000","67,800,000","74,100,000","72,900,000","74,500,000","73,300,000","74,600,000","70,900,000","71,000,000","68,900,000","76,600,000","68,400,000","72,200,000","67,600,000","46,000,000","44,500,000","45,700,000","44,900,000","45,000,000","46,700,000","46,700,000","48,500,000","44,700,000","41,000,000","37,600,000","34,500,000","40,200,000","36,200,000","40,900,000","36,800,000","40,900,000","42,000,000","41,100,000","51,900,000","52,300,000","47,100,000","31,900,000","31,200,000","35,300,000","31,500,000","20,100,000","27,100,000","30,000,000","27,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"278,700,000","71,000,000","65,300,000","65,600,000","76,800,000","75,600,000","74,700,000","73,600,000","77,100,000","82,100,000","83,100,000","81,700,000","77,800,000","80,300,000","78,600,000","79,500,000","77,500,000","79,400,000","56,700,000","52,700,000","49,200,000","48,300,000","52,300,000","50,400,000","53,300,000","56,600,000","51,100,000","47,900,000","44,400,000","43,900,000","44,200,000","43,300,000","39,800,000","44,100,000","44,200,000","47,000,000","45,600,000","46,100,000","48,400,000","51,200,000","49,400,000","38,000,000","35,500,000","36,500,000","35,600,000","33,500,000","30,000,000","28,400,000","29,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"642,900,000","159,700,000","156,100,000","156,100,000","171,000,000","169,300,000","172,800,000","147,000,000","151,800,000","162,200,000","166,200,000","167,100,000","155,200,000","158,000,000","150,900,000","145,500,000","140,000,000","139,800,000","111,500,000","103,000,000","98,000,000","91,000,000","104,900,000","100,400,000","100,400,000","110,900,000","93,400,000","84,200,000","78,100,000","78,700,000","84,000,000","83,100,000","88,400,000","88,200,000","90,100,000","97,800,000","91,400,000","90,700,000","91,500,000","89,200,000","91,100,000","59,400,000","63,300,000","60,100,000","65,200,000","50,700,000","53,800,000","50,700,000","43,600,000","58,900,000","67,200,000","67,500,000","40,300,000","35,400,000","34,400,000","32,400,000","30,800,000","26,500,000","25,900,000","25,200,000","23,600,000","23,700,000","23,900,000","23,000,000","23,100,000","23,000,000","22,900,000","25,000,000","23,500,000","34,200,000","16,600,000","17,000,000","17,700,000","17,500,000","16,900,000","16,200,000","17,300,000","16,900,000","18,000,000","22,900,000","22,900,000","20,600,000","20,300,000","17,100,000","11,200,000"
	DepreciationAmortizationDepletionIncomeStatement,"120,300,000","29,300,000","29,600,000","29,100,000","32,300,000","32,100,000","29,900,000","27,500,000","25,700,000","28,400,000","28,000,000","27,900,000","27,400,000","28,800,000","37,300,000","28,600,000","29,100,000","32,900,000","24,700,000","23,500,000","23,700,000","34,600,000","33,600,000","33,600,000","33,900,000","26,400,000","23,400,000","10,400,000","8,200,000","8,300,000","8,200,000","8,200,000","8,400,000","11,100,000","11,100,000","11,100,000","11,100,000","11,000,000","10,600,000","11,400,000","9,700,000","7,900,000","7,900,000","8,100,000","7,800,000","7,200,000","7,300,000","7,300,000","7,200,000",,,"6,700,000","2,400,000",,,,,,,,,,,,,,,,,"0",,"2,900,000","3,000,000","2,900,000","3,000,000","3,000,000","3,000,000","5,600,000","6,000,000","5,600,000","5,800,000","5,900,000","5,400,000","5,500,000",
		DepreciationAndAmortizationInIncomeStatement,"120,300,000","29,300,000","29,600,000","29,100,000","32,300,000","32,100,000","29,900,000","27,500,000","25,700,000","28,400,000","28,000,000","27,900,000","27,400,000","28,800,000","37,300,000","28,600,000","29,100,000","32,900,000","24,700,000","23,500,000","23,700,000","34,600,000","33,600,000","33,600,000","33,900,000","26,400,000","23,400,000","10,400,000","8,200,000","8,300,000","8,200,000","8,200,000","8,400,000","11,100,000","11,100,000","11,100,000","11,100,000","11,000,000","10,600,000","11,400,000","9,700,000","7,900,000","7,900,000","8,100,000","7,800,000","7,200,000","7,300,000","7,300,000","7,200,000",,,"6,700,000","2,400,000",,,,,,,,,,,,,,,,,"0",,"2,900,000","3,000,000","2,900,000","3,000,000","3,000,000","3,000,000","5,600,000","6,000,000","5,600,000","5,800,000","5,900,000","5,400,000","5,500,000",
			Amortization,"120,300,000","29,300,000","29,600,000","29,100,000","32,300,000","32,100,000","29,900,000","27,500,000","25,700,000","28,400,000","28,000,000","27,900,000","27,400,000","28,800,000","37,300,000","28,600,000","29,100,000","32,900,000","24,700,000","23,500,000","23,700,000","34,600,000","33,600,000","33,600,000","33,900,000","26,400,000","23,400,000","10,400,000","8,200,000","8,300,000","8,200,000","8,200,000","8,400,000","11,100,000","11,100,000","11,100,000","11,100,000","11,000,000","10,600,000","11,400,000","9,700,000","7,900,000","7,900,000","8,100,000","7,800,000","7,200,000","7,300,000","7,300,000","7,200,000",,,"6,700,000","2,400,000",,,,,,,,,,,,,,,,,"0",,"2,900,000","3,000,000","2,900,000","3,000,000","3,000,000","3,000,000","5,600,000","6,000,000","5,600,000","5,800,000","5,900,000","5,400,000","5,500,000",
				AmortizationOfIntangiblesIncomeStatement,"120,300,000","29,300,000","29,600,000","29,100,000","32,300,000","32,100,000","29,900,000","27,500,000","25,700,000","28,400,000","28,000,000","27,900,000","27,400,000","28,800,000","37,300,000","28,600,000","29,100,000","32,900,000","24,700,000","23,500,000","23,700,000","34,600,000","33,600,000","33,600,000","33,900,000","26,400,000","23,400,000","10,400,000","8,200,000","8,300,000","8,200,000","8,200,000","8,400,000","11,100,000","11,100,000","11,100,000","11,100,000","11,000,000","10,600,000","11,400,000","9,700,000","7,900,000","7,900,000","8,100,000","7,800,000","7,200,000","7,300,000","7,300,000","7,200,000",,,"6,700,000","2,400,000",,,,,,,,,,,,,,,,,"0",,"2,900,000","3,000,000","2,900,000","3,000,000","3,000,000","3,000,000","5,600,000","6,000,000","5,600,000","5,800,000","5,900,000","5,400,000","5,500,000",
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
