name,ttm,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991
OperatingCashFlow,"7,871,000,000","5,814,000,000","7,286,000,000","3,895,000,000","4,693,000,000","7,400,000,000","5,506,000,000","8,887,000,000","8,778,000,000","5,998,000,000","4,900,000,000","4,076,000,000","7,172,000,000","3,558,000,000","3,811,000,000","3,253,000,000","2,686,000,000","2,468,000,000","1,781,884,000","967,967,000","691,491,000","812,112,000","182,233,000","-24,667,000","-28,623,000","-69,800,000","37,700,000","26,500,000","12,700,000","600,000","2,000,000"
	CashFlowFromContinuingOperatingActivities,"7,871,000,000","5,814,000,000","7,286,000,000","3,895,000,000","4,693,000,000","7,400,000,000","5,506,000,000","8,887,000,000","8,778,000,000","5,998,000,000","4,900,000,000","4,076,000,000","7,172,000,000","3,558,000,000","3,811,000,000","3,253,000,000","2,686,000,000","2,481,000,000","1,781,884,000","967,967,000","691,491,000","812,112,000","182,233,000","-24,667,000","-28,623,000","-69,800,000","37,700,000","26,500,000","12,700,000","600,000","2,000,000"
		NetIncomeFromContinuingOperations,"6,728,000,000","5,198,000,000","4,386,000,000","-4,864,000,000","2,465,000,000","5,702,000,000","5,268,000,000","7,299,000,000","6,845,000,000","6,059,000,000","4,242,000,000","3,247,000,000","1,592,000,000","3,160,000,000","3,303,000,000","2,470,000,000","2,143,000,000","1,725,000,000","827,441,000","359,677,000","-548,743,000","670,211,000","200,879,000","108,532,000","91,934,000","21,000,000","30,200,000","15,200,000","12,100,000","-4,100,000","-8,400,000"
		OperatingGainsLosses,"-452,000,000","-336,000,000","-356,000,000","-124,000,000","-530,000,000","-668,000,000","-500,000,000","-826,000,000","-492,000,000","-1,754,000,000","-460,000,000","-535,000,000","-137,000,000","383,000,000","-265,000,000","-82,000,000","328,000,000","443,000,000","379,063,000","345,865,000","1,250,710,000","-99,768,000","291,992,000","96,073,000","-1,629,000","-13,200,000","-12,000,000",,"200,000","1,300,000","100,000"
			GainLossOnSaleOfPPE,,,,"0","0","-380,000,000",,"0","0","-1,179,000,000",,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,"-123,000,000","-122,000,000","-123,000,000","-130,000,000",,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-452,000,000","-336,000,000","-356,000,000","-124,000,000","-530,000,000","-288,000,000","-500,000,000","-826,000,000","-369,000,000","-453,000,000","-337,000,000","-405,000,000","-137,000,000",,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"1,406,000,000","1,393,000,000","1,401,000,000","1,561,000,000","1,461,000,000","1,428,000,000","1,214,000,000","1,150,000,000","1,017,000,000","897,000,000","1,061,000,000","666,000,000","635,000,000","456,000,000","383,000,000","272,000,000","200,000,000","163,000,000","179,694,000","394,257,000","319,811,000","243,842,000","158,429,000","141,892,000","93,598,000","56,800,000","30,900,000","18,800,000","9,800,000","7,200,000","5,800,000"
			DepreciationAndAmortization,"1,406,000,000","1,393,000,000","1,401,000,000","1,561,000,000","1,461,000,000","1,428,000,000","1,214,000,000","1,150,000,000","1,017,000,000","897,000,000","1,061,000,000","666,000,000","635,000,000","456,000,000","383,000,000","272,000,000","200,000,000","163,000,000","179,694,000","394,257,000","319,811,000","243,842,000","158,429,000","141,892,000","93,598,000","56,800,000","30,900,000","18,800,000","9,800,000","7,200,000","5,800,000"
		DeferredTax,"-125,000,000","-309,000,000","1,976,000,000","4,502,000,000","-400,000,000","-200,000,000","47,000,000","298,000,000","268,000,000","395,000,000","-1,204,000,000","116,000,000",,,,,,,"332,964,000","12,394,000","29,948,000","481,621,000","-96,595,000","18,237,000","-21,531,000",,"-3,000,000","-4,000,000",,,
			DeferredIncomeTax,"-125,000,000","-309,000,000","1,976,000,000","4,502,000,000","-400,000,000","-200,000,000","47,000,000","298,000,000","268,000,000","395,000,000","-1,204,000,000","116,000,000",,,,,,,"332,964,000","12,394,000","29,948,000","481,621,000","-96,595,000","18,237,000","-21,531,000",,"-3,000,000","-4,000,000",,,
		AssetImpairmentCharge,"334,000,000","405,000,000","338,000,000","75,000,000","253,000,000","279,000,000","517,000,000","822,000,000","277,000,000","106,000,000","166,000,000","125,000,000","763,000,000",,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"1,310,000,000","1,212,000,000","1,037,000,000","883,000,000","914,000,000","943,000,000","1,026,000,000","1,059,000,000","1,105,000,000","1,035,000,000","824,000,000","612,000,000",,,,,,,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,"273,000,000","-40,000,000","-8,000,000","-103,000,000","-280,000,000","-231,000,000","-168,000,000","-183,000,000","-45,000,000","-79,000,000",,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"-135,000,000","-142,000,000","-272,000,000","129,000,000","146,000,000","77,000,000","-16,000,000","-17,000,000","104,000,000","93,000,000","12,000,000","-64,000,000","405,000,000","267,000,000","366,000,000","606,000,000",,,,,,,"-1,000","5,000,000",,"100,000","-100,000","-2,800,000",,"-100,000","1,300,000"
		ChangeInWorkingCapital,"-1,195,000,000","-1,607,000,000","-1,224,000,000","1,460,000,000","424,000,000","-153,000,000","-1,947,000,000","-618,000,000","-115,000,000","-665,000,000","442,000,000","-46,000,000","3,993,000,000","-708,000,000","24,000,000","-13,000,000","15,000,000","150,000,000","62,722,000","-144,226,000","-360,235,000","-483,794,000","-372,471,000","-394,401,000","-190,995,000","-134,500,000","-8,300,000","-700,000","-9,400,000","-3,700,000","3,200,000"
