name,ttm,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990
TotalRevenue,"26,689,000,000","23,531,000,000","24,273,000,000","22,732,000,000","22,291,000,000","23,554,000,000","25,281,000,000","26,487,000,000","24,866,000,000","19,121,000,000","14,957,000,000","10,991,000,000","10,416,000,000","11,142,000,000","8,871,000,000","7,526,000,000","5,673,000,000","4,880,000,000","3,970,636,000","3,039,560,000","2,679,786,000","3,196,780,000","3,937,299,000","3,347,870,000","2,096,365,000","813,900,000","386,600,000","271,600,000","168,700,000","107,500,000","90,300,000","46,500,000"
	OperatingRevenue,"26,689,000,000","23,531,000,000","24,273,000,000","22,732,000,000","22,291,000,000","23,554,000,000","25,281,000,000","26,487,000,000","24,866,000,000","19,121,000,000","14,957,000,000","10,991,000,000","10,416,000,000","11,142,000,000","8,871,000,000","7,526,000,000","5,673,000,000","4,880,000,000","3,970,636,000","3,039,560,000","2,679,786,000","3,196,780,000","3,937,299,000","3,347,870,000","2,096,365,000","813,900,000","386,600,000","271,600,000","168,700,000","107,500,000","90,300,000","46,500,000"
CostOfRevenue,"10,631,000,000","9,255,000,000","8,599,000,000","10,244,000,000","9,792,000,000","9,749,000,000","10,378,000,000","10,686,000,000","9,820,000,000","7,096,000,000","4,877,000,000","3,517,000,000","3,181,000,000","3,414,000,000","2,681,000,000","2,182,000,000","1,645,000,000","1,484,000,000","1,430,047,000","1,137,360,000","1,035,103,000","1,507,122,000","2,485,072,000","2,333,399,000","1,518,006,000","479,100,000","182,300,000","137,900,000","90,800,000","57,900,000","53,900,000","39,300,000"
GrossProfit,"16,058,000,000","14,276,000,000","15,674,000,000","12,488,000,000","12,499,000,000","13,805,000,000","14,903,000,000","15,801,000,000","15,046,000,000","12,025,000,000","10,080,000,000","7,474,000,000","7,235,000,000","7,728,000,000","6,190,000,000","5,344,000,000","4,028,000,000","3,396,000,000","2,540,589,000","1,902,200,000","1,644,683,000","1,689,658,000","1,452,227,000","1,014,471,000","578,359,000","334,800,000","204,300,000","133,700,000","77,900,000","49,600,000","36,400,000","7,200,000"
OperatingExpense,"8,307,000,000","8,021,000,000","8,007,000,000","11,746,000,000","9,885,000,000","7,310,000,000","9,127,000,000","8,251,000,000","7,816,000,000","6,343,000,000","5,054,000,000","4,191,000,000","5,009,000,000","3,998,000,000","3,307,000,000","2,654,000,000","1,642,000,000","1,267,000,000","1,230,354,000","1,228,932,000","1,637,753,000","906,990,000","1,047,087,000","771,806,000","480,902,000","342,200,000","183,800,000","110,800,000","65,900,000","51,600,000","42,700,000","23,100,000"
	SellingGeneralAndAdministration,"2,113,000,000","2,074,000,000","2,195,000,000","2,986,000,000","2,658,000,000","2,385,000,000","2,344,000,000","2,290,000,000","2,518,000,000","2,324,000,000","1,945,000,000","1,642,000,000","1,556,000,000","1,717,000,000","1,478,000,000","1,116,000,000","631,000,000","568,000,000","534,915,000","508,644,000","367,155,000","342,940,000","425,941,000","410,347,000","236,188,000","123,100,000","72,700,000","42,400,000","56,100,000","44,400,000","36,900,000","17,500,000"
	ResearchAndDevelopment,"6,222,000,000","5,975,000,000","5,398,000,000","5,625,000,000","5,485,000,000","5,151,000,000","5,490,000,000","5,477,000,000","4,967,000,000","3,915,000,000","2,995,000,000","2,549,000,000","2,440,000,000","2,281,000,000","1,829,000,000","1,538,000,000","1,011,000,000","720,000,000","523,267,000","451,678,000","414,760,000","340,407,000","381,139,000","349,483,000","235,922,000","162,300,000","80,200,000","49,600,000",,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,"5,000,000","8,589,000","259,196,000","255,230,000","145,643,000",,,,"56,800,000","30,900,000","18,800,000","9,800,000","7,200,000","5,800,000","5,600,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,"5,000,000","8,589,000","259,196,000","255,230,000","145,643,000",,,,"56,800,000","30,900,000","18,800,000","9,800,000","7,200,000","5,800,000","5,600,000"
			Amortization,,,,,,,,,,,,,,,,,,"5,000,000","8,589,000","259,196,000","255,230,000","145,643,000",,,,,,,,,,
