name,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,09/30/1990
TotalAssets,"37,479,000,000","35,594,000,000","32,328,000,000","31,938,000,000","33,111,000,000","32,957,000,000","34,133,000,000","34,023,000,000","34,246,000,000","32,686,000,000","62,090,000,000","64,126,000,000","64,351,000,000","65,486,000,000","64,379,000,000","56,079,000,000","52,366,000,000","52,359,000,000","50,786,000,000","50,060,000,000","50,229,000,000","50,796,000,000","52,295,000,000","47,173,000,000","48,447,000,000","48,574,000,000","48,355,000,000","47,875,000,000","46,282,000,000","45,516,000,000","46,809,000,000","47,599,000,000","44,841,000,000","43,012,000,000","42,445,000,000","41,531,000,000","37,606,000,000","36,422,000,000","35,100,000,000","33,824,000,000","31,291,000,000","30,572,000,000","29,401,000,000","28,497,000,000","28,903,000,000","27,445,000,000","25,713,000,000","24,084,000,000","23,455,000,000","24,563,000,000","19,597,000,000","18,152,000,000","18,348,000,000","18,495,000,000","18,446,000,000","17,254,000,000","16,338,000,000","15,208,000,000","14,713,000,000","14,859,000,000","13,429,000,000","12,479,000,000","11,578,000,000","11,810,000,000","11,566,000,000","10,820,000,000","10,221,584,000","9,649,494,000","9,033,430,000","8,822,436,000","8,470,002,000","8,218,182,000","7,028,049,000","6,509,521,000","6,292,215,000","6,389,384,000","6,332,453,000","5,747,133,000","5,757,083,000","5,895,061,000","5,580,425,000","6,062,982,000","6,371,595,000","6,143,724,000","4,985,435,000","4,534,950,000","2,977,436,000","2,621,396,000","2,762,775,000","2,566,713,000","2,635,364,000","2,455,731,000","2,426,349,000","2,274,680,000","2,050,291,000","2,039,993,000","1,311,900,000","1,185,300,000","1,034,600,000","974,100,000","961,400,000","940,700,000","399,200,000","367,600,000","350,400,000","357,900,000","338,200,000","327,500,000","310,700,000","306,600,000","145,100,000","136,900,000","110,600,000","108,300,000","102,500,000","100,000,000","107,800,000","41,600,000","32,500,000"
	CurrentAssets,"19,792,000,000","18,519,000,000","15,558,000,000","15,313,000,000","16,205,000,000","16,765,000,000","19,204,000,000","16,324,000,000","16,294,000,000","17,384,000,000","44,318,000,000","45,544,000,000","40,966,000,000","43,593,000,000","27,021,000,000","16,908,000,000","15,779,000,000","22,981,000,000","20,979,000,000","20,157,000,000","20,338,000,000","22,099,000,000","25,928,000,000","20,740,000,000","22,761,000,000","22,413,000,000","22,408,000,000","21,008,000,000","20,585,000,000","19,555,000,000","15,972,000,000","17,766,000,000","17,103,000,000","15,645,000,000","16,377,000,000","17,861,000,000","14,034,000,000","14,293,000,000","12,833,000,000","14,850,000,000","12,331,000,000","12,133,000,000","11,614,000,000","12,652,000,000","13,574,000,000","12,570,000,000","11,731,000,000","11,232,000,000","11,010,000,000","11,723,000,000","9,061,000,000","8,351,000,000","9,098,000,000","8,821,000,000","9,048,000,000","8,078,000,000","7,379,000,000","7,049,000,000","7,274,000,000","8,662,000,000","8,399,000,000","7,791,000,000","7,099,000,000","7,553,000,000","7,433,000,000","7,227,000,000","7,103,168,000","6,914,466,000","6,446,527,000","5,948,764,000","5,851,754,000","5,024,632,000","4,368,542,000","3,940,766,000","3,182,529,000","2,962,314,000","3,217,082,000","3,054,758,000","3,122,103,000","2,891,550,000","2,848,827,000","2,729,980,000","2,616,443,000","2,801,419,000","2,875,302,000","2,978,238,000","1,693,196,000","1,548,309,000","1,662,862,000","1,537,220,000","1,638,105,000","1,542,207,000","1,623,893,000","1,549,595,000","1,384,961,000","1,543,045,000","878,508,000","751,200,000","648,500,000","625,500,000","654,600,000","704,600,000","197,200,000","191,000,000","189,400,000","220,600,000","219,300,000","239,200,000","226,900,000","241,500,000","90,800,000","86,100,000","87,000,000","86,700,000","81,800,000","80,400,000","89,300,000","23,400,000","19,500,000"
		CashCashEquivalentsAndShortTermInvestments,"12,298,000,000","11,214,000,000","10,600,000,000","9,946,000,000","11,423,000,000","12,260,000,000","14,358,000,000","10,330,000,000","10,315,000,000","12,088,000,000","35,910,000,000","39,571,000,000","35,403,000,000","37,308,000,000","20,863,000,000","9,982,000,000","10,812,000,000","18,648,000,000","17,110,000,000","16,402,000,000","16,528,000,000","17,321,000,000","21,331,000,000","15,555,000,000","17,788,000,000","17,565,000,000","18,153,000,000","16,628,000,000","17,280,000,000","14,966,000,000","11,461,000,000","13,493,000,000","13,275,000,000","12,374,000,000","13,395,000,000","15,079,000,000","11,540,000,000","11,652,000,000","10,728,000,000","13,025,000,000","10,509,000,000","10,279,000,000","9,968,000,000","11,156,000,000","12,164,000,000","11,069,000,000","9,880,000,000","9,415,000,000","9,009,000,000","6,411,000,000","6,614,000,000","6,128,000,000","7,351,000,000","6,581,000,000","7,308,000,000","6,551,000,000","5,947,000,000","5,721,000,000","5,871,000,000","7,465,000,000","6,984,000,000","6,548,000,000","5,717,000,000","6,397,000,000","6,124,000,000","5,982,000,000","5,503,127,000","5,606,429,000","5,066,502,000","4,561,097,000","4,360,018,000","3,740,445,000","3,455,533,000","2,794,619,000","2,379,788,000","2,211,643,000","2,405,508,000","2,283,179,000","1,911,573,000","1,925,165,000","1,973,192,000","1,772,393,000","1,562,591,000","1,708,326,000","1,391,142,000","1,614,431,000","448,174,000","204,648,000","237,423,000","303,324,000","298,359,000","436,061,000","653,201,000","697,072,000","681,655,000","875,032,000","289,308,000","110,100,000","99,400,000","220,200,000","307,700,000","500,600,000","65,200,000","27,000,000","27,900,000","45,000,000","33,800,000","61,700,000","47,900,000","97,500,000","29,400,000","30,900,000","24,800,000","40,200,000","39,400,000","45,200,000","64,200,000","100,000","3,800,000"
			CashAndCashEquivalents,"7,076,000,000","6,707,000,000","6,120,000,000","8,403,000,000","11,109,000,000","11,839,000,000","13,923,000,000","10,135,000,000","10,066,000,000","11,777,000,000","35,619,000,000","37,946,000,000","33,362,000,000","35,029,000,000","14,909,000,000","7,124,000,000","6,885,000,000","5,946,000,000","5,885,000,000","5,775,000,000","6,913,000,000","7,560,000,000","9,987,000,000","5,492,000,000","6,325,000,000","7,907,000,000","7,944,000,000","6,337,000,000","8,292,000,000","6,142,000,000","2,533,000,000","4,093,000,000","4,293,000,000","3,807,000,000","3,412,000,000","5,998,000,000","4,964,000,000","5,462,000,000","5,746,000,000","6,367,000,000","4,711,000,000","3,547,000,000","2,541,000,000","2,553,000,000","3,660,000,000","2,717,000,000","3,721,000,000","3,892,000,000","3,826,000,000","1,840,000,000","2,970,000,000","2,803,000,000","2,968,000,000","2,411,000,000","3,716,000,000","3,353,000,000","2,649,000,000","1,607,000,000","1,155,000,000","1,779,000,000","1,577,000,000","2,070,000,000","1,360,000,000","1,638,000,000","1,135,000,000","1,214,000,000","2,008,744,000","1,946,518,000","1,795,927,000","2,045,094,000","1,794,825,000","1,989,841,000","1,620,293,000","1,406,704,000","1,280,876,000","1,267,675,000","1,485,854,000","1,388,602,000","965,417,000","1,114,277,000","826,338,000","716,871,000","712,709,000","772,548,000","303,978,000","660,016,000","436,100,000","121,253,000","131,940,000","175,846,000","179,905,000","186,974,000","209,540,000","248,837,000","217,177,000","406,300,000","126,735,000","110,100,000","99,400,000","220,200,000","307,700,000","500,600,000","65,200,000","27,000,000","27,900,000","45,000,000","33,800,000","61,700,000","47,900,000","97,500,000","29,400,000","30,900,000","24,800,000","40,200,000","39,400,000","45,200,000","64,200,000","100,000","3,800,000"
			OtherShortTermInvestments,"5,222,000,000","4,507,000,000","4,480,000,000","1,543,000,000","314,000,000","421,000,000","435,000,000","195,000,000","249,000,000","311,000,000","291,000,000","1,625,000,000","2,041,000,000","2,279,000,000","5,954,000,000","2,858,000,000","3,927,000,000","12,702,000,000","11,225,000,000","10,627,000,000","9,615,000,000","9,761,000,000","11,344,000,000","10,063,000,000","11,463,000,000","9,658,000,000","10,209,000,000","10,291,000,000","8,988,000,000","8,824,000,000","8,928,000,000","9,400,000,000","8,982,000,000","8,567,000,000","9,983,000,000","9,081,000,000","6,576,000,000","6,190,000,000","4,982,000,000","6,658,000,000","5,798,000,000","6,732,000,000","7,427,000,000","8,603,000,000","8,504,000,000","8,352,000,000","6,159,000,000","5,523,000,000","5,183,000,000","4,571,000,000","3,644,000,000","3,325,000,000","4,383,000,000","4,170,000,000","3,592,000,000","3,198,000,000","3,298,000,000","4,114,000,000","4,716,000,000","5,686,000,000","5,407,000,000","4,478,000,000","4,357,000,000","4,759,000,000","4,989,000,000","4,768,000,000","3,494,383,000","3,659,911,000","3,270,575,000","2,516,003,000","2,565,193,000","1,750,604,000","1,835,240,000","1,387,915,000","1,098,912,000","943,968,000","919,654,000","894,577,000","946,156,000","810,888,000","1,146,854,000","1,055,522,000","849,882,000","935,778,000","1,087,164,000","954,415,000","12,074,000","83,395,000","105,483,000","127,478,000","118,454,000","249,087,000","443,661,000","448,235,000","464,478,000","468,732,000","162,573,000",,,,,,,,,,,,,,,,,,,,,,
		Receivables,"4,148,000,000","4,003,000,000","1,847,000,000","3,081,000,000","2,737,000,000","2,471,000,000","2,390,000,000","3,638,000,000","3,426,000,000","2,904,000,000","3,163,000,000","3,535,000,000","3,053,000,000","3,632,000,000","3,532,000,000","4,201,000,000","2,085,000,000","2,219,000,000","1,939,000,000","1,738,000,000","1,323,000,000","1,964,000,000","1,961,000,000","2,058,000,000","2,239,000,000","2,412,000,000","2,084,000,000","2,217,000,000","1,327,000,000","2,142,000,000","1,949,000,000","1,889,000,000","1,647,000,000","1,459,000,000","1,250,000,000","1,189,000,000","1,035,000,000","993,000,000","832,000,000","715,000,000","657,000,000","730,000,000","798,000,000","680,000,000","616,000,000","700,000,000","943,000,000","804,000,000","943,000,000","4,038,000,000","917,000,000","728,000,000","703,000,000","715,000,000","764,000,000","714,000,000","693,000,000","700,000,000","695,000,000","569,000,000","728,000,000","544,000,000","634,000,000","508,000,000","659,000,000","581,000,000","897,616,000","596,784,000","655,159,000","489,588,000","623,967,000","538,802,000","666,077,000","925,346,000","551,458,000","509,191,000","579,428,000","527,902,000","970,312,000","740,874,000","668,722,000","735,494,000","726,816,000","682,894,000","1,022,367,000","910,017,000","786,843,000","873,670,000","918,949,000","668,410,000","833,107,000","647,069,000","620,199,000","556,883,000","435,434,000","444,730,000","327,166,000","217,400,000","193,400,000","132,900,000","107,700,000","82,700,000","69,400,000","73,200,000","63,400,000","62,900,000","47,300,000","46,900,000","37,000,000","34,100,000","28,900,000","26,800,000","28,900,000","24,700,000","24,800,000","24,400,000","16,800,000","16,800,000","9,900,000"
			AccountsReceivable,"4,148,000,000","2,687,000,000","928,000,000","3,081,000,000","2,737,000,000","1,046,000,000","1,036,000,000","2,430,000,000","2,330,000,000","2,848,000,000","3,163,000,000","3,535,000,000","3,053,000,000","3,576,000,000","3,500,000,000","4,177,000,000","2,085,000,000","2,194,000,000","1,939,000,000","1,697,000,000","1,302,000,000","1,941,000,000","1,961,000,000","2,040,000,000","2,239,000,000","2,362,000,000","2,084,000,000","2,217,000,000","1,288,000,000","2,066,000,000","1,855,000,000","1,852,000,000","1,607,000,000","1,418,000,000","1,250,000,000","1,189,000,000","1,035,000,000","951,000,000","832,000,000","715,000,000","657,000,000","697,000,000","798,000,000","680,000,000","616,000,000","700,000,000","943,000,000","804,000,000","943,000,000","4,038,000,000","917,000,000","728,000,000","703,000,000","715,000,000","764,000,000","714,000,000","693,000,000","700,000,000","695,000,000","569,000,000","728,000,000","544,000,000","634,000,000","508,000,000","659,000,000","581,000,000","883,737,000","596,784,000","655,159,000","483,793,000","620,080,000","534,214,000","661,753,000","536,950,000","548,095,000","505,556,000","575,923,000","517,557,000","544,928,000","539,899,000","537,667,000","606,979,000","672,649,000","659,297,000","998,200,000","883,640,000","747,059,000","814,213,000","852,488,000","612,209,000","787,865,000","599,349,000","576,493,000","445,382,000","320,614,000","357,667,000","327,166,000",,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,,,,,"1,093,000,000","1,083,000,000","2,477,000,000","2,377,000,000","2,904,000,000",,,,"3,587,000,000","3,511,000,000","4,178,000,000",,"2,195,000,000",,"1,698,000,000","1,303,000,000","1,947,000,000",,"2,045,000,000",,"2,367,000,000",,,"1,290,000,000","2,068,000,000","1,857,000,000","1,854,000,000","1,608,000,000","1,419,000,000","1,251,000,000","1,191,000,000",,"953,000,000","834,000,000","717,000,000","659,000,000","700,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,"-47,000,000","-47,000,000","-47,000,000","-47,000,000","-56,000,000",,,,"-11,000,000","-11,000,000","-1,000,000",,"-1,000,000",,"-1,000,000","-1,000,000","-6,000,000",,"-5,000,000",,"-5,000,000",,,"-2,000,000","-2,000,000","-2,000,000","-2,000,000","-1,000,000","-1,000,000","-1,000,000","-2,000,000",,"-2,000,000","-2,000,000","-2,000,000","-2,000,000","-3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,"1,316,000,000","919,000,000",,,"1,425,000,000","1,354,000,000","1,208,000,000","1,096,000,000","56,000,000",,,,"56,000,000","32,000,000","24,000,000",,"25,000,000",,"41,000,000","21,000,000","23,000,000",,"18,000,000",,"50,000,000",,,"39,000,000","76,000,000","94,000,000","37,000,000","40,000,000","41,000,000",,,,"42,000,000",,,,"33,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"13,879,000",,,"5,795,000","3,887,000","4,588,000","4,324,000","388,396,000","3,363,000","3,635,000","3,505,000","10,345,000","425,384,000","200,975,000","131,055,000","128,515,000","54,167,000","23,597,000","24,167,000","26,377,000","39,784,000","59,457,000","66,461,000","56,201,000","45,242,000","47,720,000","43,706,000","111,501,000","114,820,000","87,063,000",,,,,,,,,,,,,,,,,,,,,,,
