name,ttm,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991
OperatingCashFlow,"7,871,000,000","3,175,000,000","1,741,000,000","1,872,000,000","1,083,000,000","1,118,000,000","1,227,000,000","4,909,000,000","794,000,000","356,000,000","-436,000,000","2,053,000,000","516,000,000","1,762,000,000","2,417,000,000","82,000,000","815,000,000","1,379,000,000","2,084,000,000","1,840,000,000","737,000,000","2,739,000,000","1,684,000,000","2,116,000,000","-658,000,000","2,364,000,000","1,619,000,000","2,673,000,000","1,814,000,000","2,781,000,000","2,510,000,000","2,077,000,000","2,216,000,000","1,975,000,000","1,409,000,000","922,000,000","1,888,000,000","1,779,000,000","1,820,000,000","1,264,000,000","1,768,000,000","48,000,000","1,093,000,000","951,000,000","793,000,000","1,239,000,000","1,321,000,000","1,087,000,000","1,263,000,000","3,501,000,000","991,000,000","740,000,000","947,000,000","880,000,000","1,043,000,000","988,000,000","991,000,000","789,000,000","952,000,000","816,000,000","889,000,000","596,000,000","945,000,000","523,000,000","821,000,000","397,000,000","776,689,000","442,144,000","788,289,000","460,878,000","527,458,000","345,099,000","578,844,000","330,483,000","449,242,000","70,087,000","181,325,000","267,313,000","312,587,000","5,467,000","119,286,000","254,151,000","236,620,000","239,840,000","254,249,000","81,403,000","14,426,000","144,521,000","161,582,000","-138,296,000","157,371,000","-121,213,000","-129,051,000","68,226,000","77,476,000","26,588,000","-39,064,000","-93,623,000","37,000,000","-30,400,000","17,900,000","20,000,000","11,200,000","-11,400,000","9,000,000","8,600,000","7,500,000","1,400,000","3,800,000","4,500,000","5,900,000","-1,500,000","6,600,000","1,900,000","-8,700,000","800,000"
	CashFlowFromContinuingOperatingActivities,"7,871,000,000","3,175,000,000","1,741,000,000","1,872,000,000","1,083,000,000","1,118,000,000","1,227,000,000","4,909,000,000","794,000,000","356,000,000","-436,000,000","2,053,000,000","516,000,000","1,762,000,000","2,417,000,000","82,000,000","815,000,000","1,379,000,000","2,084,000,000","1,840,000,000","737,000,000","2,739,000,000","1,684,000,000","2,116,000,000","-658,000,000","2,364,000,000","1,619,000,000","2,673,000,000","1,814,000,000","2,781,000,000","2,510,000,000","2,077,000,000","2,216,000,000","1,975,000,000","1,409,000,000","922,000,000","1,888,000,000","1,779,000,000","1,820,000,000","1,264,000,000","1,768,000,000","48,000,000","1,093,000,000","951,000,000","793,000,000","1,239,000,000","1,321,000,000","1,087,000,000","1,263,000,000","3,501,000,000","991,000,000","740,000,000","947,000,000","880,000,000","1,043,000,000","988,000,000","991,000,000","789,000,000","952,000,000","816,000,000","889,000,000","596,000,000","945,000,000","523,000,000","821,000,000","397,000,000","769,432,000","462,401,000","788,289,000","460,878,000","527,458,000","345,099,000","578,844,000","330,483,000","449,242,000","70,087,000","181,325,000","267,313,000","312,587,000","5,467,000","119,286,000","254,151,000","236,620,000","239,840,000","254,249,000","81,403,000","14,426,000","144,521,000","161,582,000","-138,296,000","157,371,000","-121,213,000","-129,051,000","68,226,000","77,476,000","26,588,000","-39,064,000","-93,623,000","37,000,000","-30,400,000","17,900,000","20,000,000","11,200,000","-11,400,000","9,000,000","8,600,000","7,500,000","1,400,000","3,800,000","4,500,000","5,900,000","-1,500,000","6,600,000","1,900,000","-8,700,000","800,000"
		NetIncomeFromContinuingOperations,"6,728,000,000","2,455,000,000","2,960,000,000","845,000,000","468,000,000","925,000,000","506,000,000","2,149,000,000","663,000,000","1,068,000,000","-493,000,000","1,219,000,000","363,000,000","-5,953,000,000","169,000,000","865,000,000","750,000,000","681,000,000","1,599,000,000","1,443,000,000","1,164,000,000","1,496,000,000","1,061,000,000","1,184,000,000","1,052,000,000","1,971,000,000","1,894,000,000","2,237,000,000","1,959,000,000","1,209,000,000","1,501,000,000","1,578,000,000","1,863,000,000","1,903,000,000","1,262,000,000","1,203,000,000","2,199,000,000","1,395,000,000","1,048,000,000","1,030,000,000","994,000,000","1,170,000,000","865,000,000","767,000,000","774,000,000","841,000,000","802,000,000","738,000,000","-289,000,000","341,000,000","878,000,000","749,000,000","766,000,000","767,000,000","1,132,000,000","798,000,000","725,000,000","648,000,000","614,000,000","643,000,000","593,000,000","620,000,000","538,000,000","560,000,000","532,000,000","513,000,000","386,758,000","486,424,000","499,525,000","352,293,000","291,402,000","191,689,000","103,016,000","241,334,000","190,282,000","-13,768,000","43,930,000","139,233,000","-194,336,000","-145,921,000","149,072,000","-357,558,000","138,675,000","154,701,000","199,716,000","177,119,000","136,021,000","58,948,000","-42,620,000","48,530,000","39,917,000","5,842,000","26,011,000","36,762,000","30,118,000","35,945,000","16,745,000","9,126,000","7,900,000","1,500,000","10,900,000","7,300,000","6,100,000","5,900,000","-1,700,000","6,400,000","5,500,000","5,000,000","7,300,000","6,000,000","400,000","-1,600,000","-600,000","-600,000","-1,200,000","-1,700,000"
		OperatingGainsLosses,"-452,000,000","-195,000,000","-67,000,000","-220,000,000","30,000,000","-79,000,000","-16,000,000","-331,000,000","-46,000,000","37,000,000","-23,000,000","-28,000,000","-50,000,000","-23,000,000","-155,000,000","-139,000,000","-89,000,000","-147,000,000","-146,000,000","-69,000,000","-24,000,000","-429,000,000","-101,000,000","-122,000,000","-111,000,000","-166,000,000","-48,000,000","-390,000,000","-212,000,000","-176,000,000","-160,000,000","-79,000,000","-127,000,000","-126,000,000","-274,000,000","-83,000,000","-1,308,000,000","-89,000,000","-156,000,000","-73,000,000","-104,000,000","-127,000,000","-261,000,000","-92,000,000",,,"-80,000,000","-691,000,000","223,000,000","411,000,000","338,000,000","55,000,000","11,000,000","-21,000,000","-108,000,000","-46,000,000","-52,000,000","-59,000,000","12,000,000","-3,000,000","-200,000,000","109,000,000","132,000,000","57,000,000","22,000,000","117,000,000","-68,885,000","145,475,000","143,904,000","222,506,000","-332,753,000","202,334,000","275,552,000","233,930,000","64,736,000","169,854,000","113,148,000","-1,873,000","275,637,000","142,508,000","-131,953,000","964,518,000","22,280,000","5,082,000","-157,225,000","30,095,000","43,222,000","241,895,000","7,819,000","-944,000","17,833,000","44,233,000","23,040,000","10,967,000","-3,051,000","6,383,000","-8,281,000","3,320,000","-3,100,000","-3,300,000","-4,600,000",,,,,"-900,000",,,,,,,"1,000,000","0","200,000","100,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","-380,000,000",,,,,,,,,"0","0",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-31,000,000",,"-31,000,000","-30,000,000","-31,000,000","-31,000,000","-31,000,000","-30,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-452,000,000","-195,000,000","-67,000,000","-220,000,000","30,000,000","-79,000,000","-16,000,000","-331,000,000","-46,000,000","37,000,000","-23,000,000","-28,000,000","-50,000,000","-23,000,000","-155,000,000","-139,000,000","-89,000,000","-147,000,000","-146,000,000","-69,000,000","-24,000,000","-49,000,000","-101,000,000","-122,000,000","-111,000,000","-166,000,000","-141,000,000","-297,000,000","-243,000,000","-145,000,000","-130,000,000","-48,000,000","-96,000,000","-95,000,000","-152,000,000","-83,000,000","-174,000,000","-44,000,000","-33,000,000","-73,000,000","-104,000,000","-127,000,000",,,,,"-80,000,000","-691,000,000","209,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"1,406,000,000","364,000,000","339,000,000","363,000,000","340,000,000","351,000,000","350,000,000","353,000,000","345,000,000","353,000,000","396,000,000","414,000,000","388,000,000","363,000,000","397,000,000","393,000,000","342,000,000","329,000,000","336,000,000","356,000,000","372,000,000","364,000,000","326,000,000","297,000,000","304,000,000","287,000,000","297,000,000","292,000,000","289,000,000","272,000,000","273,000,000","255,000,000","248,000,000","241,000,000","257,000,000","221,000,000","211,000,000","208,000,000","241,000,000","185,000,000","434,000,000","201,000,000","171,000,000","166,000,000","167,000,000","162,000,000","175,000,000","154,000,000","154,000,000","152,000,000","120,000,000","117,000,000","111,000,000","108,000,000","100,000,000","99,000,000","93,000,000","91,000,000","82,000,000","69,000,000","63,000,000","58,000,000","56,000,000","51,000,000","48,000,000","45,000,000","42,659,000","40,183,000","31,603,000","48,555,000","47,125,000","43,043,000","46,349,000","43,177,000","109,160,000","104,657,000","96,793,000","83,647,000","79,867,000","78,609,000","78,634,000","82,701,000","79,770,000","82,678,000","46,312,000","35,082,000","31,645,000","40,065,000","42,271,000","44,448,000","41,021,000","35,752,000","34,145,000","30,974,000","27,710,000","24,213,000","22,671,000","19,004,000","17,100,000","15,300,000","9,400,000","7,800,000","7,400,000","6,300,000","5,700,000","5,100,000","4,400,000","3,600,000","3,000,000","2,500,000","2,100,000","2,200,000","2,400,000","1,800,000","1,200,000","1,800,000"
			DepreciationAndAmortization,"1,406,000,000","364,000,000","339,000,000","363,000,000","340,000,000","351,000,000","350,000,000","353,000,000","345,000,000","353,000,000","396,000,000","414,000,000","388,000,000","363,000,000","397,000,000","393,000,000","342,000,000","329,000,000","336,000,000","356,000,000","372,000,000","364,000,000","326,000,000","297,000,000","304,000,000","287,000,000","297,000,000","292,000,000","289,000,000","272,000,000","273,000,000","255,000,000","248,000,000","241,000,000","257,000,000","221,000,000","211,000,000","208,000,000","241,000,000","185,000,000","434,000,000","201,000,000","171,000,000","166,000,000","167,000,000","162,000,000","175,000,000","154,000,000","154,000,000","152,000,000","120,000,000","117,000,000","111,000,000","108,000,000","100,000,000","99,000,000","93,000,000","91,000,000","82,000,000","69,000,000","63,000,000","58,000,000","56,000,000","51,000,000","48,000,000","45,000,000","42,659,000","40,183,000","31,603,000","48,555,000","47,125,000","43,043,000","46,349,000","43,177,000","109,160,000","104,657,000","96,793,000","83,647,000","79,867,000","78,609,000","78,634,000","82,701,000","79,770,000","82,678,000","46,312,000","35,082,000","31,645,000","40,065,000","42,271,000","44,448,000","41,021,000","35,752,000","34,145,000","30,974,000","27,710,000","24,213,000","22,671,000","19,004,000","17,100,000","15,300,000","9,400,000","7,800,000","7,400,000","6,300,000","5,700,000","5,100,000","4,400,000","3,600,000","3,000,000","2,500,000","2,100,000","2,200,000","2,400,000","1,800,000","1,200,000","1,800,000"
		DeferredTax,"-125,000,000","53,000,000","150,000,000","-109,000,000","-219,000,000","-131,000,000","-230,000,000","3,164,000,000","-295,000,000","-663,000,000","-471,000,000","-504,000,000","-220,000,000","5,697,000,000","67,000,000","-237,000,000","-117,000,000","-113,000,000","36,000,000","-47,000,000","-86,000,000","-103,000,000","-112,000,000","86,000,000","80,000,000","-7,000,000","54,000,000","-24,000,000","10,000,000","258,000,000","48,000,000","59,000,000","-34,000,000","195,000,000","156,000,000",,,,,,,"-1,474,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65,734,000","64,466,000",,,,"67,916,000","137,039,000","171,335,000","105,331,000",,,,,,,,,"356,000",,,,,,,,,,,,,,,,,,,,,
