name,ttm,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989
TotalRevenue,"26,689,000,000","8,235,000,000","8,346,000,000","4,893,000,000","5,216,000,000","5,077,000,000","4,814,000,000","9,635,000,000","4,982,000,000","4,842,000,000","5,804,000,000","5,599,000,000","5,261,000,000","6,068,000,000","5,904,000,000","5,371,000,000","5,016,000,000","5,999,000,000","6,184,000,000","6,044,000,000","5,551,000,000","5,775,000,000","5,456,000,000","5,832,000,000","6,894,000,000","7,099,000,000","6,692,000,000","6,806,000,000","6,367,000,000","6,622,000,000","6,481,000,000","6,243,000,000","6,124,000,000","6,018,000,000","4,870,000,000","4,626,000,000","4,943,000,000","4,681,000,000","4,117,000,000","3,623,000,000","3,875,000,000","3,348,000,000","2,952,000,000","2,706,000,000","2,663,000,000","2,670,000,000","2,690,000,000","2,753,000,000","2,455,000,000","2,517,000,000","3,334,000,000","2,762,000,000","2,606,000,000","2,440,000,000","2,306,000,000","2,325,000,000","2,221,000,000","2,019,000,000","1,999,000,000","1,951,000,000","1,834,000,000","1,741,000,000","1,561,000,000","1,358,000,000","1,365,000,000","1,390,000,000","1,117,252,000","1,340,526,000","1,215,648,000","1,242,097,000","908,816,000","921,608,000","1,043,043,000","1,097,169,000","873,886,000","770,917,000","696,115,000","698,642,000","642,483,000","640,027,000","713,255,000","684,021,000","635,445,000","713,521,000","727,741,000","1,120,073,000","1,059,615,000","1,004,066,000","932,395,000","941,223,000","925,966,000","875,497,000","760,553,000","785,854,000","601,419,000","520,260,000","585,746,000","388,940,000","283,200,000","234,900,000","149,300,000","146,600,000","121,500,000","99,500,000","89,800,000","75,900,000","78,700,000","71,600,000","67,700,000","53,700,000","52,700,000","49,100,000","36,800,000","30,000,000","29,100,000","27,100,000","26,300,000","25,200,000","22,600,000","22,600,000","22,600,000","22,500,000","11,700,000","11,600,000","11,600,000","11,600,000"
	OperatingRevenue,"26,689,000,000","8,235,000,000","8,346,000,000","4,893,000,000","5,216,000,000","5,077,000,000","4,814,000,000","9,635,000,000","4,982,000,000","4,842,000,000","5,804,000,000","5,599,000,000","5,261,000,000","6,068,000,000","5,904,000,000","5,371,000,000","5,016,000,000","5,999,000,000","6,184,000,000","6,044,000,000","5,551,000,000","5,775,000,000","5,456,000,000","5,832,000,000","6,894,000,000","7,099,000,000","6,692,000,000","6,806,000,000","6,367,000,000","6,622,000,000","6,481,000,000","6,243,000,000","6,124,000,000","6,018,000,000","4,870,000,000","4,626,000,000","4,943,000,000","4,681,000,000","4,117,000,000","3,623,000,000","3,875,000,000","3,348,000,000","2,952,000,000","2,706,000,000","2,663,000,000","2,670,000,000","2,690,000,000","2,753,000,000","2,455,000,000","2,517,000,000","3,334,000,000","2,762,000,000","2,606,000,000","2,440,000,000","2,306,000,000","2,325,000,000","2,221,000,000","2,019,000,000","1,999,000,000","1,951,000,000","1,834,000,000","1,741,000,000","1,561,000,000","1,358,000,000","1,365,000,000","1,390,000,000","1,117,252,000","1,340,526,000","1,215,648,000","1,242,097,000","908,816,000","921,608,000","1,043,043,000","1,097,169,000","873,886,000","770,917,000","696,115,000","698,642,000","642,483,000","640,027,000","713,255,000","684,021,000","635,445,000","713,521,000","727,741,000","1,120,073,000","1,059,615,000","1,004,066,000","932,395,000","941,223,000","925,966,000","875,497,000","760,553,000","785,854,000","601,419,000","520,260,000","585,746,000","388,940,000","283,200,000","234,900,000","149,300,000","146,600,000","121,500,000","99,500,000","89,800,000","75,900,000","78,700,000","71,600,000","67,700,000","53,700,000","52,700,000","49,100,000","36,800,000","30,000,000","29,100,000","27,100,000","26,300,000","25,200,000","22,600,000","22,600,000","22,600,000","22,500,000","11,700,000","11,600,000","11,600,000","11,600,000"
CostOfRevenue,"10,631,000,000","3,489,000,000","2,766,000,000","2,080,000,000","2,297,000,000","2,113,000,000","2,118,000,000","2,114,000,000","2,179,000,000","2,188,000,000","2,850,000,000","2,491,000,000","2,239,000,000","2,663,000,000","2,652,000,000","2,488,000,000","2,208,000,000","2,443,000,000","2,539,000,000","2,534,000,000","2,141,000,000","2,534,000,000","2,252,000,000","2,451,000,000","2,628,000,000","3,047,000,000","2,757,000,000","2,740,000,000","2,482,000,000","2,706,000,000","2,714,000,000","2,497,000,000","2,372,000,000","2,237,000,000","1,841,000,000","1,719,000,000","1,783,000,000","1,754,000,000","1,497,000,000","1,278,000,000","1,363,000,000","1,130,000,000","988,000,000","905,000,000","809,000,000","816,000,000","824,000,000","864,000,000","738,000,000","755,000,000","921,000,000","889,000,000","820,000,000","783,000,000","725,000,000","688,000,000","634,000,000","634,000,000","586,000,000","559,000,000","521,000,000","517,000,000","441,000,000","389,000,000","386,000,000","430,000,000","409,946,000","369,189,000","335,135,000","408,531,000","333,216,000","326,902,000","381,928,000","388,001,000","312,087,000","288,162,000","291,914,000","245,197,000","252,815,000","232,870,000","253,497,000","295,921,000","233,026,000","274,952,000","350,396,000","648,748,000","621,240,000","597,667,000","623,775,000","642,390,000","620,772,000","624,680,000","534,332,000","553,615,000","420,179,000","355,423,000","455,194,000","287,210,000","175,700,000","145,300,000","85,300,000","85,200,000","59,900,000","46,000,000","43,100,000","33,700,000","38,200,000","35,000,000","37,100,000","26,600,000","25,500,000","25,700,000","21,900,000","17,600,000","13,600,000","13,800,000","16,300,000","13,800,000",,,,,,,,
GrossProfit,"16,058,000,000","4,746,000,000","5,580,000,000","2,813,000,000","2,919,000,000","2,964,000,000","2,696,000,000","7,521,000,000","2,803,000,000","2,654,000,000","2,954,000,000","3,108,000,000","3,022,000,000","3,405,000,000","3,252,000,000","2,883,000,000","2,808,000,000","3,556,000,000","3,645,000,000","3,510,000,000","3,410,000,000","3,241,000,000","3,204,000,000","3,381,000,000","4,266,000,000","4,052,000,000","3,935,000,000","4,066,000,000","3,885,000,000","3,916,000,000","3,767,000,000","3,746,000,000","3,752,000,000","3,781,000,000","3,029,000,000","2,907,000,000","3,160,000,000","2,927,000,000","2,620,000,000","2,345,000,000","2,512,000,000","2,218,000,000","1,964,000,000","1,801,000,000","1,854,000,000","1,854,000,000","1,866,000,000","1,889,000,000","1,717,000,000","1,762,000,000","2,413,000,000","1,873,000,000","1,786,000,000","1,657,000,000","1,581,000,000","1,637,000,000","1,587,000,000","1,385,000,000","1,413,000,000","1,392,000,000","1,313,000,000","1,224,000,000","1,120,000,000","969,000,000","979,000,000","960,000,000","707,306,000","971,337,000","880,513,000","833,566,000","575,600,000","594,706,000","661,115,000","709,168,000","561,799,000","482,755,000","404,201,000","453,445,000","389,668,000","407,157,000","459,758,000","388,100,000","402,419,000","438,569,000","377,345,000","471,325,000","438,375,000","406,399,000","308,620,000","298,833,000","305,194,000","250,817,000","226,221,000","232,239,000","181,240,000","164,837,000","130,552,000","101,730,000","107,500,000","89,600,000","64,000,000","61,400,000","61,600,000","53,500,000","46,700,000","42,200,000","40,500,000","36,600,000","30,600,000","27,100,000","27,200,000","23,400,000","14,900,000","12,400,000","15,500,000","13,300,000","10,000,000","11,400,000",,,,,,,,
OperatingExpense,"8,307,000,000","2,220,000,000","2,128,000,000","2,031,000,000","1,928,000,000","1,934,000,000","1,996,000,000","2,204,000,000","1,863,000,000","1,944,000,000","3,607,000,000","2,183,000,000","2,581,000,000","3,376,000,000","2,919,000,000","2,110,000,000","2,079,000,000","2,778,000,000","1,841,000,000","1,918,000,000","1,995,000,000","1,556,000,000","2,064,000,000","2,146,000,000","2,930,000,000","1,988,000,000","1,943,000,000","1,991,000,000","1,895,000,000","2,423,000,000","2,179,000,000","2,069,000,000","1,875,000,000","1,693,000,000","1,899,000,000","1,518,000,000","1,549,000,000","1,376,000,000","1,497,000,000","1,232,000,000","1,325,000,000","1,108,000,000","1,128,000,000","1,009,000,000","1,078,000,000","975,000,000","1,270,000,000","995,000,000","1,727,000,000","1,017,000,000","1,077,000,000","1,049,000,000","973,000,000","900,000,000","804,000,000","855,000,000","839,000,000","809,000,000","733,000,000","688,000,000","653,000,000","579,000,000","450,000,000","409,000,000","407,000,000","376,000,000","345,125,000","349,470,000","303,943,000","323,326,000","279,385,000","258,884,000","429,635,000","262,450,000","309,034,000","344,137,000","304,397,000","271,364,000","307,963,000","301,938,000","248,804,000","779,048,000","228,927,000","221,135,000","245,524,000","211,404,000","214,751,000","308,020,000","303,431,000","220,885,000","220,078,000","197,464,000","174,920,000","179,344,000","145,406,000","131,775,000","115,010,000","88,711,000","103,500,000","95,300,000","72,500,000","58,900,000","52,600,000","50,100,000","42,400,000","38,100,000","32,100,000","33,000,000","24,800,000","21,800,000","20,900,000","16,300,000","14,600,000","14,200,000","14,400,000","14,000,000","11,500,000","12,200,000",,,,,,,,
	SellingGeneralAndAdministration,"2,113,000,000","567,000,000","551,000,000","511,000,000","483,000,000","528,000,000","549,000,000","547,000,000","573,000,000","526,000,000","689,000,000","655,000,000","869,000,000","773,000,000","741,000,000","710,000,000","615,000,000","591,000,000","568,000,000","620,000,000","619,000,000","578,000,000","655,000,000","577,000,000","545,000,000","567,000,000","545,000,000","582,000,000","539,000,000","623,000,000","657,000,000","613,000,000","661,000,000","587,000,000","681,000,000","544,000,000","595,000,000","503,000,000","532,000,000","475,000,000","585,000,000","437,000,000","471,000,000","360,000,000","430,000,000","379,000,000","391,000,000","377,000,000","375,000,000","413,000,000","456,000,000","453,000,000","420,000,000","389,000,000","323,000,000","401,000,000","385,000,000","369,000,000","321,000,000","293,000,000","263,000,000","239,000,000","179,000,000","150,000,000","155,000,000","148,000,000","145,920,000","161,799,000","138,205,000","170,513,000","-60,552,000","151,599,000","295,869,000","147,999,000","131,847,000","152,072,000","123,960,000","100,765,000","95,744,000","104,175,000","87,272,000","79,964,000","67,070,000","76,696,000","97,398,000","101,848,000","95,640,000","104,884,000","104,894,000","120,523,000","115,152,000","104,654,000","97,974,000","92,567,000","73,611,000","66,932,000","53,112,000","42,533,000","38,300,000","33,300,000","25,000,000","26,700,000","19,500,000","21,000,000","17,800,000","14,300,000","9,400,000","13,400,000","10,700,000","18,200,000","17,900,000","13,800,000","12,400,000","12,000,000","12,000,000","12,200,000","10,200,000","10,400,000",,,,,,,,
	ResearchAndDevelopment,"6,222,000,000","1,653,000,000","1,582,000,000","1,520,000,000","1,468,000,000","1,406,000,000","1,441,000,000","1,380,000,000","1,308,000,000","1,269,000,000","1,388,000,000","1,416,000,000","1,402,000,000","1,420,000,000","1,398,000,000","1,391,000,000","1,386,000,000","1,311,000,000","1,229,000,000","1,268,000,000","1,301,000,000","1,352,000,000","1,357,000,000","1,407,000,000","1,375,000,000","1,352,000,000","1,364,000,000","1,429,000,000","1,356,000,000","1,328,000,000","1,349,000,000","1,298,000,000","1,214,000,000","1,106,000,000","1,114,000,000","974,000,000","954,000,000","873,000,000","851,000,000","757,000,000","740,000,000","671,000,000","657,000,000","649,000,000","648,000,000","596,000,000","614,000,000","618,000,000","604,000,000","604,000,000","621,000,000","596,000,000","553,000,000","511,000,000","481,000,000","454,000,000","454,000,000","440,000,000","412,000,000","395,000,000","390,000,000","340,000,000","271,000,000","259,000,000","252,000,000","228,000,000","207,431,000","193,608,000","169,023,000","149,938,000","143,297,000","135,690,000","131,801,000","112,479,000","109,969,000","118,086,000","116,755,000","106,868,000","114,970,000","107,414,000","106,253,000","86,123,000","85,917,000","80,933,000","90,153,000","83,404,000","84,273,000","93,791,000","102,713,000","100,362,000","104,926,000","92,810,000","76,946,000","74,801,000","71,795,000","64,843,000","53,106,000","46,178,000","48,100,000","46,700,000","35,300,000","32,200,000","23,700,000","21,300,000","17,700,000","17,500,000","17,000,000","13,100,000","10,100,000",,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"837,000","407,000","1,631,000","2,875,000","2,701,000","1,951,000","1,965,000","1,972,000","66,759,000","65,024,000","63,682,000","63,731,000","63,761,000","65,100,000","63,374,000","62,995,000","61,529,000","63,506,000","20,536,000",,,,,,,,,,,,,,"17,100,000","15,300,000","12,200,000",,"9,400,000","7,800,000","6,900,000","6,300,000","5,700,000","6,500,000","4,000,000","3,600,000","3,000,000","2,500,000","2,200,000","2,200,000","2,400,000","1,800,000","1,300,000","1,800,000",,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"837,000","407,000","1,631,000","2,875,000","2,701,000","1,951,000","1,965,000","1,972,000","66,759,000","65,024,000","63,682,000","63,731,000","63,761,000","65,100,000","63,374,000","62,995,000","61,529,000","63,506,000","20,536,000",,,,,,,,,,,,,,"17,100,000","15,300,000","12,200,000",,"9,400,000","7,800,000","6,900,000","6,300,000","5,700,000","6,500,000","4,000,000","3,600,000","3,000,000","2,500,000","2,200,000","2,200,000","2,400,000","1,800,000","1,300,000","1,800,000",,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"837,000","407,000","1,631,000","2,875,000","2,701,000","1,951,000","1,965,000","1,972,000","66,759,000","65,024,000","63,682,000","63,731,000","63,761,000","65,100,000","63,374,000","62,995,000","61,529,000","63,506,000","20,536,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
