Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,2.492188,2.744792,2.411458,2.697917,1.540905,135110400
1985-02-01,2.656250,2.697917,2.281250,2.320313,1.325238,144758400
1985-03-01,2.317708,2.375000,2.197917,2.317708,1.323751,84715200
1985-04-01,2.320313,2.375000,1.880208,1.950521,1.119143,180753600
1985-05-01,1.958333,2.041667,1.796875,1.841146,1.056388,174225600
1985-06-01,1.875000,2.140625,1.843750,1.992188,1.143051,169435200
1985-07-01,2.000000,2.270833,1.979167,2.182292,1.258539,187473600
1985-08-01,2.177083,2.190104,1.955729,1.989583,1.147403,66124800
1985-09-01,1.989583,2.020833,1.901042,1.906250,1.099344,56112000
1985-10-01,1.921875,2.005208,1.822917,1.882813,1.085828,104419200
1985-11-01,1.882813,2.184896,1.854167,2.135417,1.238273,118612800
1985-12-01,2.140625,2.291667,2.109375,2.197917,1.274514,135715200
1986-01-01,2.197917,2.312500,2.145833,2.286458,1.332232,118305600
1986-02-01,2.291667,2.692708,2.276042,2.656250,1.547695,149371200
1986-03-01,2.656250,2.705729,2.463542,2.466146,1.436929,135182400
1986-04-01,2.466146,3.088542,2.385417,2.895833,1.687291,216969600
1986-05-01,2.875000,2.945313,2.708333,2.885417,1.688549,141844800
1986-06-01,2.882813,2.908854,2.442708,2.486979,1.455382,133756800
1986-07-01,2.489583,2.515625,2.140625,2.286458,1.338037,135652800
1986-08-01,2.296875,2.559896,2.143229,2.531250,1.487501,129796800
1986-09-01,2.541667,2.567708,2.270833,2.296875,1.349769,112008000
1986-10-01,2.270833,2.385417,2.218750,2.304688,1.354361,118579200
1986-11-01,2.299479,2.500000,2.296875,2.489583,1.469680,92270400
1986-12-01,2.489583,2.614583,2.421875,2.460938,1.452770,118056000
1987-01-01,2.460938,3.020833,2.432292,2.955729,1.752223,272208000
1987-02-01,2.947917,3.416667,2.940104,3.416667,2.025478,241651200
1987-03-01,3.375000,3.958333,3.364583,3.864583,2.291014,208228800
1987-04-01,3.911458,4.229167,3.854167,4.007813,2.382419,223531200
1987-05-01,3.979167,4.104167,3.500000,3.658854,2.174984,164635200
1987-06-01,3.687500,3.867188,3.463542,3.804688,2.261673,153345600
1987-07-01,3.781250,4.070313,3.656250,3.906250,2.328834,160448000
1987-08-01,3.828125,4.843750,3.750000,4.601563,2.743366,261889600
1987-09-01,4.617188,4.859375,4.265625,4.671875,2.785285,304355200
1987-10-01,4.734375,5.015625,2.265625,3.039063,1.816178,338422400
1987-11-01,2.968750,3.250000,2.359375,2.625000,1.568729,190011200
1987-12-01,2.671875,3.531250,2.523438,3.484375,2.082301,211792000
1988-01-01,3.523438,3.750000,2.593750,2.960938,1.775196,204470400
1988-02-01,2.992188,3.335938,2.656250,3.242188,1.943816,143772800
1988-03-01,3.250000,3.539063,2.882813,2.914063,1.747092,180742400
1988-04-01,2.875000,3.406250,2.820313,2.937500,1.767291,197182400
1988-05-01,2.937500,3.046875,2.625000,2.804688,1.687387,117849600
1988-06-01,2.804688,3.203125,2.781250,3.039063,1.828395,164913600
1988-07-01,3.078125,3.109375,2.578125,2.718750,1.641683,147086400
1988-08-01,2.718750,2.796875,2.343750,2.546875,1.537899,152731200
1988-09-01,2.500000,2.656250,2.390625,2.585938,1.561487,152872000
1988-10-01,2.531250,2.648438,2.328125,2.398438,1.454774,157190400
1988-11-01,2.398438,2.421875,2.156250,2.210938,1.341045,130529600
1988-12-01,2.218750,2.585938,2.218750,2.562500,1.554285,156307200
1989-01-01,2.554688,2.796875,2.515625,2.742188,1.670794,166460800
1989-02-01,2.742188,2.757813,2.476563,2.500000,1.523230,112483200
1989-03-01,2.515625,2.523438,2.320313,2.476563,1.508950,114067200
1989-04-01,2.476563,2.578125,2.375000,2.492188,1.525698,125478400
1989-05-01,2.492188,2.820313,2.445313,2.781250,1.702659,178092800
1989-06-01,2.781250,2.921875,2.406250,2.445313,1.497001,164801600
1989-07-01,2.437500,2.562500,2.328125,2.460938,1.512975,103819200
1989-08-01,2.468750,2.625000,2.343750,2.500000,1.536989,134184000
1989-09-01,2.500000,2.617188,2.390625,2.406250,1.479352,103416000
1989-10-01,2.398438,2.468750,1.898438,1.992188,1.230325,155446400
1989-11-01,2.000000,2.406250,1.757813,2.265625,1.399193,256908800
1989-12-01,2.257813,2.304688,2.140625,2.242188,1.384719,90048000
1990-01-01,2.257813,2.406250,1.890625,2.085938,1.294858,140432000
1990-02-01,2.085938,2.218750,1.953125,2.203125,1.367603,65068800
1990-03-01,2.203125,2.406250,2.203125,2.265625,1.406400,140481600
