name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"19,351,000,000","18,018,000,000","17,137,000,000","17,642,000,000","16,431,000,000","16,230,000,000","17,722,000,000","18,938,000,000","20,021,000,000","20,497,000,000","13,401,000,000","12,119,000,000","11,923,000,000","12,667,000,000","13,930,000,000","15,063,000,000","16,299,000,000","15,510,000,000","14,679,000,000","15,779,000,000","17,720,000,000","15,028,000,000","11,250,000,000","10,849,000,000","9,360,000,000","9,215,000,000","6,989,000,000","5,993,000,000","5,185,000,000","5,009,000,000","5,048,000,000","4,804,400,000","4,427,500,000","4,256,300,000","3,336,700,000","3,076,100,000"
	CurrentAssets,"10,239,000,000","8,761,000,000","8,097,000,000","8,734,000,000","7,457,000,000","7,074,000,000","7,768,000,000","8,019,000,000","8,230,000,000","7,828,000,000","7,060,000,000","6,114,000,000","5,790,000,000","6,918,000,000","7,854,000,000","9,185,000,000","10,190,000,000","7,709,000,000","6,126,000,000","5,775,000,000","8,115,000,000","6,055,000,000","4,846,000,000","6,103,000,000","4,454,000,000","5,518,000,000","4,017,000,000","3,314,000,000","2,626,000,000","2,381,000,000","2,305,000,000","2,446,400,000","2,548,600,000","2,562,800,000","1,781,400,000","1,530,700,000"
		CashCashEquivalentsAndShortTermInvestments,"6,568,000,000","5,387,000,000","4,233,000,000","4,469,000,000","3,490,000,000","3,218,000,000","3,541,000,000","3,829,000,000","3,965,000,000","2,935,000,000","3,072,000,000","2,925,000,000","2,540,000,000","2,924,000,000","3,717,000,000","5,335,000,000","6,358,000,000","4,329,000,000","3,012,000,000","2,944,000,000","4,003,000,000","2,662,000,000","2,249,000,000","3,020,000,000","978,000,000","1,553,000,000","1,290,000,000","888,000,000","356,000,000","452,000,000","403,000,000","418,200,000","780,400,000","662,600,000","214,400,000","158,800,000"
			CashAndCashEquivalents,"3,107,000,000","2,437,000,000","2,438,000,000","1,656,000,000","1,154,000,000","1,000,000,000","1,199,000,000","1,627,000,000","1,416,000,000","992,000,000","1,319,000,000","1,182,000,000","1,046,000,000","1,328,000,000","1,183,000,000","1,219,000,000","2,668,000,000","1,818,000,000","949,000,000","431,000,000","745,000,000","662,000,000","540,000,000","1,015,000,000","964,000,000","1,364,000,000","760,000,000","404,000,000","356,000,000","452,000,000","403,000,000","418,200,000","780,400,000","662,600,000","214,400,000","158,800,000"
				CashFinancial,"625,000,000","446,000,000","230,000,000","259,000,000","211,000,000","228,000,000","215,000,000","217,000,000","222,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"2,482,000,000","1,991,000,000","2,208,000,000","1,397,000,000","943,000,000","772,000,000","984,000,000","1,410,000,000","1,194,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"3,461,000,000","2,950,000,000","1,795,000,000","2,813,000,000","2,336,000,000","2,218,000,000","2,342,000,000","2,202,000,000","2,549,000,000","1,943,000,000","1,753,000,000","1,743,000,000","1,494,000,000","1,596,000,000","2,534,000,000","4,116,000,000","3,690,000,000","2,511,000,000","2,063,000,000","2,513,000,000","3,258,000,000","2,000,000,000","1,709,000,000","2,005,000,000","14,000,000","189,000,000","530,000,000","484,000,000",,,,,,,,
		Receivables,"1,414,000,000","1,074,000,000","1,207,000,000","1,278,000,000","1,267,000,000","1,165,000,000","1,246,000,000","1,203,000,000","1,230,000,000","1,545,000,000","1,518,000,000","1,277,000,000","913,000,000","1,742,000,000","1,774,000,000","1,812,000,000","1,696,000,000","1,451,000,000","1,217,000,000","1,198,000,000","2,204,000,000","1,843,000,000","1,343,000,000","1,705,000,000","1,799,000,000","2,320,000,000","1,442,000,000","1,218,000,000","975,000,000","905,000,000","944,000,000","942,900,000","942,100,000","848,200,000","669,700,000","620,100,000"
			AccountsReceivable,"1,414,000,000","1,074,000,000","1,207,000,000","1,278,000,000","1,267,000,000","1,165,000,000","1,246,000,000","1,203,000,000","1,230,000,000","1,545,000,000","1,518,000,000","1,277,000,000","913,000,000","1,742,000,000","1,774,000,000","1,812,000,000","1,696,000,000","1,451,000,000","1,217,000,000","1,198,000,000","2,204,000,000","1,843,000,000","1,343,000,000","1,705,000,000","1,799,000,000","2,320,000,000","1,442,000,000","1,218,000,000",,,,,,,,
				GrossAccountsReceivable,"1,425,000,000","1,082,000,000","1,226,000,000","1,286,000,000","1,284,000,000","1,172,000,000","1,258,000,000","1,225,000,000","1,261,000,000","1,564,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
