name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
OperatingCashFlow,"6,139,000,000","6,139,000,000","6,649,000,000","7,189,000,000","5,363,000,000","4,614,000,000","4,268,000,000","3,892,000,000","3,384,000,000","3,414,000,000","3,256,000,000","3,820,000,000","2,643,000,000","3,330,000,000","4,406,000,000","2,460,000,000","3,772,000,000","3,146,000,000","2,151,000,000","1,992,000,000","1,819,000,000","2,185,000,000","2,029,000,000","1,251,000,000","1,916,000,000","884,000,000","1,667,000,000","1,532,000,000","934,000,000","801,000,000","417,000,000","694,000,000","798,500,000"
	CashFlowFromContinuingOperatingActivities,"6,139,000,000","6,139,000,000","6,649,000,000","7,189,000,000","5,363,000,000","4,614,000,000","4,268,000,000","3,892,000,000","3,384,000,000","3,414,000,000","3,256,000,000","3,820,000,000","2,643,000,000","3,330,000,000","4,422,000,000","4,156,000,000","3,772,000,000","3,146,000,000","2,151,000,000","1,992,000,000","1,819,000,000","2,185,000,000","2,029,000,000","1,251,000,000","1,843,000,000","798,000,000","1,667,000,000","1,532,000,000","934,000,000","801,000,000","417,000,000","694,000,000","798,500,000"
		NetIncomeFromContinuingOperations,"5,595,000,000","5,595,000,000","5,017,000,000","5,580,000,000","3,682,000,000","3,595,000,000","2,986,000,000","2,821,000,000","2,162,000,000","1,759,000,000",,"3,228,000,000","1,470,000,000","1,920,000,000","2,657,000,000","4,341,000,000","2,324,000,000","1,861,000,000","1,198,000,000","-344,000,000","-201,000,000","3,087,000,000","1,406,000,000","407,000,000","1,827,000,000","-46,000,000","1,088,000,000","691,000,000","476,000,000","247,000,000","-409,000,000","-39,000,000","291,700,000"
		OperatingGainsLosses,"-4,000,000","-4,000,000","-23,000,000","-3,000,000",,"-40,000,000","-85,000,000","-73,000,000","-6,000,000","-144,000,000","-5,000,000","-144,000,000",,"6,000,000","-39,000,000","-76,000,000","150,000,000","1,000,000","-148,000,000","800,000,000","4,000,000","123,000,000","79,000,000","21,000,000","-1,080,000,000","7,000,000","6,000,000","3,000,000","4,000,000","3,000,000","9,000,000","4,000,000","11,600,000"
			PensionAndEmployeeBenefitExpense,,,,,,,,"0","0","-144,000,000",,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"992,000,000","992,000,000","1,050,000,000","954,000,000","904,000,000","955,000,000","1,133,000,000","1,230,000,000","1,297,000,000","1,299,000,000","1,015,000,000","913,000,000","925,000,000","1,059,000,000","1,070,000,000","1,221,000,000","1,558,000,000","1,549,000,000","1,528,000,000","1,689,000,000","1,828,000,000","1,376,000,000","1,055,000,000","1,144,000,000","1,109,000,000","904,000,000","756,000,000","665,000,000","617,000,000","610,000,000","590,000,000","541,000,000","453,700,000"
			DepreciationAndAmortization,"992,000,000","992,000,000","1,050,000,000","954,000,000","904,000,000","955,000,000","1,133,000,000","1,230,000,000","1,297,000,000","1,299,000,000","1,015,000,000","913,000,000","925,000,000","1,059,000,000","1,070,000,000","1,221,000,000","1,558,000,000","1,549,000,000","1,528,000,000","1,689,000,000","1,828,000,000","1,376,000,000","1,055,000,000","1,144,000,000","1,109,000,000","904,000,000","756,000,000","665,000,000","617,000,000","610,000,000","590,000,000","541,000,000","453,700,000"
				Depreciation,"733,000,000","733,000,000","708,000,000","590,000,000","539,000,000","605,000,000","766,000,000","850,000,000","879,000,000","957,000,000","904,000,000","865,000,000","877,000,000","1,022,000,000","1,022,000,000","1,052,000,000","1,375,000,000","1,479,000,000","1,429,000,000","1,574,000,000","1,599,000,000","1,216,000,000","986,000,000",,,,,,,,,,
				AmortizationCashFlow,"259,000,000","259,000,000","342,000,000","364,000,000","365,000,000","350,000,000","367,000,000","380,000,000","418,000,000","342,000,000","111,000,000","48,000,000","48,000,000","37,000,000","48,000,000","169,000,000","183,000,000","70,000,000","99,000,000","115,000,000","229,000,000","160,000,000","69,000,000",,,,,,,,,,
					AmortizationOfIntangibles,"259,000,000","259,000,000","342,000,000","364,000,000","365,000,000","350,000,000","367,000,000","380,000,000","418,000,000","342,000,000","111,000,000","48,000,000","48,000,000","37,000,000","48,000,000","169,000,000","183,000,000","70,000,000","99,000,000","115,000,000","229,000,000","160,000,000","69,000,000",,,,,,,,,,
		DeferredTax,"-137,000,000","-137,000,000","81,000,000","-105,000,000","112,000,000","-202,000,000","-55,000,000","-61,000,000","50,000,000","65,000,000","-119,000,000","-188,000,000","146,000,000","-182,000,000","34,000,000","-200,000,000","-194,000,000","68,000,000","75,000,000","13,000,000","19,000,000","1,000,000","-9,000,000","-50,000,000","-148,000,000","-51,000,000","-46,000,000","-12,000,000","-59,000,000","-93,000,000",,,
			DeferredIncomeTax,"-137,000,000","-137,000,000","81,000,000","-105,000,000","112,000,000","-202,000,000","-55,000,000","-61,000,000","50,000,000","65,000,000","-119,000,000","-188,000,000","146,000,000","-182,000,000","34,000,000","-200,000,000","-194,000,000","68,000,000","75,000,000","13,000,000","19,000,000","1,000,000","-9,000,000","-50,000,000","-148,000,000","-51,000,000","-46,000,000","-12,000,000","-59,000,000","-93,000,000",,,
		StockBasedCompensation,"224,000,000","224,000,000","217,000,000","232,000,000","242,000,000","252,000,000","286,000,000","277,000,000","287,000,000","263,000,000","269,000,000","190,000,000","186,000,000","213,000,000",,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"-94,000,000","-94,000,000","-35,000,000","-107,000,000","-16,000,000","-26,000,000","-68,000,000","-21,000,000","-152,000,000","39,000,000","2,190,000,000","12,000,000","28,000,000","-35,000,000","338,000,000","122,000,000",,"68,000,000","-189,000,000","-46,000,000","-72,000,000","54,000,000","-238,000,000","-232,000,000","154,000,000","91,000,000","19,000,000","85,000,000","66,000,000","7,000,000","-13,000,000","83,000,000","-23,000,000"
		ChangeInWorkingCapital,"-437,000,000","-437,000,000","342,000,000","638,000,000","439,000,000","80,000,000","71,000,000","-281,000,000","-254,000,000","133,000,000","-94,000,000","-191,000,000","-112,000,000","314,000,000","362,000,000","-1,252,000,000","-66,000,000","-401,000,000","-313,000,000","-120,000,000","241,000,000","-2,456,000,000","-264,000,000","-39,000,000","-19,000,000","-107,000,000","-156,000,000","100,000,000","-170,000,000","27,000,000","240,000,000","105,000,000","64,500,000"
			ChangeInReceivables,"-340,000,000","-340,000,000","133,000,000","71,000,000","-7,000,000","-108,000,000","77,000,000","-49,000,000","16,000,000","311,000,000","112,000,000","-231,000,000","-364,000,000","865,000,000","40,000,000","-116,000,000","-139,000,000","-238,000,000","-197,000,000","-114,000,000","977,000,000","-348,000,000","-436,000,000","289,000,000","-39,000,000","250,000,000","-870,000,000","-197,000,000","-258,000,000","-111,000,000","11,000,000","35,000,000","-27,000,000"
				ChangesInAccountReceivables,"-340,000,000","-340,000,000","133,000,000","71,000,000","-7,000,000","-108,000,000","77,000,000","-49,000,000","16,000,000","311,000,000","112,000,000","-231,000,000","-364,000,000","865,000,000",,,,,,,,,,,,,,,,,,,
			ChangeInInventory,"46,000,000","46,000,000","216,000,000","-282,000,000","-167,000,000","-99,000,000","93,000,000","-53,000,000","26,000,000","5,000,000","-17,000,000","-304,000,000","177,000,000","43,000,000","11,000,000","-248,000,000","-25,000,000","-272,000,000","-194,000,000","-39,000,000","482,000,000","-372,000,000","-211,000,000","74,000,000","-34,000,000","245,000,000","-253,000,000","-60,000,000","-88,000,000","50,000,000","55,000,000","-81,000,000","-36,700,000"
			ChangeInPrepaidAssets,"-79,000,000","-79,000,000","265,000,000","669,000,000","76,000,000","-81,000,000","94,000,000","65,000,000","-136,000,000","227,000,000","-29,000,000","-8,000,000","35,000,000","-125,000,000","13,000,000","-96,000,000","117,000,000","134,000,000","-183,000,000","191,000,000","-254,000,000","27,000,000","-21,000,000","-17,000,000",,"9,000,000","9,000,000","-9,000,000","-3,000,000",,,,
			ChangeInPayablesAndAccruedExpense,"-118,000,000","-118,000,000","-286,000,000","151,000,000","519,000,000","405,000,000","-177,000,000","-275,000,000","-206,000,000","-130,000,000","-83,000,000","352,000,000","40,000,000","-344,000,000","77,000,000","-104,000,000","264,000,000","-71,000,000","264,000,000","-81,000,000","-687,000,000","246,000,000","85,000,000","-427,000,000","-36,000,000","-404,000,000","677,000,000","330,000,000","37,000,000","-16,000,000","53,000,000","145,000,000","163,100,000"
				ChangeInPayable,"-118,000,000","-118,000,000","-286,000,000","151,000,000","519,000,000","405,000,000","-177,000,000","-275,000,000","-206,000,000","-130,000,000","-83,000,000","106,000,000","56,000,000","-344,000,000",,,,,,,,,,,,,,,,,,,
					ChangeInTaxPayable,"-181,000,000","-181,000,000","-193,000,000","158,000,000","468,000,000","333,000,000","11,000,000","-81,000,000","78,000,000","-229,000,000","-85,000,000","49,000,000","73,000,000","38,000,000",,,,,,,,,,,,,,,,,,,
						ChangeInIncomeTaxPayable,"-181,000,000","-181,000,000","-193,000,000","158,000,000","468,000,000","333,000,000","11,000,000","-81,000,000","78,000,000","-229,000,000","-85,000,000","49,000,000","73,000,000","38,000,000",,,,,,,,,,,,,,,,,,,
					ChangeInAccountPayable,"63,000,000","63,000,000","-93,000,000","-7,000,000","51,000,000","72,000,000","-188,000,000","-194,000,000","-284,000,000","99,000,000",,,,,,,,,,,,,,,,,,,,,,,
				ChangeInAccruedExpense,,,,,,,,,,,,"246,000,000","-16,000,000","-84,000,000",,,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,"-1,636,000,000",,,"-19,000,000",,,,,"1,000,000","1,000,000","-2,000,000","-4,900,000"
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,"-84,000,000","221,000,000","-688,000,000","-276,000,000","294,000,000","-3,000,000","-77,000,000","-277,000,000","-373,000,000","319,000,000","42,000,000","109,000,000","-207,000,000","281,000,000","36,000,000","142,000,000","103,000,000","120,000,000","8,000,000","-30,000,000"
			ChangeInOtherWorkingCapital,"54,000,000","54,000,000","14,000,000","29,000,000","18,000,000","-37,000,000","-16,000,000","31,000,000","46,000,000","-280,000,000","-77,000,000","12,000,000",,"-41,000,000",,,"-7,000,000","-248,000,000",,,,,,,,,,,,,,,
	CashFromDiscontinuedOperatingActivities,,,,,,,,,,,,,,"0","-16,000,000","-1,696,000,000",,,,,,,,,"73,000,000","86,000,000",,,,,,,
InvestingCashFlow,"-922,000,000","-922,000,000","-1,920,000,000","-78,000,000","-1,127,000,000","-650,000,000","-302,000,000","-377,000,000","-3,000,000","-1,039,000,000","-6,172,000,000","-1,057,000,000","-1,096,000,000","-1,182,000,000","215,000,000","3,075,000,000","-1,687,000,000","-1,161,000,000","-842,000,000","-1,109,000,000","-1,626,000,000","-1,824,000,000","-1,875,000,000","-1,470,000,000","-1,221,000,000","-2,131,000,000","-1,096,000,000","-1,123,000,000","-711,000,000","-735,000,000","-533,000,000","-699,000,000","-831,800,000"
	CashFlowFromContinuingInvestingActivities,"-922,000,000","-922,000,000","-1,920,000,000","-78,000,000","-1,127,000,000","-650,000,000","-302,000,000","-377,000,000","-3,000,000","-1,039,000,000","-6,172,000,000","-1,057,000,000","-1,096,000,000","-1,182,000,000","215,000,000","3,091,000,000","-1,687,000,000","-1,161,000,000","-842,000,000","-1,109,000,000","-1,626,000,000","-1,824,000,000","-1,875,000,000","-1,470,000,000","-1,205,000,000","-2,051,000,000","-1,096,000,000","-1,123,000,000","-711,000,000","-735,000,000","-533,000,000","-699,000,000","-831,800,000"
		CapitalExpenditureReported,"-649,000,000","-649,000,000","-847,000,000","-1,131,000,000","-695,000,000","-531,000,000","-551,000,000","-385,000,000","-412,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		NetPPEPurchaseAndSale,,,,,,,,,,"-495,000,000","-816,000,000","-1,051,000,000","-753,000,000","-763,000,000","-625,000,000","1,728,000,000","-1,283,000,000","-1,298,000,000","-800,000,000","-802,000,000","-1,790,000,000","-2,655,000,000","-1,373,000,000","-931,000,000","-1,238,000,000","-1,913,000,000","-1,439,000,000","-1,076,000,000","-730,000,000","-381,000,000","-504,000,000","-909,000,000","-862,500,000"
			PurchaseOfPPE,,,,,,,,,,"-495,000,000","-816,000,000","-1,199,000,000","-753,000,000","-763,000,000","-686,000,000","-1,272,000,000","-1,330,000,000","-1,298,000,000","-800,000,000","-802,000,000","-1,790,000,000","-2,762,000,000","-1,373,000,000","-1,031,000,000","-1,238,000,000","-2,063,000,000","-1,439,000,000","-1,076,000,000","-730,000,000","-429,000,000","-504,000,000","-909,000,000","-862,500,000"
			SaleOfPPE,,,,,,,,,,,,"148,000,000",,,"61,000,000","3,000,000,000","47,000,000",,,,,"107,000,000",,"100,000,000",,"150,000,000",,,,"48,000,000",,,
		NetBusinessPurchaseAndSale,,,,,,,,,"0","0","-5,425,000,000","-199,000,000","-155,000,000","-19,000,000","-87,000,000","-205,000,000","-19,000,000","-8,000,000","-128,000,000","-69,000,000",,"-3,000,000","-469,000,000","-152,000,000",,"-313,000,000",,,,,,,
			PurchaseOfBusiness,,,,,,,,,"0","0","-5,425,000,000","-199,000,000","-155,000,000","-19,000,000",,,,,,,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,"-241,000,000","-241,000,000","-1,135,000,000","1,067,000,000","-460,000,000","-113,000,000","125,000,000","-141,000,000","342,000,000","-544,000,000","53,000,000","193,000,000","-188,000,000","-400,000,000","927,000,000","1,568,000,000","-385,000,000","145,000,000","108,000,000","-238,000,000","164,000,000","834,000,000","-33,000,000","293,000,000","-1,978,000,000","175,000,000","343,000,000","-47,000,000","19,000,000","-354,000,000","-29,000,000","210,000,000","30,700,000"
			PurchaseOfInvestment,"-5,786,000,000","-5,786,000,000","-3,444,000,000","-5,641,000,000","-4,555,000,000","-3,503,000,000","-2,767,000,000","-3,107,000,000","-3,907,000,000","-2,803,000,000","-3,659,000,000","-2,518,000,000","-2,282,000,000","-1,755,000,000","-5,065,000,000","-6,861,000,000","-5,868,000,000","-3,696,000,000","-4,402,000,000","-3,172,000,000","-3,989,000,000","-5,542,000,000","-2,524,000,000","-2,244,000,000","-2,457,000,000","-27,000,000","-733,000,000","-779,000,000",,"-354,000,000","-151,000,000","-15,000,000","-44,800,000"
			SaleOfInvestment,"5,545,000,000","5,545,000,000","2,309,000,000","6,708,000,000","4,095,000,000","3,390,000,000","2,892,000,000","2,966,000,000","4,249,000,000","2,259,000,000","3,712,000,000","2,711,000,000","2,094,000,000","1,355,000,000","5,992,000,000","8,429,000,000","5,483,000,000","3,841,000,000","4,510,000,000","2,934,000,000","4,153,000,000","6,376,000,000","2,491,000,000","2,537,000,000","479,000,000","202,000,000","1,076,000,000","732,000,000","19,000,000",,"122,000,000","225,000,000","75,500,000"
		NetOtherInvestingChanges,"-32,000,000","-32,000,000","62,000,000","-14,000,000","28,000,000","-6,000,000","124,000,000","149,000,000","67,000,000",,"16,000,000","148,000,000",,,,,,,"-22,000,000",,,,,"-680,000,000","2,011,000,000",,,,,,,,
	CashFromDiscontinuedInvestingActivities,,,,,,,,,,,,,,"0",,"-16,000,000",,,,,,,,,"-16,000,000","-80,000,000",,,,,,,
FinancingCashFlow,"-4,547,000,000","-4,547,000,000","-4,730,000,000","-6,329,000,000","-3,734,000,000","-3,810,000,000","-4,165,000,000","-3,943,000,000","-3,170,000,000","-1,951,000,000","2,589,000,000","-2,626,000,000","-1,411,000,000","-2,430,000,000","-4,477,000,000","-5,568,000,000","-3,540,000,000","-1,150,000,000","-439,000,000","-379,000,000","-491,000,000","-368,000,000","-64,000,000","-262,000,000","-621,000,000","863,000,000","23,000,000","-59,000,000","-168,000,000","-157,000,000","173,000,000","-14,000,000","-82,800,000"
	CashFlowFromContinuingFinancingActivities,"-4,547,000,000","-4,547,000,000","-4,730,000,000","-6,329,000,000","-3,734,000,000","-3,810,000,000","-4,165,000,000","-3,943,000,000","-3,170,000,000","-1,951,000,000","2,589,000,000","-2,626,000,000","-1,411,000,000","-2,430,000,000","-4,477,000,000","-5,568,000,000","-3,540,000,000","-1,150,000,000","-439,000,000","-379,000,000","-491,000,000","-368,000,000","-64,000,000","-262,000,000","-621,000,000","863,000,000","23,000,000","-59,000,000","-168,000,000","-157,000,000","173,000,000","-14,000,000","-82,800,000"
		NetIssuancePaymentsOfDebt,"998,000,000","998,000,000","741,000,000","1,000,000,000","474,000,000","-501,000,000","-502,000,000","-502,000,000","-514,000,000","117,000,000","4,497,000,000",,"0","0","-43,000,000","-586,000,000","264,000,000","-435,000,000","-426,000,000","-29,000,000","-132,000,000","-53,000,000","139,000,000","-72,000,000","-542,000,000","958,000,000","24,000,000","-88,000,000","-38,000,000","64,000,000","183,000,000","80,000,000","4,800,000"
			NetLongTermDebtIssuance,"998,000,000","998,000,000","741,000,000","1,000,000,000","474,000,000","-501,000,000","-502,000,000","-502,000,000","-514,000,000","117,000,000","4,497,000,000",,"0","0",,,,,,,,,,,,,,,,,,,
				LongTermDebtIssuance,"1,498,000,000","1,498,000,000","1,491,000,000","1,500,000,000","1,099,000,000","499,000,000","498,000,000","498,000,000","986,000,000","1,492,000,000","4,697,000,000",,,"0",,,,,,,,,,,,,,,,,,,
				LongTermDebtPayments,"-500,000,000","-500,000,000","-750,000,000","-500,000,000","-625,000,000","-1,000,000,000","-1,000,000,000","-1,000,000,000","-1,500,000,000","-1,375,000,000","-200,000,000",,"0","0",,,,,,,,,,,,,,,,,,,
		NetCommonStockIssuance,"-2,083,000,000","-2,083,000,000","-2,421,000,000","-4,727,000,000","-2,073,000,000","-1,660,000,000","-2,299,000,000","-2,215,000,000","-1,554,000,000","-1,277,000,000","-1,283,000,000","-2,047,000,000","-845,000,000","-1,912,000,000","-4,125,000,000","-4,883,000,000","-3,631,000,000","-561,000,000","-127,000,000","-203,000,000","-212,000,000","87,000,000","-69,000,000","-57,000,000","54,000,000","35,000,000","111,000,000","110,000,000","-50,000,000","-121,000,000","100,000,000","8,000,000","46,800,000"
			CommonStockIssuance,"470,000,000","470,000,000","539,000,000","373,000,000","483,000,000","472,000,000","442,000,000","616,000,000","1,314,000,000","523,000,000","690,000,000","407,000,000","109,000,000","210,000,000","761,000,000","419,000,000","520,000,000","192,000,000","157,000,000","167,000,000","183,000,000","242,000,000","398,000,000","196,000,000","140,000,000","35,000,000","111,000,000","110,000,000","100,000,000","25,000,000","325,000,000","8,000,000","46,800,000"
			CommonStockPayments,"-2,553,000,000","-2,553,000,000","-2,960,000,000","-5,100,000,000","-2,556,000,000","-2,132,000,000","-2,741,000,000","-2,831,000,000","-2,868,000,000","-1,800,000,000","-1,973,000,000","-2,454,000,000","-954,000,000","-2,122,000,000","-4,886,000,000","-5,302,000,000","-4,151,000,000","-753,000,000","-284,000,000","-370,000,000","-395,000,000","-155,000,000","-467,000,000","-253,000,000","-86,000,000",,,,"-150,000,000","-146,000,000","-225,000,000",,
		CashDividendsPaid,"-3,426,000,000","-3,426,000,000","-3,008,000,000","-2,555,000,000","-2,104,000,000","-1,646,000,000","-1,444,000,000","-1,323,000,000","-1,175,000,000","-819,000,000","-644,000,000","-592,000,000","-567,000,000","-537,000,000","-425,000,000","-199,000,000","-173,000,000","-154,000,000","-147,000,000","-147,000,000","-147,000,000","-141,000,000","-134,000,000","-133,000,000","-131,000,000","-129,000,000","-111,000,000","-79,000,000","-86,000,000","-98,000,000","-90,000,000","-94,000,000","-97,300,000"
			CommonStockDividendPaid,"-3,426,000,000","-3,426,000,000","-3,008,000,000","-2,555,000,000","-2,104,000,000","-1,646,000,000","-1,444,000,000","-1,323,000,000","-1,175,000,000","-819,000,000",,,,,,,,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-36,000,000","-36,000,000","-42,000,000","-47,000,000","-31,000,000","-3,000,000","80,000,000","97,000,000","73,000,000","28,000,000","19,000,000","13,000,000","1,000,000","19,000,000","116,000,000","100,000,000",,,"261,000,000",,,"-261,000,000",,,"-2,000,000","-1,000,000","-1,000,000","-2,000,000","6,000,000","-2,000,000","-20,000,000","-8,000,000","-37,100,000"
	CashFromDiscontinuedFinancingActivities,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,
EndCashPosition,"3,107,000,000","3,107,000,000","2,437,000,000","2,438,000,000","1,656,000,000","1,154,000,000","1,000,000,000","1,199,000,000","1,627,000,000","1,416,000,000","992,000,000","1,319,000,000","1,182,000,000","1,046,000,000","1,328,000,000","1,183,000,000","1,219,000,000","2,668,000,000","1,818,000,000","949,000,000","431,000,000","745,000,000","662,000,000","540,000,000","1,015,000,000","964,000,000","1,364,000,000","760,000,000","404,000,000","0","0","0","0"
	ChangesInCash,"670,000,000","670,000,000","-1,000,000","782,000,000","502,000,000","154,000,000","-199,000,000","-428,000,000","211,000,000","424,000,000","-327,000,000","137,000,000","136,000,000","-282,000,000","144,000,000","-33,000,000","-1,455,000,000","835,000,000","870,000,000","504,000,000","-298,000,000","-7,000,000","90,000,000","-481,000,000","74,000,000","-384,000,000","594,000,000","350,000,000","55,000,000","-91,000,000","57,000,000","-19,000,000","-116,100,000"
	EffectOfExchangeRateChanges,,,,,,,,,,,,,,,"1,000,000","2,000,000","6,000,000","15,000,000","-1,000,000","14,000,000","-16,000,000","-29,000,000","-60,000,000","6,000,000","-23,000,000","-16,000,000","10,000,000","6,000,000","-7,000,000","-5,000,000","-8,000,000","4,000,000","-7,000,000"
	BeginningCashPosition,"2,437,000,000","2,437,000,000","2,438,000,000","1,656,000,000","1,154,000,000","1,000,000,000","1,199,000,000","1,627,000,000","1,416,000,000","992,000,000","1,319,000,000","1,182,000,000","1,046,000,000","1,328,000,000","1,183,000,000","1,214,000,000","2,668,000,000","1,818,000,000","949,000,000","431,000,000","745,000,000","781,000,000","632,000,000","1,015,000,000","964,000,000","1,364,000,000","760,000,000","404,000,000","356,000,000","452,000,000","403,000,000","418,000,000","541,300,000"
