name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"14,461,000,000","14,461,000,000","14,383,000,000","15,784,000,000","14,961,000,000","13,370,000,000","13,000,000,000","13,045,000,000","12,205,000,000","12,825,000,000","13,735,000,000","13,966,000,000","10,427,000,000","12,501,000,000","13,835,000,000","14,255,000,000","13,392,000,000","12,580,000,000","9,834,000,000","8,383,000,000","8,201,000,000","11,875,000,000","9,468,000,000","8,460,000,000","9,750,000,000","9,940,000,000","13,128,000,000","10,315,000,000","8,523,000,000","7,440,000,000","6,784,000,000","6,567,000,000","6,521,900,000","6,294,800,000","5,594,500,000","4,974,000,000","4,924,500,000"
	OperatingRevenue,"14,461,000,000","14,461,000,000","14,383,000,000","15,784,000,000","14,961,000,000","13,370,000,000","13,000,000,000","13,045,000,000","12,205,000,000","12,825,000,000","13,735,000,000","13,966,000,000","10,427,000,000","12,501,000,000","13,835,000,000","14,255,000,000","13,392,000,000","12,580,000,000","9,834,000,000","8,383,000,000","8,201,000,000","11,875,000,000","9,468,000,000","8,460,000,000","9,750,000,000","9,940,000,000","13,128,000,000","10,315,000,000","8,523,000,000","7,440,000,000","6,784,000,000","6,567,000,000","6,521,900,000","6,294,800,000","5,594,500,000","4,974,000,000","4,924,500,000"
CostOfRevenue,"5,192,000,000","5,192,000,000","5,219,000,000","5,507,000,000","5,347,000,000","5,130,000,000","5,440,000,000","5,618,000,000","5,841,000,000","6,457,000,000","6,963,000,000","6,474,000,000","5,428,000,000","6,256,000,000","6,502,000,000","6,996,000,000","7,029,000,000","6,954,000,000","5,872,000,000","5,313,000,000","5,824,000,000","6,120,000,000","4,931,000,000","5,394,000,000","6,067,000,000","7,146,000,000","9,318,000,000","7,471,000,000","6,274,000,000","5,110,000,000","5,072,000,000","4,786,000,000","4,636,000,000","4,427,800,000","4,002,800,000","3,609,200,000","3,555,300,000"
GrossProfit,"9,269,000,000","9,269,000,000","9,164,000,000","10,277,000,000","9,614,000,000","8,240,000,000","7,560,000,000","7,427,000,000","6,364,000,000","6,368,000,000","6,772,000,000","7,492,000,000","4,999,000,000","6,245,000,000","7,333,000,000","7,259,000,000","6,363,000,000","5,626,000,000","3,962,000,000","3,070,000,000","2,377,000,000","5,755,000,000","4,537,000,000","3,066,000,000","3,683,000,000","2,794,000,000","3,810,000,000","2,844,000,000","2,249,000,000","2,330,000,000","1,712,000,000","1,781,000,000","1,885,900,000","1,867,000,000","1,591,700,000","1,364,800,000","1,369,200,000"
OperatingExpense,"3,153,000,000","3,153,000,000","3,189,000,000","3,243,000,000","3,083,000,000","3,137,000,000","3,028,000,000","3,201,000,000","3,380,000,000","3,681,000,000","3,353,000,000","2,945,000,000","2,796,000,000","3,554,000,000","3,836,000,000","3,892,000,000","3,572,000,000","3,419,000,000","2,997,000,000","2,782,000,000","2,959,000,000","3,416,000,000","2,841,000,000","2,667,000,000","3,068,000,000","2,820,000,000","2,216,000,000","-6,388,000,000","-5,546,000,000","1,910,000,000","1,961,000,000","1,807,000,000","1,566,500,000","1,499,000,000","1,374,300,000","1,262,900,000","1,460,800,000"
	SellingGeneralAndAdministration,"1,623,000,000","1,623,000,000","1,645,000,000","1,684,000,000","1,694,000,000","1,767,000,000","1,748,000,000","1,843,000,000","1,858,000,000","1,804,000,000","1,638,000,000","1,519,000,000","1,320,000,000","1,614,000,000","1,681,000,000","1,697,000,000","1,557,000,000","1,441,000,000","1,249,000,000","1,163,000,000","1,361,000,000","1,669,000,000","1,508,000,000","1,461,000,000","1,532,000,000","1,639,000,000","2,216,000,000","1,761,000,000","1,521,000,000","1,300,000,000","1,371,000,000","1,266,000,000","1,112,800,000","1,109,200,000","994,200,000","836,700,000","944,900,000"
	ResearchAndDevelopment,"1,530,000,000","1,530,000,000","1,544,000,000","1,559,000,000","1,508,000,000","1,370,000,000","1,280,000,000","1,358,000,000","1,522,000,000","1,877,000,000","1,715,000,000","1,570,000,000","1,476,000,000","1,940,000,000","2,155,000,000","2,195,000,000","2,015,000,000","1,978,000,000","1,748,000,000","1,619,000,000","1,598,000,000","1,747,000,000","1,333,000,000","1,206,000,000","1,536,000,000","1,181,000,000",,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"610,000,000","590,000,000","541,000,000","453,700,000","389,800,000","380,100,000","426,200,000","515,900,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"610,000,000","590,000,000","541,000,000","453,700,000","389,800,000","380,100,000","426,200,000","515,900,000"
	OtherOperatingExpenses,,,,,"-119,000,000",,,,,,,"-144,000,000",,,,,,,,,,,,,,,,"-8,149,000,000","-7,067,000,000",,,,,,,,
