name,ttm,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989
OperatingCashFlow,"6,139,000,000","2,125,000,000","1,443,000,000","1,720,000,000","851,000,000","1,754,000,000","1,992,000,000","1,796,000,000","1,107,000,000","2,145,000,000","2,106,000,000","1,826,000,000","1,112,000,000","1,929,000,000","1,722,000,000","917,000,000","795,000,000","1,585,000,000","1,413,000,000","1,069,000,000","547,000,000","1,430,000,000","1,409,000,000","820,000,000","609,000,000","1,272,000,000","1,383,000,000","775,000,000","462,000,000","1,199,000,000","1,150,000,000","675,000,000","360,000,000","1,088,000,000","1,202,000,000","675,000,000","449,000,000","971,000,000","1,138,000,000","631,000,000","516,000,000","1,230,000,000","1,318,000,000","562,000,000","710,000,000","1,001,000,000","834,000,000","557,000,000","251,000,000","1,118,000,000","1,052,000,000","519,000,000","641,000,000","1,423,000,000","1,531,000,000","898,000,000","554,000,000","845,000,000","419,000,000","639,000,000","557,000,000","908,000,000","1,514,000,000","827,000,000","523,000,000","1,305,000,000","942,000,000","506,000,000","393,000,000","1,067,000,000","510,000,000","378,000,000","196,000,000","744,000,000","565,000,000","387,000,000","296,000,000","780,000,000","334,000,000","586,000,000","119,000,000","655,000,000","488,000,000","640,000,000","402,000,000","973,000,000","530,000,000","309,000,000","217,000,000","424,000,000","563,000,000","309,000,000","-45,000,000","474,000,000","547,000,000","604,000,000","291,000,000","638,000,000","153,000,000","165,000,000","-72,000,000","532,000,000","510,000,000","392,000,000","233,000,000","431,000,000","397,000,000","291,000,000","413,000,000","346,000,000","254,000,000","230,000,000","104,000,000","352,000,000","308,000,000","133,000,000","8,000,000","349,000,000","-1,000,000","20,000,000","49,000,000","505,000,000","-16,000,000","129,000,000","76,000,000","297,200,000"
	CashFlowFromContinuingOperatingActivities,"6,139,000,000","2,125,000,000","1,443,000,000","1,720,000,000","851,000,000","1,754,000,000","1,992,000,000","1,796,000,000","1,107,000,000","2,145,000,000","2,106,000,000","1,826,000,000","1,112,000,000","1,929,000,000","1,722,000,000","917,000,000","795,000,000","1,585,000,000","1,413,000,000","1,069,000,000","547,000,000","1,430,000,000","1,409,000,000","820,000,000","609,000,000","1,272,000,000","1,383,000,000","775,000,000","462,000,000","1,199,000,000","1,150,000,000","675,000,000","360,000,000","1,088,000,000","1,202,000,000","675,000,000","449,000,000","971,000,000","1,138,000,000","631,000,000","516,000,000","1,230,000,000","1,318,000,000","562,000,000","710,000,000","1,001,000,000","834,000,000","557,000,000","251,000,000","1,118,000,000","1,052,000,000","519,000,000","641,000,000","1,425,000,000","1,549,000,000","894,000,000","554,000,000","843,000,000","2,124,000,000","667,000,000","522,000,000","908,000,000","1,514,000,000","827,000,000","523,000,000","1,305,000,000","942,000,000","506,000,000","393,000,000","1,067,000,000","510,000,000","378,000,000","196,000,000","744,000,000","565,000,000","387,000,000","296,000,000","780,000,000","334,000,000","586,000,000","119,000,000","655,000,000","488,000,000","640,000,000","402,000,000","973,000,000","530,000,000","309,000,000","217,000,000","424,000,000","563,000,000","309,000,000","-45,000,000","474,000,000","547,000,000","544,000,000","278,000,000","552,000,000","153,000,000","165,000,000","-72,000,000","532,000,000","510,000,000","392,000,000","233,000,000","431,000,000","397,000,000","291,000,000","413,000,000","346,000,000","254,000,000","230,000,000","104,000,000","352,000,000","308,000,000","133,000,000","8,000,000","349,000,000","-1,000,000","20,000,000","49,000,000","505,000,000","-16,000,000","129,000,000","76,000,000","297,200,000"
		NetIncomeFromContinuingOperations,"5,595,000,000","1,688,000,000","1,353,000,000","1,380,000,000","1,174,000,000","1,070,000,000","1,425,000,000","1,305,000,000","1,217,000,000","1,239,000,000","1,570,000,000","1,405,000,000","1,366,000,000","344,000,000","1,285,000,000","1,056,000,000","997,000,000","1,180,000,000","968,000,000","779,000,000","668,000,000","836,000,000","798,000,000","696,000,000","656,000,000","825,000,000","826,000,000","683,000,000","487,000,000","511,000,000","629,000,000","660,000,000","362,000,000","264,000,000",,,,,,,"666,000,000","942,000,000","859,000,000","769,000,000","658,000,000","655,000,000","538,000,000","260,000,000","17,000,000","107,000,000","562,000,000","589,000,000","662,000,000","755,000,000","776,000,000","610,000,000","516,000,000","668,000,000","701,000,000","2,387,000,000","585,000,000","655,000,000","631,000,000","627,000,000","411,000,000","490,000,000","563,000,000","441,000,000","367,000,000","513,000,000","447,000,000","121,000,000","117,000,000","-589,000,000","188,000,000","95,000,000","-38,000,000","-116,000,000","-118,000,000","-197,000,000","230,000,000","662,000,000","720,000,000","1,279,000,000","426,000,000","456,000,000","383,000,000","334,000,000","233,000,000","189,000,000","164,000,000","43,000,000","11,000,000","1,210,000,000","239,000,000","249,000,000","129,000,000","-137,000,000","-148,000,000","76,000,000","163,000,000","291,000,000","289,000,000","278,000,000","230,000,000","188,000,000","185,000,000","184,000,000","134,000,000","133,000,000","147,000,000","111,000,000","85,000,000","77,000,000","58,000,000","72,000,000","40,000,000","-85,000,000","-112,000,000","-158,000,000","-54,000,000","-56,000,000","-7,000,000","11,000,000","13,000,000","35,900,000"
		OperatingGainsLosses,"-4,000,000","-1,000,000","-2,000,000","-1,000,000",,"0","0","-21,000,000","-2,000,000","-3,000,000",,,,,,,,"-40,000,000",,,,"-82,000,000","0","-2,000,000","-1,000,000","-29,000,000","-5,000,000","-2,000,000","-37,000,000","0","-3,000,000","0","-3,000,000",,,,,"0",,,,,,,,,,,,"0","0","-12,000,000","18,000,000","21,000,000","-61,000,000","16,000,000","-15,000,000",,,"-1,738,000,000","48,000,000","79,000,000","92,000,000","1,000,000","-22,000,000","2,000,000","4,000,000","-3,000,000","-2,000,000","-91,000,000","-80,000,000","11,000,000","12,000,000","677,000,000","127,000,000","-6,000,000","2,000,000","-1,000,000","0","4,000,000","1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"992,000,000","243,000,000","250,000,000","249,000,000","250,000,000","250,000,000","275,000,000","267,000,000","258,000,000","249,000,000","243,000,000","233,000,000","229,000,000","224,000,000","225,000,000","225,000,000","230,000,000","227,000,000","237,000,000","242,000,000","249,000,000","261,000,000","285,000,000","291,000,000","296,000,000","305,000,000","308,000,000","307,000,000","310,000,000","378,000,000","300,000,000","306,000,000","313,000,000","317,000,000","327,000,000","326,000,000","329,000,000","332,000,000","226,000,000","226,000,000","231,000,000","238,000,000","224,000,000","227,000,000","224,000,000","223,000,000","229,000,000","233,000,000","240,000,000","293,000,000","260,000,000","255,000,000","251,000,000","189,000,000","296,000,000","294,000,000","291,000,000","287,000,000","307,000,000","311,000,000","316,000,000","484,000,000","352,000,000","360,000,000","362,000,000","406,000,000","394,000,000","382,000,000","367,000,000","391,000,000","382,000,000","381,000,000","374,000,000","425,000,000","420,000,000","419,000,000","425,000,000","510,000,000","470,000,000","445,000,000","403,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DepreciationAndAmortization,"992,000,000","243,000,000","250,000,000","249,000,000","250,000,000","250,000,000","275,000,000","267,000,000","258,000,000","249,000,000","243,000,000","233,000,000","229,000,000","224,000,000","225,000,000","225,000,000","230,000,000","227,000,000","237,000,000","242,000,000","249,000,000","261,000,000","285,000,000","291,000,000","296,000,000","305,000,000","308,000,000","307,000,000","310,000,000","378,000,000","300,000,000","306,000,000","313,000,000","317,000,000","327,000,000","326,000,000","329,000,000","332,000,000","226,000,000","226,000,000","231,000,000","238,000,000","224,000,000","227,000,000","224,000,000","223,000,000","229,000,000","233,000,000","240,000,000","293,000,000","260,000,000","255,000,000","251,000,000","189,000,000","296,000,000","294,000,000","291,000,000","287,000,000","307,000,000","311,000,000","316,000,000","484,000,000","352,000,000","360,000,000","362,000,000","406,000,000","394,000,000","382,000,000","367,000,000","391,000,000","382,000,000","381,000,000","374,000,000","425,000,000","420,000,000","419,000,000","425,000,000","510,000,000","470,000,000","445,000,000","403,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				Depreciation,"733,000,000","180,000,000","183,000,000","184,000,000","186,000,000","186,000,000","183,000,000","173,000,000","166,000,000","158,000,000","151,000,000","144,000,000","137,000,000","133,000,000","133,000,000","134,000,000","139,000,000","139,000,000","150,000,000","155,000,000","161,000,000","172,000,000","193,000,000","198,000,000","203,000,000","211,000,000","213,000,000","213,000,000","213,000,000","213,000,000","217,000,000","221,000,000","228,000,000","232,000,000","241,000,000","241,000,000","243,000,000","247,000,000","213,000,000","220,000,000","224,000,000","226,000,000","213,000,000","215,000,000","211,000,000","209,000,000","217,000,000","221,000,000","230,000,000","284,000,000","251,000,000","246,000,000","241,000,000","252,000,000","262,000,000","256,000,000","252,000,000","249,000,000","266,000,000","267,000,000","270,000,000","344,000,000","339,000,000","345,000,000","347,000,000","390,000,000","378,000,000","363,000,000","348,000,000","371,000,000","356,000,000","356,000,000","346,000,000","397,000,000","390,000,000","390,000,000","397,000,000","454,000,000","414,000,000","387,000,000","344,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,"259,000,000","63,000,000","67,000,000","65,000,000","64,000,000","64,000,000","92,000,000","94,000,000","92,000,000","91,000,000","92,000,000","89,000,000","92,000,000","91,000,000","92,000,000","91,000,000","91,000,000","88,000,000","87,000,000","87,000,000","88,000,000","89,000,000","92,000,000","93,000,000","93,000,000","94,000,000","95,000,000","94,000,000","97,000,000","165,000,000","83,000,000","85,000,000","85,000,000","85,000,000","86,000,000","85,000,000","86,000,000","85,000,000","13,000,000","6,000,000","7,000,000","12,000,000","11,000,000","12,000,000","13,000,000","14,000,000","12,000,000","12,000,000","10,000,000","9,000,000","9,000,000","9,000,000","10,000,000","-63,000,000","34,000,000","38,000,000","39,000,000","38,000,000","41,000,000","44,000,000","46,000,000","140,000,000","13,000,000","15,000,000","15,000,000","16,000,000","16,000,000","19,000,000","19,000,000","20,000,000","26,000,000","25,000,000","28,000,000","28,000,000","30,000,000","29,000,000","28,000,000","56,000,000","56,000,000","58,000,000","59,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,"259,000,000","63,000,000","67,000,000","65,000,000","64,000,000","64,000,000","92,000,000","94,000,000","92,000,000","91,000,000","92,000,000","89,000,000","92,000,000","91,000,000","92,000,000","91,000,000","91,000,000","88,000,000","87,000,000","87,000,000","88,000,000","89,000,000","92,000,000","93,000,000","93,000,000","94,000,000","95,000,000","94,000,000","97,000,000","165,000,000","83,000,000","85,000,000","85,000,000","85,000,000","86,000,000","85,000,000","86,000,000","85,000,000","13,000,000","6,000,000","7,000,000","12,000,000","11,000,000","12,000,000","13,000,000","14,000,000","12,000,000","12,000,000","10,000,000","9,000,000","9,000,000","9,000,000","10,000,000","-63,000,000","34,000,000","38,000,000","39,000,000","38,000,000","41,000,000","44,000,000","46,000,000","140,000,000","13,000,000","15,000,000","15,000,000","16,000,000","16,000,000","19,000,000","19,000,000","20,000,000","26,000,000","25,000,000","28,000,000","28,000,000","30,000,000","29,000,000","28,000,000","56,000,000","56,000,000","58,000,000","59,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
