name,ttm,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"14,461,000,000","4,076,000,000","3,817,000,000","3,239,000,000","3,329,000,000","3,350,000,000","3,771,000,000","3,668,000,000","3,594,000,000","3,717,000,000","4,261,000,000","4,017,000,000","3,789,000,000","3,750,000,000","4,116,000,000","3,693,000,000","3,402,000,000","3,414,000,000","3,675,000,000","3,273,000,000","3,008,000,000","3,189,000,000","3,429,000,000","3,232,000,000","3,150,000,000","3,269,000,000","3,501,000,000","3,292,000,000","2,983,000,000","3,028,000,000","3,244,000,000","3,047,000,000","2,885,000,000","2,979,000,000","3,390,000,000","3,335,000,000","3,121,000,000","3,420,000,000","3,466,000,000","3,458,000,000","3,392,000,000","3,525,000,000","3,740,000,000","3,496,000,000","3,205,000,000","3,005,000,000","2,880,000,000","2,457,000,000","2,086,000,000","2,491,000,000","3,387,000,000","3,351,000,000","3,272,000,000","3,556,000,000","3,663,000,000","3,424,000,000","3,191,000,000","3,463,000,000","3,761,000,000","3,697,000,000","3,334,000,000","3,592,000,000","3,590,000,000","3,239,000,000","2,972,000,000","3,153,000,000","3,250,000,000","3,241,000,000","2,936,000,000","2,770,000,000","2,533,000,000","2,339,000,000","2,192,000,000","2,146,000,000","2,248,000,000","2,162,000,000","1,827,000,000","1,787,000,000","1,849,000,000","2,037,000,000","2,528,000,000","3,024,000,000","3,160,000,000","2,843,000,000","2,653,000,000","2,698,000,000","2,385,000,000","2,346,000,000","2,039,000,000","1,993,000,000","2,113,000,000","2,167,000,000","2,187,000,000","2,428,000,000","2,500,000,000","2,559,000,000","2,263,000,000","1,179,000,000","2,841,000,000","2,845,000,000","3,076,000,000","3,603,000,000","3,425,000,000","3,238,000,000","2,862,000,000","2,782,000,000","2,574,000,000","2,510,000,000","2,449,000,000","2,374,000,000","2,161,000,000","2,105,000,000","1,884,000,000","1,987,000,000","1,892,000,000","1,867,000,000","1,694,000,000","1,752,000,000","1,699,000,000","1,686,000,000","1,647,000,000","1,759,000,000","1,680,000,000","1,592,000,000","1,536,000,000","1,858,800,000","1,538,500,000","1,630,000,000","1,596,900,000","1,692,100,000","1,577,400,000","1,558,000,000","1,467,300,000","1,534,700,000","1,416,300,000","1,371,600,000","1,271,900,000","1,335,700,000","1,248,900,000","1,244,100,000","1,145,200,000","1,208,800,000","1,191,200,000"
	OperatingRevenue,"14,461,000,000","4,076,000,000","3,817,000,000","3,239,000,000","3,329,000,000","3,350,000,000","3,771,000,000","3,668,000,000","3,594,000,000","3,717,000,000","4,261,000,000","4,017,000,000","3,789,000,000","3,750,000,000","4,116,000,000","3,693,000,000","3,402,000,000","3,414,000,000","3,675,000,000","3,273,000,000","3,008,000,000","3,189,000,000","3,429,000,000","3,232,000,000","3,150,000,000","3,269,000,000","3,501,000,000","3,292,000,000","2,983,000,000","3,028,000,000","3,244,000,000","3,047,000,000","2,885,000,000","2,979,000,000","3,390,000,000","3,335,000,000","3,121,000,000","3,420,000,000","3,466,000,000","3,458,000,000","3,392,000,000","3,525,000,000","3,740,000,000","3,496,000,000","3,205,000,000","3,005,000,000","2,880,000,000","2,457,000,000","2,086,000,000","2,491,000,000","3,387,000,000","3,351,000,000","3,272,000,000","3,556,000,000","3,663,000,000","3,424,000,000","3,191,000,000","3,463,000,000","3,761,000,000","3,697,000,000","3,334,000,000","3,592,000,000","3,590,000,000","3,239,000,000","2,972,000,000","3,153,000,000","3,250,000,000","3,241,000,000","2,936,000,000","2,770,000,000","2,533,000,000","2,339,000,000","2,192,000,000","2,146,000,000","2,248,000,000","2,162,000,000","1,827,000,000","1,787,000,000","1,849,000,000","2,037,000,000","2,528,000,000","3,024,000,000","3,160,000,000","2,843,000,000","2,653,000,000","2,698,000,000","2,385,000,000","2,346,000,000","2,039,000,000","1,993,000,000","2,113,000,000","2,167,000,000","2,187,000,000","2,428,000,000","2,500,000,000","2,559,000,000","2,263,000,000","1,179,000,000","2,841,000,000","2,845,000,000","3,076,000,000","3,603,000,000","3,425,000,000","3,238,000,000","2,862,000,000","2,782,000,000","2,574,000,000","2,510,000,000","2,449,000,000","2,374,000,000","2,161,000,000","2,105,000,000","1,884,000,000","1,987,000,000","1,892,000,000","1,867,000,000","1,694,000,000","1,752,000,000","1,699,000,000","1,686,000,000","1,647,000,000","1,759,000,000","1,680,000,000","1,592,000,000","1,536,000,000","1,858,800,000","1,538,500,000","1,630,000,000","1,596,900,000","1,692,100,000","1,577,400,000","1,558,000,000","1,467,300,000","1,534,700,000","1,416,300,000","1,371,600,000","1,271,900,000","1,335,700,000","1,248,900,000","1,244,100,000","1,145,200,000","1,208,800,000","1,191,200,000"
CostOfRevenue,"5,192,000,000","1,430,000,000","1,364,000,000","1,157,000,000","1,241,000,000","1,253,000,000","1,325,000,000","1,308,000,000","1,333,000,000","1,310,000,000","1,457,000,000","1,398,000,000","1,342,000,000","1,310,000,000","1,460,000,000","1,319,000,000","1,258,000,000","1,281,000,000","1,395,000,000","1,270,000,000","1,184,000,000","1,323,000,000","1,432,000,000","1,351,000,000","1,334,000,000","1,374,000,000","1,457,000,000","1,411,000,000","1,376,000,000","1,388,000,000","1,465,000,000","1,477,000,000","1,511,000,000","1,533,000,000","1,650,000,000","1,684,000,000","1,590,000,000","1,872,000,000","1,722,000,000","1,705,000,000","1,664,000,000","1,655,000,000","1,701,000,000","1,602,000,000","1,516,000,000","1,416,000,000","1,399,000,000","1,333,000,000","1,280,000,000","1,394,000,000","1,744,000,000","1,602,000,000","1,516,000,000","1,629,000,000","1,679,000,000","1,640,000,000","1,554,000,000","1,715,000,000","1,829,000,000","1,790,000,000","1,662,000,000","1,857,000,000","1,819,000,000","1,718,000,000","1,636,000,000","1,819,000,000","1,761,000,000","1,760,000,000","1,614,000,000","1,576,000,000","1,503,000,000","1,462,000,000","1,330,000,000","1,377,000,000","1,413,000,000","1,306,000,000","1,216,000,000","1,372,000,000","1,424,000,000","1,523,000,000","1,505,000,000","1,572,000,000","1,644,000,000","1,448,000,000","1,370,000,000","1,376,000,000","1,247,000,000","1,197,000,000","1,127,000,000","1,113,000,000","1,308,000,000","1,456,000,000","1,517,000,000","1,480,000,000","1,518,000,000","1,597,000,000","1,472,000,000","824,000,000","2,075,000,000","2,061,000,000","2,187,000,000","2,571,000,000","2,446,000,000","2,267,000,000","2,035,000,000","2,030,000,000","1,852,000,000","1,802,000,000","1,787,000,000","1,759,000,000","1,552,000,000","1,557,000,000","1,407,000,000","928,000,000","1,441,000,000","1,418,000,000","1,324,000,000","866,000,000","1,425,000,000","1,421,000,000","1,360,000,000","911,000,000","1,368,000,000","1,264,000,000","1,244,000,000","992,500,000","1,226,400,000",,,,,,,,,,,,,,,,
GrossProfit,"9,269,000,000","2,646,000,000","2,453,000,000","2,082,000,000","2,088,000,000","2,097,000,000","2,446,000,000","2,360,000,000","2,261,000,000","2,407,000,000","2,804,000,000","2,619,000,000","2,447,000,000","2,440,000,000","2,656,000,000","2,374,000,000","2,144,000,000","2,133,000,000","2,280,000,000","2,003,000,000","1,824,000,000","1,866,000,000","1,997,000,000","1,881,000,000","1,816,000,000","1,895,000,000","2,044,000,000","1,881,000,000","1,607,000,000","1,640,000,000","1,779,000,000","1,570,000,000","1,374,000,000","1,446,000,000","1,740,000,000","1,651,000,000","1,531,000,000","1,548,000,000","1,744,000,000","1,753,000,000","1,728,000,000","1,870,000,000","2,039,000,000","1,894,000,000","1,689,000,000","1,589,000,000","1,481,000,000","1,124,000,000","806,000,000","1,097,000,000","1,643,000,000","1,749,000,000","1,756,000,000","1,927,000,000","1,984,000,000","1,784,000,000","1,637,000,000","1,748,000,000","1,932,000,000","1,907,000,000","1,672,000,000","1,735,000,000","1,771,000,000","1,521,000,000","1,336,000,000","1,334,000,000","1,489,000,000","1,481,000,000","1,322,000,000","1,194,000,000","1,030,000,000","877,000,000","862,000,000","769,000,000","835,000,000","856,000,000","611,000,000","415,000,000","425,000,000","514,000,000","1,023,000,000","1,452,000,000","1,516,000,000","1,395,000,000","1,283,000,000","1,322,000,000","1,138,000,000","1,149,000,000","912,000,000","880,000,000","805,000,000","711,000,000","670,000,000","948,000,000","982,000,000","962,000,000","791,000,000","355,000,000","766,000,000","784,000,000","889,000,000","1,032,000,000","979,000,000","971,000,000","827,000,000","752,000,000","722,000,000","708,000,000","662,000,000","615,000,000","609,000,000","548,000,000","477,000,000","1,059,000,000","451,000,000","449,000,000","370,000,000","886,000,000","274,000,000","265,000,000","287,000,000","848,000,000","312,000,000","328,000,000","292,000,000","866,300,000","312,100,000",,,,,,,,,,,,,,,,
OperatingExpense,"3,153,000,000","786,000,000","793,000,000","780,000,000","794,000,000","798,000,000","778,000,000","810,000,000","803,000,000","814,000,000","786,000,000","825,000,000","818,000,000","676,000,000","787,000,000","812,000,000","808,000,000","754,000,000","804,000,000","805,000,000","774,000,000","711,000,000","750,000,000","790,000,000","777,000,000","740,000,000","795,000,000","821,000,000","845,000,000","807,000,000","833,000,000","860,000,000","878,000,000","857,000,000","916,000,000","936,000,000","971,000,000","918,000,000","783,000,000","835,000,000","820,000,000","638,000,000","808,000,000","770,000,000","729,000,000","702,000,000","708,000,000","696,000,000","691,000,000","793,000,000","897,000,000","916,000,000","949,000,000","931,000,000","971,000,000","975,000,000","957,000,000","982,000,000","1,002,000,000","954,000,000","954,000,000","925,000,000","956,000,000","852,000,000","839,000,000","850,000,000","832,000,000","889,000,000","848,000,000","756,000,000","781,000,000","752,000,000","709,000,000","702,000,000","726,000,000","701,000,000","655,000,000","683,000,000","670,000,000","812,000,000","794,000,000","842,000,000","986,000,000","772,000,000","761,000,000","815,000,000","702,000,000","695,000,000","629,000,000","609,000,000","602,000,000","763,000,000","692,000,000","1,148,000,000","624,000,000","675,000,000","620,000,000","549,000,000","890,000,000","688,000,000","692,000,000","623,000,000","542,000,000","568,000,000","483,000,000","-7,688,000,000","431,000,000","416,000,000","453,000,000","-6,650,000,000","391,000,000","375,000,000","337,000,000","946,000,000","335,000,000","321,000,000","307,000,000","928,000,000","335,000,000","376,000,000","322,000,000","888,000,000","315,000,000","309,000,000","294,000,000","727,200,000","272,500,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,623,000,000","398,000,000","407,000,000","401,000,000","417,000,000","412,000,000","399,000,000","420,000,000","414,000,000","414,000,000","396,000,000","441,000,000","433,000,000","409,000,000","412,000,000","434,000,000","439,000,000","411,000,000","448,000,000","460,000,000","448,000,000","405,000,000","434,000,000","470,000,000","439,000,000","429,000,000","463,000,000","472,000,000","479,000,000","461,000,000","465,000,000","471,000,000","459,000,000","432,000,000","453,000,000","456,000,000","462,000,000","444,000,000","388,000,000","411,000,000","396,000,000","390,000,000","391,000,000","378,000,000","359,000,000","348,000,000","340,000,000","327,000,000","305,000,000","362,000,000","390,000,000","428,000,000","435,000,000","422,000,000","429,000,000","424,000,000","405,000,000","426,000,000","432,000,000","418,000,000","421,000,000","425,000,000","429,000,000","359,000,000","344,000,000","362,000,000","349,000,000","375,000,000","354,000,000","308,000,000","313,000,000","328,000,000","301,000,000","290,000,000","311,000,000","297,000,000","267,000,000","301,000,000","312,000,000","400,000,000","348,000,000","401,000,000","453,000,000","400,000,000","388,000,000","478,000,000","372,000,000","336,000,000","323,000,000","328,000,000","311,000,000","457,000,000","364,000,000","407,000,000","349,000,000","395,000,000","381,000,000","351,000,000","424,000,000","435,000,000","429,000,000","623,000,000","542,000,000","568,000,000","483,000,000","461,000,000","431,000,000","416,000,000","453,000,000","417,000,000","391,000,000","375,000,000","337,000,000","336,000,000","335,000,000","321,000,000","307,000,000","338,000,000","335,000,000","376,000,000","322,000,000","347,000,000","315,000,000","309,000,000","294,000,000","273,500,000","272,500,000",,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"1,530,000,000","388,000,000","386,000,000","379,000,000","377,000,000","386,000,000","379,000,000","390,000,000","389,000,000","400,000,000","390,000,000","384,000,000","385,000,000","386,000,000","375,000,000","378,000,000","369,000,000","343,000,000","356,000,000","345,000,000","326,000,000","306,000,000","316,000,000","320,000,000","338,000,000","311,000,000","332,000,000","349,000,000","366,000,000","346,000,000","368,000,000","389,000,000","419,000,000","425,000,000","463,000,000","480,000,000","509,000,000","474,000,000","395,000,000","424,000,000","422,000,000","392,000,000","417,000,000","392,000,000","370,000,000","354,000,000","368,000,000","369,000,000","386,000,000","431,000,000","507,000,000","488,000,000","514,000,000","509,000,000","542,000,000","551,000,000","552,000,000","556,000,000","570,000,000","536,000,000","533,000,000","500,000,000","527,000,000","493,000,000","495,000,000","488,000,000","483,000,000","514,000,000","494,000,000","448,000,000","468,000,000","424,000,000","408,000,000","412,000,000","415,000,000","404,000,000","388,000,000","382,000,000","358,000,000","412,000,000","446,000,000","441,000,000","533,000,000","372,000,000","373,000,000","337,000,000","330,000,000","359,000,000","306,000,000","281,000,000","291,000,000","306,000,000","328,000,000","741,000,000","275,000,000","280,000,000","239,000,000","198,000,000","466,000,000","253,000,000","263,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"6,116,000,000","1,860,000,000","1,660,000,000","1,302,000,000","1,294,000,000","1,299,000,000","1,668,000,000","1,550,000,000","1,458,000,000","1,593,000,000","2,018,000,000","1,794,000,000","1,629,000,000","1,764,000,000","1,869,000,000","1,562,000,000","1,336,000,000","1,379,000,000","1,476,000,000","1,198,000,000","1,050,000,000","1,155,000,000","1,247,000,000","1,091,000,000","1,039,000,000","1,155,000,000","1,249,000,000","1,060,000,000","762,000,000","833,000,000","946,000,000","710,000,000","496,000,000","589,000,000","824,000,000","715,000,000","560,000,000","630,000,000","961,000,000","918,000,000","908,000,000","1,232,000,000","1,231,000,000","1,124,000,000","960,000,000","887,000,000","773,000,000","428,000,000","115,000,000","304,000,000","746,000,000","833,000,000","807,000,000","996,000,000","1,013,000,000","809,000,000","680,000,000","766,000,000","930,000,000","953,000,000","718,000,000","810,000,000","815,000,000","669,000,000","497,000,000","484,000,000","657,000,000","592,000,000","474,000,000","438,000,000","249,000,000","125,000,000","153,000,000","67,000,000","109,000,000","155,000,000","-44,000,000","-268,000,000","-245,000,000","-298,000,000","229,000,000","610,000,000","530,000,000","623,000,000","522,000,000","507,000,000","436,000,000","454,000,000","283,000,000","271,000,000","203,000,000","-52,000,000","-22,000,000","-200,000,000","358,000,000","287,000,000","171,000,000","-194,000,000","-124,000,000","96,000,000","197,000,000","409,000,000","437,000,000","403,000,000","344,000,000","8,440,000,000","291,000,000","292,000,000","209,000,000","7,265,000,000","218,000,000","173,000,000","140,000,000","113,000,000","116,000,000","128,000,000","63,000,000","-42,000,000","-61,000,000","-111,000,000","-35,000,000","-40,000,000","-3,000,000","19,000,000","-2,000,000","139,100,000","39,600,000","1,630,000,000","1,596,900,000","-4,234,700,000","1,577,400,000","1,558,000,000","1,467,300,000","-3,842,400,000","1,416,300,000","1,371,600,000","1,271,900,000","-3,536,400,000","1,248,900,000","1,244,100,000","1,145,200,000","-3,807,300,000","1,191,200,000"
NetNonOperatingInterestIncomeExpense,"-190,000,000","-48,000,000","-49,000,000","-48,000,000","-45,000,000","-45,000,000","-43,000,000","-44,000,000","-38,000,000","-36,000,000","-36,000,000","-30,000,000","-23,000,000","-21,000,000","-19,000,000","-20,000,000","-18,000,000","3,000,000","-18,000,000","-21,000,000","-22,000,000","6,000,000","-22,000,000","-24,000,000","-22,000,000","-9,000,000","-23,000,000","-24,000,000","-25,000,000","-24,000,000","-24,000,000","-24,000,000","-23,000,000","17,000,000","-21,000,000","-20,000,000","-21,000,000","-10,000,000","-15,000,000","-6,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
