Date,Open,High,Low,Close,Adj Close,Volume
1990-07-01,1.250000,1.416667,1.145833,1.208333,0.854899,37395600
1990-08-01,1.229167,1.250000,1.000000,1.250000,0.884379,19304400
1990-09-01,1.229167,1.312500,1.041667,1.062500,0.751722,11001600
1990-10-01,1.062500,1.104167,0.791667,0.937500,0.663284,36081600
1990-11-01,0.937500,1.166667,0.937500,1.062500,0.751722,30763200
1990-12-01,1.041667,1.229167,1.000000,1.145833,0.810680,44115600
1991-01-01,1.125000,1.625000,1.041667,1.604167,1.134953,88486800
1991-02-01,1.604167,1.687500,1.437500,1.500000,1.061255,58080000
1991-03-01,1.500000,2.020833,1.479167,1.791667,1.267610,135447600
1991-04-01,1.729167,2.166667,1.708333,1.791667,1.267610,75093600
1991-05-01,1.791667,1.979167,1.750000,1.979167,1.400267,36238800
1991-06-01,1.958333,2.041667,1.604167,1.750000,1.238130,27459600
1991-07-01,1.750000,2.177083,1.645833,2.104167,1.488705,50492400
1991-08-01,2.145833,2.583333,2.104167,2.520833,1.783497,84159600
1991-09-01,2.541667,2.708333,2.208333,2.510417,1.776128,42342000
1991-10-01,2.500000,2.541667,1.854167,2.291667,1.621361,166838400
1991-11-01,2.270833,2.291667,1.958333,2.083333,1.473964,77562000
1991-12-01,2.083333,2.416667,1.812500,2.166667,1.532923,93096000
1992-01-01,2.125000,2.583333,2.000000,2.229167,1.577142,153798000
1992-02-01,2.250000,2.541667,2.187500,2.395833,1.695059,55855200
1992-03-01,2.395833,2.500000,2.041667,2.145833,1.518183,68973600
1992-04-01,2.104167,2.312500,1.750000,2.250000,1.591882,71563200
1992-05-01,2.270833,2.312500,1.916667,2.000000,1.415006,38922000
1992-06-01,1.958333,2.062500,1.437500,1.510417,1.068625,85970400
1992-07-01,1.520833,1.937500,1.479167,1.895833,1.341308,68872800
1992-08-01,1.895833,1.958333,1.583333,1.708333,1.208650,63991200
1992-09-01,1.666667,1.895833,1.354167,1.479167,1.046515,140024400
1992-10-01,1.479167,1.604167,1.208333,1.562500,1.105474,147831600
1992-11-01,1.541667,1.833333,1.489583,1.750000,1.238130,123772800
1992-12-01,1.770833,2.104167,1.687500,2.104167,1.488705,96804000
1993-01-01,2.031250,2.770833,1.958333,2.500000,1.768757,134068800
1993-02-01,2.500000,2.770833,2.229167,2.562500,1.812976,83786400
1993-03-01,2.583333,3.125000,2.479167,2.791667,1.975112,114438000
1993-04-01,2.812500,2.875000,2.541667,2.645833,1.871935,49687200
1993-05-01,2.687500,3.208333,2.541667,2.989583,2.115139,54019200
1993-06-01,2.979167,3.270833,2.479167,3.229167,2.284646,51448800
1993-07-01,3.239583,3.395833,3.020833,3.354167,2.373083,42578400
1993-08-01,3.312500,3.854167,3.312500,3.697917,2.616288,62599200
1993-09-01,3.666667,4.541667,3.354167,4.072917,2.881601,59719200
1993-10-01,4.062500,4.270833,3.020833,3.312500,2.343604,142656000
1993-11-01,3.291667,3.583333,2.916667,3.375000,2.387823,112838400
1993-12-01,3.416667,4.020833,3.333333,3.979167,2.815272,64398000
1994-01-01,3.916667,4.395833,3.833333,4.354167,3.080587,75207600
1994-02-01,4.333333,4.583333,4.062500,4.541667,3.213244,53702400
1994-03-01,4.583333,4.979167,3.937500,4.166667,2.947930,81931200
1994-04-01,4.062500,4.687500,3.791667,4.625000,3.272202,103654800
1994-05-01,4.604167,4.687500,3.197917,3.416667,2.417302,151348800
1994-06-01,3.562500,4.000000,2.791667,2.843750,2.011962,182192400
1994-07-01,2.875000,3.208333,2.416667,3.125000,2.210947,197992800
1994-08-01,3.166667,4.000000,2.812500,3.687500,2.608918,159855600
1994-09-01,3.583333,4.250000,3.541667,4.166667,2.947930,135900000
1994-10-01,4.166667,4.979167,3.750000,4.843750,3.426969,159510000
1994-11-01,4.791667,5.083333,4.583333,4.875000,3.449076,75813600
1994-12-01,4.854167,5.166667,4.520833,4.937500,3.493297,80137200
1995-01-01,4.875000,5.312500,4.520833,4.812500,3.404858,121203600
1995-02-01,4.854167,5.625000,4.750000,5.572917,3.942855,92055600
1995-03-01,5.541667,6.020833,5.416667,5.645833,3.994444,108756000
1995-04-01,5.625000,6.520833,5.166667,6.395833,4.525072,157194000
1995-05-01,6.395833,8.083333,6.375000,7.020833,4.967260,207495600
1995-06-01,7.083333,8.416667,6.916667,7.833333,5.542108,154062000
1995-07-01,7.854167,10.593750,7.729167,9.989583,7.067663,255042000
1995-08-01,9.947917,10.875000,9.000000,10.718750,7.583551,174160400
1995-09-01,10.656250,13.875000,10.531250,12.031250,8.512147,101710400
1995-10-01,12.187500,12.250000,9.187500,11.500000,8.136287,144706400
1995-11-01,11.468750,11.500000,6.687500,8.031250,5.682135,182416800
1995-12-01,8.031250,8.625000,5.812500,7.625000,5.394711,159299600
1996-01-01,7.687500,10.843750,6.843750,9.656250,6.831828,180122400
1996-02-01,9.593750,11.625000,9.593750,9.656250,6.831828,124410000
1996-03-01,9.500000,10.000000,7.125000,7.937500,5.615805,199414400
1996-04-01,8.031250,9.531250,7.375000,9.218750,6.522295,171315200
1996-05-01,9.156250,9.687500,7.343750,8.687500,6.146435,144476400
1996-06-01,8.589844,8.781250,7.437500,7.937500,5.615805,103182800
1996-07-01,8.281250,8.406250,6.125000,8.093750,5.726353,180156400
1996-08-01,8.250000,9.968750,8.218750,8.750000,6.190650,160962000
1996-09-01,8.656250,9.750000,7.468750,8.500000,6.013776,173579600
1996-10-01,7.718750,9.625000,7.718750,8.187500,5.792682,168919200
1996-11-01,8.312500,11.125000,8.250000,10.968750,7.760425,137705600
1996-12-01,10.968750,11.468750,9.156250,9.203125,6.511240,91193200
1997-01-01,9.218750,11.593750,8.937500,11.375000,8.047847,188266000
1997-02-01,11.375000,12.187500,10.375000,11.281250,7.981519,161728400
1997-03-01,11.250000,12.906250,10.062500,12.187500,8.622694,172490000
1997-04-01,12.000000,13.375000,11.250000,12.250000,8.666911,214756800
1997-05-01,12.312500,14.625000,12.125000,13.406250,9.484964,178443600
1997-06-01,13.468750,13.750000,10.968750,12.265625,8.677967,186837600
1997-07-01,12.218750,13.687500,11.406250,11.843750,8.379488,206325600
1997-08-01,11.906250,14.281250,11.562500,11.875000,8.401600,180332000
1997-09-01,11.937500,13.906250,11.250000,12.656250,8.954335,133238800
1997-10-01,12.703125,12.703125,7.500000,8.531250,6.035888,328624400
1997-11-01,8.625000,9.609375,7.125000,8.640625,6.113267,192672800
1997-12-01,8.937500,10.265625,7.812500,8.765625,6.201708,248486000
1998-01-01,8.812500,9.968750,8.156250,9.484375,6.710224,185716000
1998-02-01,9.656250,11.671875,9.593750,10.968750,7.760425,180853200
1998-03-01,11.125000,11.796875,9.312500,9.359375,6.621787,231516000
1998-04-01,9.437500,12.000000,9.000000,11.437500,8.092066,218042000
1998-05-01,11.437500,11.921875,9.406250,9.507813,6.726808,137330400
1998-06-01,9.500000,10.078125,7.875000,8.500000,6.013776,253821600
1998-07-01,8.593750,10.406250,8.281250,9.375000,6.632839,213478400
1998-08-01,9.343750,11.031250,7.593750,7.625000,5.394711,155792400
1998-09-01,7.750000,10.203125,7.437500,8.750000,6.190650,104369200
1998-10-01,8.703125,11.375000,7.718750,11.164063,7.898610,143206800
1998-11-01,11.156250,13.750000,10.812500,12.687500,8.976444,118767600
1998-12-01,12.500000,16.750000,12.468750,16.281250,11.519034,185578400
1999-01-01,16.265625,21.906250,15.312500,20.750000,14.680686,204901600
1999-02-01,20.875000,21.125000,17.000000,17.437500,12.337083,169613200
1999-03-01,17.531250,21.468750,16.437500,20.281250,14.349042,155657600
1999-04-01,20.687500,27.187500,20.250000,22.812500,16.139917,178092000
1999-05-01,23.125000,25.937500,19.500000,22.218750,15.719829,115661400
1999-06-01,22.000000,29.500000,20.281250,28.625000,20.252281,114411800
1999-07-01,28.875000,32.562500,28.687500,31.187500,22.065247,115940200
1999-08-01,32.000000,38.625000,30.062500,34.968750,24.740496,100488600
1999-09-01,35.687500,37.375000,30.500000,32.765625,23.181784,153345600
1999-10-01,32.500000,39.562500,32.062500,39.312500,27.813713,154480000
1999-11-01,39.281250,48.312500,39.125000,44.750000,31.660755,194767600
1999-12-01,45.179688,48.562500,38.000000,45.468750,32.169292,166578100
2000-01-01,47.937500,50.000000,40.500000,45.750000,32.368263,138888000
2000-02-01,45.875000,81.062500,44.000000,79.750000,56.423378,125154200
2000-03-01,84.000000,88.437500,65.125000,82.812500,58.590080,132935600
2000-04-01,81.937500,85.937500,53.937500,73.250000,51.824593,123060400
2000-05-01,74.875000,79.437500,55.000000,76.125000,53.858685,118189100
2000-06-01,77.500000,98.312500,77.125000,82.562500,58.413219,127081000
2000-07-01,81.687500,98.000000,68.375000,75.062500,53.106941,140559900
