name,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989
TotalAssets,"4,693,334,000","5,151,348,000","5,055,687,000","4,740,532,000","4,823,154,000","4,898,065,000","5,037,349,000","4,729,451,000","4,464,122,000","4,140,850,000","3,184,318,000","2,825,515,000","3,137,107,000","3,179,355,000","3,173,547,000","3,039,196,000","2,937,473,000","2,421,676,000","2,335,360,000","2,502,196,000","2,348,639,000","1,070,248,000","941,238,000","847,693,000","720,880,000","320,900,000","226,200,000","162,900,000","146,600,000","111,600,000","34,500,000","22,900,000"
	CurrentAssets,"2,909,141,000","3,891,978,000","4,144,486,000","3,880,116,000","3,918,933,000","3,935,051,000","3,067,147,000","2,297,639,000","2,450,309,000","2,622,786,000","1,907,066,000","1,752,468,000","1,820,196,000","1,700,102,000","1,648,248,000","1,466,364,000","1,301,552,000","1,175,282,000","998,753,000","1,101,879,000","1,040,925,000","657,709,000","600,224,000","601,555,000","538,706,000","256,200,000","194,200,000","136,800,000","121,400,000","99,500,000","29,100,000","19,500,000"
		CashCashEquivalentsAndShortTermInvestments,"2,267,216,000","3,175,684,000","3,447,570,000","3,321,457,000","3,337,699,000","3,303,061,000","2,457,321,000","1,714,745,000","1,917,627,000","1,926,413,000","1,386,605,000","1,324,933,000","1,296,435,000","1,137,915,000","1,022,202,000","861,558,000","798,960,000","675,595,000","509,717,000","370,784,000","607,750,000","402,472,000","362,187,000","425,847,000","377,961,000","56,700,000","47,300,000","30,000,000","23,300,000","25,300,000","13,100,000","9,500,000"
			CashAndCashEquivalents,"1,777,703,000","1,544,490,000","2,179,328,000","966,695,000","503,816,000","892,572,000","973,677,000","623,558,000","788,822,000","1,222,359,000","1,031,457,000","1,065,987,000","866,995,000","635,879,000","783,366,000","449,388,000","337,343,000","213,995,000","230,336,000","208,693,000","85,548,000","53,584,000","166,861,000","215,903,000","110,893,000","56,700,000","47,300,000","30,000,000","23,300,000","25,300,000","13,100,000","9,500,000"
			OtherShortTermInvestments,"489,513,000","1,631,194,000","1,268,242,000","2,354,762,000","2,833,883,000","2,410,489,000","1,483,644,000","1,091,187,000","1,128,805,000","704,054,000","355,148,000","258,946,000","429,440,000","502,036,000","238,836,000","412,170,000","461,617,000","461,600,000","279,381,000","162,091,000","522,202,000","348,888,000","195,326,000","209,944,000","267,068,000",,,,,,,
		Receivables,"273,028,000","335,165,000","372,144,000","243,915,000","307,458,000","246,615,000","267,833,000","229,175,000","214,965,000","286,464,000","262,735,000","216,390,000","256,936,000","219,754,000","233,058,000","213,459,000","248,956,000","197,690,000","148,432,000","172,768,000","135,048,000","73,409,000","60,912,000","72,248,000","79,528,000","43,900,000","35,900,000","27,100,000","21,100,000","12,800,000","10,900,000","4,400,000"
			AccountsReceivable,"273,028,000","335,165,000","372,144,000","243,915,000","307,458,000","246,615,000","267,833,000","229,175,000","214,965,000","286,464,000","262,735,000","216,390,000","249,147,000","182,295,000","194,205,000","213,459,000","248,956,000","197,690,000","148,432,000","172,768,000","135,048,000","73,409,000","60,912,000","72,248,000","79,528,000",,,,,,,
				GrossAccountsReceivable,"276,267,000","338,335,000","375,314,000","247,115,000","310,799,000","249,968,000","271,188,000","232,600,000","218,411,000","290,043,000",,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-3,239,000","-3,170,000","-3,170,000","-3,200,000","-3,341,000","-3,353,000","-3,355,000","-3,425,000","-3,446,000","-3,579,000",,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,"7,789,000","37,459,000","38,853,000",,,,,,,,,,,,,,,,,
		Inventory,"304,340,000","315,358,000","236,077,000","227,033,000","178,550,000","231,328,000","233,999,000","201,250,000","204,866,000","264,745,000","130,628,000","119,832,000","130,250,000","174,572,000","201,029,000","185,722,000","102,454,000","111,504,000","79,289,000","342,453,000","131,307,000","52,036,000","55,289,000","62,367,000","39,238,000","25,600,000","26,600,000","13,100,000","9,700,000","9,000,000","3,900,000","5,300,000"
			RawMaterials,"35,562,000","39,727,000","14,674,000","14,517,000","15,346,000","14,174,000","15,306,000","12,484,000","11,707,000","15,465,000","13,257,000","10,024,000","13,771,000","28,138,000","10,390,000","8,589,000","8,651,000","7,339,000","10,962,000","26,245,000","6,602,000","5,139,000","5,976,000","4,477,000","5,886,000",,,,,,,
			WorkInProcess,"204,501,000","213,784,000","167,039,000","161,120,000","123,675,000","183,472,000","192,067,000","165,034,000","164,438,000","214,023,000","85,990,000","79,426,000","76,870,000","109,653,000","137,939,000","122,788,000","54,633,000","65,852,000","46,837,000","249,348,000","78,697,000","27,824,000","24,845,000","43,553,000","21,927,000",,,,,,,
			FinishedGoods,"64,277,000","61,847,000","54,364,000","51,396,000","39,529,000","33,682,000","26,626,000","23,732,000","28,721,000","35,257,000","31,381,000","30,382,000","39,609,000","36,781,000","52,700,000","54,345,000","39,170,000","38,313,000","21,490,000","66,860,000","46,008,000","19,073,000","24,468,000","14,337,000","11,425,000",,,,,,,
