name,ttm,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990
OperatingCashFlow,"1,198,542,000","1,190,836,000","1,091,215,000","820,027,000","934,131,000","730,102,000","790,780,000","804,917,000","656,537,000","826,739,000","724,152,000","554,291,000","442,530,000","581,000,000","551,568,000","489,423,000","275,486,000","432,500,000","345,000,000","280,894,000","377,267,000","341,110,000","243,625,000","218,402,000","139,950,000","150,262,000","88,000,000","43,200,000","29,700,000","24,400,000","21,900,000","6,300,000"
	CashFlowFromContinuingOperatingActivities,"1,198,542,000","1,190,836,000","1,091,215,000","820,027,000","934,131,000","730,102,000","790,780,000","804,917,000","656,537,000","826,739,000","724,152,000","554,291,000","442,530,000","581,000,000","551,568,000","489,423,000","275,486,000","432,500,000","345,000,000","280,894,000","377,267,000","341,110,000","243,625,000","218,402,000","139,950,000","150,262,000","88,000,000","43,200,000","29,700,000","24,400,000","21,900,000","6,300,000"
		NetIncomeFromContinuingOperations,"620,883,000","792,721,000","889,750,000","512,381,000","622,512,000","550,867,000","648,216,000","630,388,000","487,536,000",,,"357,484,000","375,640,000","374,047,000","350,672,000","354,149,000","312,723,000","302,989,000","125,705,000","-113,607,000","35,258,000","652,450,000","102,592,000","126,587,000","110,376,000","101,454,000","59,300,000","41,300,000","27,200,000","21,300,000","15,900,000","6,100,000"
		OperatingGainsLosses,,,,"689,000","-3,532,000","-370,000","-11,878,000","10,180,000","-2,815,000","-2,515,000","-3,821,000","-351,000","-113,312,000","5,139,000","-1,217,000","51,495,000","61,646,000","119,331,000","76,247,000","211,938,000","445,410,000","-676,352,000","35,482,000","-3,747,000","-1,336,000","19,366,000",,,,,,
			GainLossOnInvestmentSecurities,,,,"689,000","-3,532,000","-370,000","-11,878,000","332,000","-2,815,000","-2,515,000","-3,821,000","-351,000","-2,706,000",,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"191,649,000","157,533,000","104,360,000","96,754,000","62,626,000","68,441,000","74,914,000","75,272,000","73,560,000","72,348,000","58,892,000","65,162,000","71,517,000","71,955,000","73,924,000","69,549,000","63,566,000","71,690,000","78,840,000","117,078,000","93,451,000","44,191,000","32,112,000","32,709,000","27,997,000","22,464,000","12,200,000","10,800,000","8,600,000","5,600,000","3,100,000","1,400,000"
			DepreciationAndAmortization,"191,649,000","157,533,000","104,360,000","96,754,000","62,626,000","68,441,000","74,914,000","75,272,000","73,560,000","72,348,000","58,892,000","65,162,000","71,517,000","71,955,000","73,924,000","69,549,000","63,566,000","71,690,000","78,840,000","117,078,000","93,451,000","44,191,000","32,112,000","32,709,000","27,997,000","22,464,000","12,200,000","10,800,000","8,600,000","5,600,000","3,100,000","1,400,000"
				Depreciation,"121,419,000","97,485,000","70,704,000","46,438,000","45,423,000","50,828,000","55,266,000","55,464,000","56,327,000","55,658,000","50,361,000","50,180,000","55,632,000","54,199,000","55,998,000","53,326,000","51,921,000","67,923,000","72,450,000","106,097,000",,,,,,,,,,,,
				AmortizationCashFlow,"70,230,000","60,048,000","33,656,000","50,316,000","17,203,000","17,613,000","19,648,000","19,808,000","17,233,000","16,690,000","8,531,000","14,982,000","15,885,000","17,756,000","17,926,000","16,223,000","11,645,000","3,767,000","6,390,000","10,981,000",,,,,,,,,,,,
					AmortizationOfIntangibles,"70,230,000","60,048,000","33,656,000","50,316,000","17,203,000","17,613,000","19,648,000","19,808,000","17,233,000","16,690,000","8,531,000","14,982,000","15,885,000","17,756,000","17,926,000","16,223,000","11,645,000","3,767,000","6,390,000","10,981,000",,,,,,,,,,,,
		DeferredTax,,"11,962,000","-32,993,000","-353,292,000","67,482,000","44,128,000","17,802,000","53,854,000","-35,116,000","89,243,000","114,422,000","58,030,000","60,491,000","-222,000","10,623,000","24,141,000","59,552,000","49,275,000","-24,423,000","9,503,000","-9,010,000","276,981,000","-3,996,000","15,644,000","14,134,000","-783,000","-1,700,000","-2,300,000","300,000",,,
			DeferredIncomeTax,,"11,962,000","-32,993,000","-353,292,000","67,482,000","44,128,000","17,802,000","53,854,000","-35,116,000","89,243,000","114,422,000","58,030,000","60,491,000","-222,000","10,623,000","24,141,000","59,552,000","49,275,000","-24,423,000","9,503,000","-9,010,000","276,981,000","-3,996,000","15,644,000","14,134,000","-783,000","-1,700,000","-2,300,000","300,000",,,
		AmortizationOfSecurities,,,,,,,,,,"15,545,000","13,921,000","3,892,000","-97,000",,,,,,,,,,,,,,,,,,,
		AssetImpairmentCharge,,,,,,,,,,"0","5,904,000","3,805,000","54,129,000",,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"219,144,000","186,723,000","147,942,000","153,815,000","122,858,000","111,984,000","99,859,000","94,314,000","77,862,000","67,418,000","60,258,000","56,481,000","54,509,000",,,,,,,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,"-16,153,000","-19,662,000","-30,754,000","-10,156,000","-11,957,000","-7,406,000","-3,037,000","-535,000",,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"2,477,000","-25,305,000","5,045,000","10,048,000","13,390,000","14,048,000","12,144,000","14,701,000","18,659,000","530,123,000","641,762,000","-1,204,000",,"62,866,000","102,803,000","735,000",,,,,,,,,,,,"-100,000",,,,"2,400,000"
		ChangeInWorkingCapital,"152,427,000","67,202,000","-22,889,000","399,632,000","48,795,000","-42,843,000","-30,615,000","-43,038,000","47,007,000","66,534,000","-159,780,000","14,029,000","-59,812,000","67,215,000","14,763,000","-10,646,000","-222,001,000","-110,785,000","88,631,000","55,982,000","-187,842,000","43,840,000","77,435,000","47,209,000","-11,221,000","7,761,000","18,200,000","-6,500,000","-6,400,000","-2,500,000","2,900,000","-3,600,000"
			ChangeInReceivables,"-16,058,000","66,889,000","47,081,000","-128,229,000","63,543,000","-60,843,000","21,219,000","-38,658,000","-14,210,000","71,499,000","-23,699,000","-46,345,000","32,757,000","-66,853,000","11,911,000","19,380,000","35,490,000","-50,160,000","-49,259,000","24,336,000","-37,720,000","-68,578,000","-12,497,000","11,336,000","7,280,000","-34,777,000","-8,000,000","-8,800,000","-6,100,000","-7,900,000","-1,900,000","-6,600,000"
				ChangesInAccountReceivables,"-16,058,000","66,889,000","47,081,000","-128,229,000","63,543,000","-60,843,000","21,219,000","-38,658,000","-14,210,000","71,499,000","-23,699,000","-46,345,000","32,757,000",,,,,,,,,,,,,,,,,,,
			ChangeInInventory,"29,024,000","17,947,000","-78,602,000","-9,176,000","-48,244,000","52,323,000","2,664,000","-32,333,000","3,889,000","60,121,000","-133,724,000","-10,779,000","10,022,000","43,647,000","28,617,000","-15,307,000","-83,268,000","9,614,000","-14,858,000","245,943,000","-186,708,000","2,160,000","58,328,000","7,469,000","-14,095,000","19,375,000","1,000,000","-13,500,000","-3,400,000","-300,000","-5,000,000","1,400,000"
			ChangeInPrepaidAssets,"-4,496,000","1,081,000","-4,696,000","-9,727,000","-1,000,000","-1,261,000","-13,118,000","-4,754,000","5,000,000","-7,401,000","-4,854,000","-9,174,000","10,309,000","35,160,000","35,652,000","-34,897,000","4,509,000","-10,035,000","45,384,000","-39,550,000","1,222,000","-31,201,000",,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"189,028,000","-15,621,000","40,812,000","598,408,000","52,244,000","-6,805,000","-51,821,000","52,301,000","79,904,000","-26,351,000","-16,293,000","77,900,000","-50,099,000","-19,509,000","7,908,000","7,811,000","-15,371,000","35,867,000","5,008,000","-67,943,000","44,244,000","33,035,000","40,410,000","8,861,000","-3,193,000","7,408,000","22,000,000","10,400,000","800,000",,"8,500,000","2,600,000"
				ChangeInPayable,"109,626,000","8,078,000","-5,773,000","549,482,000","18,456,000","9,787,000","-53,616,000","32,642,000","82,223,000","-40,549,000","-12,797,000","27,797,000","-25,746,000",,,,,,,,,,,,,,,,,,,
					ChangeInTaxPayable,"87,416,000","18,715,000","-16,910,000","566,173,000","7,473,000","-11,635,000","15,967,000","-44,287,000","88,069,000","-19,909,000","-15,630,000","-20,170,000","-14,545,000",,,,,,,,,,,,,,,,,,,
						ChangeInIncomeTaxPayable,"87,416,000","18,715,000","-16,910,000","566,173,000","7,473,000","-11,635,000","15,967,000","-44,287,000","88,069,000","-19,909,000","-15,630,000","-20,170,000","-14,545,000",,,,,,,,,,,,,,,,,,,
					ChangeInAccountPayable,"22,210,000","-10,637,000","11,137,000","-16,691,000","10,983,000","21,422,000","-69,583,000","76,929,000","-5,846,000","-20,640,000","2,833,000","47,967,000","-11,201,000",,,,,,,,,,,,,,,,,,,
				ChangeInAccruedExpense,"79,402,000","-23,699,000","46,585,000","48,926,000","33,788,000","-16,592,000","1,795,000","19,659,000","-2,319,000","14,198,000","-3,496,000","50,103,000","-24,353,000",,,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,,"-53,229,000","6,234,000","15,891,000","-20,076,000","-54,056,000","-15,242,000",,,,,,,,"-3,100,000","-4,900,000","-700,000"
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,"19,631,000","17,768,000","-49,314,000","41,902,000","-53,689,000","42,277,000","-78,016,000","-102,305,000","86,465,000","-86,728,000","45,176,000","123,666,000","-8,806,000","19,543,000","-1,213,000","15,755,000","3,200,000","5,400,000","2,300,000","8,800,000","6,200,000","-300,000"
			ChangeInOtherWorkingCapital,"-45,071,000","-3,094,000","-27,484,000","-51,644,000","-17,748,000","-26,257,000","10,441,000","-19,594,000","-27,576,000","-31,334,000","-841,000","-15,341,000","-13,487,000","32,868,000","-15,636,000","-29,910,000","-32,116,000",,,,,,,,,,,,,,,
InvestingCashFlow,"-1,163,070,000","680,204,000","-690,543,000","948,243,000","493,950,000","-423,936,000","12,956,000","28,646,000","-511,515,000","-960,897,000","-625,441,000","-336,732,000","274,540,000","192,019,000","-283,771,000","242,380,000","-45,095,000","-354,798,000","-355,138,000","-217,729,000","44,663,000","-398,210,000","-298,579,000","-200,838,000","-30,259,000","-352,735,000","-85,900,000","-29,600,000","-6,900,000","-26,400,000","-50,600,000","-2,000,000"
	CashFlowFromContinuingInvestingActivities,"-1,163,070,000","680,204,000","-690,543,000","948,243,000","493,950,000","-423,936,000","12,956,000","28,646,000","-511,515,000","-960,897,000","-625,441,000","-336,732,000","274,540,000","192,019,000","-283,771,000","242,380,000","-45,095,000","-354,798,000","-355,138,000","-217,729,000","44,663,000","-398,210,000","-298,579,000","-200,838,000","-30,259,000","-352,735,000","-85,900,000","-29,600,000","-6,900,000","-26,400,000","-50,600,000","-2,000,000"
		CapitalExpenditureReported,"-69,110,000","-129,289,000","-89,045,000","-49,918,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetPPEPurchaseAndSale,,,,,"-72,051,000","-34,004,000","-29,619,000","-44,865,000","-30,265,000","-70,071,000","-64,979,000","-28,152,000","-39,109,000","-45,593,000","-110,777,000","-67,040,000","-61,377,000","-8,993,000","-39,586,000","-94,883,000","-222,670,000","-143,746,000","-40,922,000","-58,051,000","-26,803,000","-60,506,000","-68,200,000","-12,300,000","-9,800,000","-7,200,000","-4,100,000","-2,000,000"
			PurchaseOfPPE,,,,,"-72,051,000","-34,004,000","-29,619,000","-44,865,000","-30,265,000","-70,071,000","-64,979,000","-28,152,000","-39,109,000","-45,593,000","-110,777,000","-67,040,000","-61,377,000","-41,040,000","-46,049,000","-94,883,000","-222,670,000","-143,746,000","-40,922,000","-58,051,000","-26,803,000","-60,506,000","-68,200,000","-12,300,000","-9,800,000","-7,200,000","-4,100,000","-2,000,000"
			SaleOfPPE,,,,,,,,,,,,,,,,,,"32,047,000","6,463,000",,,,,,,,,,,,,
		NetBusinessPurchaseAndSale,"-7,103,000","-454,651,000","-234,145,000",,,,,,,,,,,,,"-19,476,000","-18,433,000","-19,997,000",,,,"-22,750,000","-6,776,000",,,"-33,412,000",,,,,,
			PurchaseOfBusiness,"-7,103,000","-454,651,000","-234,145,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
