name,ttm,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990
OperatingCashFlow,"1,198,542,000","360,137,000","247,583,000","245,471,000","345,351,000","323,575,000","223,694,000","298,216,000","288,007,000","313,917,000","313,123,000","176,168,000","242,293,000","184,686,000","202,140,000","190,908,000","306,318,000","105,584,000","183,593,000","338,636,000","122,934,000","290,285,000","133,730,000","183,153,000","166,039,000","290,741,000","203,881,000","130,119,000","189,375,000","216,390,000","254,943,000","144,209,000","173,653,000","122,568,000","197,370,000","162,946,000","208,491,000","180,970,000","199,584,000","237,694,000","244,967,000","332,527,000","41,616,000","105,042,000","103,870,000","185,478,000","117,976,000","146,967,000","60,854,000","128,479,000","94,700,000","158,497,000","101,866,000","207,744,000","145,066,000","126,324,000","105,633,000","173,173,000","119,497,000","153,265,000","83,783,000","190,161,000","61,959,000","153,520,000","-16,727,000","72,738,000","68,833,000","150,642,000","79,308,000","166,193,000","55,531,000","131,468,000","76,786,000","129,828,000","64,142,000","74,244,000","102,056,000","100,702,000","86,211,000","-8,075,000","654,000","100,487,000","154,748,000","121,378,000","117,274,000","102,359,000","37,767,000","83,710,000","77,433,000","61,410,000","58,889,000","45,893,000","52,795,000","49,184,000","42,694,000","73,729,000","51,259,000","8,325,000","26,479,000","53,887,000","42,262,000","43,300,000","34,500,000","30,200,000","36,300,000","29,900,000","12,100,000","9,700,000","12,300,000","12,900,000","3,500,000","14,500,000","18,300,000","-3,800,000","5,200,000","10,000,000","7,300,000","2,900,000","3,800,000","10,400,000","7,500,000","6,900,000","-700,000","8,200,000"
	CashFlowFromContinuingOperatingActivities,"1,198,542,000","360,137,000","247,583,000","245,471,000","345,351,000","323,575,000","223,694,000","298,216,000","288,007,000","313,917,000","313,123,000","176,168,000","242,293,000","184,686,000","202,140,000","190,908,000","306,318,000","105,584,000","183,593,000","338,636,000","122,934,000","290,285,000","133,730,000","183,153,000","166,039,000","290,741,000","203,881,000","130,119,000","189,375,000","216,390,000","254,943,000","144,209,000","173,653,000","122,568,000","197,370,000","162,946,000","208,491,000","180,970,000","199,584,000","237,694,000","244,967,000","332,527,000","41,616,000","105,042,000","103,870,000","185,478,000","117,976,000","146,967,000","60,854,000","128,479,000","94,700,000","158,497,000","101,866,000","207,744,000","145,066,000","126,324,000","105,633,000","173,173,000","119,497,000","153,265,000","83,783,000","190,161,000","61,959,000","153,520,000","-16,727,000","72,738,000","68,833,000","150,642,000","79,308,000","166,193,000","55,531,000","131,468,000","76,786,000","129,828,000","64,142,000","74,244,000","102,056,000","100,702,000","86,211,000","-8,075,000","654,000","100,487,000","154,748,000","121,378,000","117,274,000","102,359,000","37,767,000","83,710,000","77,433,000","61,410,000","58,889,000","45,893,000","52,795,000","49,184,000","42,694,000","73,729,000","51,259,000","8,325,000","26,479,000","53,887,000","42,262,000","43,300,000","34,500,000","30,200,000","36,300,000","29,900,000","12,100,000","9,700,000","12,300,000","12,900,000","3,500,000","14,500,000","18,300,000","-3,800,000","5,200,000","10,000,000","7,300,000","2,900,000","3,800,000","10,400,000","7,500,000","6,900,000","-700,000","8,200,000"
		NetIncomeFromContinuingOperations,"620,883,000","170,973,000","193,816,000","93,836,000","162,258,000","162,011,000","226,993,000","241,459,000","244,641,000","239,359,000","215,712,000","190,038,000","165,659,000","11,945,000","167,532,000","167,245,000","153,425,000","141,846,000","164,192,000","163,049,000","145,034,000","130,820,000","127,298,000","147,715,000","134,623,000","168,466,000","171,516,000","173,611,000","156,027,000","175,877,000","141,461,000","157,023,000","130,620,000",,,,,,,,,"152,341,000","170,895,000","158,587,000","148,532,000","106,908,000","64,038,000","38,006,000","70,512,000","139,374,000","81,825,000","83,929,000","96,479,000","103,592,000","89,698,000","84,278,000","87,626,000","87,509,000","93,046,000","82,491,000","110,741,000","80,969,000","85,598,000","76,841,000","67,205,000","64,057,000","86,209,000","95,252,000","130,889,000","69,449,000","56,410,000","46,241,000","49,409,000","-3,430,000","38,720,000","41,006,000","34,278,000","9,657,000","-176,024,000","18,482,000","-162,117,000","-10,507,000","114,056,000","93,826,000","476,357,000","68,504,000","55,974,000","51,615,000","13,813,000","33,919,000","27,831,000","27,029,000","30,593,000","31,600,000","30,950,000","33,444,000","30,443,000","26,223,000","21,218,000","32,492,000","33,854,000","32,200,000","29,900,000","5,500,000","19,900,000","15,600,000","11,800,000","12,000,000","12,200,000","10,600,000","9,600,000","8,900,000","8,000,000","7,000,000","6,300,000","5,900,000","3,600,000","5,700,000","6,200,000","5,800,000","5,000,000","4,400,000","3,700,000","2,800,000"
		OperatingGainsLosses,,,,,,,,,,,,,"-669,000","2,114,000","-310,000","-446,000","-2,761,000","52,000","-614,000","-209,000","229,000","19,000","-388,000","-230,000","-6,370,000","-3,096,000","-1,742,000","-670,000","9,903,000","129,000","255,000","-107,000","-763,000","-311,000","-1,029,000","-712,000","-654,000","-790,000","-737,000","-334,000","-257,000","634,000","-3,650,000","-548,000","-363,000","-85,000","31,000","66,000","-110,572,000","549,000","-2,884,000","-405,000","3,942,000","245,000","195,000","757,000","85,000","-269,000","-1,846,000","813,000","21,193,000","10,052,000","12,696,000","7,554,000","17,269,000","23,580,000","6,274,000","14,523,000","82,826,000","14,294,000","7,590,000","14,621,000","2,554,000","65,338,000","9,426,000","-1,071,000","-3,907,000","-476,000","216,923,000","-602,000","211,002,000",,,,"-676,102,000","-2,902,000","3,306,000","-654,000","29,761,000","727,000","2,381,000","2,613,000","-105,000","-2,614,000","-510,000","-518,000","-398,000","-530,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,"-669,000","2,114,000","-310,000","-446,000","-2,761,000","52,000","-614,000","-209,000","229,000","19,000","-388,000","-230,000","-6,370,000","-3,096,000","-1,742,000","-670,000","55,000","129,000","255,000","-107,000","-763,000","-311,000","-1,029,000","-712,000","-654,000","-790,000","-737,000","-334,000","-257,000","634,000","-3,650,000","-548,000","-363,000","-85,000","31,000","66,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"191,649,000","47,951,000","45,565,000","46,808,000","51,325,000","41,607,000","31,663,000","32,938,000","31,802,000","25,958,000","24,192,000","22,408,000","49,719,000","16,910,000","15,164,000","14,961,000","16,108,000","15,997,000","15,183,000","15,338,000","16,524,000","17,484,000","16,826,000","17,607,000","18,501,000","18,759,000","18,981,000","18,673,000","18,840,000","18,653,000","18,861,000","18,918,000","18,248,000","18,103,000","18,339,000","18,870,000","19,029,000","18,189,000","17,722,000","17,408,000","15,895,000","14,373,000","14,690,000","13,934,000","15,453,000","16,077,000","15,316,000","18,316,000","16,777,000","17,558,000","17,536,000","19,646,000","18,095,000","17,825,000","18,984,000","17,051,000","22,431,000","17,031,000","17,292,000","17,170,000","18,557,000","16,676,000","17,142,000","17,174,000","16,166,000","15,789,000","15,987,000","15,624,000","14,853,000","17,610,000","19,514,000","19,713,000","19,143,000","19,173,000","19,758,000","20,766,000","20,140,000","31,700,000","32,008,000","33,230,000","33,993,000","28,568,000","17,217,000","13,673,000","12,970,000","12,748,000","10,064,000","8,409,000","7,469,000","9,457,000","7,034,000","8,152,000","7,887,000","9,054,000","8,053,000","7,715,000","7,802,000","7,425,000","6,272,000","6,498,000","6,464,000","6,700,000","5,000,000","4,300,000","3,200,000","2,800,000","3,100,000","3,100,000","3,400,000","2,600,000","2,500,000","2,300,000","2,600,000","2,100,000","1,900,000","2,000,000","1,700,000","1,600,000","1,400,000","900,000","1,100,000","900,000","600,000","500,000"
			DepreciationAndAmortization,"191,649,000","47,951,000","45,565,000","46,808,000","51,325,000","41,607,000","31,663,000","32,938,000","31,802,000","25,958,000","24,192,000","22,408,000","49,719,000","16,910,000","15,164,000","14,961,000","16,108,000","15,997,000","15,183,000","15,338,000","16,524,000","17,484,000","16,826,000","17,607,000","18,501,000","18,759,000","18,981,000","18,673,000","18,840,000","18,653,000","18,861,000","18,918,000","18,248,000","18,103,000","18,339,000","18,870,000","19,029,000","18,189,000","17,722,000","17,408,000","15,895,000","14,373,000","14,690,000","13,934,000","15,453,000","16,077,000","15,316,000","18,316,000","16,777,000","17,558,000","17,536,000","19,646,000","18,095,000","17,825,000","18,984,000","17,051,000","22,431,000","17,031,000","17,292,000","17,170,000","18,557,000","16,676,000","17,142,000","17,174,000","16,166,000","15,789,000","15,987,000","15,624,000","14,853,000","17,610,000","19,514,000","19,713,000","19,143,000","19,173,000","19,758,000","20,766,000","20,140,000","31,700,000","32,008,000","33,230,000","33,993,000","28,568,000","17,217,000","13,673,000","12,970,000","12,748,000","10,064,000","8,409,000","7,469,000","9,457,000","7,034,000","8,152,000","7,887,000","9,054,000","8,053,000","7,715,000","7,802,000","7,425,000","6,272,000","6,498,000","6,464,000","6,700,000","5,000,000","4,300,000","3,200,000","2,800,000","3,100,000","3,100,000","3,400,000","2,600,000","2,500,000","2,300,000","2,600,000","2,100,000","1,900,000","2,000,000","1,700,000","1,600,000","1,400,000","900,000","1,100,000","900,000","600,000","500,000"
				Depreciation,"121,419,000","30,818,000","30,249,000","31,749,000","28,603,000","26,331,000","18,698,000","23,853,000","21,607,000","17,974,000","16,048,000","15,075,000","12,022,000","11,452,000","11,732,000","11,232,000","11,506,000","11,110,000","11,182,000","11,625,000","12,060,000","13,043,000","12,472,000","13,253,000","14,409,000","13,711,000","13,678,000","13,468,000","13,860,000","13,595,000","13,976,000","14,033,000","13,893,000","13,680,000","14,151,000","14,603,000","14,702,000","13,862,000","13,396,000","13,698,000","12,923,000","12,500,000","12,747,000","12,191,000","12,248,000","12,867,000","12,056,000","13,009,000","13,465,000","13,438,000","13,309,000","15,420,000","13,876,000","13,497,000","14,380,000","12,446,000","17,895,000","12,594,000","12,825,000","12,684,000","14,149,000","12,729,000","13,054,000","13,394,000","5,212,000","15,709,000","15,850,000","15,150,000","14,307,000","16,688,000","18,346,000","18,582,000","17,807,000","17,787,000","18,174,000","18,682,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,"70,230,000","17,133,000","15,316,000","15,059,000","22,722,000","15,276,000","12,965,000","9,085,000","10,195,000","7,984,000","8,144,000","7,333,000","37,697,000","5,458,000","3,432,000","3,729,000","4,602,000","4,887,000","4,001,000","3,713,000","4,464,000","4,441,000","4,354,000","4,354,000","4,092,000","5,048,000","5,303,000","5,205,000","4,980,000","5,058,000","4,885,000","4,885,000","4,355,000","4,423,000","4,188,000","4,267,000","4,327,000","4,327,000","4,326,000","3,710,000","2,972,000","1,873,000","1,943,000","1,743,000","3,205,000","3,210,000","3,260,000","5,307,000","3,312,000","4,120,000","4,227,000","4,226,000","4,219,000","4,328,000","4,604,000","4,605,000","4,536,000","4,437,000","4,467,000","4,486,000","4,408,000","3,947,000","4,088,000","3,780,000","10,954,000","80,000","137,000","474,000","546,000","922,000","1,168,000","1,131,000","1,336,000","1,386,000","1,584,000","2,084,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,"70,230,000","17,133,000","15,316,000","15,059,000","22,722,000","15,276,000","12,965,000","9,085,000","10,195,000","7,984,000","8,144,000","7,333,000","37,697,000","5,458,000","3,432,000","3,729,000","4,602,000","4,887,000","4,001,000","3,713,000","4,464,000","4,441,000","4,354,000","4,354,000","4,092,000","5,048,000","5,303,000","5,205,000","4,980,000","5,058,000","4,885,000","4,885,000","4,355,000","4,423,000","4,188,000","4,267,000","4,327,000","4,327,000","4,326,000","3,710,000","2,972,000","1,873,000","1,943,000","1,743,000","3,205,000","3,210,000","3,260,000","5,307,000","3,312,000","4,120,000","4,227,000","4,226,000","4,219,000","4,328,000","4,604,000","4,605,000","4,536,000","4,437,000","4,467,000","4,486,000","4,408,000","3,947,000","4,088,000","3,780,000","10,954,000","80,000","137,000","474,000","546,000","922,000","1,168,000","1,131,000","1,336,000","1,386,000","1,584,000","2,084,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
