name,ttm,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988
TotalRevenue,"3,052,781,000","803,404,000","766,535,000","726,673,000","756,169,000","723,499,000","833,366,000","849,632,000","828,362,000","800,057,000","746,252,000","684,370,000","672,862,000","631,193,000","619,503,000","615,446,000","609,453,000","585,688,000","579,209,000","574,981,000","571,066,000","566,235,000","527,572,000","549,008,000","566,899,000","593,549,000","604,262,000","612,633,000","617,823,000","586,816,000","598,937,000","578,955,000","532,168,000","509,767,000","543,933,000","582,784,000","558,973,000","511,091,000","555,209,000","615,463,000","587,852,000","567,190,000","619,666,000","594,737,000","529,020,000","513,349,000","414,950,000","376,235,000","395,014,000","458,387,000","483,537,000","488,246,000","475,760,000","474,806,000","444,894,000","445,912,000","443,472,000","450,725,000","467,180,000","481,362,000","472,337,000","449,605,000","398,929,000","405,379,000","390,977,000","355,396,000","403,277,000","423,583,000","403,380,000","365,632,000","315,547,000","313,287,000","305,514,000","282,739,000","277,871,000","289,853,000","273,498,000","228,110,000","224,645,000","289,326,000","407,020,000","450,103,000","437,360,000","364,875,000","306,569,000","264,259,000","238,762,000","211,403,000","186,580,000","167,357,000","156,443,000","151,603,000","153,825,000","148,735,000","150,272,000","160,761,000","151,777,000","135,587,000","130,579,000","150,200,000","149,702,000","144,100,000","141,200,000","125,800,000","109,200,000","91,300,000","79,500,000","75,200,000","75,400,000","66,500,000","60,100,000","54,400,000","50,200,000","46,200,000","42,500,000","39,000,000","35,400,000","32,200,000","35,000,000","33,200,000","29,700,000","26,300,000","23,100,000","18,500,000","12,500,000","12,500,000","12,500,000","12,400,000","7,600,000","7,600,000","7,600,000","7,600,000"
	OperatingRevenue,"3,052,781,000","803,404,000","766,535,000","726,673,000","756,169,000","723,499,000","833,366,000","849,632,000","828,362,000","800,057,000","746,252,000","684,370,000","672,862,000","631,193,000","619,503,000","615,446,000","609,453,000","585,688,000","579,209,000","574,981,000","571,066,000","566,235,000","527,572,000","549,008,000","566,899,000","593,549,000","604,262,000","612,633,000","617,823,000","586,816,000","598,937,000","578,955,000","532,168,000","509,767,000","543,933,000","582,784,000","558,973,000","511,091,000","555,209,000","615,463,000","587,852,000","567,190,000","619,666,000","594,737,000","529,020,000","513,349,000","414,950,000","376,235,000","395,014,000","458,387,000","483,537,000","488,246,000","475,760,000","474,806,000","444,894,000","445,912,000","443,472,000","450,725,000","467,180,000","481,362,000","472,337,000","449,605,000","398,929,000","405,379,000","390,977,000","355,396,000","403,277,000","423,583,000","403,380,000","365,632,000","315,547,000","313,287,000","305,514,000","282,739,000","277,871,000","289,853,000","273,498,000","228,110,000","224,645,000","289,326,000","407,020,000","450,103,000","437,360,000","364,875,000","306,569,000","264,259,000","238,762,000","211,403,000","186,580,000","167,357,000","156,443,000","151,603,000","153,825,000","148,735,000","150,272,000","160,761,000","151,777,000","135,587,000","130,579,000","150,200,000","149,702,000","144,100,000","141,200,000","125,800,000","109,200,000","91,300,000","79,500,000","75,200,000","75,400,000","66,500,000","60,100,000","54,400,000","50,200,000","46,200,000","42,500,000","39,000,000","35,400,000","32,200,000","35,000,000","33,200,000","29,700,000","26,300,000","23,100,000","18,500,000","12,500,000","12,500,000","12,500,000","12,400,000","7,600,000","7,600,000","7,600,000","7,600,000"
CostOfRevenue,"941,755,000","256,404,000","224,816,000","232,800,000","227,734,000","240,021,000","293,106,000","286,769,000","269,457,000","247,903,000","231,620,000","206,888,000","197,331,000","182,156,000","184,786,000","192,095,000","185,812,000","178,233,000","175,875,000","168,297,000","175,799,000","178,514,000","157,640,000","159,954,000","170,378,000","179,638,000","169,617,000","189,189,000","199,945,000","180,792,000","182,816,000","179,700,000","180,589,000","170,493,000","187,713,000","198,411,000","187,577,000","174,805,000","200,564,000","223,132,000","203,703,000","194,419,000","213,260,000","208,176,000","185,484,000","184,320,000","158,177,000","143,822,000","149,907,000","165,331,000","177,407,000","176,506,000","173,974,000","174,414,000","170,122,000","168,478,000","168,041,000","177,963,000","180,580,000","192,059,000","178,193,000","166,476,000","153,968,000","158,482,000","152,001,000","135,096,000","145,024,000","144,163,000","142,298,000","139,674,000","122,897,000","125,099,000","122,351,000","117,123,000","113,741,000","120,336,000","115,317,000","101,868,000","199,751,000","140,948,000","194,949,000","179,199,000","168,325,000","136,929,000","114,499,000","99,576,000","90,205,000","79,758,000","69,667,000","65,962,000","58,814,000","56,823,000","58,068,000","55,668,000","56,048,000","60,906,000","58,198,000","52,156,000","50,658,000","53,325,000","67,392,000","46,000,000","46,600,000","44,200,000","39,800,000","32,700,000","27,600,000","26,100,000","25,800,000","23,200,000","20,500,000","18,700,000","17,200,000","16,200,000","14,600,000","12,800,000","15,400,000","10,500,000","12,100,000","11,900,000","10,500,000","9,500,000","8,500,000","6,700,000",,,,,,,,
GrossProfit,"2,111,026,000","547,000,000","541,719,000","493,873,000","528,435,000","483,478,000","540,260,000","562,863,000","558,905,000","552,154,000","514,632,000","477,482,000","475,531,000","449,037,000","434,717,000","423,351,000","423,641,000","407,455,000","403,334,000","406,684,000","395,267,000","387,721,000","369,932,000","389,054,000","396,521,000","413,911,000","434,645,000","423,444,000","417,878,000","406,024,000","416,121,000","399,255,000","351,579,000","339,274,000","356,220,000","384,373,000","371,396,000","336,286,000","354,645,000","392,331,000","384,149,000","372,771,000","406,406,000","386,561,000","343,536,000","329,029,000","256,773,000","232,413,000","245,107,000","293,056,000","306,130,000","311,740,000","301,786,000","300,392,000","274,772,000","277,434,000","275,431,000","272,762,000","286,600,000","289,303,000","294,144,000","283,129,000","244,961,000","246,897,000","238,976,000","220,300,000","258,253,000","279,420,000","261,082,000","225,958,000","192,650,000","188,188,000","183,163,000","165,616,000","164,130,000","169,517,000","158,181,000","126,242,000","24,894,000","148,378,000","212,071,000","270,904,000","269,035,000","227,946,000","192,070,000","164,683,000","148,557,000","131,645,000","116,913,000","101,395,000","97,629,000","94,780,000","95,757,000","93,067,000","94,224,000","99,855,000","93,579,000","83,431,000","79,921,000","96,875,000","82,310,000","98,100,000","94,600,000","81,600,000","69,400,000","58,600,000","51,900,000","49,100,000","49,600,000","43,300,000","39,600,000","35,700,000","33,000,000","30,000,000","27,900,000","26,200,000","20,000,000","21,700,000","22,900,000","21,300,000","19,200,000","16,800,000","14,600,000","11,800,000",,,,,,,,
OperatingExpense,"1,351,278,000","374,575,000","336,302,000","318,358,000","322,044,000","324,072,000","336,744,000","311,925,000","308,526,000","294,234,000","281,896,000","261,718,000","252,415,000","259,337,000","249,548,000","242,931,000","250,237,000","244,483,000","226,521,000","220,479,000","217,167,000","227,617,000","216,750,000","210,560,000","213,510,000","223,902,000","234,596,000","216,944,000","228,361,000","222,475,000","223,759,000","206,346,000","204,352,000","218,432,000","208,134,000","219,796,000","208,482,000","199,161,000","196,437,000","204,036,000","196,864,000","184,984,000","183,752,000","178,542,000","184,586,000","186,904,000","168,766,000","159,282,000","166,848,000","173,474,000","179,017,000","185,163,000","184,783,000","185,046,000","180,395,000","179,966,000","196,073,000","190,572,000","193,444,000","196,240,000","170,213,000","163,292,000","162,617,000","156,447,000","155,847,000","150,971,000","156,978,000","153,915,000","138,365,000","140,265,000","123,654,000","131,490,000","122,189,000","167,597,000","107,576,000","119,395,000","118,637,000","112,256,000","139,869,000","131,083,000","139,600,000","137,064,000","121,947,000","106,592,000","91,868,000","79,540,000","73,247,000","65,548,000","64,605,000","56,894,000","55,007,000","52,237,000","53,259,000","51,996,000","51,176,000","52,604,000","50,375,000","46,528,000","50,457,000","47,385,000","49,054,000","48,800,000","49,000,000","44,200,000","38,600,000","34,200,000","31,400,000","30,300,000","30,200,000","26,400,000","24,400,000","21,900,000","20,600,000","19,100,000","18,300,000","17,600,000","15,300,000","13,500,000","13,900,000","13,000,000","12,100,000","10,800,000","9,300,000","7,600,000",,,,,,,,
	SellingGeneralAndAdministration,"459,552,000","136,701,000","113,793,000","105,383,000","103,675,000","109,612,000","111,596,000","107,425,000","107,160,000","103,039,000","97,685,000","90,532,000","89,348,000","92,753,000","91,053,000","89,175,000","84,797,000","83,780,000","83,463,000","83,110,000","80,278,000","84,470,000","84,761,000","82,143,000","79,198,000","88,076,000","93,883,000","92,513,000","98,087,000","91,794,000","96,339,000","92,387,000","90,732,000","86,823,000","91,928,000","96,201,000","91,261,000","88,934,000","88,681,000","96,396,000","92,863,000","86,531,000","87,174,000","84,058,000","90,346,000","85,037,000","78,621,000","73,556,000","77,652,000","85,032,000","88,080,000","93,004,000","92,469,000","92,453,000","90,204,000","90,199,000","95,657,000","89,973,000","95,462,000","96,627,000","81,888,000","80,683,000","77,744,000","75,987,000","74,063,000","71,856,000","77,086,000","80,590,000","74,825,000","68,993,000","60,833,000","62,013,000","61,646,000","56,222,000","58,582,000","58,897,000","55,679,000","52,375,000","55,308,000","65,397,000","69,098,000","71,082,000","70,514,000","63,399,000","55,228,000","47,950,000","43,902,000","39,539,000","36,511,000","33,858,000","32,447,000","31,434,000","32,227,000","32,460,000","31,226,000","32,666,000","31,583,000","28,830,000","28,709,000","29,548,000","28,788,000","26,900,000","27,300,000","25,000,000","35,400,000","31,200,000","28,300,000","27,200,000","26,800,000","23,900,000","22,000,000","19,600,000","18,000,000","17,100,000","16,400,000","15,600,000","13,600,000","11,900,000","12,500,000","12,100,000","11,000,000","9,900,000","8,700,000","7,100,000",,,,,,,,
	ResearchAndDevelopment,"879,744,000","235,018,000","219,647,000","210,113,000","214,968,000","211,541,000","222,979,000","204,100,000","199,500,000","189,329,000","183,372,000","170,826,000","162,483,000","166,231,000","157,985,000","153,051,000","164,256,000","159,248,000","141,814,000","136,125,000","135,645,000","141,378,000","130,220,000","126,648,000","131,942,000","133,455,000","138,335,000","122,013,000","127,812,000","128,092,000","125,002,000","111,541,000","111,133,000","129,055,000","113,887,000","121,447,000","115,240,000","108,245,000","105,774,000","106,017,000","102,967,000","98,453,000","96,578,000","94,484,000","94,240,000","101,867,000","90,145,000","83,233,000","88,190,000","86,967,000","89,501,000","90,734,000","90,888,000","91,011,000","88,294,000","87,870,000","98,476,000","96,092,000","95,951,000","97,582,000","86,396,000","81,073,000","79,953,000","78,704,000","80,034,000","77,356,000","78,135,000","71,923,000","62,598,000","66,183,000","59,286,000","59,542,000","57,004,000","53,087,000","55,272,000","56,776,000","52,210,000","49,131,000","49,135,000","54,936,000","59,421,000","59,148,000","51,433,000","43,193,000","36,640,000","31,590,000","29,345,000","26,009,000","28,094,000","23,036,000","22,560,000","20,803,000","21,032,000","19,536,000","19,950,000","19,938,000","18,792,000","17,698,000","16,748,000","17,837,000","16,900,000","16,200,000","16,700,000","14,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"11,982,000","2,856,000","2,862,000","2,862,000","3,401,000","2,919,000","2,169,000","400,000","1,866,000","1,866,000","839,000","360,000","584,000","353,000","510,000","705,000","1,184,000","1,455,000","1,244,000","1,244,000","1,244,000","1,769,000","1,769,000","1,769,000","2,370,000","2,371,000","2,378,000","2,418,000","2,462,000","2,589,000","2,418,000","2,418,000","2,487,000","2,554,000","2,319,000","2,148,000","1,981,000","1,982,000","1,982,000","1,623,000","1,034,000","0","0","0","0","0","0","2,493,000","1,006,000","1,475,000","1,426,000","1,425,000","1,426,000","1,582,000","1,897,000","1,897,000","1,940,000","2,007,000","2,031,000","2,031,000","1,929,000","1,536,000","1,755,000","1,756,000","1,750,000","1,759,000","1,757,000","1,402,000","942,000","1,713,000","3,535,000","3,535,000","3,539,000","3,597,000","3,722,000","3,722,000","10,748,000","10,750,000","10,090,000","10,750,000","11,081,000","6,834,000",,,,,,,,,,,,,,,,,,,,"5,700,000","5,000,000","4,300,000","3,200,000","3,000,000","3,100,000","3,100,000","3,400,000","2,500,000","2,400,000","2,300,000","2,600,000","2,000,000","1,900,000","2,000,000","1,700,000","1,600,000","1,400,000","900,000","1,100,000","900,000","600,000","500,000",,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"11,982,000","2,856,000","2,862,000","2,862,000","3,401,000","2,919,000","2,169,000","400,000","1,866,000","1,866,000","839,000","360,000","584,000","353,000","510,000","705,000","1,184,000","1,455,000","1,244,000","1,244,000","1,244,000","1,769,000","1,769,000","1,769,000","2,370,000","2,371,000","2,378,000","2,418,000","2,462,000","2,589,000","2,418,000","2,418,000","2,487,000","2,554,000","2,319,000","2,148,000","1,981,000","1,982,000","1,982,000","1,623,000","1,034,000","0","0","0","0","0","0","2,493,000","1,006,000","1,475,000","1,426,000","1,425,000","1,426,000","1,582,000","1,897,000","1,897,000","1,940,000","2,007,000","2,031,000","2,031,000","1,929,000","1,536,000","1,755,000","1,756,000","1,750,000","1,759,000","1,757,000","1,402,000","942,000","1,713,000","3,535,000","3,535,000","3,539,000","3,597,000","3,722,000","3,722,000","10,748,000","10,750,000","10,090,000","10,750,000","11,081,000","6,834,000",,,,,,,,,,,,,,,,,,,,"5,700,000","5,000,000","4,300,000","3,200,000","3,000,000","3,100,000","3,100,000","3,400,000","2,500,000","2,400,000","2,300,000","2,600,000","2,000,000","1,900,000","2,000,000","1,700,000","1,600,000","1,400,000","900,000","1,100,000","900,000","600,000","500,000",,,,,,,,
			Amortization,"11,982,000","2,856,000","2,862,000","2,862,000","3,401,000","2,919,000","2,169,000","400,000","1,866,000","1,866,000","839,000","360,000","584,000","353,000","510,000","705,000","1,184,000","1,455,000","1,244,000","1,244,000","1,244,000","1,769,000","1,769,000","1,769,000","2,370,000","2,371,000","2,378,000","2,418,000","2,462,000","2,589,000","2,418,000","2,418,000","2,487,000","2,554,000","2,319,000","2,148,000","1,981,000","1,982,000","1,982,000","1,623,000","1,034,000","0","0","0","0","0","0","2,493,000","1,006,000","1,475,000","1,426,000","1,425,000","1,426,000","1,582,000","1,897,000","1,897,000","1,940,000","2,007,000","2,031,000","2,031,000","1,929,000","1,536,000","1,755,000",,"1,750,000","1,759,000","1,757,000",,"942,000","1,713,000","3,535,000","3,535,000","3,539,000","3,597,000","3,722,000","3,722,000","10,748,000","10,750,000","10,090,000","10,750,000","11,081,000","6,834,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
