company,statementDate,quarter,year,accountClassification,account,amount
AMD,2020-12-31,4,2020,1 - Current Assets,1.1 - Cash & Cash Equivalents,1595000000.0
AMD,2020-12-31,4,2020,1 - Current Assets,1.2 - Short Term Investments,695000000.0
AMD,2020-12-31,4,2020,1 - Current Assets,1.3 - Accounts Receivable,2076000000.0
AMD,2020-12-31,4,2020,1 - Current Assets,1.4 - Inventory,1399000000.0
AMD,2020-12-31,4,2020,1 - Current Assets,1.5 - Other Current Assets,378000000.0
AMD,2020-12-31,4,2020,2 - Non-Current Assets,2.1 - Net PPE,849000000.0
AMD,2020-12-31,4,2020,2 - Non-Current Assets,2.2 - Goodwill,289000000.0
AMD,2020-12-31,4,2020,2 - Non-Current Assets,2.3 - Other Intangible Assets,229000000.0
AMD,2020-12-31,4,2020,2 - Non-Current Assets,2.4 - Other Non-Current Assets,1452000000.0
AMD,2020-12-31,4,2020,3 - Current Liabilities,3.1 - Accounts Payable,546000000.0
AMD,2020-12-31,4,2020,3 - Current Liabilities,3.2 - Accrued Liabilities,1283000000.0
AMD,2020-12-31,4,2020,3 - Current Liabilities,3.3 - Other Current Liabilities,588000000.0
AMD,2020-12-31,4,2020,4 - Non-Current Liabilities,4.1 - Long-Term Debt,531000000.0
AMD,2020-12-31,4,2020,4 - Non-Current Liabilities,4.2 - Other Non-Current Liabilities,177000000.0
AMD,2020-12-31,4,2020,5 - Equity,5.1 - Stockholders Equity,5837000000.0
AMD,2019-12-31,4,2019,1 - Current Assets,1.1 - Cash & Cash Equivalents,1466000000.0
AMD,2019-12-31,4,2019,1 - Current Assets,1.2 - Short Term Investments,37000000.0
AMD,2019-12-31,4,2019,1 - Current Assets,1.3 - Accounts Receivable,1859000000.0
AMD,2019-12-31,4,2019,1 - Current Assets,1.4 - Inventory,982000000.0
AMD,2019-12-31,4,2019,1 - Current Assets,1.5 - Other Current Assets,253000000.0
AMD,2019-12-31,4,2019,2 - Non-Current Assets,2.1 - Net PPE,705000000.0
AMD,2019-12-31,4,2019,2 - Non-Current Assets,2.2 - Goodwill,289000000.0
AMD,2019-12-31,4,2019,2 - Non-Current Assets,2.3 - Other Intangible Assets,210000000.0
AMD,2019-12-31,4,2019,2 - Non-Current Assets,2.4 - Other Non-Current Assets,227000000.0
AMD,2019-12-31,4,2019,3 - Current Liabilities,3.1 - Accounts Payable,1201000000.0
AMD,2019-12-31,4,2019,3 - Current Liabilities,3.2 - Accrued Liabilities,799000000.0
AMD,2019-12-31,4,2019,3 - Current Liabilities,3.3 - Other Current Liabilities,359000000.0
AMD,2019-12-31,4,2019,4 - Non-Current Liabilities,4.1 - Long-Term Debt,685000000.0
AMD,2019-12-31,4,2019,4 - Non-Current Liabilities,4.2 - Other Non-Current Liabilities,157000000.0
AMD,2019-12-31,4,2019,5 - Equity,5.1 - Stockholders Equity,2827000000.0
AMD,2018-12-31,4,2018,1 - Current Assets,1.1 - Cash & Cash Equivalents,1078000000.0
AMD,2018-12-31,4,2018,1 - Current Assets,1.2 - Short Term Investments,78000000.0
AMD,2018-12-31,4,2018,1 - Current Assets,1.3 - Accounts Receivable,1235000000.0
AMD,2018-12-31,4,2018,1 - Current Assets,1.4 - Inventory,845000000.0
AMD,2018-12-31,4,2018,1 - Current Assets,1.5 - Other Current Assets,304000000.0
AMD,2018-12-31,4,2018,2 - Non-Current Assets,2.1 - Net PPE,348000000.0
AMD,2018-12-31,4,2018,2 - Non-Current Assets,2.2 - Goodwill,289000000.0
AMD,2018-12-31,4,2018,2 - Non-Current Assets,2.3 - Other Intangible Assets,226000000.0
AMD,2018-12-31,4,2018,2 - Non-Current Assets,2.4 - Other Non-Current Assets,153000000.0
AMD,2018-12-31,4,2018,3 - Current Liabilities,3.1 - Accounts Payable,1089000000.0
AMD,2018-12-31,4,2018,3 - Current Liabilities,3.2 - Accrued Liabilities,499000000.0
AMD,2018-12-31,4,2018,3 - Current Liabilities,3.3 - Other Current Liabilities,396000000.0
AMD,2018-12-31,4,2018,4 - Non-Current Liabilities,4.1 - Long-Term Debt,1114000000.0
AMD,2018-12-31,4,2018,4 - Non-Current Liabilities,4.2 - Other Non-Current Liabilities,192000000.0
AMD,2018-12-31,4,2018,5 - Equity,5.1 - Stockholders Equity,1266000000.0
AMD,2017-12-31,4,2017,1 - Current Assets,1.1 - Cash & Cash Equivalents,1185000000.0
AMD,2017-12-31,4,2017,1 - Current Assets,1.2 - Short Term Investments,0.0
AMD,2017-12-31,4,2017,1 - Current Assets,1.3 - Accounts Receivable,400000000.0
AMD,2017-12-31,4,2017,1 - Current Assets,1.4 - Inventory,739000000.0
AMD,2017-12-31,4,2017,1 - Current Assets,1.5 - Other Current Assets,298000000.0
AMD,2017-12-31,4,2017,2 - Non-Current Assets,2.1 - Net PPE,261000000.0
AMD,2017-12-31,4,2017,2 - Non-Current Assets,2.2 - Goodwill,289000000.0
AMD,2017-12-31,4,2017,2 - Non-Current Assets,2.3 - Other Intangible Assets,239000000.0
AMD,2017-12-31,4,2017,2 - Non-Current Assets,2.4 - Other Non-Current Assets,129000000.0
AMD,2017-12-31,4,2017,3 - Current Liabilities,3.1 - Accounts Payable,837000000.0
AMD,2017-12-31,4,2017,3 - Current Liabilities,3.2 - Accrued Liabilities,294000000.0
AMD,2017-12-31,4,2017,3 - Current Liabilities,3.3 - Other Current Liabilities,355000000.0
AMD,2017-12-31,4,2017,4 - Non-Current Liabilities,4.1 - Long-Term Debt,1325000000.0
AMD,2017-12-31,4,2017,4 - Non-Current Liabilities,4.2 - Other Non-Current Liabilities,118000000.0
AMD,2017-12-31,4,2017,5 - Equity,5.1 - Stockholders Equity,611000000.0
AMD,2016-12-31,4,2016,1 - Current Assets,1.1 - Cash & Cash Equivalents,1264000000.0
AMD,2016-12-31,4,2016,1 - Current Assets,1.2 - Short Term Investments,0.0
AMD,2016-12-31,4,2016,1 - Current Assets,1.3 - Accounts Receivable,311000000.0
AMD,2016-12-31,4,2016,1 - Current Assets,1.4 - Inventory,751000000.0
AMD,2016-12-31,4,2016,1 - Current Assets,1.5 - Other Current Assets,204000000.0
AMD,2016-12-31,4,2016,2 - Non-Current Assets,2.1 - Net PPE,164000000.0
AMD,2016-12-31,4,2016,2 - Non-Current Assets,2.2 - Goodwill,289000000.0
AMD,2016-12-31,4,2016,2 - Non-Current Assets,2.3 - Other Intangible Assets,232000000.0
AMD,2016-12-31,4,2016,2 - Non-Current Assets,2.4 - Other Non-Current Assets,106000000.0
AMD,2016-12-31,4,2016,3 - Current Liabilities,3.1 - Accounts Payable,847000000.0
AMD,2016-12-31,4,2016,3 - Current Liabilities,3.2 - Accrued Liabilities,251000000.0
AMD,2016-12-31,4,2016,3 - Current Liabilities,3.3 - Other Current Liabilities,248000000.0
AMD,2016-12-31,4,2016,4 - Non-Current Liabilities,4.1 - Long-Term Debt,1435000000.0
AMD,2016-12-31,4,2016,4 - Non-Current Liabilities,4.2 - Other Non-Current Liabilities,124000000.0
AMD,2016-12-31,4,2016,5 - Equity,5.1 - Stockholders Equity,416000000.0
AMD,2015-12-31,4,2015,1 - Current Assets,1.1 - Cash & Cash Equivalents,785000000.0
AMD,2015-12-31,4,2015,1 - Current Assets,1.2 - Short Term Investments,0.0
AMD,2015-12-31,4,2015,1 - Current Assets,1.3 - Accounts Receivable,533000000.0
