company,statementDate,quarter,year,accountClassification,account,amount
AMD,2020-12-31,4,2020,1 - Gross Profit,1.1 - Revenue,3244000000.0
AMD,2020-12-31,4,2020,1 - Gross Profit,1.2 - COGS,-1793000000.0
AMD,2020-12-31,4,2020,2 - Operating Expenses,2.1 - SG&A,-308000000.0
AMD,2020-12-31,4,2020,2 - Operating Expenses,2.2 - R&D,-573000000.0
AMD,2020-12-31,4,2020,2 - Operating Expenses,2.3 - Operating Expenses,0.0
AMD,2020-12-31,4,2020,3 - Other Income/Expenses,3.1 - Net Interest Expense,-1000000.0
AMD,2020-12-31,4,2020,3 - Other Income/Expenses,3.2 - Net Other Expenses,-23000000.0
AMD,2020-12-31,4,2020,4 - Taxes,4.1 - Taxes,-1235000000.0
AMD,2020-09-30,3,2020,1 - Gross Profit,1.1 - Revenue,2801000000.0
AMD,2020-09-30,3,2020,1 - Gross Profit,1.2 - COGS,-1571000000.0
AMD,2020-09-30,3,2020,2 - Operating Expenses,2.1 - SG&A,-273000000.0
AMD,2020-09-30,3,2020,2 - Operating Expenses,2.2 - R&D,-508000000.0
AMD,2020-09-30,3,2020,2 - Operating Expenses,2.3 - Operating Expenses,0.0
AMD,2020-09-30,3,2020,3 - Other Income/Expenses,3.1 - Net Interest Expense,-11000000.0
AMD,2020-09-30,3,2020,3 - Other Income/Expenses,3.2 - Net Other Expenses,-37000000.0
AMD,2020-09-30,3,2020,4 - Taxes,4.1 - Taxes,11000000.0
AMD,2020-06-30,2,2020,1 - Gross Profit,1.1 - Revenue,1932000000.0
AMD,2020-06-30,2,2020,1 - Gross Profit,1.2 - COGS,-1084000000.0
AMD,2020-06-30,2,2020,2 - Operating Expenses,2.1 - SG&A,-215000000.0
AMD,2020-06-30,2,2020,2 - Operating Expenses,2.2 - R&D,-460000000.0
AMD,2020-06-30,2,2020,2 - Operating Expenses,2.3 - Operating Expenses,0.0
AMD,2020-06-30,2,2020,3 - Other Income/Expenses,3.1 - Net Interest Expense,-14000000.0
AMD,2020-06-30,2,2020,3 - Other Income/Expenses,3.2 - Net Other Expenses,1000000.0
AMD,2020-06-30,2,2020,4 - Taxes,4.1 - Taxes,3000000.0
AMD,2020-03-31,1,2020,1 - Gross Profit,1.1 - Revenue,1786000000.0
AMD,2020-03-31,1,2020,1 - Gross Profit,1.2 - COGS,-968000000.0
AMD,2020-03-31,1,2020,2 - Operating Expenses,2.1 - SG&A,-199000000.0
AMD,2020-03-31,1,2020,2 - Operating Expenses,2.2 - R&D,-442000000.0
AMD,2020-03-31,1,2020,2 - Operating Expenses,2.3 - Operating Expenses,0.0
AMD,2020-03-31,1,2020,3 - Other Income/Expenses,3.1 - Net Interest Expense,-13000000.0
AMD,2020-03-31,1,2020,3 - Other Income/Expenses,3.2 - Net Other Expenses,4000000.0
AMD,2020-03-31,1,2020,4 - Taxes,4.1 - Taxes,6000000.0
AMD,2019-12-31,4,2019,1 - Gross Profit,1.1 - Revenue,2127000000.0
AMD,2019-12-31,4,2019,1 - Gross Profit,1.2 - COGS,-1178000000.0
AMD,2019-12-31,4,2019,2 - Operating Expenses,2.1 - SG&A,-206000000.0
