company,year,ratio_type,ratio,value
AMD,2020,1 - Profitability Ratios,1.1 - Gross Margin,0.44525248386766364
AMD,2020,1 - Profitability Ratios,1.2 - Operating Margin,0.14022329202089523
AMD,2020,1 - Profitability Ratios,1.3 - EBITDA Margin,0.17166854450476288
AMD,2020,1 - Profitability Ratios,1.4 - Net Profit Margin,0.25504455597664655
AMD,2020,2 - Liquidity Ratios,2.1 - Current Ratio,2.5415804716590813
AMD,2020,2 - Liquidity Ratios,2.2 - Quick Ratio,1.806371534960695
AMD,2020,2 - Liquidity Ratios,2.3- Cash Ratio,0.6599089780719901
AMD,2020,3 - Working Capital Ratios,3.1 - Days in A/R,77.61343849226672
AMD,2020,3 - Working Capital Ratios,3.2 - A/R Turnover,4.962134688691233
AMD,2020,3 - Working Capital Ratios,3.3 - Days in Inventory,94.28268094534711
AMD,2020,3 - Working Capital Ratios,3.4 - Inventory Turnover,4.549349013019739
AMD,2020,3 - Working Capital Ratios,3.5 - Days in A/P,36.79652880354505
AMD,2020,3 - Working Capital Ratios,3.6 - A/P Turnover,6.2003434459072695
AMD,2020,3 - Working Capital Ratios,3.7 - Cash Conversion Cycle,135.0995906340688
AMD,2020,3 - Working Capital Ratios,3.8 - Working Capital Turnover,3.2739771965124076
AMD,2020,4 - Interest Coverage Ratios,4.1 - EBIT / Interest Coverage Ratio,28.127659574468087
AMD,2020,4 - Interest Coverage Ratios,4.2 - EBITDA / Interest Coverage Ratio,35.659574468085104
AMD,2020,5 - Leverage Ratios,5.1 - Debt-to-Capital Ratio,0.0833856783919598
AMD,2020,5 - Leverage Ratios,5.2 - Debt-to-Equity Ratio,0.09097138941236937
AMD,2020,5 - Leverage Ratios,5.3 - Debt-to-Enterprise Value Ratio,0.02969402174267
AMD,2020,5 - Leverage Ratios,5.4 - Equity Multiplier (book),1.5353777625492548
AMD,2020,5 - Leverage Ratios,5.5 - Equity Multiplier (market),1.0147526702126957
AMD,2020,6 - Industry Specific Ratios,6.1 - R&D-to-Sales,0.20311379698863055
AMD,2020,6 - Industry Specific Ratios,6.2 - CAPEX-to-Sales,0.0657584758783161
AMD,2020,7 - Valuation Ratios,7.1 - Market-to-Book Ratio,17.7676955266404
AMD,2020,7 - Valuation Ratios,7.2 - Price-to-Earning Ratio,41.650617987550206
AMD,2020,7 - Valuation Ratios,7.3 - Market-to-Sales Ratio,10.622763370787668
AMD,2020,7 - Valuation Ratios,7.4 - EV-to-EBITDA Ratio,62.79238591229117
AMD,2020,7 - Valuation Ratios,7.5 - EV-to-Sales Ratio,10.779477495544402
AMD,2020,7 - Valuation Ratios,7.6 - EPS (Fully Diluted),2.04
AMD,2020,7 - Valuation Ratios,7.7.1 - Share Price,85.639999
AMD,2020,7 - Valuation Ratios,7.7.2 - Common Shares O/S,1211000000.0
AMD,2020,7 - Valuation Ratios,7.7.3 - Market Capitalization (Share Price * Common Shares O/S),103710038789.0
AMD,2020,7 - Valuation Ratios,7.7.4 - Net Debt,1530000000.0
AMD,2020,7 - Valuation Ratios,7.7.5 - Enterprise Value,105240038789.0
AMD,2020,8 - Operating Ratios,8.1 - Asset Turnover,1.3026017344896599
AMD,2020,8 - Operating Ratios,8.2 - Return on Assets (ROA),0.2778397679089489
AMD,2020,8 - Operating Ratios,8.3 - Return on Equity (ROE),0.4265890011992462
AMD,2020,8 - Operating Ratios,8.4 - Return on Invested Capital (ROIC),0.2983236409940008
AMD,2020,9 - Altman Z-Score,9.1 - Altman Z-Score (1.2A + 1.4B + 3.3C + 0.6D + 1.0E),21.268029299753117
AMD,2020,9 - Altman Z-Score,9.1.A - Working Capital / Total Assets Ratio,0.41575541173845126
AMD,2020,9 - Altman Z-Score,9.1.B - Retained Earnings / Total Assets Ratio,-0.5138361972773935
AMD,2020,9 - Altman Z-Score,9.1.C - EBIT / Total Assets Ratio,0.14751171613479133
AMD,2020,9 - Altman Z-Score,9.1.D - Market Value of Equity / Total Liabilities,33.18721241248
AMD,2020,9 - Altman Z-Score,9.1.E - Total Sales / Total Assets,1.0893773711225172
AMD,2019,1 - Profitability Ratios,1.1 - Gross Margin,0.4260882484029119
AMD,2019,1 - Profitability Ratios,1.2 - Operating Margin,0.09374535730203536
AMD,2019,1 - Profitability Ratios,1.3 - EBITDA Margin,0.10756202644480761
AMD,2019,1 - Profitability Ratios,1.4 - Net Profit Margin,0.05066112019016491
AMD,2019,2 - Liquidity Ratios,2.1 - Current Ratio,1.9487070792708774
AMD,2019,2 - Liquidity Ratios,2.2 - Quick Ratio,1.4251801610852055
AMD,2019,2 - Liquidity Ratios,2.3- Cash Ratio,0.6214497668503604
AMD,2019,3 - Working Capital Ratios,3.1 - Days in A/R,100.8074580300104
AMD,2019,3 - Working Capital Ratios,3.2 - A/R Turnover,4.351001939237233
AMD,2019,3 - Working Capital Ratios,3.3 - Days in Inventory,92.78539994822675
AMD,2019,3 - Working Capital Ratios,3.4 - Inventory Turnover,4.228790366721401
AMD,2019,3 - Working Capital Ratios,3.5 - Days in A/P,113.47786694279057
